etf,underlying,delta,partial_hedge_ratio
DAMD,AMD,-2.025874,1.0
ASTN,ASTS,-2.006177,1.0
AURU,AUR,-1.0,1.0
AXUP,AXON,-1.0,1.0
BEZ,BE,-2.0035,1.0
BKNU,BKNG,-1.0,1.0
BLSX,BLSH,-1.0,1.0
BMNZ,BMNR,-1.986462,1.0
CELT,CELH,-1.0,1.0
CONI,COIN,-1.925875,1.0
CRCD,CRCL,-1.996113,1.0
CORD,CRWV,-2.005325,1.0
DASX,DASH,-1.0,1.0
DXD,DIA,-2.001754,1.0
SDOW,DIA,-2.999052,1.0
DKUP,DKNG,-1.0,1.0
HOOZ,HOOD,-2.009952,1.0
BTCZ,IBIT,-1.996314,1.0
IONZ,IONQ,-2.018043,1.0
IREZ,IREN,-2.006993,1.0
TWM,IWM,-2.002592,1.0
TZA,IWM,-2.997208,1.0
BTFL,KEEL,-1.0,1.0
LITZ,LITE,-2.001613,1.0
LYFX,LYFT,-1.0,1.0
MSTZ,MSTR,-1.990113,1.0
SMST,MSTR,-1.965579,1.0
MUZ,MU,-2.0,1.0
NBIZ,NBIS,-2.035942,1.0
NWMX,NEM,-1.0,1.0
NETX,NET,-1.0,1.0
NVD,NVDA,-2.000859,1.0
NVDS,NVDA,-1.495923,1.0
OKLS,OKLO,-1.999862,1.0
OKTX,OKTA,-1.0,1.0
QBTZ,QBTS,-1.997674,1.0
QID,QQQ,-1.996004,1.0
QSX,QS,-1.0,1.0
RGTZ,RGTI,-1.986821,1.0
RKLZ,RKLB,-2.002216,1.0
SMCZ,SMCI,-2.005456,1.0
SNDQ,SNDK,-2.027484,1.0
SNK,SPCX,-2.0,1.0
SPCG,SPCX,-2.0,1.0
SSPC,SPCX,-2.0,1.0
HIBS,SPHB,-3.006121,1.0
SPXS,SPY,-2.994557,1.0
SPXU,SPY,-2.991109,1.0
UVIX,SVIX,-1.991383,1.0
TBT,TLT,-1.997333,1.0
TBX,TLT,-1.371357,1.0
TMV,TLT,-2.990447,1.0
TSDD,TSLA,-2.009134,1.0
STSM,TSM,-1.99655,1.0
PXIU,UPXI,-1.0,1.0
SCO,USO,-1.750483,1.0
DUG,XLE,-1.990484,1.0
SKF,XLF,-1.998404,1.0
FNGD,XLK,-2.899029,1.0
REW,XLK,-2.006211,1.0
TECS,XLK,-2.998604,1.0
WEBS,XLK,-2.743788,1.0
DRIP,XOP,-1.99558,1.0
GXRP,XRPZ,-1.0,1.0
XRP,XRPZ,-1.0,1.0
