source_detail_date,ETF,Underlying,inverse_etf_short_usd,underlying_short_usd
2026-07-11,ASTN,ASTS,27013.4938143,27013.4938143
2026-07-11,CONI,COIN,13230.9326029125,13230.9326029125
2026-07-11,CORD,CRWV,78432.07015314001,10.077078657966725
2026-07-11,DAMD,AMD,4931.3131920000005,1049.4430419569553
2026-07-11,IREZ,IREN,28433.82741892,28433.82741892001
2026-07-11,LITZ,LITE,60719.16583979999,9624.12
2026-07-11,MSTZ,MSTR,22550.310286875,12303.2
2026-07-11,NBIZ,NBIS,40325.070253215,27456.25
2026-07-11,QBTZ,QBTS,60099.16713962,0.0
2026-07-11,RGTZ,RGTI,15739.16817616,14670.98
2026-07-11,RKLZ,RKLB,20775.74119638,8104.000000000001
2026-07-11,SNDQ,SNDK,42756.29850475,26822.88
2026-07-11,SPCG,SPCX,1647.36,2740.0827878930336
2026-07-11,SSPC,SPCX,2058.08,2740.0827878930336
2026-07-11,UVIX,SVIX,19969.014166213,22581.96
