underlying,pnl_total,pnl_share_b1,pnl_share_b2,pnl_share_b4,exp_net_total,exp_share_b1,exp_share_b2,exp_share_b4,ratio_spot_b1,ratio_spot_b2,ratio_spot_b4,diff_exp_b1,diff_exp_b2,diff_exp_b4,diff_pnl_b1,diff_pnl_b2,diff_pnl_b4,max_diff
CVNA,-1187.61844,0.1265199763991539,0.8734800236008461,0.0,3115.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1265199763991539,0.8734800236008461,0.0,0.8734800236008461
HIMS,-164.93983232,0.3327454832437809,0.667254516756219,0.0,12956.16,0.7844024172378236,0.1319180486350894,0.0,0.7844024172378236,0.1319180486350894,0.0,0.0,0.0,0.0,0.45165693399404266,0.5353364681211297,0.0,0.5353364681211297
MSTR,7036.66417613,0.05964172647964346,0.9403582735203565,0.0,31946.219999999998,0.4295739391602513,0.45573970984930295,0.0,0.4295739391602513,0.45573970984930295,0.0,0.0,0.0,0.0,0.36993221268060783,0.48461856367105355,0.0,0.48461856367105355
IBIT,494.03565912,0.40357430256833515,0.5964256974316647,0.0,43049.079999999994,0.8387866470837473,0.14853731649224564,0.0,0.8387866470837473,0.14853731649224564,0.0,0.0,0.0,0.0,0.43521234451541213,0.4478883809394191,0.0,0.4478883809394191
RBLX,-3971.5939322500003,1.0,0.0,0.0,5776.32,0.6683400598304803,0.0,0.0,0.6683400598304803,0.0,0.0,0.0,0.0,0.0,0.3316599401695197,0.0,0.0,0.3316599401695197
META,-1078.6886182100002,0.1645628526216207,0.8354371473783794,0.0,18999.28,0.3803022996239858,0.532156492843413,0.0,0.3803022996239858,0.532156492843413,0.0,0.0,0.0,0.0,0.2157394470023651,0.30328065453496633,0.0,0.30328065453496633
LMND,-167.127257,1.0,0.0,0.0,689.0,0.7241561660429607,0.0,0.0,0.7241561660429607,0.0,0.0,0.0,0.0,0.0,0.27584383395703926,0.0,0.0,0.27584383395703926
IONQ,9314.83836,0.5340927939069438,0.46590720609305625,0.0,39427.5,0.7484074384178555,0.21629190224065686,0.0,0.7484074384178555,0.21629190224065686,0.0,0.0,0.0,0.0,0.21431464451091176,0.24961530385239938,0.0,0.24961530385239938
RDW,-13.823996,1.0,0.0,0.0,6169.6,0.7619503159767245,0.0,0.0,0.7619503159767245,0.0,0.0,0.0,0.0,0.0,0.23804968402327553,0.0,0.0,0.23804968402327553
MARA,3799.301764,0.0,1.0,0.0,20105.289999999997,0.0,0.7669144678826071,0.0,0.0,0.7669144678826071,0.0,0.0,0.0,0.0,0.0,0.2330855321173929,0.0,0.2330855321173929
