symbol,overlay_type,net_notional_usd,gross_notional_usd,n_legs
AMZO,flow_program,14218.827303744001,14218.827303744001,1
DUST,flow_program,11176.0942104,11176.0942104,1
FAZ,flow_program,10036.3288916,10036.3288916,1
ZSL,flow_program,9509.496586199999,9509.496586199999,1
SDS,flow_program,9331.676917769999,9331.676917769999,1
TSLQ,flow_program,8796.623052800001,8796.623052800001,1
LABD,flow_program,7899.185826000001,7899.185826000001,1
SQQQ,flow_program,7652.65314968,7652.65314968,1
NVDQ,flow_program,6270.28428312,6270.28428312,1
SOXS,flow_program,2856.3295721400004,2856.3295721400004,1
EWV,flow_program,1961.6264057104,1961.6264057104,1
TSYY,flow_program,-58.7567552,58.7567552,1
NVYY,flow_program,-70.48828160000001,70.48828160000001,1
TQQY,flow_program,-349.7484102912,349.7484102912,1
