underlying,symbols,net_notional_usd,gross_notional_usd,n_legs
AI,"AI, AIYY",0.0,1627.9668438,2
HIMS,"HIMS, HMYY",0.0,3771.7599386484003,2
IBIT,"IBIT, XBTY",0.0,13804.99105524,2
IONQ,"IONQ, IOYY",0.0,19132.588623070995,2
MARA,"MAAY, MARA",0.0,34249.194724094996,2
META,"FBYY, META",0.0,21773.584116,2
MSTR,"MSTR, MTYY",0.0,35837.927543923994,2
TSLA,"TSLA, TSYY",-0.1292765041079349,124.35410269589207,2
NVDA,"NVDA, NVYY",-0.15538939278421537,163.91800580721582,2
QBTS,"QBTS, QBY",-30.587741766960562,1664.5654021130392,2
QQQ,"QQQ, TQQY",-33.82124396901827,812.4250551285817,2
