date,plan_date,ETF,Underlying,sleeve,current_gross_usd,desired_gross_usd,next_gross_usd,hedge_net_pct_before,hedge_net_pct_after,target_age,requested_turnover_usd,allocated_turnover_usd,deferred_turnover_usd,block_reason,priority,hedge_repair_leg,hedge_reserve_usd,reserve_committed_usd,tracking_budget_usd,prior_structural_gross_usd,raw_plan_gross_usd,effective_plan_gross_usd,blended_structural_gross_usd,target_blend_alpha,blend_status
2026-03-03,2026-03-02,COZX,CORZ,core_leveraged,0.0,11569.282747132474,0.0,,,0,11569.282747132474,0.0,0.0,,target_formation,,,,,0.0,46277.1309885299,46277.1309885299,11569.282747132474,0.25,new
2026-03-03,2026-03-02,CRMU,CRML,core_leveraged,0.0,47395.97314068972,0.0,,,0,47395.97314068972,0.0,0.0,,target_formation,,,,,0.0,189583.89256275888,189583.89256275888,47395.97314068972,0.25,new
2026-03-03,2026-03-02,DNNG,DNN,core_leveraged,0.0,47395.97314068972,0.0,,,0,47395.97314068972,0.0,0.0,,target_formation,,,,,0.0,189583.89256275888,189583.89256275888,47395.97314068972,0.25,new
2026-03-03,2026-03-02,ETHU,ETHA,core_leveraged,0.0,7388.124364380381,0.0,,,0,7388.124364380381,0.0,0.0,,target_formation,,,,,0.0,29552.497457521524,29552.497457521524,7388.124364380381,0.25,new
2026-03-03,2026-03-02,ETU,ETHA,core_leveraged,0.0,2715.9017116875193,0.0,,,0,2715.9017116875193,0.0,0.0,,target_formation,,,,,0.0,10863.606846750077,10863.606846750077,2715.9017116875193,0.25,new
2026-03-03,2026-03-02,FGRU,FIGR,core_leveraged,0.0,15649.708996362067,0.0,,,0,15649.708996362067,0.0,0.0,,target_formation,,,,,0.0,62598.83598544827,62598.83598544827,15649.708996362067,0.25,new
2026-03-03,2026-03-02,GDXU,GDX,core_leveraged,0.0,4673.833991787766,0.0,,,0,4673.833991787766,0.0,0.0,,target_formation,,,,,0.0,18695.335967151063,18695.335967151063,4673.833991787766,0.25,new
2026-03-03,2026-03-02,MRNX,MRNA,core_leveraged,0.0,3562.525769061118,0.0,,,0,3562.525769061118,0.0,0.0,,target_formation,,,,,0.0,14250.103076244472,14250.103076244472,3562.525769061118,0.25,new
2026-03-03,2026-03-02,RDWU,RDW,core_leveraged,0.0,25879.11416454658,0.0,,,0,25879.11416454658,0.0,0.0,,target_formation,,,,,0.0,103516.45665818632,103516.45665818632,25879.11416454658,0.25,new
2026-03-03,2026-03-02,RKTL,RKT,core_leveraged,0.0,43003.69602639817,0.0,,,0,43003.69602639817,0.0,0.0,,target_formation,,,,,0.0,172014.78410559267,172014.78410559267,43003.69602639817,0.25,new
2026-03-03,2026-03-02,SMUP,SMR,core_leveraged,0.0,47395.97314068972,0.0,,,0,47395.97314068972,0.0,0.0,,target_formation,,,,,0.0,189583.89256275888,189583.89256275888,47395.97314068972,0.25,new
2026-03-03,2026-03-02,SOXL,SOXX,core_leveraged,0.0,2891.9765212314733,0.0,,,0,2891.9765212314733,0.0,0.0,,target_formation,,,,,0.0,11567.906084925893,11567.906084925893,2891.9765212314733,0.25,new
2026-03-03,2026-03-02,UECG,UEC,core_leveraged,0.0,47395.97314068972,0.0,,,0,47395.97314068972,0.0,0.0,,target_formation,,,,,0.0,189583.89256275888,189583.89256275888,47395.97314068972,0.25,new
2026-03-03,2026-03-02,URAA,URA,core_leveraged,0.0,6171.58434078668,0.0,,,0,6171.58434078668,0.0,0.0,,target_formation,,,,,0.0,24686.33736314672,24686.33736314672,6171.58434078668,0.25,new
2026-03-03,2026-03-02,UXRP,XRPZ,core_leveraged,0.0,4706.738524818465,0.0,,,0,4706.738524818465,0.0,0.0,,target_formation,,,,,0.0,18826.95409927386,18826.95409927386,4706.738524818465,0.25,new
2026-03-03,2026-03-02,VRTL,VRT,core_leveraged,0.0,3929.182786812674,0.0,,,0,3929.182786812674,0.0,0.0,,target_formation,,,,,0.0,15716.731147250695,15716.731147250695,3929.182786812674,0.25,new
2026-03-03,2026-03-02,XRPK,XRPZ,core_leveraged,0.0,44134.65572418336,0.0,,,0,44134.65572418336,0.0,0.0,,target_formation,,,,,0.0,176538.62289673343,176538.62289673343,44134.65572418336,0.25,new
