,nav
2026-02-27,1050000.0
2026-03-02,1050000.0
2026-03-03,1049817.341051604
2026-03-04,1049753.8837688612
2026-03-05,1049489.4271908356
2026-03-06,1048958.5967994286
2026-03-09,1050350.7999188863
2026-03-10,1050353.3256426665
2026-03-11,1050700.225239463
2026-03-12,1049930.63360885
2026-03-13,1050215.5926047708
2026-03-16,1050558.4160623653
2026-03-17,1050627.3501238304
2026-03-18,1050141.4071156618
2026-03-19,1049927.2055830285
2026-03-20,1048515.5096152833
2026-03-23,1050456.5465268006
2026-03-24,1049151.9739166626
2026-03-25,1050512.3526575966
2026-03-26,1048566.6839962563
2026-03-27,1046718.502041977
2026-03-30,1045005.6120856295
2026-03-31,1049407.763992213
2026-04-01,1048537.8840826802
2026-04-02,1049504.1488999908
2026-04-06,1049640.3659610103
2026-04-07,1049677.8015883702
2026-04-08,1051817.897308484
2026-04-09,1051107.3866132773
2026-04-10,1051712.266435429
2026-04-13,1053588.0718582305
2026-04-14,1053237.8052053025
2026-04-15,1053349.966061039
2026-04-16,1053230.5601298155
2026-04-17,1055433.9419108843
2026-04-20,1055481.8748437802
2026-04-21,1055393.729764397
2026-04-22,1056570.2410248537
2026-04-23,1067448.3105554015
2026-04-24,1059208.2412010173
2026-04-27,1059218.7465067506
2026-04-28,1059257.3233169066
2026-04-29,1064424.925094543
2026-04-30,1052033.4044662684
2026-05-01,1060895.8990043437
2026-05-04,1061317.231886437
2026-05-05,1061388.4592445702
2026-05-06,1062211.6978129956
2026-05-07,1060588.8793130578
2026-05-08,1063956.7165596217
2026-05-11,1064636.5315395163
2026-05-12,1064289.117016706
2026-05-13,1064063.2819479955
2026-05-14,1069363.367985674
2026-05-15,1066622.2174540216
2026-05-18,1067442.0621116455
2026-05-19,1063483.5276672733
2026-05-20,1065361.186101746
2026-05-21,1072599.489224941
2026-05-22,1080011.5614380746
2026-05-26,1080205.4060362359
2026-05-27,1082756.1443186072
2026-05-28,1090124.3935566372
2026-05-29,1097944.1198587276
2026-06-01,1104315.4181235114
2026-06-02,1103778.8937970516
2026-06-03,1096473.1813967614
2026-06-04,1091519.0668386593
2026-06-05,1092656.3190678174
2026-06-08,1088816.0510111377
2026-06-09,1084351.2593897823
2026-06-10,1084441.386369833
2026-06-11,1080481.460190652
2026-06-12,1098095.4158213562
2026-06-15,1097888.484733453
2026-06-16,1113985.843591879
2026-06-17,1107466.7366265825
2026-06-18,1109879.0103153882
2026-06-22,1117159.8060778535
2026-06-23,1121068.187397804
2026-06-24,1125657.7982012487
2026-06-25,1118578.1032592484
2026-06-26,1102478.3899486337
2026-06-29,1111440.9828905684
2026-06-30,1122554.2137102124
2026-07-01,1125714.9813798964
2026-07-02,1144282.3258380361
2026-07-06,1136621.0807068273
2026-07-07,1163832.8940310606
2026-07-08,1144172.7316829138
2026-07-09,1138686.5249831376
2026-07-10,1163522.198267258
2026-07-13,1157650.5588721388
