date,plan_date,n_pairs,turnover_step,turnover_usd,txn_cost_usd,target_planned_gross_usd,target_tradeable_gross_usd,raw_plan_stock_gross_usd,blended_stock_structural_gross_usd,target_blend_alpha,deployed_gross_usd,confirmed_desired_gross_usd,turnover_reference_gross_usd,deployed_desired_gross_ratio,untradeable_plan_gross_usd,blocked_pairs,n_added,n_exited,n_resize_candidates,n_resized,turnover_budget_usd,turnover_used_usd,n_deferred_pace,turnover_pace_mode,target_confirmed_today,persistent_target_pairs,n_hedge_repairs,hedge_repair_turnover_usd,hedge_reserve_usd,reserve_committed_usd,unused_reserve_to_tracking_usd,tracking_budget_usd,max_request_age,equity
2026-03-02,2026-02-28,0,0.0,0.0,0.0,2257500.0,2257500.0,2141999.9999999995,0.0,0.25,0.0,115500.0,115500.0,0.0,0.0,1,2,0,0,0,0.0,0.0,0,hedge_safe_v1,True,2,0,0.0,0.0,0.0,0.0,,0,1050000.0
2026-03-03,2026-03-02,21,0.0746044413586504,78334.66342658292,182.65894839614765,2257500.0,2222602.076329445,2107102.0763294455,395235.84290197573,0.25,78334.66342658293,510735.8429019758,510735.8429019758,0.15337608377256087,34897.923670555,4,24,0,0,0,0.0,78334.66342658292,0,hedge_safe_v1,True,24,0,0.0,0.0,0.0,0.0,,1,1049817.341051604
2026-03-04,2026-03-03,22,0.05785732820447056,60739.62645596725,140.4200410335036,2257272.753191273,2257272.7531912737,2141784.379772185,395235.8429019758,0.25,142629.45039130448,510724.2163210642,510724.2163210642,0.27926901805972165,0.0,2,3,0,21,21,61286.90595852771,60739.62645596725,0,hedge_safe_v1,False,24,8,1964.1126692890223,12257.381191705543,1382.0834366757927,10875.297755029751,59904.822521851915,2,1049753.8837688612
2026-03-05,2026-03-04,22,0.04425707969179533,46459.041290730136,107.84070920747916,2256634.125985093,2201165.094566061,2085709.3950970564,395235.8429019758,0.25,181318.64429147515,510691.5423709805,510691.5423709805,0.3550453243256578,55469.03141903179,3,2,0,22,21,61282.985084517655,46459.041290730136,0,hedge_safe_v1,False,24,6,370.7446233298683,12256.597016903532,1128.933979640098,11127.663037263434,60154.05110487756,3,1049489.4271908356
2026-03-06,2026-03-05,35,0.09128003760424912,95797.43437924134,215.02318798833542,2255723.2829729468,2194473.0762942033,2079063.9780955873,818918.3750155591,0.25,264622.95060864475,934327.4732141751,934327.4732141751,0.28322291508598874,61250.206678743474,3,109,0,22,21,112119.29678570101,95797.43437924134,97,hedge_safe_v1,True,131,6,1262.0369227287015,22423.8593571402,2569.1393339163033,19854.720023223897,109550.1574517847,4,1048958.5967994286
2026-03-09,2026-03-06,85,0.10560591024219683,110776.22742138119,243.30990260814426,2258777.336116213,2198257.1324643884,2082691.7803840241,818918.3750155591,0.25,387543.53759397543,934483.7270959236,934483.7270959236,0.4147140569246045,60520.2036518245,3,96,0,35,32,112138.04725151083,110776.22742138119,46,hedge_safe_v1,False,131,5,1141.9191740761114,22427.609450302167,1981.3727512745054,20446.23669902766,110156.67450023632,5,1050350.7999188863
2026-03-10,2026-03-06,130,0.07882098614379754,82789.68584653319,181.57119029333901,934483.7270959236,934483.7270959236,,,0.25,479033.4646323781,934483.7270959236,934483.7270959236,0.5126183054263136,0.0,3,46,0,85,81,112138.04725151083,82789.68584653319,0,hedge_safe_v1,False,131,23,3951.1705426046883,22427.609450302167,4615.143986382966,17812.4654639192,107522.90326512785,6,1050353.3256426665
2026-03-11,2026-03-10,131,0.053683452587093144,56386.592956833694,123.53403108452692,2259271.0824316773,2176770.278601247,2061179.6650814863,818918.3750155594,0.25,540626.4767521219,934508.9885353195,934508.9885353195,0.5785139398171655,82500.80383043038,3,1,0,116,90,112141.07862423833,56386.592956833694,0,hedge_safe_v1,False,131,31,2936.966553120038,22428.21572484767,3382.185691127694,19046.030033719973,108758.89293311063,7,1050700.225239463
2026-03-12,2026-03-11,131,0.04562699768790227,47940.29674767937,105.741735862761,2257578.206991133,2150736.343989685,2035232.3427017669,818918.3750155593,0.25,572661.0601258969,934422.3763034777,934422.3763034777,0.6128503283400724,106841.86300144764,3,0,0,118,86,112130.68515641731,47940.29674767937,0,hedge_safe_v1,False,131,28,3875.419486977843,22426.137031283462,2911.845491142915,19514.291540140548,109218.8396652744,8,1049930.63360885
2026-03-13,2026-03-12,145,0.10823939825004383,113643.85998610916,248.99394432084227,2258498.861080547,2143999.4885712685,2028448.3840508685,1135671.9966589622,0.25,681555.6748579997,1251223.1011793625,1251223.1011793625,0.5447115500150111,114499.37250927836,1,15,0,127,102,150146.77214152348,113643.85998610916,0,hedge_safe_v1,True,146,30,2935.120564788676,30029.354428304698,2076.9611570045927,27952.393271300105,148069.8109845189,6,1050215.5926047708
2026-03-16,2026-03-12,145,0.08277804269073347,86934.79115911166,190.54111599246883,1251223.1011793625,1251223.1011793625,,,0.25,797263.0978004029,1251223.1011793625,1251223.1011793625,0.6371870029005446,0.0,1,1,0,135,108,150146.77214152348,86934.79115911166,0,hedge_safe_v1,False,146,35,11520.014809145321,30029.354428304698,13633.219710024077,16396.13471828062,136513.5524314994,7,1050558.4160623653
2026-03-17,2026-03-12,145,0.0586317488234789,61596.07717496045,134.60619583872852,1251223.1011793625,1251223.1011793625,,,0.25,863350.278307776,1251223.1011793625,1251223.1011793625,0.6900050658383864,0.0,1,1,0,134,97,150146.77214152348,61596.07717496045,0,hedge_safe_v1,False,146,28,4856.400803195418,30029.354428304698,5224.72957901389,24804.62484929081,144922.0425625096,8,1050627.3501238304
2026-03-18,2026-03-12,145,0.050188003291274964,52728.88890591829,115.50761702720474,1251223.1011793625,1251223.1011793625,,,0.25,878564.6626550967,1251223.1011793625,1251223.1011793625,0.7021646753700359,0.0,1,1,0,135,98,150146.77214152348,52728.88890591829,0,hedge_safe_v1,False,146,31,2423.0026731676776,30029.354428304698,2103.0135047474114,27926.340923557287,148043.75863677607,9,1050141.4071156618
2026-03-19,2026-03-18,145,0.040020025043133275,42026.6854116,93.42143281575787,2257544.348084065,2235575.126043952,2120072.8570722095,1135671.9966589622,0.25,913848.5793863877,1251174.2656307053,1251174.2656307053,0.7303927234514571,21969.22204011306,2,1,2,131,92,150140.91187568463,42026.6854116,0,hedge_safe_v1,False,144,25,2668.3539619170647,30028.182375136927,3812.245070205164,26215.937304931762,146328.66680547947,10,1049927.2055830285
2026-03-20,2026-03-18,145,0.103490900331841,108657.91178868154,240.90738832307676,2254826.2965577543,2232883.5251508476,2117520.3192804507,1371439.8444086593,0.25,951584.4976823585,1486803.0502790557,1486803.0502790557,0.6400205444182786,21942.771406906657,2,2,2,137,118,178416.36603348667,108657.91178868154,0,hedge_safe_v1,True,145,43,5379.440126734695,35683.27320669733,9059.278225506698,26623.994981190634,169357.08780798,6,1048515.5096152833
2026-03-23,2026-03-21,145,0.06930850189357088,72671.0391836093,159.91760732021933,2258825.3978883596,2226722.7604856766,2111154.949430923,1371439.844408659,0.25,1035075.829427303,1487007.6554634124,1487007.6554634124,0.6960796910657,32102.63740268303,1,1,1,138,110,178440.91865560948,72671.0391836093,0,hedge_safe_v1,False,145,26,2313.752520178433,35688.1837311219,2558.970939045208,33129.212792076694,175881.94771656426,7,1050456.5465268006
2026-03-24,2026-03-23,145,0.06491819586248614,68193.74383245762,151.33182736719093,2256002.107349664,2160445.5383530506,2045022.174721207,1371439.8444086593,0.25,1065540.9908448516,1486863.2080405024,1486863.2080405024,0.7166368668501119,95556.56899661338,1,1,0,139,110,178423.5849648603,68193.74383245762,0,hedge_safe_v1,False,146,31,3920.649686548282,35684.71699297206,5179.748645175887,30504.968347796173,173243.8363196844,7,1049151.9739166626
2026-03-25,2026-03-24,145,0.04657314601132652,48862.30806929216,106.8388172446062,2258831.2616709084,2196705.6167284297,2081137.5056661973,1371439.8444086593,0.25,1150189.219468869,1487007.9554708917,1487007.9554708917,0.7734923106747186,62125.64494247874,1,1,0,138,94,178440.954656507,48862.30806929216,0,hedge_safe_v1,False,146,26,7361.929879132389,35688.190931301404,14607.32318584141,21080.867745459997,163833.6314706656,7,1050512.3526575966
2026-03-26,2026-03-25,145,0.05337038327417999,56066.246895596465,126.84448431069379,2254691.086233219,2194120.620320164,2078764.3321873015,1371439.8444086593,0.25,1109371.1639915719,1486796.1325415215,1486796.1325415215,0.7461488093160551,60570.465913055,1,1,0,136,96,178415.53590498256,56066.246895596465,0,hedge_safe_v1,False,146,41,11696.546212651963,35683.107180996514,19419.581405828576,16263.525775167938,158995.954499154,8,1048566.6839962563
2026-03-27,2026-03-26,180,0.09701631244221826,101728.07303108154,233.6762697658314,2250947.183370247,2193171.049568249,2078006.3099539576,1569454.7266235624,0.25,1143436.3550582412,1684619.4662378542,1684619.4662378542,0.6787505297037791,57776.133801998105,1,36,0,138,115,202154.3359485425,101728.07303108154,0,hedge_safe_v1,True,181,50,18670.850340710054,40430.8671897085,24667.238258260684,15763.628931447816,177487.0976902818,7,1046718.502041977
2026-03-30,2026-03-28,181,0.0665128518378135,69620.2326422161,160.8100866250004,2247107.8076703474,2183084.9788266495,2068116.6723877017,1569454.7266235624,0.25,1159993.6790815291,1684423.0330625104,1684423.0330625104,0.6886593547539556,64022.828843697906,1,1,0,164,123,202130.76396750123,69620.2326422161,0,hedge_safe_v1,False,181,52,15254.518054441567,40426.15279350025,16429.027164621973,23997.12562887828,185701.73680287926,8,1045005.6120856295
2026-03-31,2026-03-28,181,0.053217979586348683,55613.08733159284,122.99226478648838,1684423.0330625104,1684423.0330625104,,,0.25,1314498.9854601636,1684423.0330625104,1684423.0330625104,0.7803853068134704,0.0,1,0,0,162,117,202130.76396750123,55613.08733159284,0,hedge_safe_v1,False,181,59,20021.52264784832,40426.15279350025,29807.089393475428,10619.063400024825,172323.6745740258,8,1049407.763992213
2026-04-01,2026-03-31,181,0.043692403783256215,45851.14775763181,106.69426195456404,2254585.8434409644,2222370.358621685,2107019.455003775,1569454.7266235624,0.25,1347466.9687656814,1684805.630241472,1684805.630241472,0.7997759175178907,32215.484819279518,1,0,1,158,88,202176.67562897663,45851.14775763181,0,hedge_safe_v1,False,180,42,7706.67218117367,40435.33512579533,9300.487906272952,31134.84721952238,192876.18772270367,8,1048537.8840826802
2026-04-02,2026-04-01,181,0.043414086033222644,45521.31390865871,100.6601002693965,2256650.3393505593,2206951.6508872937,2091495.1218972653,1569454.7266235626,0.25,1390971.8099751566,1684911.2556135913,1684911.2556135913,0.8255460371226547,49698.68846326554,1,0,0,156,75,202189.35067363095,45521.31390865871,0,hedge_safe_v1,False,181,32,10939.803541759622,40437.870134726196,16968.73962445795,23469.130510268245,185220.611049173,8,1049504.1488999908
2026-04-06,2026-04-04,184,0.03544263222430629,37197.189567345966,81.7296469703779,2256902.505557158,2190252.798448649,2074783.3679317709,1569454.7266235626,0.25,1446436.5833434775,1684924.15714044,1684924.15714044,0.8584579770037184,66649.70710850926,0,3,0,155,50,202190.89885685281,37197.189567345966,0,hedge_safe_v1,True,184,25,8880.941613713707,40438.17977137057,10656.77421442355,29781.405556947015,191534.12464242926,9,1049640.3659610103
2026-04-07,2026-04-04,184,0.028816808230897963,30247.285137307994,69.19186385570845,1684924.15714044,1684924.15714044,,,0.25,1444808.646818239,1684924.15714044,1684924.15714044,0.8574917990791278,0.0,0,0,0,152,54,202190.89885685281,30247.285137307994,0,hedge_safe_v1,False,184,27,12618.53419609409,40438.17977137057,13351.031249109255,27087.148522261312,188839.86760774357,10,1049677.8015883702
2026-04-08,2026-04-07,184,0.05751504338226846,60372.2642957593,132.36838673276836,2261693.0712447166,2204524.277144408,2088809.7479179339,1569454.7266235626,0.25,1510382.610115598,1685169.2558500364,1685169.2558500364,0.8962794715559463,57168.79410030879,1,2,2,151,94,202220.31070200435,60372.2642957593,0,hedge_safe_v1,False,184,63,17804.358962680115,40444.06214040087,35081.513788225355,5362.548352175516,167138.796913779,11,1051817.897308484
2026-04-09,2026-04-08,184,0.03145471526118646,33084.63246645823,74.17599745956825,2260040.3596130842,2201293.9304119544,2085663.9585247734,1569454.7266235626,0.25,1512975.696312951,1685084.6985107434,1685084.6985107434,0.8978632929550068,58746.429201129824,1,2,2,151,60,202210.1638212892,33084.63246645823,0,hedge_safe_v1,False,184,35,12566.312089949377,40442.03276425784,19943.78198875559,20498.250775502253,182266.3818325336,12,1051107.3866132773
2026-04-10,2026-04-09,218,0.06544983719826433,68794.80733173208,154.99828381678302,2261514.6191463782,2237059.568218411,2121354.1690992936,1708038.7896266119,0.25,1581532.6138204858,1823744.1887457292,1823744.1887457292,0.8671899401133537,24455.0509279673,0,36,3,163,98,218849.30264948748,68794.80733173208,0,hedge_safe_v1,True,217,48,13704.57105061095,43769.8605298975,19879.040284811064,23890.820245086437,198970.26236467643,6,1051712.266435429
