symbol,overlay_type,net_notional_usd,gross_notional_usd,n_legs
AMZO,flow_program,15814.38587904,15814.38587904,1
DUST,flow_program,11408.196859199998,11408.196859199998,1
ZSL,flow_program,10210.592573999998,10210.592573999998,1
FAZ,flow_program,9997.648866399999,9997.648866399999,1
SDS,flow_program,9809.499013609999,9809.499013609999,1
TSLQ,flow_program,9763.048925300001,9763.048925300001,1
LABD,flow_program,8849.32374375,8849.32374375,1
SQQQ,flow_program,8804.1600724,8804.1600724,1
NVDQ,flow_program,5864.90066448,5864.90066448,1
SOXS,flow_program,4085.04626882,4085.04626882,1
EWV,flow_program,2153.9211557656,2153.9211557656,1
TSYY,flow_program,-58.38952548,58.38952548,1
NVYY,flow_program,-73.14210532700001,73.14210532700001,1
TQQY,flow_program,-340.64749151999996,340.64749151999996,1
