underlying,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
MSTR,2286.15457458,12209.067511000001,-0.37,0.0,-7990.42,-948.66,102.05725626032091,0.0,0.0,5657.829341840321
MARA,979.7263744200001,7890.740019999999,-9.29,0.0,-4885.16,-517.5699999999999,109.64556114163781,0.0,0.0,3568.0919555616374
GDX,-170.39822705,3249.998775,0.0,0.0,-10.84,-34.019999999999996,16.090582853612993,0.0,0.0,3050.8311308036127
CRML,0.0,2002.7869659999997,0.0,0.0,0.0,-179.73,42.30752575834519,0.0,0.0,1865.364491758346
BLSH,1753.26777316,30.516177999999968,0.0,0.0,0.0,-49.83,7.9022883107610795,0.0,0.0,1741.856239470761
META,666.85666068,2086.0521179999996,12.6,0.0,-1181.48,-149.31,50.810073112183886,0.0,0.0,1485.528851792184
SLV,950.869985,0.0,0.0,0.0,0.0,-0.5800000000000001,0.0,0.0,0.0,950.289985
IONQ,0.0,828.8665790000002,0.0,0.0,0.0,-105.87,88.68038458382705,0.0,0.0,811.676963583827
TSLA,1020.4489595800001,281.54019000000017,0.0,0.0,-402.9,-195.59,27.11567669701548,0.0,0.0,730.6148262770157
RCAT,0.0,696.3405419999999,0.0,0.0,0.0,-78.73,14.342258159032973,0.0,0.0,631.9528001590329
XRPZ,-1439.7644517400004,2121.70141,0.0,0.0,-11.16,-77.97,23.81117331388741,0.0,0.0,616.6181315738877
SOXX,1023.0216799,-530.389205,0.0,0.0,4.16,-5.29,10.209117909315033,0.0,0.0,501.7115928093149
KEEL,0.0,435.9244,0.0,0.0,0.0,0.0,14.941381951323898,0.0,0.0,450.86578195132387
CRWV,181.83653006,345.510264,0.0,0.0,0.0,-114.50999999999999,33.92292903708971,0.0,0.0,446.7597230970896
PLTR,993.91680568,45.377320000000054,0.0,0.0,-454.58,-190.11,29.534645983447895,0.0,0.0,424.13877166344764
EWJ,388.675936,0.0,0.0,0.0,0.0,-0.4,0.0,0.0,0.0,388.275936
NVDA,117.45165721000001,574.9622690000006,1.44,0.0,-167.34,-214.96,47.291218987297746,0.0,0.0,358.8451451972978
URA,0.0,386.315572,0.0,0.0,-42.69,-19.18,9.38344423969381,0.0,0.0,333.8290162396938
VRT,-205.89726944,568.7319499999994,2.06,0.0,0.0,-50.05,12.29863356914227,0.0,0.0,327.1433141291418
UEC,-18.90443527,350.602522,0.0,0.0,0.0,-42.67,9.343575771388362,0.0,0.0,298.3716625013884
MRNA,18.78210107999999,321.714104,0.0,0.0,0.0,-62.05,6.534099455873372,0.0,0.0,284.98030453587336
WULF,0.0,370.168913,0.0,0.0,0.0,-109.43,16.219558887904224,0.0,0.0,276.9584718879046
SNOW,734.35125347,-316.0849240000002,0.0,0.0,-114.75,-38.370000000000005,7.020737212588206,0.0,0.0,272.16706668258803
LITE,0.0,272.186775,0.0,0.0,0.0,-19.32,8.882837125841066,0.0,0.0,261.7496121258411
ASTS,121.69252075,202.27598099999977,0.0,0.0,0.0,-79.12,11.760466971634967,0.0,0.0,256.6089687216345
TSM,82.82289362,356.29083100000025,37.56,-7.89,-138.64,-93.69,18.777163461084108,0.0,0.0,255.2308880810847
CORZ,-11.887826,284.5790549999999,0.0,0.0,0.0,-41.14,13.053286719209716,0.0,0.0,244.60451571920953
HIMS,-63.22327532,330.38744799999995,0.0,0.0,-34.629999999999995,-17.73,26.53250414035449,0.0,0.0,241.33667682035434
SOEZ,13.511677599999999,261.19643700000006,19.7,0.0,-21.98,-50.1,7.896323433746267,0.0,0.0,230.2244380337463
RKT,14.0651807,234.96397100000013,0.0,0.0,0.0,-31.13,7.466486699443445,0.0,0.0,225.36563839944347
PLUG,0.0,314.32697199999984,0.0,0.0,0.0,-119.92,17.100321082988042,0.0,0.0,211.50729308298742
MU,23.55845,214.91875600000003,3.0,0.0,-14.21,-42.44,20.048009371397843,0.0,0.0,204.87521537139764
LEU,0.0,322.96606399999996,0.0,0.0,0.0,-133.28,12.269020840994543,0.0,0.0,201.95508484099457
BMNR,0.0,346.33261000000005,0.0,0.0,0.0,-191.06,17.574952119518223,0.0,0.0,172.84756211951827
AVGO,0.0,228.55886199999986,34.45,0.0,-30.49,-92.35,28.14175099279561,0.0,0.0,168.31061299279554
CRM,0.0,199.52788099999998,22.44,0.0,0.0,-65.72,8.809295964710067,0.0,0.0,165.05717696471015
FIGR,264.31496168,-5.383417000000009,0.0,0.0,0.0,-108.79,10.88143651503932,0.0,0.0,161.02298119503928
IREN,0.0,256.374872,0.0,0.0,0.0,-119.93,23.9360509004233,0.0,0.0,160.38092290042326
HOOD,3705.18488328,-2861.5810619999997,0.0,0.0,-669.09,-33.39,18.528716712647828,0.0,0.0,159.65253799264747
COIN,1741.2357913199999,-1351.311417,0.0,0.0,-179.87,-72.78,20.90864491694136,0.0,0.0,158.1830192369414
KLAC,0.0,181.6453080000001,11.4,0.0,0.0,-51.04,13.323457164903163,0.0,0.0,155.32876516490342
APP,0.0,171.32259599999998,0.0,0.0,0.0,-25.22,8.938195032846266,0.0,0.0,155.0407910328463
XPEV,143.78664600000002,11.341833000000008,0.0,0.0,0.0,-8.280000000000001,1.7611780424699992,0.0,0.0,148.60965704247002
CMG,567.93314174,-404.41423499999996,0.0,0.0,0.0,-45.75,6.653858793099782,0.0,0.0,124.42276553309966
CEG,5.9e-07,199.77964200000002,14.93,0.0,0.0,-111.7,11.693390967526472,0.0,0.0,114.70303355752645
TER,-3.350405,237.8213770000002,3.12,0.0,0.0,-140.06,15.400812172235689,0.0,0.0,112.93178417223498
MSFT,1128.48841178,-658.425677,66.43,0.0,-285.06,-179.05,30.38035009491562,0.0,0.0,102.76308487491542
CSCO,146.5041246300001,0.0,49.05,0.0,-25.45,-70.69,0.0,0.0,0.0,99.41412463000006
NU,-12.65884,169.65991099999997,0.0,0.0,0.0,-65.75,7.682088141220746,0.0,0.0,98.93315914122059
LLY,214.68161264999998,-91.79012699999998,8.65,0.0,-2.23,-36.03,1.5425941621852928,0.0,0.0,94.82407981218535
OKLO,0.0,185.76317900000004,0.0,0.0,0.0,-101.97,10.051241083810101,0.0,0.0,93.84442008381006
BBAI,0.0,142.98711200000002,0.0,0.0,0.0,-60.75,10.996231535266308,0.0,0.0,93.23334353526633
CIFR,0.0,178.31536000000006,0.0,0.0,0.0,-97.13,8.965960573273275,0.0,0.0,90.15132057327332
SPOT,82.02639431,12.987485999999997,0.0,0.0,0.0,-16.57,2.1213026818545564,0.0,0.0,80.56518299185456
XBI,96.87486328000003,0.0,0.0,0.0,0.0,-17.64,0.0,0.0,0.0,79.23486328000001
CRWD,583.27702275,-469.56154,0.0,0.0,0.0,-39.45,2.488392758269313,0.0,0.0,76.7538755082694
FXI,0.0,84.48864400000002,0.0,0.0,-5.57,-8.52,6.202221395384761,0.0,0.0,76.6008653953848
ISRG,98.83789711999998,0.0,0.0,0.0,0.0,-22.73,0.0,0.0,0.0,76.10789711999996
RDW,0.0,147.82721500000002,0.0,0.0,0.0,-80.94,4.440466106752039,0.0,0.0,71.32768110675204
LRCX,0.0,78.42253599999998,0.0,0.0,0.0,-12.31,2.572786147259517,0.0,0.0,68.68532214725951
UBER,-60.21031285,128.44169399999998,0.0,0.0,0.0,-8.61,8.663079511692153,0.0,0.0,68.28446066169215
DUOL,0.0,60.196687,0.0,0.0,0.0,-1.95,7.584841404340559,0.0,0.0,65.83152840434047
DIA,65.076929,0.0,0.0,0.0,0.0,-0.105,0.0,0.0,0.0,64.971929
SATS,0.0,103.88385200000002,0.0,0.0,0.0,-44.93,3.9938699921914718,0.0,0.0,62.947721992191475
GEV,-34.533062109999996,120.44592999999986,5.0,0.0,0.0,-42.52,13.550372631469848,0.0,0.0,61.94324052146976
BA,16.50198074,146.43613700000014,0.0,0.0,-16.68,-110.53999999999999,19.081622328843345,0.0,0.0,54.79974006884356
QCOM,-11.54169324,66.77369999999999,52.51,0.0,-31.66,-33.55,9.70543214926109,0.0,0.0,52.23743890926109
AAPL,-615.52018524,918.461768,21.84,0.0,-139.07999999999998,-149.12,15.45028216838111,0.0,0.0,52.031864928380855
OKTA,0.0,67.36419599999999,0.0,0.0,0.0,-23.98,2.5754414796080463,0.0,0.0,45.95963747960805
NOW,0.0,60.26499000000001,0.0,0.0,0.0,-16.05,1.4061716523949255,0.0,0.0,45.62116165239502
GOOGL,455.33948351000004,-198.83903599999985,11.34,0.0,-145.61,-103.03999999999999,22.02813688338894,0.0,0.0,41.21858439338939
CNC,73.47769074999997,-31.024257999999918,0.0,0.0,0.0,-12.25,8.673566150314967,0.0,0.0,38.876998900315016
KWEB,0.0,70.98852599999987,0.0,0.0,-29.95,-9.98,7.247556471461104,0.0,0.0,38.306082471460854
UUUU,0.0,56.715116,0.0,0.0,0.0,-28.42,9.30849844623352,0.0,0.0,37.60361444623352
DNN,0.0,46.821721,0.0,0.0,0.0,-15.870000000000001,2.595394955299528,0.0,0.0,33.54711595529952
XOM,243.60277527000005,0.0,38.11,0.0,-178.78,-69.99,0.0,0.0,0.0,32.942775270000084
PANW,3.337395,161.46669599999996,0.0,0.0,-19.03,-139.75,25.631499846497828,0.0,0.0,31.655590846497716
AMD,927.33672567,-662.3948459999992,0.0,0.0,-148.62,-148.36,62.61798971839474,0.0,0.0,30.57986938839531
FCX,0.0,33.601583999999995,0.0,0.0,0.0,-7.14,2.2582062301138595,0.0,0.0,28.71979023011386
COST,109.99453740999999,0.0,7.8,0.0,0.0,-89.69,0.0,0.0,0.0,28.104537409999992
AFRM,175.10152653,-127.19274400000006,0.0,0.0,0.0,-25.39,4.838015539019849,0.0,0.0,27.35679806901976
TTD,-0.5780269999999996,34.130994,0.0,0.0,0.0,-10.59,2.084551342827814,0.0,0.0,25.047518342827807
WDC,0.0,43.16335200000003,1.0,0.0,0.0,-25.52,4.044648412972399,0.0,0.0,22.688000412972542
USAR,0.0,111.84290099999998,0.0,0.0,0.0,-105.06,14.15028532684983,0.0,0.0,20.933186326849864
NET,0.0,21.952883,0.0,0.0,0.0,-4.95,0.7493617269091458,0.0,0.0,17.752244726909147
QS,0.0,19.928755000000002,0.0,0.0,0.0,-6.28,3.733397282031782,0.0,0.0,17.382152282031782
CELH,41.48727030000009,0.0,0.0,0.0,0.0,-24.38,0.0,0.0,0.0,17.107270300000092
NVO,0.0,12.656296999999995,0.0,0.0,0.0,-2.5,5.955333211587837,0.0,0.0,16.11163021158785
SOUN,0.0,14.764787000000002,0.0,0.0,0.0,-4.74,2.8064938770075845,0.0,0.0,12.831280877007586
RGTI,0.0,18.506078000000002,0.0,0.0,0.0,-15.61,7.9044241215631565,0.0,0.0,10.800502121563113
BULL,-1.027749750000007,36.805364999999995,0.0,0.0,0.0,-28.88,3.3608041255323933,0.0,0.0,10.258419375532412
U,-0.52029459,7.097892999999885,0.0,0.0,0.0,-10.11,12.451276696105172,0.0,0.0,8.918875106105133
NIO,0.0,14.082268999999997,0.0,0.0,0.0,-7.99,2.5998397507525013,0.0,0.0,8.69210875075251
ZETA,0.0,26.93665,0.0,0.0,0.0,-21.16,2.442597896026566,0.0,0.0,8.219247896026573
RKLB,0.0,7.237435000000005,0.0,0.0,0.0,-5.640000000000001,6.135741878977749,0.0,0.0,7.733176878977815
EWW,0.0,12.406527,0.0,0.0,-0.71,-6.94,1.8425505098752832,0.0,0.0,6.599077509875283
IWM,0.0,5.9095900000000015,0.0,0.0,0.0,-0.79,0.8196895510676496,0.0,0.0,5.939279551067649
ADBE,0.0,16.03779000000003,0.0,0.0,0.0,-13.76,1.7870771536375358,0.0,0.0,4.064867153637579
DJT,0.0,10.791920000000001,0.0,0.0,0.0,-7.61,0.8459734930103353,0.0,0.0,4.027893493010335
ANET,0.0,2.3990579999999966,0.0,0.0,0.0,-1.3,2.8225990449475757,0.0,0.0,3.9216570449475796
SMCI,0.0,45.20430699999997,0.0,0.0,0.0,-45.41,3.906763546236466,0.0,0.0,3.7010705462364513
SHOP,0.0,25.820462000000006,0.0,0.0,-5.16,-19.2,2.2081205047282,0.0,0.0,3.6685825047282066
FIG,0.0,11.229031999999734,0.0,0.0,0.0,-12.23,4.297886304559285,0.0,0.0,3.296918304558858
RIOT,0.0,4.123385999999996,0.0,0.0,0.0,-7.48,4.873843284186233,0.0,0.0,1.5172292841862287
LMND,0.0,0.5938850000000002,0.0,0.0,0.0,-1.45,0.7674872564186699,0.0,0.0,-0.08862774358132963
AVAV,0.0,0.03348399999998719,0.0,0.0,0.0,-2.98,2.649232780742892,0.0,0.0,-0.29728321925711043
BKNG,0.0,0.0,0.0,0.0,0.0,-0.64,0.0,0.0,0.0,-0.64
JOBY,0.0,5.778704999999999,0.0,0.0,0.0,-7.83,1.2439654806695668,0.0,0.0,-0.8073295193304375
ONDS,0.0,68.48199999999997,0.0,0.0,0.0,-84.28,14.97238007026216,0.0,0.0,-0.8256199297377407
GLW,3.445009620000004,0.0,0.0,0.0,0.0,-4.84,0.0,0.0,0.0,-1.3949903799999959
ORLY,5.603025000000002,0.0,0.0,0.0,0.0,-8.74,0.0,0.0,0.0,-3.1369749999999925
VST,0.0,-3.7797509999999974,0.0,0.0,0.0,-0.6,0.9197070695289089,0.0,0.0,-3.4600439304710875
COHR,0.0,3.5389490000000023,0.0,0.0,0.0,-8.36,1.020109418765317,0.0,0.0,-3.8009415812346674
GME,0.0,1.958131999999992,0.0,0.0,0.0,-7.32,0.9561505439355316,0.0,0.0,-4.40571745606448
GLXY,5.840784750000012,35.96548799999999,0.0,0.0,0.0,-58.06,8.926169071122859,0.0,0.0,-7.327558178876984
VALE,5.617185699999993,0.0,0.0,0.0,0.0,-13.52,0.0,0.0,0.0,-7.902814299999989
NOK,0.0,29.22107900000003,0.0,0.0,0.0,-40.49,3.3122769647860877,0.0,0.0,-7.9566440352139125
ARKK,0.0,-5.438173000000006,0.0,0.0,0.0,-7.99,2.6636254517334694,0.0,0.0,-10.764547548266535
KTOS,0.0,15.154667000000018,0.0,0.0,0.0,-27.8,1.356624690094475,0.0,0.0,-11.288708309905473
IBM,-11.156726250000002,0.0,0.0,0.0,0.0,-1.09,0.0,0.0,0.0,-12.246726250000005
LCID,0.0,-8.557821000000018,0.0,0.0,0.0,-4.23,0.49404574913645466,0.0,0.0,-12.293775250863547
LMT,20.5694393,0.0,0.0,0.0,-3.09,-30.45,0.0,0.0,0.0,-12.970560700000078
APH,0.0,0.5964899999999886,4.0,0.0,0.0,-20.740000000000002,2.683829067428799,0.0,0.0,-13.459680932571217
CLS,-52.838314,52.38590500000009,0.0,0.0,0.0,-20.53,6.8449849975775985,0.0,0.0,-14.137424002422222
SBUX,1.612426750000001,0.0,0.0,0.0,0.0,-17.45,0.0,0.0,0.0,-15.837573250000002
FUTU,-13.224047250000002,0.0,0.0,0.0,0.0,-5.57,0.0,0.0,0.0,-18.794047250000006
SOFI,-33.372794,53.391254999999994,0.0,0.0,-13.16,-40.26,14.51158370009859,0.0,0.0,-18.889955299901402
LAC,0.0,48.61798599999997,0.0,0.0,0.0,-76.25,8.524040152630773,0.0,0.0,-19.107973847369294
XLF,-18.775827,0.0,0.0,0.0,0.0,-0.36,0.0,0.0,0.0,-19.135827
CRCL,0.0,50.18360699999994,0.0,0.0,0.0,-96.21000000000001,26.01350211544961,0.0,0.0,-20.012890884550416
ASHR,16.22513067,0.0,-0.85,0.0,-16.99,-18.54,0.0,0.0,0.0,-20.154869329999997
MP,217.41717794,-217.19655799999998,0.0,0.0,0.0,-24.58,3.6696500641283287,0.0,0.0,-20.689729995871573
FLY,0.0,33.8788840000002,0.0,0.0,0.0,-63.83,8.771063027198998,0.0,0.0,-21.180052972800695
AAL,0.0,3.1984669999999937,0.0,0.0,0.0,-27.21,2.2571094624046846,0.0,0.0,-21.75442353759533
BIDU,6.817273749999991,0.0,0.0,0.0,0.0,-28.76,0.0,0.0,0.0,-21.942726250000007
NEM,-46.331164,30.696675999999997,0.0,0.0,0.0,-8.62,1.9340247851282315,0.0,0.0,-22.32046321487178
ORCL,0.0,-6.545758000000035,7.5,0.0,-6.92,-23.82,6.7635548055560415,0.0,0.0,-23.022203194443932
RTX,-5.8440272500000106,0.0,0.0,0.0,0.0,-19.05,0.0,0.0,0.0,-24.894027250000022
UPS,-14.262226249999998,0.0,0.0,0.0,0.0,-12.78,0.0,0.0,0.0,-27.04222625
PONY,0.0,24.630777999999964,0.0,0.0,0.0,-59.5,7.727017134219407,0.0,0.0,-27.142204865780627
XOP,0.0,-33.40000799999996,19.14,0.0,6.509999999999998,-31.72,11.003023798447689,0.0,0.0,-28.466984201552236
EWY,3.552713678800501e-15,-22.745464,0.0,0.0,-0.23,-7.890000000000001,2.1204175710717132,0.0,0.0,-28.745046428928305
ARM,177.34866151999998,-41.80600800000002,0.0,0.0,-140.34,-29.310000000000002,3.706112780073709,0.0,0.0,-30.40123369992648
HUT,0.0,27.249924000000192,0.0,0.0,0.0,-72.96,12.843977260606103,0.0,0.0,-32.86609873939369
TEM,-269.00750740999996,307.28839700000015,0.0,0.0,0.0,-79.63,8.126760101905568,0.0,0.0,-33.22235030809429
COPX,0.0,-17.329007000000047,0.0,0.0,0.0,-30.51,7.274764007264148,0.0,0.0,-40.5642429927359
ALB,-45.05769,0.0,5.67,0.0,0.0,-5.8100000000000005,0.0,0.0,0.0,-45.19769
UNH,-7.74490355,-53.78266800000006,64.09,0.0,0.0,-62.09,12.411696850881084,0.0,0.0,-47.115874699118876
CHNL,-46.44045225,0.0,2.31,0.0,-0.23,-4.97,0.0,0.0,0.0,-49.33045225
DELL,0.0,-39.54217999999992,0.0,0.0,0.0,-24.03,4.692587989090992,0.0,0.0,-58.87959201090894
SBET,-4.11732649,-40.75167799999997,0.0,0.0,0.0,-29.66,8.364700970180275,0.0,0.0,-66.16430351981967
PBR,-46.04692987999999,0.0,0.0,0.0,0.0,-22.55,0.0,0.0,0.0,-68.59692988
LUNR,-44.232270360000015,0.0,0.0,0.0,0.0,-30.24,0.0,0.0,0.0,-74.47227036000002
MRVL,140.06238721999944,0.6097649999999959,0.0,0.0,-9.19,-210.27,3.1827814089484048,0.0,0.0,-75.60506637105391
BABA,573.60430891,-474.4128470000003,0.0,0.0,-151.56,-31.17,7.35781048854133,0.0,0.0,-76.18072760145878
AI,117.26935872000001,18.110287,0.0,0.0,-191.9,-21.98,1.9764908611659382,0.0,0.0,-76.52386341883391
GRAB,0.0,-16.063424999999995,0.0,0.0,0.0,-65.88,4.573155758023459,0.0,0.0,-77.3702692419765
RDDT,806.4011985000001,-752.145303,0.0,0.0,-105.7,-35.82,7.963976684017484,0.0,0.0,-79.30012781598248
INTC,-33.50780248,-15.069561000000249,0.0,0.0,0.0,-59.72,26.97536739639611,0.0,0.0,-81.32199608360315
SPY,4.239159799999991,2.5033269999999987,-0.34,0.0,-64.38,-27.32,1.4044399139067547,0.0,0.0,-83.89307328609326
SNAP,25.944149769999996,-106.23751600000003,0.0,0.0,0.0,-8.05,2.9940026721989987,0.0,0.0,-85.34936355780107
XYZ,674.11389486,-609.132488,0.0,0.0,-145.49,-13.59,6.5003497968927935,0.0,0.0,-87.59824334310736
QBTS,0.0,-32.41935599999999,0.0,0.0,0.0,-78.03999999999999,21.380678345739284,0.0,0.0,-89.0786776542607
PYPL,900.2662167999999,-872.4335560000001,0.0,0.0,-91.03,-28.740000000000002,2.4314955281635138,0.0,0.0,-89.5058436718366
ETHA,1811.5574393,-1815.5470760000003,-0.81,0.0,-14.36,-102.85000000000001,32.1724300486301,0.0,0.0,-89.83720665137025
UPST,254.04005774999996,-303.82439600000004,0.0,0.0,0.0,-49.18,5.963876454796147,0.0,0.0,-93.00046179520393
ACHR,0.0,-82.85268599999998,0.0,0.0,0.0,-20.05,6.336161746675416,0.0,0.0,-96.56652425332456
AXON,79.130777,-169.916464,0.0,0.0,0.0,-6.18,0.0,0.0,0.0,-96.965687
GDXJ,-31.433606000000005,-55.63004000000001,0.0,0.0,-5.98,-6.38,1.9270401065592748,0.0,0.0,-97.49660589344074
OSCR,-57.69019476,2.8305819999999926,0.0,0.0,0.0,-50.85,6.257483094696177,0.0,0.0,-99.45212966530386
RBLX,751.0320812900001,-648.0293120000001,0.0,0.0,-167.32,-54.82,6.886335064367372,0.0,0.0,-112.25089564563268
XLE,-93.72269224999997,0.0,61.63,0.0,-25.87,-75.62,0.0,0.0,0.0,-133.58269224999998
ALAB,2.4e-07,-107.5086080000001,0.0,0.0,0.0,-53.07,23.617218603212244,0.0,0.0,-136.96138915678694
XLK,-138.532917,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,-138.632917
OPEN,-127.80801094,40.77262500000006,0.0,0.0,0.0,-83.72,32.010570224602375,0.0,0.0,-138.74481571539764
CVNA,22.69860089000008,-11.457457,0.0,0.0,-140.7,-23.330000000000002,0.0,0.0,0.0,-152.78885610999998
SNDK,-75.86916799000028,-81.08710100000008,0.0,0.0,0.0,-36.38,15.279475028831168,0.0,0.0,-178.05679396117011
NFLX,-1837.45741766,2239.6927889999997,0.0,0.0,-461.23,-158.8,27.244960595926834,0.0,0.0,-190.5496680640731
ASML,47.90076473000005,-192.477866,0.0,0.0,-9.29,-65.78999999999999,8.646397097589437,0.0,0.0,-211.01070417241056
DKNG,305.50381484999997,-447.855479,0.0,0.0,-73.49,-36.07,2.3883752398080533,0.0,0.0,-249.52328891019198
DASH,-301.85229642,0.0,0.0,0.0,0.0,-18.0,0.0,0.0,0.0,-319.85229642
BE,0.0,-311.8672200000001,0.0,0.0,0.0,-36.46,12.66726296865762,0.0,0.0,-335.6599570313424
ABNB,-334.84643425,0.0,0.0,0.0,0.0,-7.93,0.0,0.0,0.0,-342.77643425
CRDO,3.9e-07,-297.30720100000053,0.0,0.0,0.0,-67.9,16.898535066038594,0.0,0.0,-348.30866554396107
PAAS,-352.70952705,0.0,0.0,0.0,0.0,-6.31,0.0,0.0,0.0,-359.01952705
NBIS,-50.607662499999996,-280.74227699999983,0.0,0.0,0.0,-90.25999999999999,35.048174223625765,0.0,0.0,-386.561765276374
QUBT,0.0,-328.92116199999964,0.0,0.0,0.0,-148.97,22.56668831167139,0.0,0.0,-455.3244736883289
IBIT,53.86837259,1744.9092339999997,-0.33999999999999997,0.0,-2068.6800000000003,-253.46,56.36843413766663,0.0,0.0,-467.333959272334
QQQ,-399.36648267000004,-4.4471029999999985,0.0,0.0,-59.99,-18.78,3.013224969417698,0.0,0.0,-479.57036070058234
AMZN,-1.2408710900000983,-286.44922399999996,0.0,0.0,-222.44,-126.02,25.059545106932433,0.0,0.0,-611.0905499830676
CLSK,-618.37814002,35.746951999999965,0.0,0.0,0.0,-51.84,9.148197186845149,0.0,0.0,-625.3229908331549
EOSE,2113.88117067,-2941.7422070000002,0.0,0.0,0.0,-62.92,11.035407308176488,0.0,0.0,-879.7456290218233
AAOI,-754.2695313500008,0.0,0.0,0.0,0.0,-139.81,0.0,0.0,0.0,-894.0795313500003
NVTS,0.0,-2266.1077560000012,0.0,0.0,0.0,-238.15,67.69181031488722,0.0,0.0,-2436.565945685117
