ETF,Underlying,sleeve,strategy_tag,Delta,borrow_current,optimal_gross_target_usd,optimal_long_usd,optimal_short_usd,optimal_underlying_target_usd,optimal_etf_target_usd,optimal_binding_cap,binding_cap,liquidity_gap_usd,executable_pct_of_optimal,gross_target_usd,long_usd,short_usd
AAPU,AAPL,,ETF_LS,1.997139,0.0855369999999999,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,0.0,0.0,0.0
AMUU,AMD,core_leveraged,ETF_LS,1.987996,0.044346,3787.341792277279,2519.822762038524,-1267.519030238755,2519.822762038524,-1267.519030238755,haircut,haircut,0.0,1.0,3787.341792277279,2519.822762038524,-1267.519030238755
AMZU,AMZN,core_leveraged,ETF_LS,1.997401,0.042091,542.0318293315953,361.197890418652,-180.83393891294335,361.197890418652,-180.83393891294335,haircut,haircut,0.0,1.0,542.0318293315953,361.197890418652,-180.83393891294335
ASMU,ASML,core_leveraged,ETF_LS,1.996685,0.085461,1200.807002224314,800.0952149579466,-400.71178726636725,800.0952149579466,-400.71178726636725,haircut,haircut,0.0,1.0,1200.807002224314,800.0952149579466,-400.71178726636725
AVL,AVGO,core_leveraged,ETF_LS,1.996002,0.034636,2740.771378847943,1825.9617829771983,-914.8095958707448,1825.9617829771983,-914.8095958707448,haircut,haircut,0.0,1.0,2740.771378847943,1825.9617829771983,-914.8095958707448
BOEU,BA,core_leveraged,ETF_LS,1.993449,0.0572149999999999,763.2453221318599,508.2734411571515,-254.9718809747084,508.2734411571515,-254.9718809747084,haircut,haircut,0.0,1.0,763.2453221318599,508.2734411571515,-254.9718809747084
BABU,BABA,core_leveraged,ETF_LS,2.009317,0.160807,779.8834408337985,520.7271469525629,-259.15629388123574,520.7271469525629,-259.15629388123574,haircut,haircut,0.0,1.0,779.8834408337985,520.7271469525629,-259.15629388123574
CONX,COIN,core_leveraged,ETF_LS,2.003401,0.13934,7302.02049204919,4870.769889132966,-2431.2506029162237,4870.769889132966,-2431.2506029162237,haircut,haircut,0.0,1.0,7302.02049204919,4870.769889132966,-2431.2506029162237
CSCL,CSCO,,ETF_LS,1.998393,0.108557,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,0.0,0.0,0.0
GGLL,GOOGL,core_leveraged,ETF_LS,1.998034,0.0405619999999999,376.7671247632243,251.09572651916693,-125.67139824405737,251.09572651916693,-125.67139824405737,haircut,haircut,0.0,1.0,376.7671247632243,251.09572651916693,-125.67139824405737
HODU,HOOD,core_leveraged,ETF_LS,2.000857,0.080575,6293.974157643683,4196.581926809729,-2097.3922308339525,4196.581926809729,-2097.3922308339525,haircut,haircut,0.0,1.0,6293.974157643683,4196.581926809729,-2097.3922308339525
LINT,INTC,core_leveraged,ETF_LS,1.991073,0.173448,2321.8498288106985,1545.5899953627356,-776.2598334479628,1545.5899953627356,-776.2598334479628,haircut,haircut,0.0,1.0,2321.8498288106985,1545.5899953627356,-776.2598334479628
ELIL,LLY,,ETF_LS,1.987991,0.259737,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,0.0,0.0,0.0
METU,META,core_leveraged,ETF_LS,2.00124,0.039255,1352.4113149115196,901.7937985144572,-450.6175163970624,901.7937985144572,-450.6175163970624,haircut,haircut,0.0,1.0,1352.4113149115196,901.7937985144572,-450.6175163970624
MRVU,MRVL,,ETF_LS,1.992697,0.537545,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,0.0,0.0,0.0
MSFU,MSFT,core_leveraged,ETF_LS,2.002067,0.026151,719.848665504442,480.06432174914204,-239.78434375529994,480.06432174914204,-239.78434375529994,haircut,haircut,0.0,1.0,719.848665504442,480.06432174914204,-239.78434375529994
MUU,MU,core_leveraged,ETF_LS,1.988241,0.027527,5836.935093649786,3883.6337723541524,-1953.301321295634,3883.6337723541524,-1953.301321295634,haircut,haircut,0.0,1.0,5836.935093649786,3883.6337723541524,-1953.301321295634
NFXL,NFLX,core_leveraged,ETF_LS,2.00179,0.037205,664.9664265416479,443.44312659673244,-221.52329994491552,443.44312659673244,-221.52329994491552,haircut,haircut,0.0,1.0,664.9664265416479,443.44312659673244,-221.52329994491552
NVDU,NVDA,core_leveraged,ETF_LS,1.996703,0.037855,1089.0106867796467,725.607744686404,-363.4029420932427,725.607744686404,-363.4029420932427,haircut,haircut,0.0,1.0,1089.0106867796467,725.607744686404,-363.4029420932427
ORCU,ORCL,core_leveraged,ETF_LS,2.001371,0.035315,3252.2550545020185,2168.6652368813316,-1083.589817620687,2168.6652368813316,-1083.589817620687,haircut,haircut,0.0,1.0,3252.2550545020185,2168.6652368813316,-1083.589817620687
PALU,PANW,core_leveraged,ETF_LS,1.998759,0.114983,394.86941613508276,263.19180678565425,-131.67760934942845,263.19180678565425,-131.67760934942845,haircut,haircut,0.0,1.0,394.86941613508276,263.19180678565425,-131.67760934942845
PLTU,PLTR,core_leveraged,ETF_LS,1.999028,0.042945,3684.7006585002982,2456.0690290189136,-1228.6316294813848,2456.0690290189136,-1228.6316294813848,haircut,haircut,0.0,1.0,3684.7006585002982,2456.0690290189136,-1228.6316294813848
QCMU,QCOM,core_leveraged,ETF_LS,2.005128,0.069957,1628.7227626129038,1086.7416015399301,-541.9811610729739,1086.7416015399301,-541.9811610729739,haircut,haircut,0.0,1.0,1628.7227626129038,1086.7416015399301,-541.9811610729739
SHPU,SHOP,core_leveraged,ETF_LS,2.005272,0.071798,4280.603147835762,2856.2385153380174,-1424.3646324977444,2856.2385153380174,-1424.3646324977444,haircut,haircut,0.0,1.0,4280.603147835762,2856.2385153380174,-1424.3646324977444
SOFA,SOFI,core_leveraged,ETF_LS,2.001441,0.072395,5588.322785659381,3726.4428467702337,-1861.8799388891475,3726.4428467702337,-1861.8799388891475,haircut,haircut,0.0,1.0,5588.322785659381,3726.4428467702337,-1861.8799388891475
TSLL,TSLA,core_leveraged,ETF_LS,1.995967,0.042965,2465.8531245529475,1642.7956193958655,-823.0575051570821,1642.7956193958655,-823.0575051570821,haircut,haircut,0.0,1.0,2465.8531245529475,1642.7956193958655,-823.0575051570821
TSMX,TSM,,ETF_LS,1.995599,0.135397,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,0.0,0.0,0.0
XOMX,XOM,,ETF_LS,2.004607,0.075066,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,0.0,0.0,0.0
YINN,FXI,core_leveraged,ETF_LS,2.989207,0.019171,1468.7242387307756,1100.5497522399078,-368.17448649086793,1100.5497522399078,-368.17448649086793,haircut,haircut,0.0,1.0,1468.7242387307756,1100.5497522399078,-368.17448649086793
MEXX,EWW,core_leveraged,ETF_LS,2.986051,0.047352,1505.4756322915207,1127.7896387376197,-377.6859935539011,1127.7896387376197,-377.6859935539011,haircut,haircut,0.0,1.0,1505.4756322915207,1127.7896387376197,-377.6859935539011
KORU,EWY,core_leveraged,ETF_LS,2.982474,0.051554,9336.381947263519,6992.0146149812435,-2344.367332282274,6992.0146149812435,-2344.367332282274,haircut,haircut,0.0,1.0,9336.381947263519,6992.0146149812435,-2344.367332282274
LABU,XBI,core_leveraged,ETF_LS,2.992526,0.173098,61.46645084705245,46.0710718696701,-15.395378977382352,46.0710718696701,-15.395378977382352,haircut,haircut,-7.105427357601002e-15,1.0000000000000002,61.46645084705246,46.07107186967011,-15.395378977382354
SOXL,SOXX,core_leveraged,ETF_LS,2.989225,0.036523,4558.050852126569,3415.4602857567684,-1142.590566369801,3415.4602857567684,-1142.590566369801,haircut,haircut,0.0,1.0,4558.050852126569,3415.4602857567684,-1142.590566369801
CHAU,ASHR,,ETF_LS,1.986538,0.034767,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,0.0,0.0,0.0
CWEB,KWEB,core_leveraged,ETF_LS,1.997263,0.0068579999999999,881.6473588036873,587.4965422741777,-294.15081652950954,587.4965422741777,-294.15081652950954,haircut,haircut,0.0,1.0,881.6473588036873,587.4965422741777,-294.15081652950954
NUGT,GDX,core_leveraged,ETF_LS,1.992056,0.019645,2613.3226588273365,1739.9022887449128,-873.4203700824238,1739.9022887449128,-873.4203700824238,haircut,haircut,0.0,1.0,2613.3226588273365,1739.9022887449128,-873.4203700824238
JNUG,GDXJ,core_leveraged,ETF_LS,1.995913,0.03508,3081.847999659695,2053.1639224986775,-1028.6840771610173,2053.1639224986775,-1028.6840771610173,haircut,haircut,0.0,1.0,3081.847999659695,2053.1639224986775,-1028.6840771610173
GUSH,XOP,core_leveraged,ETF_LS,2.00578,0.043515,650.0736206944059,433.799102700938,-216.27451799346787,433.799102700938,-216.27451799346787,haircut,haircut,0.0,1.0,650.0736206944059,433.799102700938,-216.27451799346787
URAA,URA,core_leveraged,ETF_LS,1.948499,0.022132,3592.634308687802,2374.172200107198,-1218.4621085806039,2374.172200107198,-1218.4621085806039,haircut,haircut,0.0,1.0,3592.634308687802,2374.172200107198,-1218.4621085806039
TQQQ,QQQ,core_leveraged,ETF_LS,2.991618,0.009026,891.257469367038,667.975214059281,-223.28225530775688,667.975214059281,-223.28225530775688,haircut,haircut,0.0,1.0,891.257469367038,667.975214059281,-223.28225530775688
SPXL,SPY,core_leveraged,ETF_LS,2.991318,0.014433,448.89974173718196,336.4306922309331,-112.46904950624878,336.4306922309331,-112.46904950624878,haircut,haircut,0.0,1.0,448.89974173718196,336.4306922309331,-112.46904950624878
URTY,IWM,core_leveraged,ETF_LS,2.996137,0.0801019999999999,407.3013647149106,305.3775906513811,-101.9237740635295,305.3775906513811,-101.9237740635295,haircut,haircut,0.0,1.0,407.3013647149106,305.3775906513811,-101.9237740635295
MSTU,MSTR,core_leveraged,ETF_LS,1.993379,0.156846698229736,2858.052503572377,1903.2611111117574,-954.7913924606196,1903.2611111117574,-954.7913924606196,haircut,haircut,0.0,1.0,2858.052503572377,1903.2611111117574,-954.7913924606196
NVDX,NVDA,,ETF_LS,2.000919,0.0759799999999999,0.0,0.0,0.0,0.0,0.0,none,none,0.0,1.0,0.0,0.0,0.0
TSLT,TSLA,core_leveraged,ETF_LS,1.995593,0.097771,1321.6543350446316,880.4547678655683,-441.19956717906325,880.4547678655683,-441.19956717906325,haircut,haircut,0.0,1.0,1321.6543350446316,880.4547678655683,-441.19956717906325
BTCL,IBIT,core_leveraged,ETF_LS,1.999709,0.0217309999999999,2312.913676830564,1541.8676597567196,-771.046017073844,1541.8676597567196,-771.046017073844,haircut,haircut,0.0,1.0,2312.913676830564,1541.8676597567196,-771.046017073844
ETU,ETHA,core_leveraged,ETF_LS,1.997272,0.044496,10078.106100363137,6715.679833957172,-3362.426266405964,6715.679833957172,-3362.426266405964,haircut,haircut,0.0,1.0,10078.106100363137,6715.679833957172,-3362.426266405964
CCUP,CRCL,core_leveraged,ETF_LS,1.996493,0.242359,16123.001090868325,10742.377444870044,-5380.62364599828,10742.377444870044,-5380.62364599828,haircut,haircut,1.8189894035458565e-12,0.9999999999999999,16123.001090868323,10742.377444870044,-5380.62364599828
