intent_id,run_date,action,reason,blocked_by_kill_mode,rung_id,otm_pct,instrument,sec_type,right,exchange,currency,multiplier,target_expiry,target_dte_days,target_strike_underlying,target_strike_instrument,modeled_put_price,modeled_contracts,contracts_source,baseline_budget_usd,target_budget_usd,quantity_multiplier,conId,order_ref_prefix,held_contracts_rung,roll_sell_conids,strategy_version,config_hash
B5-PUTBUY-20260720-4a81ade271,2026-07-20,BUY,entry,False,otm10,0.1,XSP,OPT,P,SMART,USD,100.0,2027-01-12,126,6711.92,671.19,12.6145,2,modeled_planning_estimate,1473.31,2946.61,2,,B5P,0,,B5PROD-1,32c794b78aac
B5-PUTBUY-20260720-6c1afd749c,2026-07-20,BUY,entry,False,otm20,0.2,XSP,OPT,P,SMART,USD,100.0,2027-01-12,126,5966.15,596.62,4.3411,6,modeled_planning_estimate,1473.31,2946.61,2,,B5P,0,,B5PROD-1,32c794b78aac
B5-PUTBUY-20260720-c981e26fc6,2026-07-20,BUY,entry,False,otm30,0.3,XSP,OPT,P,SMART,USD,100.0,2027-01-12,126,5220.38,522.04,1.2739,22,modeled_planning_estimate,1473.31,2946.61,2,,B5P,0,,B5PROD-1,32c794b78aac
