run_date,symbol,action,target_short_usd,rho,gross_multiplier,intent_id
2026-07-20,UVIX,SHORT,11230.270692230424,1.2818888433667548,0.8167722518116094,B5-CARRY-20260720-4a1998fb11
2026-07-20,SVIX,SHORT,14395.95870835882,1.2818888433667548,0.8167722518116094,B5-CARRY-20260720-18ec96cf1c
