source_detail_date,ETF,Underlying,inverse_etf_short_usd,underlying_short_usd
2026-07-23,CONI,COIN,9673.07505696,9673.07505696
2026-07-23,CORD,CRWV,42399.71097179999,28758.72
2026-07-23,DAMD,AMD,15893.188007039998,1817.127238070237
2026-07-23,IREZ,IREN,448.547190142246,0.0
2026-07-23,LITZ,LITE,21533.84189264,19083.1
2026-07-23,MSTZ,MSTR,9445.84525696,9445.84525696
2026-07-23,MUZ,MU,4305.0,4305.0
2026-07-23,NBIZ,NBIS,22514.26590473218,22514.26590473218
2026-07-23,QBTZ,QBTS,75314.53268206,0.0
2026-07-23,RKLZ,RKLB,25950.12594517,13671.0
2026-07-23,SNDQ,SNDK,37133.948054160006,37133.948054160006
2026-07-23,SPCG,SPCX,559.84,2277.153960459687
2026-07-23,SSPC,SPCX,3158.5600000000004,2277.153960459687
2026-07-23,UVIX,SVIX,29729.681913888,31135.55
