date,expiry,strike,spot,vix,dte,observed_mid,bid,ask,model_price,error,abs_error,error_pct,buy_ask,sell_bid,buy_stressed,sell_stressed
2022-03-30,2022-09-16,3225.0,4602.4501953125,19.329999923706055,170,29.9,29.5,30.3,18.335416340105326,-11.564583659894673,11.564583659894673,-0.38677537324062455,30.3,29.5,30.700000000000003,29.1
2022-03-30,2022-09-16,3675.0,4602.4501953125,19.329999923706055,170,58.650000000000006,58.2,59.1,46.38535271456226,-12.264647285437746,12.264647285437746,-0.2091158957448891,59.1,58.2,59.55,57.75
2022-03-30,2022-09-16,4150.0,4602.4501953125,19.329999923706055,170,123.4,122.7,124.10000000000001,110.01648007469532,-13.383519925304682,13.383519925304682,-0.10845640133958413,124.10000000000001,122.7,124.80000000000001,122.0
2022-04-27,2022-10-21,2900.0,4183.9599609375,31.600000381469727,177,43.050000000000004,42.300000000000004,43.800000000000004,71.66959138353752,28.619591383537518,28.619591383537518,0.6647988706977356,43.800000000000004,42.300000000000004,44.550000000000004,41.550000000000004
2022-04-28,2022-10-21,2900.0,4287.5,29.989999771118164,176,40.05,39.2,40.9,56.29064954453173,16.240649544531735,16.240649544531735,0.40550935192338916,40.9,39.2,41.75,38.35000000000001
2022-04-29,2022-10-21,2900.0,4131.93017578125,33.400001525878906,175,47.650000000000006,46.800000000000004,48.5,84.7804717996031,37.1304717996031,37.1304717996031,0.7792334060777145,48.5,46.800000000000004,49.349999999999994,45.95
2022-05-02,2022-10-21,2900.0,4155.3798828125,32.34000015258789,172,45.35,44.6,46.1,74.78767467694672,29.43767467694672,29.43767467694672,0.6491218230859255,46.1,44.6,46.85,43.85
2022-05-02,2022-11-18,3300.0,4155.3798828125,32.34000015258789,200,90.65,89.9,91.4,158.67807936652264,68.02807936652263,68.02807936652263,0.7504476488309171,91.4,89.9,92.15,89.15
2022-05-03,2022-11-18,3300.0,4175.47998046875,29.25,199,81.65,81.0,82.3,127.0780928723002,45.4280928723002,45.4280928723002,0.5563759078052688,82.3,81.0,82.94999999999999,80.35
2022-05-04,2022-11-18,3300.0,4300.169921875,25.420000076293945,198,65.69999999999999,64.6,66.8,83.01274489754167,17.312744897541677,17.312744897541677,0.2635120988971336,66.8,64.6,67.9,63.49999999999999
2022-05-05,2022-11-18,3300.0,4146.8701171875,31.200000762939453,197,88.80000000000001,87.9,89.7,146.6686465275344,57.868646527534395,57.868646527534395,0.651673947382144,89.7,87.9,90.6,87.0
2022-05-06,2022-11-18,3300.0,4123.33984375,30.190000534057617,196,90.4,89.4,91.4,139.34419553791247,48.944195537912464,48.944195537912464,0.5414180922335449,91.4,89.4,92.4,88.4
2022-06-16,2022-12-16,3400.0,3666.77001953125,32.95000076293945,183,169.6,168.6,170.6,257.43631642226455,87.83631642226456,87.83631642226456,0.517902809093541,170.6,168.6,171.6,167.6
2022-06-17,2022-12-16,3400.0,3674.840087890625,31.1299991607666,182,161.25,160.0,162.5,234.89365214652753,73.64365214652753,73.64365214652753,0.456704819513349,162.5,160.0,163.75,158.75
2022-06-21,2022-12-16,3400.0,3764.7900390625,30.190000534057617,178,136.05,135.1,137.0,202.9755697309124,66.9255697309124,66.9255697309124,0.49191892488726496,137.0,135.1,137.95,134.14999999999998
2022-06-30,2023-01-20,3075.0,3785.3798828125,28.709999084472656,204,82.4,81.2,83.60000000000001,128.7982744886432,46.39827448864318,46.39827448864318,0.5630858554446988,83.60000000000001,81.2,84.80000000000001,80.0
2022-07-01,2023-01-20,3075.0,3825.330078125,26.700000762939453,203,73.9,72.9,74.9,106.54131244320115,32.641312443201144,32.641312443201144,0.44169570288499516,74.9,72.9,75.9,71.9
2022-07-05,2023-01-20,3075.0,3831.389892578125,27.540000915527344,199,72.5,65.1,79.9,110.58562627869946,38.085626278699465,38.085626278699465,0.5253189831544753,79.9,65.1,87.30000000000001,57.69999999999999
2022-06-30,2023-01-20,3450.0,3785.3798828125,28.709999084472656,204,156.85000000000002,155.4,158.3,215.51807272706924,58.668072727069216,58.668072727069216,0.3740393543326057,158.3,155.4,159.75,153.95
2022-07-01,2023-01-20,3450.0,3825.330078125,26.700000762939453,203,142.15,141.1,143.20000000000002,184.58208680124994,42.43208680124994,42.43208680124994,0.29850219346640827,143.20000000000002,141.1,144.25000000000003,140.04999999999998
2022-07-05,2023-01-20,3450.0,3831.389892578125,27.540000915527344,199,139.6,132.6,146.6,190.23659423011236,50.636594230112365,50.636594230112365,0.36272631969994534,146.6,132.6,153.6,125.6
2022-08-01,2023-02-17,2900.0,4118.6298828125,22.84000015258789,200,33.4,32.8,34.0,38.70353504033858,5.303535040338581,5.303535040338581,0.15878847426163414,34.0,32.8,34.6,32.199999999999996
2022-08-02,2023-02-17,2900.0,4091.18994140625,23.93000030517578,199,36.1,35.6,36.6,45.020527963923826,8.920527963923824,8.920527963923824,0.24710603778182338,36.6,35.6,37.1,35.1
2022-08-03,2023-02-17,2900.0,4155.169921875,21.950000762939453,198,31.3,30.5,32.1,32.54466970672996,1.2446697067299617,1.2446697067299617,0.03976580532683584,32.1,30.5,32.900000000000006,29.7
2022-08-04,2023-02-17,2900.0,4151.93994140625,21.440000534057617,197,31.05,30.400000000000002,31.7,30.19563296739335,-0.8543670326066497,0.8543670326066497,-0.027515846460761665,31.7,30.400000000000002,32.349999999999994,29.750000000000004
2022-08-05,2023-02-17,3375.0,4145.18994140625,21.149999618530273,196,70.15,69.4,70.9,71.42531771056974,1.2753177105697375,1.2753177105697375,0.018179867577615645,70.9,69.4,71.65,68.65
2022-08-08,2023-02-17,3375.0,4140.06005859375,21.290000915527344,193,69.25,68.5,70.0,71.64183205696713,2.3918320569671323,2.3918320569671323,0.034539091075337654,70.0,68.5,70.75,67.75
2022-08-09,2023-02-17,3375.0,4122.47021484375,21.770000457763672,192,71.2,70.5,71.9,76.50800073324763,5.308000733247624,5.308000733247624,0.0745505720961745,71.9,70.5,72.60000000000001,69.8
2022-08-10,2023-02-17,3375.0,4210.240234375,19.739999771118164,191,60.1,59.4,60.800000000000004,54.09078299654459,-6.0092170034554115,6.0092170034554115,-0.09998697177130468,60.800000000000004,59.4,61.50000000000001,58.699999999999996
2022-09-19,2023-03-17,3380.0,3899.889892578125,25.760000228881836,179,89.8,89.3,90.3,131.26594048205493,41.46594048205493,41.46594048205493,0.46175880269548925,90.3,89.3,90.8,88.8
2022-09-20,2023-03-17,3380.0,3855.929931640625,27.15999984741211,178,99.2,98.2,100.2,150.82979119950312,51.62979119950312,51.62979119950312,0.5204616048337007,100.2,98.2,101.2,97.2
2022-09-21,2023-03-17,3380.0,3789.929931640625,27.989999771118164,177,115.75,115.2,116.3,169.57564825055238,53.825648250552376,53.825648250552376,0.4650163995728067,116.3,115.2,116.85,114.65
2022-09-22,2023-03-17,3380.0,3757.989990234375,27.350000381469727,176,114.6,114.2,115.0,168.19248630171535,53.592486301715354,53.592486301715354,0.4676482225280572,115.0,114.2,115.4,113.80000000000001
2022-10-03,2023-04-21,2900.0,3678.429931640625,30.100000381469727,200,67.75,67.3,68.2,118.03753029552377,50.287530295523766,50.287530295523766,0.7422513696756275,68.2,67.3,68.65,66.85
2022-10-04,2023-04-21,2900.0,3790.929931640625,29.06999969482422,199,56.45,56.0,56.9,98.2037365708145,41.753736570814496,41.753736570814496,0.7396587523616385,56.9,56.0,57.349999999999994,55.55
2022-10-05,2023-04-21,2900.0,3783.280029296875,28.549999237060547,198,57.7,57.300000000000004,58.1,94.52029213953836,36.82029213953835,36.82029213953835,0.6381333126436456,58.1,57.300000000000004,58.5,56.900000000000006
2022-10-06,2023-04-21,2900.0,3744.52001953125,30.520000457763672,197,63.150000000000006,62.800000000000004,63.5,112.49251071781669,49.34251071781668,49.34251071781668,0.781354088959884,63.5,62.800000000000004,63.849999999999994,62.45
2022-10-07,2023-04-21,2900.0,3639.659912109375,31.360000610351562,196,74.6,73.8,75.4,130.07631782092596,55.47631782092597,55.47631782092597,0.7436503729346645,75.4,73.8,76.20000000000002,73.0
2022-10-03,2023-04-21,3275.0,3678.429931640625,30.100000381469727,200,127.9,127.4,128.4,200.7306147088807,72.83061470888069,72.83061470888069,0.5694340477629452,128.4,127.4,128.9,126.9
2022-10-04,2023-04-21,3275.0,3790.929931640625,29.06999969482422,199,106.5,106.0,107.0,170.29310859746465,63.79310859746465,63.79310859746465,0.598996324858823,107.0,106.0,107.5,105.5
2022-10-05,2023-04-21,3275.0,3783.280029296875,28.549999237060547,198,108.25,107.8,108.7,165.56283463300235,57.31283463300235,57.31283463300235,0.5294488187806222,108.7,107.8,109.15,107.35
2022-10-06,2023-04-21,3275.0,3744.52001953125,30.520000457763672,197,117.85,117.4,118.3,191.3492741019404,73.49927410194041,73.49927410194041,0.623668002562074,118.3,117.4,118.75,116.95000000000002
2022-10-07,2023-04-21,3275.0,3639.659912109375,31.360000610351562,196,139.70000000000002,138.70000000000002,140.70000000000002,218.54945562819876,78.84945562819874,78.84945562819874,0.5644198684910432,140.70000000000002,138.70000000000002,141.70000000000002,137.70000000000002
2022-11-04,2023-05-19,2625.0,3770.550048828125,24.549999237060547,196,26.3,25.900000000000002,26.7,39.42640676667645,13.12640676667645,13.12640676667645,0.4991029188850361,26.7,25.900000000000002,27.099999999999998,25.500000000000004
2022-11-07,2023-05-19,2625.0,3806.800048828125,24.350000381469727,193,24.05,23.5,24.6,35.97525337715609,11.925253377156093,11.925253377156093,0.4958525312746816,24.6,23.5,25.150000000000002,22.95
2022-11-08,2023-05-19,2625.0,3828.110107421875,25.540000915527344,192,24.950000000000003,24.5,25.400000000000002,39.84988558281884,14.89988558281884,14.89988558281884,0.5971898029185907,25.400000000000002,24.5,25.85,24.049999999999997
2022-11-09,2023-05-19,2625.0,3748.570068359375,26.09000015258789,191,29.4,28.3,30.5,45.81295828246215,16.41295828246215,16.41295828246215,0.5582638871585766,30.5,28.3,31.6,27.200000000000003
2022-11-10,2023-05-19,3200.0,3956.3701171875,23.530000686645508,190,58.400000000000006,57.7,59.1,80.58273821826435,22.182738218264348,22.182738218264348,0.3798414078469922,59.1,57.7,59.8,57.0
2022-11-11,2023-05-19,3200.0,3992.929931640625,22.520000457763672,189,56.95,55.800000000000004,58.1,69.40049937419104,12.45049937419104,12.45049937419104,0.21862158690414468,58.1,55.800000000000004,59.25,54.650000000000006
2022-11-14,2023-05-19,3200.0,3957.25,23.729999542236328,186,58.75,58.300000000000004,59.2,80.04859211938549,21.29859211938549,21.29859211938549,0.36252922756400835,59.2,58.300000000000004,59.650000000000006,57.85000000000001
2022-11-15,2023-05-19,3200.0,3991.72998046875,24.540000915527344,185,59.25,58.800000000000004,59.7,82.44645358473281,23.196453584732808,23.196453584732808,0.3915013263246043,59.7,58.800000000000004,60.150000000000006,58.35000000000001
2022-12-23,2023-06-16,3400.0,3844.820068359375,20.8700008392334,175,87.7,86.7,88.7,95.72210525794253,8.022105257942528,8.022105257942528,0.09147212380778252,88.7,86.7,89.7,85.7
2022-12-27,2023-06-16,3400.0,3829.25,21.649999618530273,171,88.25,87.3,89.2,102.9374449359018,14.687444935901794,14.687444935901794,0.16642997094506282,89.2,87.3,90.15,86.35
2022-12-28,2023-06-16,3400.0,3783.219970703125,22.139999389648438,170,95.85,95.0,96.7,113.9435021035996,18.093502103599604,18.093502103599604,0.188768931701613,96.7,95.0,97.55000000000001,94.15
2023-01-09,2023-07-21,2800.0,3892.090087890625,21.969999313354492,193,23.65,23.3,24.0,34.869950688424694,11.219950688424696,11.219950688424696,0.4744165195951246,24.0,23.3,24.35,22.950000000000003
2023-01-10,2023-07-21,2800.0,3919.25,20.579999923706055,192,21.1,20.7,21.5,27.597045240805784,6.497045240805782,6.497045240805782,0.30791683605714604,21.5,20.7,21.9,20.299999999999997
2023-01-11,2023-07-21,2800.0,3969.610107421875,21.09000015258789,191,19.8,18.900000000000002,20.7,27.535514458819364,7.735514458819363,7.735514458819363,0.3906825484252203,20.7,18.900000000000002,21.599999999999998,18.000000000000004
2023-01-12,2023-07-21,2800.0,3983.169921875,18.829999923706055,190,18.3,18.0,18.6,18.82569026580032,0.5256902658003177,0.5256902658003177,0.028726244032804247,18.6,18.0,18.900000000000002,17.7
2023-01-13,2023-07-21,2800.0,3999.090087890625,18.350000381469727,189,17.5,16.7,18.3,16.737570192599634,-0.7624298074003661,0.7624298074003661,-0.043567417565735206,18.3,16.7,19.1,15.899999999999999
2023-01-09,2023-07-21,3200.0,3892.090087890625,21.969999313354492,193,52.400000000000006,52.0,52.800000000000004,76.03881825316012,23.63881825316011,23.63881825316011,0.4511224857473303,52.800000000000004,52.0,53.2,51.599999999999994
2023-01-10,2023-07-21,3200.0,3919.25,20.579999923706055,192,46.650000000000006,46.2,47.1,62.89931517386378,16.249315173863778,16.249315173863778,0.3483240123014743,47.1,46.2,47.55,45.75
2023-01-11,2023-07-21,3200.0,3969.610107421875,21.09000015258789,191,42.8,41.7,43.9,62.020775079988425,19.220775079988428,19.220775079988428,0.4490835299062717,43.9,41.7,45.0,40.60000000000001
2023-01-12,2023-07-21,3200.0,3983.169921875,18.829999923706055,190,39.0,38.6,39.4,45.779091171459584,6.779091171459584,6.779091171459584,0.17382285055024574,39.4,38.6,39.8,38.2
2023-01-13,2023-07-21,3200.0,3999.090087890625,18.350000381469727,189,36.800000000000004,35.800000000000004,37.800000000000004,41.55919608586407,4.759196085864069,4.759196085864069,0.1293259805941323,37.800000000000004,35.800000000000004,38.800000000000004,34.800000000000004
2023-01-09,2023-07-21,3600.0,3892.090087890625,21.969999313354492,193,121.85,121.3,122.4,151.11446384809187,29.26446384809188,29.26446384809188,0.24016794294699942,122.4,121.3,122.95000000000002,120.75
2023-01-10,2023-07-21,3600.0,3919.25,20.579999923706055,192,110.30000000000001,109.7,110.9,130.34627683801648,20.046276838016468,20.046276838016468,0.18174321702644122,110.9,109.7,111.5,109.1
2023-01-11,2023-07-21,3600.0,3969.610107421875,21.09000015258789,191,99.9,98.5,101.3,126.8808005002129,26.980800500212894,26.980800500212894,0.27007808308521414,101.3,98.5,102.69999999999999,97.1
2023-01-12,2023-07-21,3600.0,3983.169921875,18.829999923706055,190,91.35,90.8,91.9,100.86589197622743,9.515891976227437,9.515891976227437,0.10416958923073276,91.9,90.8,92.45000000000002,90.25
2023-01-13,2023-07-21,3600.0,3999.090087890625,18.350000381469727,189,85.6,84.4,86.8,93.39739287162979,7.797392871629796,7.797392871629796,0.09109103821997426,86.8,84.4,88.0,83.20000000000002
2023-02-10,2023-08-18,2900.0,4090.4599609375,20.530000686645508,189,21.85,21.5,22.2,26.475003535618953,4.625003535618951,4.625003535618951,0.2116706423624234,22.2,21.5,22.549999999999997,21.15
2023-02-13,2023-08-18,2900.0,4137.2900390625,20.34000015258789,186,19.15,19.0,19.3,23.474306293241852,4.324306293241854,4.324306293241854,0.2258123390726817,19.3,19.0,19.450000000000003,18.85
2023-02-14,2023-08-18,2900.0,4136.1298828125,18.90999984741211,185,17.9,17.6,18.2,18.4285920199558,0.5285920199558021,0.5285920199558021,0.02953028044445822,18.2,17.6,18.5,17.300000000000004
2023-02-15,2023-08-18,2900.0,4147.60009765625,18.229999542236328,184,16.5,16.3,16.7,15.88362451166023,-0.6163754883397701,0.6163754883397701,-0.037356090202410305,16.7,16.3,16.9,16.1
2023-02-16,2023-08-18,3200.0,4090.409912109375,20.170000076293945,183,32.85,32.2,33.5,44.708584981200204,11.858584981200202,11.858584981200202,0.36099193245662714,33.5,32.2,34.15,31.550000000000004
2023-02-17,2023-08-18,3200.0,4079.090087890625,20.020000457763672,182,32.6,32.2,33.0,44.16246604802325,11.562466048023246,11.562466048023246,0.35467687263874986,33.0,32.2,33.4,31.800000000000004
2023-02-21,2023-08-18,3200.0,3997.340087890625,22.8700008392334,178,39.7,39.4,40.0,66.4464196722252,26.7464196722252,26.7464196722252,0.6737133418696524,40.0,39.4,40.3,39.099999999999994
2023-04-17,2023-10-20,2900.0,4151.31982421875,16.950000762939453,186,17.75,17.5,18.0,12.642625229110564,-5.107374770889436,5.107374770889436,-0.2877394237120809,18.0,17.5,18.25,17.25
2023-04-18,2023-10-20,2900.0,4154.8701171875,16.829999923706055,185,18.150000000000002,17.900000000000002,18.400000000000002,12.11723052853523,-6.032769471464771,6.032769471464771,-0.33238399291816917,18.400000000000002,17.900000000000002,18.650000000000002,17.650000000000002
2023-04-19,2023-10-20,2900.0,4154.52001953125,16.459999084472656,184,18.950000000000003,18.8,19.1,11.07567127075481,-7.8743287292451924,7.8743287292451924,-0.4155318590630708,19.1,18.8,19.25,18.65
2023-04-20,2023-10-20,2900.0,4129.7900390625,17.170000076293945,183,20.25,20.1,20.400000000000002,13.158077654916951,-7.091922345083049,7.091922345083049,-0.35021838741150857,20.400000000000002,20.1,20.550000000000004,19.950000000000003
2023-04-21,2023-10-20,2900.0,4133.52001953125,16.770000457763672,182,20.150000000000002,19.400000000000002,20.900000000000002,11.908319168223642,-8.24168083177636,8.24168083177636,-0.4090164184504397,20.900000000000002,19.400000000000002,21.650000000000002,18.650000000000002
2023-04-17,2023-10-20,3300.0,4151.31982421875,16.950000762939453,186,34.6,34.300000000000004,34.9,32.49006587131993,-2.1099341286800737,2.1099341286800737,-0.06098075516416398,34.9,34.300000000000004,35.199999999999996,34.00000000000001
2023-04-18,2023-10-20,3300.0,4154.8701171875,16.829999923706055,185,34.85,34.6,35.1,31.415508555960287,-3.4344914440397147,3.4344914440397147,-0.09855068705996312,35.1,34.6,35.35,34.35
2023-04-19,2023-10-20,3300.0,4154.52001953125,16.459999084472656,184,36.0,35.800000000000004,36.2,29.276129794166934,-6.723870205833066,6.723870205833066,-0.18677417238425184,36.2,35.800000000000004,36.400000000000006,35.60000000000001
2023-04-20,2023-10-20,3300.0,4129.7900390625,17.170000076293945,183,38.7,38.2,39.2,33.9346293621756,-4.765370637824404,4.765370637824404,-0.12313619219184505,39.2,38.2,39.7,37.7
2023-04-21,2023-10-20,3300.0,4133.52001953125,16.770000457763672,182,38.7,38.2,39.2,31.344387711642355,-7.355612288357648,7.355612288357648,-0.1900675009911537,39.2,38.2,39.7,37.7
2023-03-31,2023-10-20,3675.0,4109.31005859375,18.700000762939453,203,89.65,87.9,91.4,101.06786628840825,11.417866288408248,11.417866288408248,0.12736047170561346,91.4,87.9,93.15,86.15
2023-04-03,2023-10-20,3675.0,4124.509765625,18.549999237060547,200,84.95,83.7,86.2,96.27004573260933,11.32004573260933,11.32004573260933,0.13325539414490087,86.2,83.7,87.45,82.45
2023-04-04,2023-10-20,3675.0,4100.60009765625,19.0,199,90.35000000000001,89.10000000000001,91.60000000000001,103.70426386539089,13.354263865390877,13.354263865390877,0.14780590885878114,91.60000000000001,89.10000000000001,92.85000000000001,87.85000000000001
2023-04-05,2023-10-20,3675.0,4090.3798828125,19.079999923706055,198,94.6,94.0,95.2,105.54309692816264,10.943096928162646,10.943096928162646,0.11567755738015482,95.2,94.0,95.80000000000001,93.4
2023-04-17,2023-10-20,3725.0,4151.31982421875,16.950000762939453,186,77.0,76.4,77.60000000000001,79.80730950818042,2.807309508180424,2.807309508180424,0.03645856504130421,77.60000000000001,76.4,78.20000000000002,75.80000000000001
2023-04-18,2023-10-20,3725.0,4154.8701171875,16.829999923706055,185,76.45,75.9,77.0,77.84091319933259,1.3909131993325872,1.3909131993325872,0.018193763235220237,77.0,75.9,77.55,75.35000000000001
2023-04-19,2023-10-20,3725.0,4154.52001953125,16.459999084472656,184,78.1,77.5,78.7,74.024350794557,-4.075649205443,4.075649205443,-0.05218500903256082,78.7,77.5,79.30000000000001,76.9
2023-04-20,2023-10-20,3725.0,4129.7900390625,17.170000076293945,183,83.9,83.2,84.60000000000001,83.54094678939236,-0.35905321060764095,0.35905321060764095,-0.00427953767112802,84.60000000000001,83.2,85.30000000000001,82.5
2023-04-21,2023-10-20,3725.0,4133.52001953125,16.770000457763672,182,83.7,83.10000000000001,84.3,78.81610347843946,-4.883896521560544,4.883896521560544,-0.05835001817874007,84.3,83.10000000000001,84.89999999999999,82.50000000000001
2023-05-18,2023-11-17,2900.0,4198.0498046875,16.049999237060547,183,18.15,17.8,18.5,9.325440883743283,-8.824559116256715,8.824559116256715,-0.48620160420147196,18.5,17.8,18.85,17.450000000000003
2023-05-19,2023-11-17,2900.0,4191.97998046875,16.809999465942383,182,19.8,19.3,20.3,10.965048593778647,-8.834951406221354,8.834951406221354,-0.44620966698087644,20.3,19.3,20.8,18.8
2023-05-22,2023-11-17,2900.0,4192.6298828125,17.209999084472656,179,19.4,19.2,19.6,11.441107857571254,-7.958892142428745,7.958892142428745,-0.4102521722901415,19.6,19.2,19.800000000000004,19.0
2023-05-23,2023-11-17,2900.0,4145.580078125,18.530000686645508,178,20.6,20.400000000000002,20.8,15.64999479820682,-4.950005201793182,4.950005201793182,-0.24029151465015447,20.8,20.400000000000002,21.0,20.200000000000003
2023-05-22,2023-11-17,3375.0,4192.6298828125,17.209999084472656,179,39.400000000000006,38.800000000000004,40.0,35.41618720138115,-3.9838127986188567,3.9838127986188567,-0.10111199996494559,40.0,38.800000000000004,40.599999999999994,38.2
2023-05-23,2023-11-17,3375.0,4145.580078125,18.530000686645508,178,42.75,42.1,43.4,45.82882815227276,3.078828152272763,3.078828152272763,0.0720193719829886,43.4,42.1,44.05,41.45
2023-05-24,2023-11-17,3375.0,4115.240234375,20.030000686645508,177,44.0,43.300000000000004,44.7,57.6353454577079,13.6353454577079,13.6353454577079,0.3098942149479068,44.7,43.300000000000004,45.400000000000006,42.60000000000001
2023-05-25,2023-11-17,3375.0,4151.27978515625,19.139999389648438,176,42.7,42.1,43.300000000000004,48.59890578827742,5.898905788277418,5.898905788277418,0.13814767654045473,43.300000000000004,42.1,43.900000000000006,41.5
2023-05-26,2023-11-17,3375.0,4205.4501953125,17.950000762939453,175,37.150000000000006,36.5,37.800000000000004,37.63069501609721,0.4806950160972008,0.4806950160972008,0.012939300567892347,37.800000000000004,36.5,38.45,35.849999999999994
2023-07-21,2024-01-19,3200.0,4536.33984375,13.600000381469727,182,13.950000000000001,13.700000000000001,14.200000000000001,6.363574594006025,-7.586425405993976,7.586425405993976,-0.5438297782074535,14.200000000000001,13.700000000000001,14.450000000000001,13.450000000000001
2023-07-24,2024-01-19,3200.0,4554.64013671875,13.90999984741211,179,12.95,12.8,13.1,6.428976241302379,-6.52102375869762,6.52102375869762,-0.5035539582005885,13.1,12.8,13.25,12.650000000000002
