date,combined_nav,put_mtm,cash_realized,uvix_exposure,svix_exposure,borrow,model_price,observed_mid,error
2022-03-30,1000000.0,27175.0,0.0,-100000.0,-100000.0,0.0,58.24574970978764,70.65,-12.404250290212367
2022-03-31,995479.2256721708,27175.0,0.0,-109837.1335504886,-94929.00607211339,25.45004406165163,,,
2022-04-01,999652.8195632311,27175.0,0.0,-101921.82410423452,-98782.9593939145,25.08868450606783,,,
2022-04-04,1004052.4667907975,27175.0,0.0,-92768.7296416938,-103651.11537015428,24.727482639557373,,,
2022-04-05,999079.1691127779,27175.0,0.0,-106775.24429967426,-94726.16812046655,25.077043539249757,,,
2022-04-06,996916.3677833895,27175.0,0.0,-111074.91856677523,-92697.76925969146,25.282302700824246,,,
2022-04-07,999208.032660511,27175.0,0.0,-106123.77850162865,-95469.91157523978,25.10603667105982,,,
2022-04-08,1000304.935623797,27175.0,0.0,-105342.01954397393,-95267.07362359294,24.9900032134426,,,
2022-04-11,994608.9722477735,27175.0,0.0,-116482.08469055373,-89925.62694414312,25.509962143545604,,,
2022-04-12,996582.1080995976,27175.0,0.0,-115635.17915309446,-88911.42428970446,25.27486313809773,,,
2022-04-13,1003520.3048806062,27175.0,0.0,-102801.30293159609,-94929.00607211339,24.657117118887555,,,
2022-04-14,1000365.9660137199,27175.0,0.0,-107752.44299674267,-93238.67476281784,24.982346807052664,,,
2022-04-18,1002476.274107035,27175.0,0.0,-105081.43322475569,-93914.80986577696,24.77443097589493,,,
2022-04-19,1008683.2104452145,27175.0,0.0,-94267.10097719869,-98647.73624218402,24.2073893466517,,,
2022-04-20,1010985.7355801291,27175.0,0.0,-100880.73461942784,-100880.73461942784,24.02128153234722,,,
2022-04-21,1006076.0882790237,27175.0,0.0,-116350.09145423835,-90421.52659959359,25.563371310739154,,,
2022-04-22,986043.8951246227,27175.0,0.0,-144942.74152805874,-81919.20859795014,27.61496189581642,,,
2022-04-25,994234.4766784372,27175.0,0.0,-137955.87088181495,-80839.54314248356,26.678884444792555,,,
2022-04-26,969742.182249154,27175.0,0.0,-168623.32094817155,-74698.97763868952,29.289511265835706,,,
2022-04-27,966545.8406604454,27175.0,0.0,-173388.7626271416,-73214.4497035643,29.6221518385893,71.66959138353752,43.050000000000004,28.619591383537518
2022-04-28,977836.3416736617,27175.0,0.0,-157772.77681759355,-77668.04637949073,28.47550821820629,56.29064954453173,40.05,16.240649544531735
2022-04-29,963538.176857962,27175.0,0.0,-178667.40571769307,-71122.6055254873,29.92900291316227,84.7804717996031,47.650000000000006,37.1304717996031
2022-05-02,963746.8936244973,27175.0,0.0,-177201.11597031765,-72472.17930072632,29.949588552746924,116.73287702173468,68.0,48.73287702173468
2022-05-03,983828.1670629492,27175.0,0.0,-153300.59308809854,-76453.42676413793,27.804249017530097,127.0780928723002,81.65,45.4280928723002
2022-05-04,1005753.0433945099,27175.0,0.0,-124268.05609006554,-83741.13158570396,25.53583356738805,83.01274489754167,65.69999999999999,17.312744897541677
2022-05-05,973017.8790003579,27175.0,0.0,-170822.75556923464,-69907.9859101345,28.877672100190203,146.6686465275344,88.80000000000001,57.868646527534395
2022-05-06,979046.232129428,27175.0,0.0,-165250.8545292081,-69570.59729278128,28.203269820194528,139.34419553791247,90.4,48.944195537912464
2022-05-09,957774.5370112007,27175.0,0.0,-191798.03040543981,-64307.24991643608,30.470339823868343,,,
2022-05-10,969506.5638222324,27175.0,0.0,-35433.43269675669,-62348.38178668905,29.197016297243163,,,
2022-05-11,969798.7960739951,27175.0,0.0,-34895.01914037886,-62731.275280475995,12.570610300870145,,,
2022-05-12,969717.5954767414,27175.0,0.0,-33643.57141474393,-64199.049902612205,12.631684364283219,,,
2022-05-13,970396.4480687886,27175.0,0.0,-51937.88247628681,-78076.00420148234,12.663660259323215,,,
2022-05-16,971365.4617317481,27175.0,0.0,-47803.523672204275,-81371.89421102867,16.592161910370223,,,
2022-05-17,971863.7739513628,27175.0,0.0,-45529.62632995888,-83276.1887000659,16.59811561771079,,,
2022-05-18,970707.246739974,27175.0,0.0,-49879.76272350975,-76441.74771401341,16.451949175743408,,,
2022-05-19,972454.543677869,27175.0,0.0,-43895.957633615486,-80814.31267447118,16.075007327773132,,,
2022-05-20,972673.3460826264,27175.0,0.0,-43962.199018374464,-80658.1461828989,16.060968748684232,,,
2022-05-23,973068.4678154676,27175.0,0.0,-52120.85998910919,-78287.38265402784,16.061293796190867,,,
2022-05-24,972622.9148784134,27175.0,0.0,-52988.63705448458,-77988.86097737764,16.710677651834786,,,
2022-05-25,973894.2613179262,27175.0,0.0,-50656.486191288226,-79182.94768397846,16.612271795502533,,,
2022-05-26,974181.4300558885,27175.0,0.0,-52774.03605098907,-78812.5819480395,16.616399465597695,,,
2022-05-27,974901.71301767,27175.0,0.0,-48878.74088046773,-82117.86838968778,16.816056643362895,,,
2022-05-31,975369.0612948542,27175.0,0.0,-47291.76877395904,-83366.53059990975,16.809146210306764,,,
2022-06-01,975802.3259910292,27175.0,0.0,-46253.02339515335,-84101.03324987354,16.793221103940347,,,
2022-06-02,976084.1769273189,27175.0,0.0,-69647.55359743105,-89105.62417507547,16.81014892050329,,,
2022-06-03,975780.3557862818,27175.0,0.0,-70908.95819039876,-88264.28611600123,20.145179130287964,,,
2022-06-06,976921.3005458012,27175.0,0.0,-68746.55031673984,-89411.56595057769,20.05945780746213,,,
2022-06-07,977964.6058778863,27175.0,0.0,-65457.888342216895,-91782.62018139027,20.015321227036516,,,
2022-06-08,978352.3064263395,27175.0,0.0,-64962.33653783672,-92012.0746894601,19.99106884682075,,,
2022-06-09,976475.0498753433,27175.0,0.0,-57589.16193552286,-82281.97899231693,20.100784369666215,,,
2022-06-10,976183.4406317917,27175.0,0.0,-63181.04777289394,-77103.3976506267,17.73741926677355,,,
2022-06-13,967866.2054390885,27175.0,0.0,-81844.87452879478,-66818.14770435546,18.424540325233757,,,
2022-06-14,970969.3663258236,27175.0,0.0,-77015.51857833796,-68688.19439627466,18.137782036410826,,,
2022-06-15,976055.6368024789,27175.0,0.0,-39966.603622102964,-67381.42766087667,17.67819311187851,,,
2022-06-16,975313.3985574692,27175.0,0.0,-44776.21619856477,-63441.38286401799,13.78198621198676,257.43631642226455,169.6,87.83631642226456
2022-06-17,976384.6419709031,27175.0,0.0,-42243.72108087028,-65044.11100789001,13.717271153454362,234.89365214652753,161.25,73.64365214652753
2022-06-21,976997.6900452168,27175.0,0.0,-38068.99195998708,-65377.154280893825,13.695319377480542,202.9755697309124,136.05,66.9255697309124
2022-06-22,977226.875511081,27175.0,0.0,-35408.36351506943,-67944.83298007882,13.346362016812328,,,
2022-06-23,977552.403263452,27175.0,0.0,-35088.287912673324,-68076.51203070508,13.32842200073567,,,
2022-06-24,977915.7949522487,27175.0,0.0,-52008.13474986166,-78266.6860515915,13.326931962360998,,,
2022-06-27,978903.8131498831,27175.0,0.0,-48620.985654251956,-80801.0370230286,16.605682449523208,,,
2022-06-28,978442.8344062364,27175.0,0.0,-51515.458517772975,-78490.30316417129,16.613700562307525,,,
2022-06-29,978347.4354846529,27175.0,0.0,-35631.42529523667,-62662.160163771376,16.63149219151739,,,
2022-06-30,978639.3850741313,27175.0,0.0,-36074.970008455384,-62065.375409476685,12.611895535511803,172.1581736078562,119.62500000000001,52.5331736078562
2022-07-01,979001.3723775748,27175.0,0.0,-34300.79115558053,-63617.0112175539,12.625606182807967,145.56169962222555,108.025,37.53669962222554
2022-07-05,979020.8862043056,26875.042424476644,0.0,-44988.98805513672,-72335.25228904505,12.638584617089005,150.4111102544059,106.05,44.361110254405915
2022-07-06,978900.701514724,26181.831479297107,0.0,-43467.220316494335,-73419.94106561567,15.008496079227392,,,
2022-07-07,978200.5139811435,25342.900376479927,0.0,-42443.48565595309,-74436.83517733683,15.033147513026414,,,
2022-07-08,978112.7705311124,24566.05006641113,0.0,-77888.32274331978,-92533.99212813722,14.998475725639276,,,
2022-07-11,977312.9876248116,25570.717454703325,0.0,-82191.838529274,-90131.5880096073,21.673866341923627,,,
2022-07-12,976231.3961076466,26411.963920069902,0.0,-84954.58940420758,-89386.01295551454,21.882559478713688,,,
2022-07-13,978432.8632287558,26181.027167824126,0.0,-81501.15081054061,-90545.79725081263,21.65306288739108,,,
2022-07-14,978101.6543277308,25942.71724371404,0.0,-81873.05958216629,-90380.11039417682,21.672161598458167,,,
2022-07-15,980360.2464051726,24283.40103641128,0.0,-73637.9367818835,-94853.55281834924,21.360062251596073,,,
2022-07-18,979852.3111892877,24923.06036663099,0.0,-77622.67362073001,-92119.78288693189,21.43269998811615,,,
