date,combined_nav,put_mtm,cash_realized,uvix_exposure,svix_exposure,borrow,model_price,observed_mid,error
2024-08-01,1211370.0674363251,33430.0,0.0,-41075.095016146,-72314.21317689394,15.297454784545481,,,
2024-08-02,1207383.8651580038,33430.0,0.0,-60679.11763748841,-56535.247018598224,14.623254017658846,,,
2024-08-05,1175776.203523841,33430.0,0.0,-111906.29579682958,-34539.2180121447,17.367657403378498,,,
2024-08-06,1219976.1140681873,33430.0,0.0,-26335.087680826353,-52670.1753616527,12.926559731316512,,,
2024-08-07,1222382.0490078854,33430.0,0.0,-23808.217472014672,-53153.38983987053,10.002285728764777,,,
2024-08-08,1222223.6897144914,33430.0,0.0,-33434.49600859942,-62943.14923202598,10.135816250770933,,,
2024-08-09,1223118.2655295664,33430.0,0.0,-24844.757978740352,-70874.25108927018,12.559236664261514,,,
2024-08-12,1223483.8538135253,33430.0,0.0,-49631.46081661684,-81671.24745019706,12.55005268340271,94.98111815747485,59.475,35.506118157474866
2024-08-13,1224485.6850389405,33430.0,0.0,-42654.51424814674,-87881.06556590462,16.908179284858164,64.06343152695575,45.80833333333334,18.255098193622427
2024-08-14,1224829.9950750633,33430.0,0.0,-36708.25296820063,-93664.7159364422,17.034444552743818,47.88384082774608,39.85,8.033840827746074
2024-08-15,1224094.5300389186,28895.0,0.0,-113126.04201034259,-113126.04201034259,17.20793812721119,36.12369562071522,33.916666666666664,2.2070289540485537
2024-08-16,1224768.6511590227,28895.0,0.0,-112597.41564580827,-113161.47221083702,28.271705119273808,,,
2024-08-19,1227462.9708261092,28895.0,0.0,-107839.77836499948,-115570.66502588031,28.067268976047746,,,
2024-08-20,1222620.6668772371,28895.0,0.0,-117090.73974434992,-110893.98668253189,28.46586645485474,,,
2024-08-21,1221039.2378917725,28895.0,0.0,-120262.49793155579,-109299.66820600118,28.603783444462003,,,
2024-08-22,1215634.694460378,28895.0,0.0,-129777.7724931734,-104870.994508494,29.066318445439947,,,
2024-08-23,1225446.6851099865,28895.0,0.0,-114976.23428621268,-110787.70283866838,28.21292992948505,,,
2024-08-26,1225931.7049231085,28895.0,0.0,-114976.23428621268,-110468.83779183828,28.169022718671542,,,
2024-08-27,1229165.8303550086,28895.0,0.0,-109689.97064086956,-112913.46756499578,27.909890836135116,,,
2024-08-28,1222580.1043938699,28895.0,0.0,-121848.37702515873,-106925.89883383253,28.455645226382924,,,
2024-08-29,1228189.3473427265,28895.0,0.0,-113390.35519260974,-110362.54719035499,27.975660614981884,,,
2024-08-30,1231577.0279501225,28895.0,0.0,-107575.46518273233,-113196.90241133145,27.71061795580476,,,
