option_execution,slippage_bps,borrow_multiple,monetization_delay,CAGR,Vol,Sharpe,MaxDD,Calmar,hard_gates_pass
hybrid_cached_theta_or_bs,5.0,1.0,not_supported,0.07583077165649743,0.06395018049887939,1.174051115641516,-0.05263298649648551,1.4407461309755036,True
hybrid_cached_theta_or_bs,5.0,1.5,not_supported,0.07287709618590843,0.06395141265839013,1.131068077124773,-0.05281572578508986,1.379837067513744,True
hybrid_cached_theta_or_bs,5.0,2.0,not_supported,0.06993066813512483,0.06395283803743307,1.088071482068775,-0.05299846507368133,1.3194847820196949,True
hybrid_cached_theta_or_bs,15.0,1.0,not_supported,0.07445712355163803,0.06396653875037261,1.1538073291352369,-0.052633608658846476,1.414630792926328,True
hybrid_cached_theta_or_bs,15.0,1.5,not_supported,0.0715067712171813,0.06396784956835266,1.1108280696844357,-0.052816350128092604,1.3538756662238083,True
hybrid_cached_theta_or_bs,15.0,2.0,not_supported,0.06856365609509063,0.06396935697957515,1.067835321253679,-0.05299909159808169,1.2936760617529584,True
hybrid_cached_theta_or_bs,30.0,1.0,not_supported,0.07239961722020438,0.06399330171901109,1.1234197277630782,-0.052634542391648775,1.3755152781890931,True
hybrid_cached_theta_or_bs,30.0,1.5,not_supported,0.06945424072284023,0.06399473460841718,1.0804476151656752,-0.05281728713365785,1.3149906875580604,True
hybrid_cached_theta_or_bs,30.0,2.0,not_supported,0.06651608612623616,0.06399636922841924,1.0374621230105012,-0.05300003187754354,1.2550197380998078,True
hybrid_cached_theta_or_bs,50.0,1.0,not_supported,0.06966179981115284,0.06403314145977916,1.082867906758634,-0.0526357882828693,1.3234683488881038,True
hybrid_cached_theta_or_bs,50.0,1.5,not_supported,0.06672304121177008,0.06403474482722914,1.0399080874171789,-0.05281853739192399,1.263250451572938,True
hybrid_cached_theta_or_bs,50.0,2.0,not_supported,0.06379148409659074,0.06403655692005732,0.9969350497101453,-0.053001286504372525,1.2035836920926068,True
