date,nav,cash,put_mtm,contracts
2022-03-30,1000000.0,-27175.0,27175.0,0.0
2022-03-31,1000000.0,-27175.0,27175.0,0.0
2022-04-01,1000000.0,-27175.0,27175.0,0.0
2022-04-04,1000000.0,-27175.0,27175.0,0.0
2022-04-05,1000000.0,-27175.0,27175.0,0.0
2022-04-06,1000000.0,-27175.0,27175.0,0.0
2022-04-07,1000000.0,-27175.0,27175.0,0.0
2022-04-08,1000000.0,-27175.0,27175.0,0.0
2022-04-11,1000000.0,-27175.0,27175.0,0.0
2022-04-12,1000000.0,-27175.0,27175.0,0.0
2022-04-13,1000000.0,-27175.0,27175.0,0.0
2022-04-14,1000000.0,-27175.0,27175.0,0.0
2022-04-18,1000000.0,-27175.0,27175.0,0.0
2022-04-19,1000000.0,-27175.0,27175.0,0.0
2022-04-20,1000000.0,-27175.0,27175.0,0.0
2022-04-21,1000000.0,-27175.0,27175.0,0.0
2022-04-22,1000000.0,-27175.0,27175.0,0.0
2022-04-25,1000000.0,-27175.0,27175.0,0.0
2022-04-26,1000000.0,-27175.0,27175.0,0.0
2022-04-27,1000000.0,-27175.0,27175.0,0.0
2022-04-28,1000000.0,-27175.0,27175.0,0.0
2022-04-29,1000000.0,-27175.0,27175.0,0.0
2022-05-02,1000000.0,-27175.0,27175.0,0.0
2022-05-03,1000000.0,-27175.0,27175.0,0.0
2022-05-04,1000000.0,-27175.0,27175.0,0.0
2022-05-05,1000000.0,-27175.0,27175.0,0.0
2022-05-06,1000000.0,-27175.0,27175.0,0.0
2022-05-09,1000000.0,-27175.0,27175.0,0.0
2022-05-10,1000000.0,-27175.0,27175.0,0.0
2022-05-11,1000000.0,-27175.0,27175.0,0.0
2022-05-12,1000000.0,-27175.0,27175.0,0.0
2022-05-13,1000000.0,-27175.0,27175.0,0.0
2022-05-16,1000000.0,-27175.0,27175.0,0.0
2022-05-17,1000000.0,-27175.0,27175.0,0.0
2022-05-18,1000000.0,-27175.0,27175.0,0.0
2022-05-19,1000000.0,-27175.0,27175.0,0.0
2022-05-20,1000000.0,-27175.0,27175.0,0.0
2022-05-23,1000000.0,-27175.0,27175.0,0.0
2022-05-24,1000000.0,-27175.0,27175.0,0.0
2022-05-25,1000000.0,-27175.0,27175.0,0.0
2022-05-26,1000000.0,-27175.0,27175.0,0.0
2022-05-27,1000000.0,-27175.0,27175.0,0.0
2022-05-31,1000000.0,-27175.0,27175.0,0.0
2022-06-01,1000000.0,-27175.0,27175.0,0.0
2022-06-02,1000000.0,-27175.0,27175.0,0.0
2022-06-03,1000000.0,-27175.0,27175.0,0.0
2022-06-06,1000000.0,-27175.0,27175.0,0.0
2022-06-07,1000000.0,-27175.0,27175.0,0.0
2022-06-08,1000000.0,-27175.0,27175.0,0.0
2022-06-09,1000000.0,-27175.0,27175.0,0.0
2022-06-10,1000000.0,-27175.0,27175.0,0.0
2022-06-13,1000000.0,-27175.0,27175.0,0.0
2022-06-14,1000000.0,-27175.0,27175.0,0.0
2022-06-15,1000000.0,-27175.0,27175.0,0.0
2022-06-16,1000000.0,-27175.0,27175.0,0.0
2022-06-17,1000000.0,-27175.0,27175.0,0.0
2022-06-21,1000000.0,-27175.0,27175.0,0.0
2022-06-22,1000000.0,-27175.0,27175.0,0.0
2022-06-23,1000000.0,-27175.0,27175.0,0.0
2022-06-24,1000000.0,-27175.0,27175.0,0.0
2022-06-27,1000000.0,-27175.0,27175.0,0.0
2022-06-28,1000000.0,-27175.0,27175.0,0.0
2022-06-29,1000000.0,-27175.0,27175.0,0.0
2022-06-30,1000000.0,-27175.0,27175.0,0.0
2022-07-01,1000000.0,-27175.0,27175.0,0.0
2022-07-05,999999.9999999999,-26875.042424476655,26875.042424476644,0.0
2022-07-06,999306.7890548204,-26875.042424476655,26181.831479297107,0.0
2022-07-07,998467.8579520033,-26875.042424476655,25342.900376479927,0.0
2022-07-08,997691.0076419344,-26875.042424476655,24566.05006641113,0.0
2022-07-11,998695.6750302266,-26875.042424476655,25570.717454703325,0.0
2022-07-12,999536.9214955932,-26875.042424476655,26411.963920069902,0.0
2022-07-13,999305.9847433474,-26875.042424476655,26181.027167824126,0.0
2022-07-14,999067.6748192373,-26875.042424476655,25942.71724371404,0.0
2022-07-15,997408.3586119346,-26875.042424476655,24283.40103641128,0.0
2022-07-18,998048.0179421543,-26875.042424476655,24923.06036663099,0.0
2022-07-19,997049.1456558667,-26875.042424476655,23924.18808034344,0.0
2022-07-20,996654.35264826,-26875.042424476655,23529.39507273669,0.0
2022-07-21,996196.9677029426,-26875.042424476655,23072.010127419224,0.0
2022-07-22,996259.0247447083,-26875.042424476655,23134.06716918503,0.0
2022-07-25,996307.0500937718,-26875.042424476655,23182.09251824845,0.0
2022-07-26,996931.0350611947,-26875.042424476655,23806.07748567134,0.0
2022-07-27,995996.1472014698,-26875.042424476655,22871.18962594641,0.0
2022-07-28,995583.5039618212,-26875.042424476655,22458.54638629793,0.0
2022-07-29,995219.4748702479,-26875.042424476655,22094.517294724563,0.0
2022-08-01,995531.4934421172,-26875.042424476655,22406.535866593964,0.0
2022-08-02,995836.0041726315,-26875.042424476655,22711.0465971082,0.0
2022-08-03,995216.0550029475,-26875.042424476655,22091.097427424203,0.0
2022-08-04,995106.5992522319,-26875.042424476655,21981.641676708583,0.0
2022-08-05,995046.6301830577,-26875.042424476655,21921.672607534485,0.0
2022-08-08,995054.7129835591,-26875.042424476655,21929.755408035824,0.0
2022-08-09,995139.7037382179,-26875.042424476655,22014.746162694642,0.0
2022-08-10,994731.2655426434,-26875.042424476655,21606.307967120043,0.0
2022-08-11,994768.586099584,-26875.042424476655,21643.628524060754,0.0
2022-08-12,994631.005762591,-26875.042424476655,21506.048187067787,0.0
2022-08-15,994642.3233194755,-26875.042424476655,21517.36574395224,0.0
2022-08-16,994604.7809946123,-26875.042424476655,21479.82341908893,0.0
2022-08-17,994630.3865313248,-26875.042424476655,21505.42895580158,0.0
2022-08-18,994586.9346306805,-26875.042424476655,21461.977055157175,0.0
2022-08-19,994700.7732236123,-26875.042424476655,21575.815648089047,0.0
2022-08-22,995225.6504556086,-26875.042424476655,22100.692880085273,0.0
2022-08-23,995268.7443312136,-26875.042424476655,22143.786755690355,0.0
2022-08-24,995009.7133714873,-26875.042424476655,21884.755795964014,0.0
2022-08-25,994784.2973264033,-26875.042424476655,21659.33975087999,0.0
2022-08-26,995617.5329014371,-26875.042424476655,22492.575325913793,0.0
2022-08-29,995802.414488777,-26875.042424476655,22677.456913253747,0.0
2022-08-30,995892.8098562604,-26875.042424476655,22767.852280737083,0.0
2022-08-31,995858.7608737863,-26875.042424476655,22733.803298262945,0.0
2022-09-01,995701.1789326537,-26875.042424476655,22576.221357130402,0.0
2022-09-02,995764.3393491422,-26875.042424476655,22639.38177361886,0.0
2022-09-06,996093.1689882857,-26875.042424476655,22968.211412762434,0.0
2022-09-07,995315.554733952,-26875.042424476655,22190.597158428754,0.0
2022-09-08,995057.7056125815,-26875.042424476655,21932.74803705817,0.0
2022-09-09,994833.0162751173,-26875.042424476655,21708.05869959401,0.0
2022-09-12,994880.9188480407,-26875.042424476655,21755.961272517394,0.0
2022-09-13,995834.2485827121,-26875.042424476655,22709.291007188796,0.0
2022-09-14,995500.452315304,-26875.042424476655,22375.4947397807,0.0
2022-09-15,995605.7336595815,-26875.042424476655,22480.776084058278,0.0
2022-09-16,995650.8628159682,-26875.042424476655,22525.905240444987,0.0
2022-09-19,995416.70280334,-26875.042424476655,22291.745227816755,0.0
2022-09-20,995804.8086907958,-26875.042424476655,22679.85111527245,0.0
2022-09-21,996218.4092398527,-26875.042424476655,23093.451664329416,0.0
2022-09-22,996117.4107309821,-26875.042424476655,22992.45315545875,0.0
2022-09-23,997203.0955239465,-26875.042424476655,24078.13794842321,0.0
2022-09-26,998315.3745099457,-26875.042424476655,25190.416934422443,0.0
2022-09-27,998413.0768558681,-26875.042424476655,25288.119280344792,0.0
2022-09-28,996872.2302830839,-26875.042424476655,23747.272707560616,0.0
2022-09-29,997921.3883534815,-26875.042424476655,24796.43077795821,0.0
2022-09-30,998173.2941936787,-26875.042424476655,25048.336618155325,0.0
2022-10-03,996826.5340842119,-26875.042424476655,23701.576508688588,0.0
2022-10-04,995910.9766296317,-26875.042424476655,22786.019054108423,0.0
2022-10-05,995758.3965792571,-26875.042424476655,22633.43900373377,0.0
2022-10-06,996342.3688508085,-26875.042424476655,23217.411275285234,0.0
2022-10-07,997117.0242461206,-28404.667724251838,25521.691970372507,0.0
2022-10-10,997639.1850166008,-28404.667724251838,26043.85274085262,0.0
2022-10-11,998207.9969787799,-28404.667724251838,26612.66470303179,0.0
2022-10-12,998197.8422096435,-28404.667724251838,26602.50993389527,0.0
2022-10-13,996961.1701636272,-28404.667724251838,25365.837887879155,0.0
2022-10-14,997417.8723134503,-28404.667724251838,25822.54003770219,0.0
2022-10-17,996615.9866868571,-28404.667724251838,25020.65441110893,0.0
2022-10-18,996088.2789739104,-28404.667724251838,24492.94669816226,0.0
2022-10-19,996233.7411357017,-28404.667724251838,24638.408859953466,0.0
2022-10-20,996069.5705075485,-28404.667724251838,24474.23823180036,0.0
2022-10-21,995583.4911965562,-28404.667724251838,23988.158920808066,0.0
2022-10-24,995425.0883854224,-28404.667724251838,23829.756109674217,0.0
2022-10-25,994848.8338309802,-28404.667724251838,23253.50155523207,0.0
2022-10-26,994632.1674710353,-28404.667724251838,23036.83519528708,0.0
2022-10-27,994686.3236603859,-28404.667724251838,23090.99138463776,0.0
2022-10-28,994128.6877437565,-28404.667724251838,22533.355468008358,0.0
2022-10-31,994183.0390939302,-28404.667724251838,22587.70681818201,0.0
2022-11-01,994177.8492745743,-28404.667724251838,22582.516998826144,0.0
2022-11-02,994373.2585284348,-28404.667724251838,22777.926252686684,0.0
