fold,picked,oos_pick_ew_mean,oos_v7_ew_mean,uplift
0,"(0.2, 0.1, 0.7)",0.25012144872321607,0.004448639737431775,0.24567280898578428
1,"(0.2, 0.15, 0.7)",0.39912951095513594,0.03974870199316191,0.359380808961974
2,"(0.2, 0.1, 0.8)",0.6024885396662286,0.08189545494445051,0.5205930847217781
3,"(0.2, 0.1, 0.7)",0.49396870755125655,0.12088228665716284,0.3730864208940937
4,"(0.2, 0.1, 0.7)",0.23287355622829373,0.031145622322285925,0.2017279339060078
5,"(0.2, 0.1, 0.8)",0.5378034210811644,0.0656780218285296,0.4721253992526348
6,"(0.2, 0.1, 0.7)",0.27044807883600436,-0.017242563373738654,0.287690642209743
7,"(0.2, 0.1, 0.7)",0.45975171001795906,0.03673841163406772,0.42301329838389135
8,"(0.2, 0.15, 0.8)",0.7421083391063543,0.11966846887104213,0.6224398702353122
9,"(0.2, 0.1, 0.7)",0.7010352450886578,0.0944043131349989,0.6066309319536589
10,"(0.2, 0.1, 0.8)",0.7027562359253968,0.07272396039285974,0.630032275532537
11,"(0.2, 0.1, 0.8)",0.5348785694006861,0.06262017717076727,0.47225839222991883
12,"(0.2, 0.1, 0.8)",0.6714210534490294,0.08305853959065058,0.5883625138583788
13,"(0.2, 0.1, 0.7)",0.5942270116642815,0.09334323549470662,0.5008837761695749
14,"(0.2, 0.1, 0.7)",0.35854094874669007,0.0371292296707942,0.3214117190758959
15,"(0.2, 0.1, 0.7)",0.3983316901200574,0.06989953460947804,0.32843215551057936
16,"(0.2, 0.15, 0.8)",0.7502986255426312,0.12144580807760455,0.6288528174650266
17,"(0.2, 0.1, 0.7)",0.3113820904873851,0.015702183397871758,0.2956799070895133
18,"(0.2, 0.1, 0.7)",0.6526564705181711,0.18218133662984215,0.47047513388832896
19,"(0.2, 0.1, 0.7)",0.5427958328514404,0.1180559033016146,0.4247399295498258
