pair,v8,v9,diff
DAMD/AMD,0.6611733363754142,0.23744070293337005,-0.42373263344204415
ASTN/ASTS,1.499457441345318,2.30881599418056,0.809358552835242
BEZ/BE,0.011453887151304576,-0.044730328699041255,-0.05618421585034583
BMNZ/BMNR,0.34532705947486053,0.31474913088919254,-0.03057792858566799
CLSZ/CLSK,1.505875285304398,1.3391384009604743,-0.16673688434392364
CONI/COIN,-0.6055386770188071,-0.6070432859985366,-0.0015046089797294826
CRCD/CRCL,0.22486189199603346,0.27001153271481027,0.04514964071877681
CORD/CRWV,0.616992005767506,0.6561322665237439,0.03914026075623789
DXD/DIA,0.0017786267881911844,-0.008200729049879452,-0.009979355838070636
SDOW/DIA,-0.0067234957959356745,-0.020649093535762164,-0.01392559773982649
HOOZ/HOOD,-0.8019050671584567,-0.8146388685552032,-0.012733801396746514
BTCZ/IBIT,-0.17587987394573334,-0.1666093877635031,0.009270486182230253
IONZ/IONQ,-0.47870168045006345,-0.28563319851899693,0.19306848193106652
IREZ/IREN,1.263625063329088,1.3237339732219024,0.06010890989281448
TWM/IWM,0.08074100021329822,0.10413622916700871,0.02339522895371049
TZA/IWM,0.11178751432360134,0.1395740550506699,0.027786540727068543
MSDD/MSTR,-0.18501977440995798,-0.023575923308995828,0.16144385110096215
MSTZ/MSTR,-0.1547836968003421,0.00021461376810560928,0.1549983105684477
SMST/MSTR,-0.4528266308075969,-0.3417706139117884,0.11105601689580846
NBIZ/NBIS,1.819220216150308,1.3138254005874974,-0.5053948155628105
NVD/NVDA,0.18510686411922928,0.1706592965728284,-0.014447567546400863
NVDS/NVDA,0.12644724234165494,0.11814487021760534,-0.008302372124049606
OKLS/OKLO,-0.009469470089226162,0.046946054101576706,0.05641552419080287
QBTZ/QBTS,0.7425346443151621,1.050609501237588,0.30807485692242587
QID/QQQ,0.13700125381030315,0.15508149363636958,0.018080239826066435
RGTZ/RGTI,0.09084931358281456,0.32991518505760586,0.2390658714747913
RKLZ/RKLB,0.4509263409080493,0.5847137037172603,0.133787362809211
SMCZ/SMCI,-0.9839388796420744,-0.9840765530834867,-0.00013767344141235593
HIBS/SPHB,0.14289715215012722,0.17757110697666612,0.0346739548265389
SPXS/SPY,0.05731320017714836,0.08789890953361712,0.03058570935646876
SPXU/SPY,0.07808272285378015,0.1096302002973637,0.03154747744358355
UVIX/SVIX,0.5165774875662983,0.5101900030048017,-0.006387484561496626
TBT/TLT,-0.07004214566269062,-0.06610022670251292,0.003941918960177704
TBX/TLT,-0.23662407649357464,-0.23874679178262703,-0.0021227152890523904
TMV/TLT,-0.17636753336558064,-0.17014129999913796,0.0062262333664426794
TSDD/TSLA,-0.21645036686836916,-0.1775722549492339,0.03887811191913526
STSM/TSM,-0.47797440468955354,-0.44015029790324345,0.0378241067863101
SCO/USO,0.2473602380006592,0.13788603565226287,-0.10947420234839633
DUG/XLE,0.08370814530205983,0.13859126393729948,0.05488311863523965
SKF/XLF,-0.13365519322770691,-0.13942631840588726,-0.005771125178180347
FNGD/XLK,-0.11523958555007163,-0.12230383458725846,-0.007064249037186832
REW/XLK,0.16349481718362524,0.16144069972934916,-0.002054117454276083
TECS/XLK,0.2432691034344141,0.23562223227976964,-0.007646871154644463
WEBS/XLK,-0.24358272672102876,-0.2497821626982072,-0.006199435977178425
DRIP/XOP,0.20687174304189582,0.24345784882509713,0.03658610578320132
