fold,picked,oos_pick_ew_mean,oos_v8_ew_mean,uplift
0,"('composite', 0.1)",0.06831030739984283,0.05253148711992483,0.015778820279917997
1,"('range', 0.6)",0.0921773193503556,0.11182791796790328,-0.019650598617547685
2,"('composite', 0.2)",0.1798137630827433,0.1664330656623366,0.013380697420406706
3,"('momentum', 0.05)",0.19149988531677703,0.18952250364646342,0.0019773816703136105
4,"('composite', 0.1)",0.08944950699883063,0.07482983845132489,0.014619668547505738
5,"('composite', 0.4)",0.130096962234541,0.1435878497760475,-0.013490887541506486
6,"('composite', 0.1)",0.05923159022043607,0.03526504256285705,0.023966547657579024
7,"('composite', 0.2)",0.13324673696585468,0.11290467377586207,0.020342063189992612
8,"('composite', 0.6)",0.1580592396289565,0.22016491379033284,-0.062105674161376356
9,"('composite', 0.3)",0.1940303565817308,0.19006938679465166,0.003960969787079133
10,"('range', 0.6)",0.19449272301360002,0.1761014483321544,0.018391274681445607
11,"('composite', 0.2)",0.1460021016530891,0.14322698913181703,0.0027751125212720773
12,"('range', 0.4)",0.20324456419221518,0.17949677750363613,0.023747786688579048
13,"('composite', -0.1)",0.13909272409540976,0.18004533318342,-0.04095260908801024
14,"('momentum', -0.2)",-0.001272537539824727,0.09951618840507544,-0.10078872594490017
15,"('composite', -0.1)",0.09585448877541457,0.13303655114021656,-0.037182062364801996
16,"('range', 0.6)",0.19627987352672627,0.22471705696008806,-0.028437183433361796
17,"('composite', 0.2)",0.07880933856103725,0.06633483301162366,0.012474505549413595
18,"('range', 0.2)",0.31276866402248954,0.26712062159406125,0.04564804242842829
19,"('range', 0.2)",0.2366774212846108,0.19784143833638748,0.038835982948223324
