signal,k_z,n_pairs,ew_mean_full,ew_median_full,winsor_mean_full,ew_mean_h1,ew_mean_h2,ew_median_h1,ew_median_h2,ew_mean_vol,ew_mean_dd,ret_over_vol,rank_winsor_mean_full,rank_ew_median_full,rank_ew_mean_h1,rank_ew_mean_h2,rank_ret_over_vol,composite_rank
composite,0.2,45.0,0.16366621189602432,0.1096302002973637,0.15651805745648922,-0.15858805180798485,0.6784347996172414,-0.05438349826136618,0.23502885854833666,0.39513424384630375,-0.24158609798967767,0.4142040697431578,6.0,3.0,12.0,1.0,5.0,5.4
composite,0.3,45.0,0.15860572924272318,0.11263739051969046,0.14724614889485985,-0.15584597955253013,0.6736439012420058,-0.05709263088034772,0.26590442891372357,0.39105056069416005,-0.2396754806728618,0.4055888040696825,9.0,2.0,10.0,3.0,6.0,6.0
range,0.4,45.0,0.16822515923657055,0.0935983362722792,0.17540297268572583,-0.13136366484932088,0.5037344631565017,-0.06031153452529581,0.25735280833881635,0.38944522122255215,-0.2304417444810188,0.43196103089537385,1.0,9.0,2.0,22.0,1.0,7.0
composite,0.4,45.0,0.15452901633892727,0.10527346256849635,0.14086161570044708,-0.1534427313513419,0.660450991545633,-0.05928719302867619,0.26002294376501833,0.3863712214840012,-0.237992723208466,0.39994960221261194,11.0,5.0,8.0,4.0,8.0,7.2
composite,0.6,45.0,0.14855228884203386,0.12153852551826061,0.13255106197610658,-0.14947345906010137,0.6463292229951038,-0.06224078825767326,0.24751643776220544,0.37815287907794304,-0.2350650486900522,0.39283659350750305,13.0,1.0,5.0,8.0,9.0,7.2
range,0.3,45.0,0.1685816549824704,0.09657988089720626,0.17103010386359754,-0.13657091883910608,0.521621002909628,-0.05923067891110406,0.2664957177616547,0.3938171384909203,-0.23338462173815885,0.42807089510746915,3.0,7.0,3.0,21.0,3.0,7.4
range,0.2,45.0,0.16673197588242789,0.09910162023461999,0.1649471508168826,-0.1454621967202879,0.5471785364988585,-0.05869940998005835,0.26951257432233766,0.40148669211052823,-0.23837557373931884,0.41528643205072163,4.0,6.0,4.0,19.0,4.0,7.4
range,0.6,45.0,0.1661875751588696,0.08939970347117354,0.1742326134678157,-0.12730074608570052,0.4798454229419302,-0.06255215691991889,0.24164851335267823,0.3857787556408692,-0.22728518084640284,0.4307846731549355,2.0,11.0,1.0,25.0,2.0,8.2
range,0.1,45.0,0.15874116623815532,0.10897754213091893,0.16401802963927817,-0.15666545193712575,0.5853089090104275,-0.06080959685493398,0.29406351004379805,0.40820068187407665,-0.243044484742104,0.3888802084047582,5.0,4.0,11.0,16.0,10.0,9.2
composite,0.1,45.0,0.16102729575354424,0.09359658563228224,0.15273146413608035,-0.163265571171986,0.6525398808156873,-0.05680488517318544,0.25930463947001936,0.3974972992597105,-0.24344764391311993,0.4051028674998236,8.0,10.0,17.0,6.0,7.0,9.6
range,0.05,45.0,0.1477901495267664,0.09515665798765638,0.15367552746184143,-0.16206745283180107,0.5961475630946577,-0.0627005187238534,0.3225528433024947,0.4038690498407214,-0.2430949842804471,0.36593581405916625,7.0,8.0,15.0,14.0,14.0,11.6
composite,0.05,45.0,0.14775406382589143,0.08709269638843509,0.1458418903508031,-0.1660035969750845,0.6265815335848945,-0.06065017779612031,0.3096895710653407,0.3964657102580392,-0.2432078858538931,0.37267803999928745,10.0,12.0,19.0,11.0,12.0,12.8
momentum,0.1,45.0,0.14299954881886054,0.0800618443802037,0.1266721153105813,-0.16752636621373798,0.6746468497333619,-0.0525877590055393,0.15229856215241822,0.38381307059137576,-0.2424496115330513,0.3725760266541421,15.0,16.0,21.0,2.0,13.0,13.4
momentum,0.05,45.0,0.14939681980331007,0.08034293996994091,0.1318490237312825,-0.16870022283594888,0.6556312613750794,-0.058572079426965906,0.21878005678607493,0.39038255464473715,-0.24341271626878194,0.3826933812123516,14.0,15.0,25.0,5.0,11.0,14.0
momentum,0.2,45.0,0.1295487412528682,0.07622993577895265,0.11254179388166449,-0.16251183062864913,0.646869182378805,-0.05005380176363561,0.13081923528285433,0.372527287517531,-0.23849348729550102,0.3477563807906868,18.0,19.0,16.0,7.0,15.0,15.0
baseline,0.0,45.0,0.1353335626291061,0.08074100021329822,0.13940442363200287,-0.16775152081675984,0.6032287513197615,-0.06479166322953839,0.2875873005553218,0.39662701654712956,-0.24298955594890587,0.3412111555265801,12.0,13.0,22.0,13.0,16.0,15.2
momentum,0.3,45.0,0.12470318151061116,0.06403133052186538,0.10733171119720984,-0.15869520055653233,0.6372786537902839,-0.050336513994053866,0.12841413186679262,0.3673162939962555,-0.23696454144111942,0.33949809346568877,20.0,21.0,13.0,9.0,17.0,16.0
momentum,0.4,45.0,0.1233529246575957,0.05873650423603238,0.10567217595972617,-0.15557847226566573,0.6293205074567747,-0.0531246811408031,0.12631902475323242,0.3634515494625491,-0.2350096221274183,0.3393930355779272,21.0,23.0,9.0,10.0,18.0,16.2
