ETF,Underlying,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,cagr_positive,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,include_for_algo,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_underlying_annual,vol_etf_annual,gross_decay_annual,net_decay_annual
AAPU,AAPL,1.970378,502,ols,0.04816,-0.01176,0.05992,250000,0.05992,False,False,False,,True,False,False,False,True,False,False,False,False,0.284338,0.561126,0.080015,0.020095000000000002
AMUU,AMD,2.007529,225,ols,0.019506,0.016894,0.0026119999999999997,55000,0.0026119999999999997,False,False,False,,True,False,False,False,True,False,False,False,False,0.558271,1.316177,0.116993,0.114381
AMZU,AMZN,1.97846,502,ols,0.045149999999999996,-0.00875,0.053899999999999997,750000,0.053899999999999997,False,False,False,,True,False,False,False,True,False,False,False,False,0.315282,0.624419,0.118026,0.06412600000000002
ASMU,ASML,2.050905,10,ols_short_history,0.043376,-0.0069759999999999996,0.050351999999999994,25000,0.050351999999999994,False,False,False,,True,False,False,False,True,False,False,False,False,0.43201,0.741261,0.242301,0.19194899999999998
AVL,AVGO,1.987517,344,ols,0.043884,-0.007483999999999999,0.051368,200000,0.051368,False,False,False,,True,False,False,False,True,False,False,False,False,0.538884,1.093768,0.112538,0.06117
BOEU,BA,1.990763,212,ols,0.044546999999999996,-0.008147,0.052694,25000,0.052694,False,False,False,,True,False,False,False,True,False,False,False,False,0.347775,0.571159,0.108722,0.056028
BABU,BABA,1.889736,9,ols_short_history,0.147621,-0.111221,0.258842,20000,0.258842,False,False,False,,False,True,False,False,False,False,True,False,False,0.439561,0.397575,0.187644,-0.07119800000000001
BRKU,BRK-B,1.949943,301,ols,0.061276000000000004,-0.024876,0.086152,100000,0.086152,False,False,False,,False,True,False,False,False,True,True,False,False,0.16745,0.351723,0.108478,0.022326
CONX,COIN,1.995566,66,ols,0.09625600000000001,-0.059856,0.156112,30000,0.156112,False,False,False,,False,True,False,False,False,False,True,False,False,0.79669,1.533575,0.177553,0.021440999999999988
CSCL,CSCO,2.026554,169,ols,0.043815,-0.007415000000000001,0.05123,35000,0.05123,False,False,False,,True,False,False,False,True,False,False,False,False,0.233035,0.533329,0.112341,0.061111
FRDU,F,1.978987,150,ols,0.002782,0.033618,0.0,25000,0.0,False,False,False,,True,False,False,False,True,False,False,False,False,0.34284,0.605544,0.062365,0.062365
GGLL,GOOGL,1.974614,502,ols,0.036392,8e-06,0.036384,900000,0.036384,False,False,False,,True,False,False,False,True,False,False,False,False,0.298266,0.589874,0.126053,0.089669
HODU,HOOD,2.006507,66,ols,0.109886,-0.073486,0.18337199999999998,15000,0.18337199999999998,False,False,False,,False,True,False,False,False,False,True,False,False,0.702131,1.484524,0.176454,-0.00691799999999998
LINT,INTC,1.98979,66,ols,0.291557,-0.25515699999999997,0.5467139999999999,60000,0.5467139999999999,False,False,False,,False,True,False,False,False,False,True,False,False,0.616173,1.480777,0.111224,-0.43548999999999993
ELIL,LLY,1.992627,230,ols,0.0862,-0.049800000000000004,0.136,10000,0.136,False,False,False,,False,True,False,False,False,False,True,False,False,0.370935,0.861524,0.107958,-0.02804200000000001
LMTL,LMT,1.977237,140,ols,0.087034,-0.050634,0.137668,10000,0.137668,False,False,False,,False,True,False,False,False,False,True,False,False,0.236881,0.469009,0.09619,-0.041478000000000015
METU,META,1.998549,431,ols,0.064642,-0.028242,0.09288400000000001,500000,0.09288400000000001,False,False,False,,False,True,False,False,False,True,True,False,False,0.353053,0.711036,0.114661,0.02177699999999999
MRVU,MRVL,1.850983,9,ols_short_history,0.037964000000000005,-0.001564,0.03952800000000001,400,0.03952800000000001,False,False,False,,True,False,False,False,True,False,False,True,False,0.627023,0.552552,-0.121604,-0.161132
MSFU,MSFT,1.973777,502,ols,0.039,-0.0026,0.0416,900000,0.0416,False,False,False,,True,False,False,False,True,False,False,False,False,0.240145,0.474937,0.110972,0.069372
MUU,MU,1.994629,344,ols,0.023889,0.012511000000000001,0.011378,100000,0.011378,False,False,False,,True,False,False,False,True,False,False,False,False,0.600679,1.252451,0.110699,0.099321
NFXL,NFLX,1.994318,349,ols,0.047874999999999994,-0.011474999999999999,0.05934999999999999,1000,0.05934999999999999,False,False,False,,True,False,False,False,True,False,False,False,False,0.315281,0.669919,0.110773,0.051423
NVDU,NVDA,1.968624,502,ols,0.050305,-0.013905,0.06421,200000,0.06421,False,False,False,,True,False,False,False,True,False,False,False,False,0.496518,0.979097,0.1347,0.07048999999999998
ORCU,ORCL,2.007408,66,ols,0.137623,-0.101223,0.238846,100000,0.238846,False,False,False,,False,True,False,False,False,False,True,False,False,0.511169,1.118301,0.111716,-0.12713000000000002
PALU,PANW,2.004079,230,ols,0.068537,-0.032137,0.100674,400000,0.100674,False,False,False,,False,True,False,False,False,True,True,False,False,0.341823,0.725726,0.11547,0.014796000000000004
PLTU,PLTR,1.990988,301,ols,0.051858,-0.015458000000000001,0.067316,300000,0.067316,False,False,False,,True,False,False,False,True,False,False,False,False,0.627311,1.306533,0.113444,0.046128
QCMU,QCOM,2.003595,169,ols,0.024355,0.012044999999999998,0.012310000000000003,30000,0.012310000000000003,False,False,False,,True,False,False,False,True,False,False,False,False,0.386534,0.669508,0.121611,0.109301
SHPU,SHOP,2.003573,140,ols,0.149028,-0.112628,0.261656,65000,0.261656,False,False,False,,False,True,False,False,False,False,True,False,False,0.56997,1.01282,0.11613,-0.145526
SOFA,SOFI,2.004489,10,ols_short_history,0.036699,-0.000299,0.036998,900,0.036998,False,False,False,,True,False,False,False,True,False,False,True,False,0.584199,0.916125,0.239654,0.202656
TSLL,TSLA,1.981855,502,ols,0.054093,-0.017693,0.071786,800000,0.071786,False,False,False,,True,False,False,False,True,False,False,False,False,0.628396,1.246472,0.088008,0.016222
TSMX,TSM,1.993584,349,ols,0.275321,-0.238921,0.514242,500000,0.514242,False,False,False,,False,True,False,False,False,False,True,False,False,0.406702,0.803021,0.119446,-0.394796
XOMX,XOM,1.963272,212,ols,0.048310000000000006,-0.01191,0.06022000000000001,25000,0.06022000000000001,False,False,False,,True,False,False,False,True,False,False,False,False,0.222974,0.427305,0.091317,0.031096999999999986
