underlying,sector,sector_source,sector_confidence,instrument_class,beta_to_spy,beta_source,net_notional_usd,gross_notional_usd
RIOT,crypto-equity,override,1.0,letf,3.827576298964994,computed,5272.5,5272.5
NVTS,semis,override,1.0,letf,4.257920064257825,computed,4823.164588,127238.435412
MSTR,crypto-equity,override,1.0,letf,3.0464572926156737,computed,3509.868170111995,57082.271829888
IONQ,quantum,override,1.0,letf,3.359187887182876,computed,3431.3560723599985,65868.64392764
CVNA,consumer,override,1.0,passive_low_delta,2.31905558736976,computed,3060.8,3060.8
HOOD,fintech,override,1.0,letf,3.050341544698058,computed,2657.220910879998,31521.01908912
GDX,metals,override,1.0,letf,1.7025260061014063,computed,2648.49772136,32543.942278640003
MARA,crypto-equity,override,1.0,letf,3.148174695598902,computed,2621.4159261765017,32744.144073823503
NBIS,software,override,1.0,letf,3.1657766037233936,computed,2587.708141980001,83308.73185802001
QUBT,quantum,override,1.0,letf,3.657343380536942,computed,2448.329096370002,49164.51090363
RCAT,drones,override,1.0,letf,3.4425252927923906,computed,2373.17582896,29587.40417104
FLY,evtol,override,1.0,letf,3.159727083891268,computed,2274.0795949999974,19695.920405
SOFI,fintech,override,1.0,letf,2.546608447289008,computed,2006.62117016,24314.23882984
IREN,crypto-equity,override,1.0,letf,3.374373396812159,computed,2006.211196379999,45114.90880362
ASTS,space,override,1.0,letf,3.228723229175,computed,1965.71638824,22278.66361176
MSFT,mega-cap-tech,override,1.0,letf,0.8003185269488805,computed,1916.6401396299989,61907.11986037
PLTR,software,override,1.0,letf,1.7903566787716079,computed,1845.7452666799963,63850.17473332
TER,semis,override,1.0,letf,3.0718000181193097,computed,1819.4185316400017,23741.66146836
RBLX,software,override,1.0,letf,1.696768280751925,computed,1764.8482690500014,10149.47173095
META,mega-cap-tech,override,1.0,letf,1.4465829767171845,computed,1690.3472066899994,36051.84279331
QBTS,quantum,override,1.0,letf,4.077310935356446,computed,1660.4238264300006,37270.57617357
IBIT,crypto,override,1.0,letf,1.802702866980832,computed,1589.2910141536004,81302.7889858464
ETHA,crypto,override,1.0,letf,2.96948281034266,computed,1568.0014204400031,69087.51857956
CRWV,software,override,1.0,letf,2.920453197830077,computed,1476.1616802100034,79688.65831979
MRNA,healthcare,override,1.0,letf,1.6404492750442818,computed,1461.8117855770006,13147.328214423
RDW,space,override,1.0,letf,3.749036999495683,computed,1454.9297308000005,10500.2702692
ONDS,drones,override,1.0,letf,3.4686835559571576,computed,1428.7311820800005,28457.98881792
XRPZ,crypto,override,1.0,letf,2.694504240973505,computed,1421.4459064799985,50755.15409352
CIFR,crypto-equity,override,1.0,letf,3.984591099129745,computed,1214.1147489449986,17359.485251055
BLSH,crypto-equity,override,1.0,letf,2.676300106053648,computed,1169.3921700899991,17704.20782991
BMNR,crypto-equity,override,1.0,letf,5.025233074402912,computed,1157.5555251399985,38270.20447486
EOSE,clean,override,1.0,letf,3.844981710659709,computed,1155.6544793184005,19497.2455206816
CRCL,software,override,1.0,letf,3.033920107686827,computed,1101.952978999998,59515.647021
COIN,crypto-equity,override,1.0,letf,3.114041313298173,computed,1063.493013837999,41776.506986162
CORZ,crypto-equity,override,1.0,letf,2.407325400671569,computed,1027.3322389999994,26282.367761
CRDO,semis,override,1.0,letf,3.1171170867973257,computed,998.5340582400022,36983.74594176
RKLB,space,override,1.0,letf,3.3248528972263798,computed,949.9507320000012,12447.749268
COPX,metals,override,1.0,letf,2.250203779408512,computed,937.1948412398996,15030.9051587601
HUT,crypto-equity,override,1.0,letf,4.566000476906745,computed,913.7076210480008,28338.692378952
HIMS,healthcare,override,1.0,letf,2.6063267784483917,computed,911.1210046839992,25512.118995316003
PONY,china,override,1.0,letf,3.2486305265124287,computed,865.2174092120003,14958.782590788
RGTI,quantum,override,1.0,letf,3.7861883491392807,computed,817.7447539200002,18117.25524608
SNOW,software,override,1.0,letf,1.27175792323306,computed,810.7424163800006,14699.25758362
NFLX,mega-cap-tech,override,1.0,letf,0.3217623315790996,computed,790.148676720004,58312.37132328
KEEL,industrials,override,1.0,letf,4.003667720688266,computed,747.6914395359981,29762.968560464004
CRML,metals,override,1.0,letf,3.6140463211839493,computed,740.9506016399973,62031.28939836
KLAC,semis,override,1.0,letf,2.627630424042466,computed,724.0990503936009,23443.5409496064
LEU,nuclear,override,1.0,letf,3.245878264789174,computed,674.3445479999991,22056.055452
SBET,crypto-equity,override,1.0,letf,3.552236004355174,computed,624.9480411999994,18256.1519588
FCX,metals,override,1.0,letf,2.1368187311172027,computed,548.9202431453,4653.679756854699
PLUG,clean,override,1.0,letf,2.640700478240554,computed,546.4596150511024,35498.4403849489
RKT,fintech,override,1.0,letf,2.0327659224857544,computed,532.3009032000009,14283.3790968
GRAB,consumer,override,1.0,letf,1.4804500668873135,computed,454.4334477499997,8815.98655225
UPST,fintech,override,1.0,letf,2.773280740847529,computed,406.8190290000002,12361.780971
FIG,software,override,1.0,letf,1.2418918468294895,computed,398.3187559256002,10770.7212440744
CLSK,crypto-equity,override,1.0,letf,3.317578998332596,computed,393.40812559999904,18835.1918744
NU,fintech,override,1.0,letf,1.3188592137241022,computed,373.57340295,15828.10659705
