ETF,Underlying,date,reason,on_model_cadence,on_operator_day,in_plan,prev_etf_usd,prev_underlying_usd,prev_gross,etf_usd,underlying_usd,gross,turnover_usd,txn_cost,book_h,model_h,h_gap,days_since_prev_trade,weekday
APLZ,APLD,2026-03-13,enter_operator,,True,True,0.0,0.0,0.0,-6120.031333278955,-5477.533001822029,11597.564335100984,11597.564335100984,24.120999175430292,0.8950171499999998,,,,4
APLZ,APLD,2026-04-20,exit_operator,,True,True,-3173.234626989721,-6384.718084278202,9557.952711267922,0.0,0.0,0.0,9557.952711267922,20.029900515715568,,,,38.0,0
CLSZ,CLSK,2026-03-20,enter_operator,,True,True,0.0,0.0,0.0,-18807.596667820493,-17530.921959931507,36338.518627752,36338.518627752,82.4344687695069,0.9321192000000001,,,,4
CLSZ,CLSK,2026-05-19,resize,,False,True,-6450.691943914822,-25065.48865392945,31516.18059784427,-8844.399158811284,-8451.55061515111,17295.949773962395,19007.6452536748,51.82938691074063,0.9555822236642502,,,60.0,1
CLSZ,CLSK,2026-06-11,resize,,False,True,-7154.931955516646,-8572.369267450651,15727.301222967297,-7084.862216336014,-6746.454717731234,13831.316934067248,1895.9842889000483,4.08073521270277,0.952235133405348,,,23.0,3
CLSZ,CLSK,2026-06-18,exit,,False,False,-7084.862513331668,-6604.756057594874,13689.618570926541,0.0,0.0,0.0,13689.618570926541,34.775988262407125,,,,7.0,3
MSTZ,MSTR,2026-04-13,enter_operator,,True,True,0.0,0.0,0.0,-15569.657298463864,-13888.21682941345,29457.874127877316,29457.874127877316,64.31009814646592,0.8920053000000001,,,,0
MSTZ,MSTR,2026-05-26,resize,,True,True,-8704.07020384247,-16776.873452239593,25480.94365608206,-8689.707407697299,-7852.9031916909025,16542.6105993882,8938.333056693862,18.05172245731204,0.9037016809950172,,,43.0,1
MSTZ,MSTR,2026-06-15,resize,,False,True,-12912.473577425397,-6087.191038853895,18999.664616279293,-11418.705794350097,-9299.336343577328,20718.042137927427,4705.913087798733,5.796499111938783,0.8143949507989409,,,20.0,0
MSTZ,MSTR,2026-07-08,resize,,False,True,-17005.972527181533,-6903.945373649437,23909.91790083097,-18092.116077895887,-14587.459610467704,32679.57568836359,8769.657787532622,16.52961358181461,0.8062881946844233,,,23.0,2
QBTZ,QBTS,2026-06-09,enter_operator,,True,True,0.0,0.0,0.0,-6742.6353627332055,-10096.88574833789,16839.521111071095,16839.521111071095,40.19200581897778,1.4974687500000001,,,,1
QBTZ,QBTS,2026-06-10,resize,,False,True,-6742.6353627332055,-10096.88574833789,16839.521111071095,-6900.106866795316,-7848.871926562208,14748.978793357524,2405.4853258377934,4.58517311893643,1.1375000529821555,,,1.0,2
QBTZ,QBTS,2026-06-30,resize,,False,True,-5554.442838036737,-8044.671716608858,13599.114554645595,-6664.680567611318,-7223.211285291013,13887.891852902332,1931.6981608924261,5.322294934957631,1.083804574279826,,,20.0,1
SMZ,SMR,2026-04-13,enter_operator,,True,True,0.0,0.0,0.0,-11739.71291424618,-10446.713260569664,22186.426174815846,22186.426174815846,48.89610478506805,0.8898610499999999,,,,0
SMZ,SMR,2026-06-02,exit_operator,,True,False,-3696.5456844313553,-14056.17313024408,17752.718814675434,0.0,0.0,0.0,17752.718814675434,41.03629966918171,,,,50.0,1
