,BOOK_NAV,core_leveraged,yieldboost,inverse_decay_bucket4,volatility_etp_bucket5
2026-02-27,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0
2026-03-02,1193976.2595150059,1193976.2595150059,1200000.0,1200000.0,1200000.0
2026-03-03,1193489.6466442305,1193489.6466442302,1200000.0,1200000.0,1200000.0
2026-03-04,1199284.4285335527,1199284.4285335527,1200000.0,1200000.0,1200000.0
2026-03-05,1197581.313411015,1197581.3134110149,1200000.0,1200000.0,1200000.0
2026-03-06,1192302.8296538827,1192340.0756476908,1200000.0,1199962.7540061916,1200000.0
2026-03-09,1200341.27350787,1199725.963612663,1200000.0,1200615.3098952067,1200000.0
2026-03-10,1199576.1813544135,1198894.3363723138,1200000.0,1200681.8449820997,1200000.0
2026-03-11,1201178.7984447663,1200259.813034765,1200000.0,1200918.9854100011,1200000.0
2026-03-12,1200578.4946247854,1199850.4585145838,1200000.0,1200728.0361102016,1200000.0
2026-03-13,1203391.0274166693,1202625.0716255407,1200000.0,1200765.9557911286,1200000.0
2026-03-16,1202558.1048420735,1201393.8991774428,1200000.0,1201164.2056646307,1200000.0
2026-03-17,1206228.134374364,1205181.0690695802,1200000.0,1201047.0653047839,1200000.0
2026-03-18,1208613.4764669817,1207634.5923774967,1200000.0,1200978.884089485,1200000.0
2026-03-19,1209030.6219687876,1208160.4409935765,1200000.0,1200870.180975211,1200000.0
2026-03-20,1209090.0782105187,1208358.3619503807,1200000.0,1200731.716260138,1200000.0
2026-03-23,1212668.4632943596,1211548.2006359827,1200000.0,1201120.262658377,1200000.0
2026-03-24,1209335.6575564537,1208326.3293270313,1200000.0,1201009.3282294222,1200000.0
2026-03-25,1211933.3123232517,1210612.9588207162,1200000.0,1201320.3535025355,1200000.0
2026-03-26,1212076.5989990777,1211121.0252407603,1200000.0,1200955.5737583174,1200000.0
2026-03-27,1206422.6210991645,1205943.2662282207,1200000.0,1200479.3548709436,1200000.0
2026-03-30,1206834.9730283383,1207337.6703701122,1200000.0,1199497.302658226,1200000.0
2026-03-31,1217471.2540515277,1216419.4795492021,1200000.0,1201051.7745023253,1200000.0
2026-04-01,1214911.7066906383,1213615.8098605003,1200000.0,1201295.896830138,1200000.0
2026-04-02,1218639.5528550597,1217238.144560228,1200000.0,1201401.4082948314,1200000.0
2026-04-06,1215932.0055618524,1214297.400799974,1200000.0,1201634.6047618783,1200000.0
2026-04-07,1216998.6278196753,1215516.0917324577,1200000.0,1201482.5360872173,1200000.0
2026-04-08,1225100.3022741787,1222479.4507471414,1200000.0,1202620.8515270373,1200000.0
2026-04-09,1219686.76279532,1217001.9903514124,1200000.0,1202684.7724439073,1200000.0
2026-04-10,1219097.3965804689,1216288.382481326,1200000.0,1202809.0140991425,1200000.0
2026-04-13,1217975.251175498,1214849.0782277875,1200000.0,1203126.1729477101,1200000.0
2026-04-14,1218519.0966971302,1214932.2597804386,1200000.0,1203586.8369166912,1200000.0
2026-04-15,1215440.785398531,1211490.4404110876,1200000.0,1203950.3449874432,1200000.0
2026-04-16,1215103.7821766997,1211089.726188135,1200000.0,1204014.0559885642,1200000.0
2026-04-17,1215262.3800328895,1211115.9205777934,1200000.0,1204146.4594550957,1200000.0
2026-04-20,1215721.829963266,1211661.3302640268,1199967.2582240652,1204093.2414751737,1200000.0
2026-04-21,1214580.404899162,1210486.6727242637,1199927.0559223827,1204166.676252515,1200000.0
2026-04-22,1233655.8684593027,1229483.29852575,1199943.1626502087,1204229.4072833438,1200000.0
2026-04-23,1232108.5412278757,1227912.2376534974,1199958.0736656736,1204238.2299087045,1200000.0
2026-04-24,1227567.443212191,1223448.411963864,1199919.6325696753,1204199.3986786513,1200000.0
2026-04-27,1232784.863194327,1228639.5990411765,1199893.256589296,1204252.0075638539,1200000.0
2026-04-28,1243034.4080507325,1238680.851375705,1200019.021366065,1204334.5353089618,1200000.0
2026-04-29,1226257.1792366968,1221903.6340224282,1200043.1443552366,1204310.4008590316,1200000.0
2026-04-30,1238345.1336952855,1234028.4519731693,1200028.72038398,1204287.9613381359,1200000.0
2026-05-01,1240455.938948589,1235769.3640055186,1200266.85482766,1204419.72011541,1200000.0
2026-05-04,1245811.9145202222,1241205.420918786,1200261.5958894202,1204344.8977120158,1200000.0
2026-05-05,1243961.052370687,1239378.4043279309,1200393.737726234,1204188.9103165218,1200000.0
2026-05-06,1238697.5565591094,1234358.5327777811,1200433.5414588677,1203905.48232246,1200000.0
2026-05-07,1249859.4321109008,1245380.2926354355,1200192.904193361,1204286.2352821038,1200000.0
2026-05-08,1242319.2508174223,1237747.0085557378,1200432.1220496802,1204140.1202120038,1200000.0
2026-05-11,1235371.049244994,1230930.4481075546,1200527.4902553174,1203913.1108821216,1200000.0
2026-05-12,1235422.6918989716,1230742.1136186859,1200320.2797442244,1204360.2985360608,1200000.0
2026-05-13,1232270.405038939,1227524.5193916336,1200367.379727736,1204378.5059195687,1200000.0
2026-05-14,1238883.131788944,1234052.2649092705,1200658.7641543576,1204172.1027253154,1200000.0
2026-05-15,1240867.244856486,1236058.640024333,1200258.2899109148,1204550.3149212378,1200000.0
2026-05-18,1237346.3556364335,1232787.053319494,1199972.1381462754,1204587.1641706636,1200000.0
2026-05-19,1241911.144055475,1237386.2923600776,1200057.7806962624,1204467.0709991346,1200000.0
2026-05-20,1236676.128950107,1231841.5939434802,1200476.9273119958,1204357.6076946305,1200000.0
2026-05-21,1242542.663173169,1235991.3752527074,1202151.0508620518,1204400.2370584093,1200000.0
2026-05-22,1241972.660151029,1235638.013981043,1202140.934472136,1204193.7116978497,1200000.0
2026-05-26,1241234.2640601117,1234747.2654882073,1202131.9153918838,1204355.08318002,1200000.0
2026-05-27,1181095.92525683,1173680.5980664294,1203946.0069224543,1203469.3202679458,1200000.0
2026-05-28,1166177.2725196015,1157707.4482838837,1204914.6324016557,1203555.1918340616,1200000.0
2026-05-29,1168244.2791366938,1159551.638009415,1204912.0668181668,1203780.5743091116,1200000.0
