sleeve,pnl_usd,pnl_deployed_usd,avg_net_cap,avg_gross_cap,avg_gross_deployed,avg_abs_net_deployed,roc,rog,roc_deployed,rog_deployed,rog_deployed_ann,deployed_day_frac,n_days,n_deployed_days
BOOK,76148.11446821014,76148.11446821014,-105484.10568709848,961610.9883450321,972063.2816966084,196082.60238406877,,0.07918806605908679,0.388347122806225,0.0783365814778063,0.21226686593986221,0.989247311827957,93,92
core_leveraged,2868.7944404702616,2868.794440470262,171179.1102413845,500224.0064729465,505661.223934609,173039.7527440083,0.016759021801345347,0.005735019517951532,0.01657881726584701,0.005673352641414419,0.015372955544477781,0.989247311827957,93,92
yieldboost,65612.16191886987,65612.16191886987,-228207.70645131532,428275.6301508093,686717.8207590564,365919.25344779866,,0.15320078309327514,0.17930776066209364,0.09554457440225761,0.25889497579966575,0.6236559139784946,93,58
inverse_decay_bucket4,7667.1581088703315,7667.1581088703315,-48455.50947716764,48455.50947716764,54293.52266718784,54293.52266718784,,0.1582308841986919,0.1412168106289401,0.1412168106289401,0.3826520029945473,0.8924731182795699,93,83
volatility_etp_bucket5,0.0,0.0,0.0,0.0,,,,,,,,0.0,93,0
