ETF,Underlying,first_plan_date,last_plan_date,plan_observations,latest_purgatory,latest_reduce_only,latest_keep_open,latest_hard_exit,latest_execution_policy,latest_model_gross_usd,latest_executable_gross_usd,has_ledger,first_ledger_date,last_ledger_date,in_price_panel,lifecycle_state,block_reason,run_end,latest_ledger_gross_usd
AAOZ,AAOI,2026-07-15,2026-07-20,6,True,True,False,False,reduce_only,0.0,0.0,False,,,True,purgatory_not_incumbent,purgatory_without_prior_fill,2026-07-17,
AMZO,AMZN,2026-06-14,2026-06-29,4,True,True,False,False,reduce_only,0.0,0.0,False,,,True,purgatory_not_incumbent,purgatory_without_prior_fill,2026-07-17,
APLZ,APLD,2026-02-27,2026-05-29,47,False,False,False,False,normal,9683.885689629333,9683.885689629333,True,2026-03-06,2026-04-20,True,closed,,2026-07-17,0.0
ASTN,ASTS,2026-04-20,2026-07-20,57,True,True,False,False,reduce_only,0.0,0.0,True,2026-05-18,2026-07-16,True,closed,,2026-07-17,0.0
BEZ,BE,2026-04-03,2026-06-26,42,True,True,False,False,reduce_only,0.0,0.0,True,2026-04-06,2026-06-02,True,closed,,2026-07-17,0.0
BMNZ,BMNR,2026-04-20,2026-06-16,35,True,True,False,False,reduce_only,0.0,0.0,False,,,True,purgatory_not_incumbent,purgatory_without_prior_fill,2026-07-17,
BTCZ,IBIT,2026-04-01,2026-07-05,13,True,True,False,False,reduce_only,0.0,0.0,False,,,True,purgatory_not_incumbent,purgatory_without_prior_fill,2026-07-17,
CLSZ,CLSK,2026-02-27,2026-06-23,79,True,True,False,False,reduce_only,0.0,0.0,True,2026-03-06,2026-07-17,True,open,,2026-07-17,9149.456405200059
CONI,COIN,2026-04-17,2026-07-20,53,False,False,False,False,normal,9543.462411975554,9543.462411975554,True,2026-04-20,2026-07-17,True,open,,2026-07-17,1737.766554749604
CORD,CRWV,2026-03-12,2026-07-20,76,False,False,False,False,normal,8693.900456148785,8693.900456148785,True,2026-03-13,2026-07-17,True,open,,2026-07-17,6026.888951507508
CRCD,CRCL,2026-04-17,2026-06-23,42,True,True,False,False,reduce_only,0.0,0.0,True,2026-04-20,2026-07-01,True,closed,,2026-07-17,0.0
DAMD,AMD,2026-06-18,2026-07-20,30,False,False,False,False,normal,14486.810486329228,14486.810486329228,True,2026-07-09,2026-07-17,True,open,,2026-07-17,2916.3635075330694
DRIP,XOP,2026-03-11,2026-07-20,60,True,True,False,False,reduce_only,0.0,0.0,False,,,True,purgatory_not_incumbent,purgatory_without_prior_fill,2026-07-17,
DUG,XLE,2026-03-04,2026-03-31,10,True,True,False,False,reduce_only,0.0,0.0,False,,,True,purgatory_not_incumbent,purgatory_without_prior_fill,2026-07-17,
ETHD,ETHA,2026-04-17,2026-04-21,4,False,False,False,False,normal,93096.12474107016,93096.12474107016,True,2026-04-20,2026-04-27,True,closed,,2026-07-17,0.0
EWV,EWJ,2026-05-05,2026-06-26,31,True,True,False,False,reduce_only,0.0,0.0,False,,,True,purgatory_not_incumbent,purgatory_without_prior_fill,2026-07-17,
FAZ,XLF,2026-03-12,2026-03-12,1,True,True,False,False,reduce_only,0.0,0.0,False,,,True,purgatory_not_incumbent,purgatory_without_prior_fill,2026-07-17,
FNGD,XLK,2026-06-12,2026-07-20,27,True,True,False,False,reduce_only,0.0,0.0,False,,,True,purgatory_not_incumbent,purgatory_without_prior_fill,2026-07-17,
HIBS,SPY,2026-04-07,2026-05-26,19,True,True,False,False,reduce_only,0.0,0.0,False,,,True,purgatory_not_incumbent,purgatory_without_prior_fill,2026-07-17,
IONZ,IONQ,2026-04-21,2026-06-11,3,True,True,False,False,reduce_only,0.0,0.0,False,,,True,purgatory_not_incumbent,purgatory_without_prior_fill,2026-07-17,
IREZ,IREN,2026-04-17,2026-07-20,43,True,True,False,False,reduce_only,0.0,0.0,True,2026-04-20,2026-06-02,True,closed,,2026-07-17,0.0
LITZ,LITE,2026-05-18,2026-07-20,57,False,False,False,False,normal,10674.522114057658,10674.522114057658,True,2026-06-02,2026-07-17,True,open,,2026-07-17,4929.131634338043
MSDD,MSTR,2026-04-17,2026-06-23,47,True,True,False,False,reduce_only,0.0,0.0,True,2026-04-20,2026-07-17,True,open,,2026-07-17,5336.849549421771
MSTZ,MSTR,2026-04-01,2026-07-20,84,False,False,False,False,normal,8446.195978355181,8446.195978355181,True,2026-04-13,2026-07-17,True,open,,2026-07-17,5395.837536497527
MUYY,MU,2026-04-21,2026-04-21,1,False,False,False,False,normal,4880.0,4880.0,False,,,True,pending_entry,awaiting_operator_or_execution,2026-07-17,
MUZ,MU,2026-06-09,2026-07-20,38,False,False,False,False,normal,3409.957257277124,3409.9572572771235,True,2026-07-16,2026-07-17,True,open,,2026-07-17,603.0851807585241
NBIZ,NBIS,2026-04-03,2026-07-20,83,False,False,False,False,normal,8912.451748203877,8912.451748203875,True,2026-05-18,2026-07-17,True,open,,2026-07-17,6108.089068810155
NVD,NVDA,2026-06-27,2026-06-27,1,True,True,False,False,reduce_only,0.0,0.0,False,,,True,purgatory_not_incumbent,purgatory_without_prior_fill,2026-07-17,
NVDQ,NVDA,2026-03-12,2026-07-14,46,True,True,False,False,reduce_only,0.0,0.0,False,,,True,purgatory_not_incumbent,purgatory_without_prior_fill,2026-07-17,
NVDS,NVDA,2026-05-02,2026-07-20,72,True,True,False,False,reduce_only,0.0,0.0,False,,,True,purgatory_not_incumbent,purgatory_without_prior_fill,2026-07-17,
OKLS,OKLO,2026-05-09,2026-05-14,5,True,True,False,False,reduce_only,0.0,0.0,False,,,True,purgatory_not_incumbent,purgatory_without_prior_fill,2026-07-17,
ORCZ,ORCL,2026-07-15,2026-07-20,6,True,True,False,False,reduce_only,0.0,0.0,False,,,True,purgatory_not_incumbent,purgatory_without_prior_fill,2026-07-17,
PLTZ,PLTR,2026-04-20,2026-05-16,4,True,True,False,False,reduce_only,0.0,0.0,False,,,True,purgatory_not_incumbent,purgatory_without_prior_fill,2026-07-17,
QBTZ,QBTS,2026-04-20,2026-07-20,69,False,False,False,False,normal,12156.55752791788,12156.55752791788,True,2026-05-18,2026-07-17,True,open,,2026-07-17,9426.029085413182
REW,XLK,2026-02-27,2026-07-16,11,True,True,False,False,reduce_only,0.0,0.0,False,,,True,purgatory_not_incumbent,purgatory_without_prior_fill,2026-07-17,
RGTZ,RGTI,2026-05-04,2026-07-09,40,True,True,False,False,reduce_only,0.0,0.0,False,,,True,purgatory_not_incumbent,purgatory_without_prior_fill,2026-07-17,
RKLZ,RKLB,2026-05-11,2026-07-20,39,False,False,False,False,normal,10435.072855842507,10435.072855842507,True,2026-05-18,2026-07-17,True,open,,2026-07-17,2117.4929221032053
SCO,USO,2026-03-06,2026-07-20,48,True,True,False,False,reduce_only,0.0,0.0,False,,,True,purgatory_not_incumbent,purgatory_without_prior_fill,2026-07-17,
SKDD,SKHY,2026-07-15,2026-07-16,2,True,True,False,False,reduce_only,0.0,0.0,False,,,True,purgatory_not_incumbent,purgatory_without_prior_fill,2026-07-17,
SKF,XLF,2026-03-02,2026-03-02,1,True,True,False,False,reduce_only,0.0,0.0,False,,,True,purgatory_not_incumbent,purgatory_without_prior_fill,2026-07-17,
SKHZ,SKHY,2026-07-15,2026-07-15,1,True,True,False,False,reduce_only,0.0,0.0,False,,,True,purgatory_not_incumbent,purgatory_without_prior_fill,2026-07-17,
SMCZ,SMCI,2026-06-12,2026-07-08,10,True,True,False,False,reduce_only,0.0,0.0,False,,,True,purgatory_not_incumbent,purgatory_without_prior_fill,2026-07-17,
SMST,MSTR,2026-05-01,2026-06-22,39,True,True,False,False,reduce_only,0.0,0.0,False,,,True,purgatory_not_incumbent,purgatory_without_prior_fill,2026-07-17,
SMZ,SMR,2026-04-03,2026-05-29,35,True,True,False,False,reduce_only,0.0,0.0,True,2026-04-06,2026-04-20,True,closed,,2026-07-17,0.0
SNDQ,SNDK,2026-05-18,2026-07-20,57,False,False,False,False,normal,8631.802670726482,8631.802670726482,True,2026-06-02,2026-07-17,True,open,,2026-07-17,4563.67656224604
SNK,SPCX,2026-06-16,2026-07-20,27,True,True,False,False,reduce_only,0.0,0.0,False,,,True,purgatory_not_incumbent,purgatory_without_prior_fill,2026-07-17,
SPCG,SPCX,2026-06-18,2026-07-20,28,True,True,False,False,reduce_only,0.0,0.0,False,,,True,purgatory_not_incumbent,purgatory_without_prior_fill,2026-07-17,
SPXS,SPY,2026-03-18,2026-07-01,12,True,True,False,False,reduce_only,0.0,0.0,False,,,True,purgatory_not_incumbent,purgatory_without_prior_fill,2026-07-17,
SQQQ,QQQ,2026-06-14,2026-06-29,4,True,True,False,False,reduce_only,0.0,0.0,False,,,True,purgatory_not_incumbent,purgatory_without_prior_fill,2026-07-17,
SSPC,SPCX,2026-06-19,2026-07-20,27,False,False,False,False,normal,3390.1716548569366,3390.171654856936,True,2026-07-09,2026-07-17,True,open,,2026-07-17,1209.062488546226
TBT,TLT,2026-03-21,2026-03-27,2,True,True,False,False,reduce_only,0.0,0.0,False,,,True,purgatory_not_incumbent,purgatory_without_prior_fill,2026-07-17,
TBX,TLT,2026-04-01,2026-07-20,86,True,True,False,False,reduce_only,0.0,0.0,False,,,True,purgatory_not_incumbent,purgatory_without_prior_fill,2026-07-17,
TECS,XLK,2026-03-24,2026-07-15,37,True,True,False,False,reduce_only,0.0,0.0,False,,,True,purgatory_not_incumbent,purgatory_without_prior_fill,2026-07-17,
TMV,TLT,2026-04-01,2026-04-14,10,True,True,False,False,reduce_only,0.0,0.0,False,,,True,purgatory_not_incumbent,purgatory_without_prior_fill,2026-07-17,
TSDD,TSLA,2026-04-17,2026-07-19,64,True,True,False,False,reduce_only,0.0,0.0,False,,,True,purgatory_not_incumbent,purgatory_without_prior_fill,2026-07-17,
TSXD,SOXX,2026-03-02,2026-03-02,1,True,True,False,False,reduce_only,0.0,0.0,False,,,False,blocked,missing_price_panel,2026-07-17,
TWM,IWM,2026-02-27,2026-03-03,4,True,True,False,False,reduce_only,0.0,0.0,False,,,True,purgatory_not_incumbent,purgatory_without_prior_fill,2026-07-17,
TZA,IWM,2026-03-10,2026-06-30,10,True,True,False,False,reduce_only,0.0,0.0,False,,,True,purgatory_not_incumbent,purgatory_without_prior_fill,2026-07-17,
UVIX,SVIX,2026-05-13,2026-06-14,6,False,False,False,False,normal,11060.236035432255,11060.236035432255,True,2026-05-26,2026-06-01,True,open,,2026-07-17,1087.226373150363
WEBS,XLK,2026-05-01,2026-06-27,7,True,True,False,False,reduce_only,0.0,0.0,False,,,True,purgatory_not_incumbent,purgatory_without_prior_fill,2026-07-17,
XRPT,XRPZ,2026-02-27,2026-02-27,1,True,True,False,False,reduce_only,0.0,0.0,False,,,True,purgatory_not_incumbent,purgatory_without_prior_fill,2026-07-17,
ZSL,SLV,2026-04-17,2026-04-21,4,False,False,False,False,normal,12598.95,12598.95,False,,,True,pending_entry,awaiting_operator_or_execution,2026-07-17,
