sleeve,n_pairs,start_usd,end_usd,pnl_usd
volatility_etp_bucket5,1,10500.0,10727.853024849092,227.85302484909153
core_leveraged,218,1801148.2120337745,1805952.7988707314,4804.586836956883
inverse_decay_bucket4,9,96223.92221776079,106456.42182507673,10232.49960731594
yieldboost,8,535480.2386525341,706089.8842163065,170609.64556377247
