etf,status,n,n_big50,worst_abs_ret,worst_date,yahoo_ov,yahoo_gt15pct,max_abs_ratio_m1,phantom_days
AALG,ok,243,0,0.2423772455419635,2025-08-12,102,0,2.4686792201800145e-05,0
AAOX,ok,71,0,0.48183429982473003,2026-05-11,71,0,8.099144799267322e-09,0
AAPB,ok,972,0,0.29861576729431616,2025-04-09,101,0,1.0356160830449213e-05,0
AAPU,ok,975,0,0.29475585807569593,2025-04-09,102,0,0.008908953412275156,0
ABNG,ok,150,0,0.1552564965187173,2026-06-18,99,0,2.232060293683169e-05,0
ADBG,ok,314,0,0.31818183295982894,2026-06-12,97,0,0.0,0
AFRU,ok,196,0,0.2327909524354026,2026-02-12,101,0,3.8201441461827024e-05,0
AIYY,ok,647,0,0.24362625351942424,2025-08-11,103,0,0.09593371648750626,0
ALBG,ok,108,0,0.3202473774858945,2026-04-16,95,0,0.0,0
AMA,ok,41,0,0.2735106081361991,2026-06-25,41,0,0.05847808789111264,0
AMDG,ok,352,0,0.4779930861764681,2025-04-09,96,0,8.100269370814317e-07,0
AMDL,ok,574,0,0.4758620927790249,2025-04-09,104,0,4.0527990630145894e-08,0
AMUU,ok,309,0,0.4819633008300064,2025-04-09,101,0,0.0025421786427666238,0
AMYY,ok,190,0,0.07975446391558916,2025-12-19,95,0,0.08581686206589445,0
AMZU,ok,955,0,0.23134949636929258,2025-04-09,102,0,0.027804011334610523,0
AMZZ,ok,572,0,0.23173805002864856,2025-04-09,102,0,1.2041408750551597e-05,0
ANEL,ok,205,0,0.2702519906519597,2026-05-06,102,0,3.219153710265488e-08,0
APHU,ok,90,0,0.2573891849807568,2026-05-27,90,0,6.290581223056257e-05,0
APPX,ok,299,0,0.39800994080666974,2026-02-12,106,0,3.619257338272064e-09,0
ARCX,ok,268,0,0.3589743495101352,2025-10-06,106,0,6.627121475810682e-06,0
ARMG,ok,367,0,0.48088533836097724,2025-04-09,104,0,2.4770762108161648e-08,0
ASMG,ok,363,0,0.3031914833573959,2025-04-09,100,0,6.404899833833966e-06,0
ASMU,ok,92,0,0.18777941521087538,2026-06-11,92,0,0.027628183449183497,0
ASTN,ok,99,0,0.4242856843130929,2026-06-29,99,0,0.0,0
ASTX,ok,247,0,0.46814072192014766,2026-05-27,106,0,0.0,0
AVGG,ok,279,0,0.253180895712657,2026-06-04,101,0,0.0,0
AVGU,ok,241,0,0.2583137526305329,2026-06-04,102,0,0.0,0
AVGX,ok,465,0,0.46530037426793736,2024-12-13,104,0,0.05955382619321403,0
AVL,ok,429,0,0.484741136842437,2024-12-13,102,0,0.056357386810221066,0
AVXX,ok,168,0,0.3595744948518833,2026-05-28,101,0,1.6986565154475386e-08,0
AXTX,ok,49,0,0.4129554391552628,2026-05-01,49,0,3.549472893382699e-08,0
BABU,ok,94,0,0.22214836598824284,2026-07-08,94,0,0.009045241639510815,0
BABX,ok,887,0,0.25543069288187503,2025-08-29,102,0,5.0465029488577784e-08,0
BAIG,ok,211,2,9.185483884923043,2026-05-04,99,12,0.900000004396163,2
BBYY,ok,171,0,0.06820397209018192,2026-01-02,102,0,0.07300052890484265,0
BEG,ok,131,1,0.5181948268268084,2026-04-29,100,0,9.22881992937441e-07,0
BEX,ok,159,1,0.5468965727707435,2026-04-29,106,0,1.1221760853885598e-08,0
BEZ,ok,99,3,10.97545239052867,2026-06-05,99,2,0.9,2
BIDG,ok,124,0,0.29882546853480285,2026-01-02,95,0,4.629196206695774e-05,0
BITU,ok,565,0,0.2895305881743854,2024-08-05,106,0,0.002721475228051773,0
BITX,ok,619,0,0.29210664547236986,2024-08-05,104,0,0.0013781995033523842,0
BLSG,ok,169,0,0.3300940295952939,2026-02-09,103,0,0.08553127141690975,0
BMNG,ok,169,2,20.70212776750502,2026-05-04,103,12,0.9500000025363677,2
BMNU,ok,188,0,0.39923950822317433,2025-11-24,101,0,0.004444444444444251,0
BOEG,ok,252,0,0.20322635559125213,2025-12-02,93,0,3.1452157337241715e-05,0
BOEU,ok,297,0,0.2040985083818314,2025-12-02,102,0,0.0042173028195064965,0
BTCL,ok,493,0,0.2910314991532694,2024-08-05,101,0,2.20821843033292e-08,0
BU,ok,138,0,0.24845167670334545,2026-01-30,4,0,1.6476769277073977e-05,0
BULG,ok,219,2,17.132159515684688,2026-04-23,99,5,0.9500000021006042,2
BULX,ok,195,0,0.25178712155191374,2026-02-05,1,0,0.0,0
CCUP,ok,221,1,0.7118644667096425,2026-02-25,101,0,2.3672767301974318e-08,0
CEGX,ok,247,0,0.21315413107633163,2026-03-20,106,0,8.722631061885977e-09,0
CIFG,ok,132,0,0.47857469782031425,2026-05-05,98,0,3.778624546391107e-05,0
CIFU,ok,148,0,0.4542513956080916,2026-05-05,101,0,2.764988871195584e-08,0
