date,source,n_pairs,n_keep_open,gross_sum,gross_b4,n_b4,n_held_in,n_screened,edge_source,n_edge_fallback,ok,error
2026-06-06,archived_proposed_fallback,241,90,2395917.053361078,65999.99999999999,12,12,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-09,archived_proposed_fallback,251,69,1986618.451555675,64225.38515623923,13,13,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-10,archived_proposed_fallback,251,68,1998804.100616593,65999.99999999999,13,13,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-11,archived_proposed_fallback,253,59,2091672.9804645332,66000.0,13,13,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-12,archived_proposed_fallback,257,59,2209275.689952206,67999.99999999999,13,13,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-13,archived_proposed_fallback,246,72,2181066.352460035,68000.0,12,12,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-14,archived_proposed_fallback,251,65,2208448.6951816543,67999.99999999999,12,12,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-16,archived_proposed_fallback,254,83,2188392.6591911823,68000.0,13,13,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-17,archived_proposed_fallback,254,80,2166284.304700611,68000.00000000001,14,14,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-18,archived_proposed_fallback,254,91,1945399.5117083015,68000.0,13,13,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-19,archived_proposed_fallback,253,84,2127879.4545430844,68000.0,14,14,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-20,archived_proposed_fallback,254,87,2129969.2865846646,68000.0,15,15,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-22,archived_proposed_fallback,256,76,2377188.7890038276,71249.52726798496,14,14,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-23,archived_proposed_fallback,260,83,2229447.9323757906,70771.30960343534,13,13,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-24,archived_proposed_fallback,241,110,2306758.1829370824,97277.72362971675,13,13,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-25,prod_replay,239,80,2630560.042283895,65651.25076072384,10,6,453,net_edge_p50_annual,0,True,
2026-06-26,archived_proposed_fallback,235,107,2561556.3561156783,107599.20293707213,9,9,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-27,archived_proposed_fallback,233,105,2482750.596092183,109108.0377591148,9,9,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-29,archived_proposed_fallback,237,130,2902045.1211597607,112333.56142424465,10,10,0,archived_proposed_trades,0,True,plan-only archive (no screened CSV)
2026-06-30,prod_replay,228,154,2316077.0248099677,90741.3994790065,8,10,540,net_edge_p50_annual,0,True,
2026-07-01,prod_replay,250,119,2513753.7683468065,99764.92710645699,10,8,540,net_edge_p50_annual,0,True,
2026-07-02,prod_replay,250,115,2757775.706294615,91632.97333766917,11,10,540,net_edge_p50_annual,0,True,
2026-07-03,prod_replay,247,121,2765199.032416732,95580.46349288954,11,11,540,net_edge_p50_annual,0,True,
2026-07-04,prod_replay,246,122,2767028.2086371295,97389.33528684461,11,11,540,net_edge_p50_annual,0,True,
2026-07-05,prod_replay,245,122,2767484.3342178,97615.79413348739,11,11,540,net_edge_p50_annual,0,True,
2026-07-06,prod_replay,246,114,2507947.5948063536,93898.51590544412,10,11,540,net_edge_p50_annual,0,True,
2026-07-07,prod_replay,249,120,2893268.004325634,97796.44650341485,11,10,548,net_edge_p50_annual,0,True,
2026-07-08,prod_replay,249,122,2610424.039661077,99695.66068368629,10,11,547,net_edge_p50_annual,0,True,
2026-07-09,prod_replay,249,123,2522873.677906788,99354.22823582303,11,10,547,net_edge_p50_annual,0,True,
2026-07-10,prod_replay,252,118,2791657.10734051,96876.28591226772,11,11,550,net_edge_p50_annual,0,True,
2026-07-11,prod_replay,253,117,2667622.3730790946,97687.10793341324,11,11,550,net_edge_p50_annual,0,True,
