date,plan_date,ETF,Underlying,sleeve,current_gross_usd,desired_gross_usd,next_gross_usd,hedge_net_pct_before,hedge_net_pct_after,target_age,requested_turnover_usd,allocated_turnover_usd,deferred_turnover_usd,block_reason,priority,hedge_repair_leg,hedge_reserve_usd,reserve_committed_usd,tracking_budget_usd,prior_structural_gross_usd,raw_plan_gross_usd,effective_plan_gross_usd,blended_structural_gross_usd,target_blend_alpha,blend_status
2026-03-02,2026-02-28,AMUU,AMD,core_leveraged,0.0,6325.598086691737,0.0,,,0,6325.598086691737,0.0,0.0,,target_formation,,,,,0.0,42170.65391127825,42170.65391127825,6325.598086691737,0.15,new
2026-03-02,2026-02-28,BITX,IBIT,core_leveraged,0.0,9469.442852158909,0.0,,,0,9469.442852158909,0.0,0.0,,target_formation,,,,,0.0,63129.61901439272,63129.61901439272,9469.442852158909,0.15,new
2026-03-02,2026-02-28,BMNU,BMNR,core_leveraged,0.0,26624.083610485202,0.0,,,0,26624.083610485202,0.0,0.0,,target_formation,,,,,0.0,177493.89073656802,177493.89073656802,26624.083610485202,0.15,new
2026-03-02,2026-02-28,BULG,BULL,core_leveraged,0.0,6615.4454485981905,0.0,,,0,6615.4454485981905,0.0,0.0,,target_formation,,,,,0.0,44102.96965732127,44102.96965732127,6615.4454485981905,0.15,new
2026-03-02,2026-02-28,COZX,CORZ,core_leveraged,0.0,14654.879177169993,0.0,,,0,14654.879177169993,0.0,0.0,,target_formation,,,,,0.0,97699.19451446662,97699.19451446662,14654.879177169993,0.15,new
2026-03-02,2026-02-28,CRMU,CRML,core_leveraged,0.0,8871.107401570873,0.0,,,0,8871.107401570873,0.0,0.0,,target_formation,,,,,0.0,59140.71601047249,59140.71601047249,8871.107401570873,0.15,new
2026-03-02,2026-02-28,DNNG,DNN,core_leveraged,0.0,17391.523513342865,0.0,,,0,17391.523513342865,0.0,0.0,,target_formation,,,,,0.0,115943.49008895244,115943.49008895244,17391.523513342865,0.15,new
2026-03-02,2026-02-28,ETHU,ETHA,core_leveraged,0.0,14548.463750401077,0.0,,,0,14548.463750401077,0.0,0.0,,target_formation,,,,,0.0,96989.75833600719,96989.75833600719,14548.463750401077,0.15,new
2026-03-02,2026-02-28,ETU,ETHA,core_leveraged,0.0,6420.68281516277,0.0,,,0,6420.68281516277,0.0,0.0,,target_formation,,,,,0.0,42804.55210108513,42804.55210108513,6420.68281516277,0.15,new
2026-03-02,2026-02-28,FGRU,FIGR,core_leveraged,0.0,28917.0,0.0,,,0,28917.0,0.0,0.0,,target_formation,,,,,0.0,192780.0,192780.0,28917.0,0.15,new
2026-03-02,2026-02-28,GDXU,GDX,core_leveraged,0.0,8973.549201315598,0.0,,,0,8973.549201315598,0.0,0.0,,target_formation,,,,,0.0,59823.66134210399,59823.66134210399,8973.549201315598,0.15,new
2026-03-02,2026-02-28,MRNX,MRNA,core_leveraged,0.0,20625.687353232886,0.0,,,0,20625.687353232886,0.0,0.0,,target_formation,,,,,0.0,137504.5823548859,137504.5823548859,20625.687353232886,0.15,new
2026-03-02,2026-02-28,NEBX,NBIS,core_leveraged,0.0,6400.6440028189,0.0,,,0,6400.6440028189,0.0,0.0,,target_formation,,,,,0.0,42670.96001879267,42670.96001879267,6400.6440028189,0.15,new
2026-03-02,2026-02-28,RDWU,RDW,core_leveraged,0.0,15079.105145945694,0.0,,,0,15079.105145945694,0.0,0.0,,target_formation,,,,,0.0,100527.36763963796,100527.36763963796,15079.105145945694,0.15,new
2026-03-02,2026-02-28,RKTL,RKT,core_leveraged,0.0,28917.0,0.0,,,0,28917.0,0.0,0.0,,target_formation,,,,,0.0,192780.0,192780.0,28917.0,0.15,new
2026-03-02,2026-02-28,SMUP,SMR,core_leveraged,0.0,28916.999999999996,0.0,,,0,28916.999999999996,0.0,0.0,,target_formation,,,,,0.0,192779.99999999997,192779.99999999997,28916.999999999996,0.15,new
2026-03-02,2026-02-28,SOXL,SOXX,core_leveraged,0.0,5437.175985255425,0.0,,,0,5437.175985255425,0.0,0.0,,target_formation,,,,,0.0,36247.839901702835,36247.839901702835,5437.175985255425,0.15,new
2026-03-02,2026-02-28,UECG,UEC,core_leveraged,0.0,28916.999999999996,0.0,,,0,28916.999999999996,0.0,0.0,,target_formation,,,,,0.0,192779.99999999997,192779.99999999997,28916.999999999996,0.15,new
2026-03-02,2026-02-28,URAA,URA,core_leveraged,0.0,12208.816984272014,0.0,,,0,12208.816984272014,0.0,0.0,,target_formation,,,,,0.0,81392.1132284801,81392.1132284801,12208.816984272014,0.15,new
2026-03-02,2026-02-28,UXRP,XRPZ,core_leveraged,0.0,7371.181131681968,0.0,,,0,7371.181131681968,0.0,0.0,,target_formation,,,,,0.0,49141.20754454645,49141.20754454645,7371.181131681968,0.15,new
2026-03-02,2026-02-28,VRTL,VRT,core_leveraged,0.0,6763.958108484026,0.0,,,0,6763.958108484026,0.0,0.0,,target_formation,,,,,0.0,45093.05405656017,45093.05405656017,6763.958108484026,0.15,new
2026-03-02,2026-02-28,XRPK,XRPZ,core_leveraged,0.0,6638.76230885219,0.0,,,0,6638.76230885219,0.0,0.0,,target_formation,,,,,0.0,44258.41539234793,44258.41539234793,6638.76230885219,0.15,new
2026-03-02,2026-02-28,YINN,FXI,core_leveraged,0.0,5211.893122559695,0.0,,,0,5211.893122559695,0.0,0.0,,target_formation,,,,,0.0,34745.95415039797,34745.95415039797,5211.893122559695,0.15,new
2026-03-02,2026-02-28,AMUU,AMD,core_leveraged,0.0,6325.598086691738,6325.598086691738,,-1.0769440303657704e-16,0,6325.598086691738,6325.598086691738,0.0,,growth,,0.0,0.0,,,,,,,
2026-03-02,2026-02-28,BITX,IBIT,core_leveraged,0.0,9469.442852158909,9469.442852158909,,1.4406720250808146e-16,0,9469.442852158909,9469.442852158909,0.0,,growth,,0.0,0.0,,,,,,,
2026-03-02,2026-02-28,BMNU,BMNR,core_leveraged,0.0,26624.0836104852,26624.0836104852,,-1.0350273645265952e-16,0,26624.0836104852,26624.0836104852,0.0,,growth,,0.0,0.0,,,,,,,
2026-03-02,2026-02-28,BULG,BULL,core_leveraged,0.0,6615.44544859819,6615.44544859819,,0.0,0,6615.44544859819,6615.44544859819,0.0,,growth,,0.0,0.0,,,,,,,
2026-03-02,2026-02-28,COZX,CORZ,core_leveraged,0.0,14654.87917716999,14654.87917716999,,0.0,0,14654.87917716999,14654.87917716999,0.0,,growth,,0.0,0.0,,,,,,,
2026-03-02,2026-02-28,CRMU,CRML,core_leveraged,0.0,8871.107401570873,8871.107401570873,,-7.70964891169231e-17,0,8871.107401570873,8871.107401570873,0.0,,growth,,0.0,0.0,,,,,,,
2026-03-02,2026-02-28,DNNG,DNN,core_leveraged,0.0,17391.523513342865,17391.523513342865,,1.5840803199767643e-16,0,17391.523513342865,17391.523513342865,0.0,,growth,,0.0,0.0,,,,,,,
2026-03-02,2026-02-28,ETHU,ETHA,core_leveraged,0.0,14548.463750401077,14548.463750401077,,0.0,0,14548.463750401077,14548.463750401077,0.0,,growth,,0.0,0.0,,,,,,,
2026-03-02,2026-02-28,ETU,ETHA,core_leveraged,0.0,6420.68281516277,6420.68281516277,,0.0,0,6420.68281516277,6420.68281516277,0.0,,growth,,0.0,0.0,,,,,,,
2026-03-02,2026-02-28,FGRU,FIGR,core_leveraged,0.0,28917.0,28917.0,,0.0,0,28917.0,28917.0,0.0,,growth,,0.0,0.0,,,,,,,
2026-03-02,2026-02-28,GDXU,GDX,core_leveraged,0.0,8973.549201315596,8973.549201315596,,0.0,0,8973.549201315596,8973.549201315596,0.0,,growth,,0.0,0.0,,,,,,,
2026-03-02,2026-02-28,MRNX,MRNA,core_leveraged,0.0,20625.68735323289,20625.68735323289,,0.0,0,20625.68735323289,20625.68735323289,0.0,,growth,,0.0,0.0,,,,,,,
2026-03-02,2026-02-28,NEBX,NBIS,core_leveraged,0.0,6400.644002818901,6400.644002818901,,0.0,0,6400.644002818901,6400.644002818901,0.0,,growth,,0.0,0.0,,,,,,,
2026-03-02,2026-02-28,RDWU,RDW,core_leveraged,0.0,15079.105145945694,15079.105145945694,,9.028847538440234e-17,0,15079.105145945694,15079.105145945694,0.0,,growth,,0.0,0.0,,,,,,,
2026-03-02,2026-02-28,RKTL,RKT,core_leveraged,0.0,28917.0,28917.0,,0.0,0,28917.0,28917.0,0.0,,growth,,0.0,0.0,,,,,,,
2026-03-02,2026-02-28,SMUP,SMR,core_leveraged,0.0,28917.0,28917.0,,0.0,0,28917.0,28917.0,0.0,,growth,,0.0,0.0,,,,,,,
2026-03-02,2026-02-28,SOXL,SOXX,core_leveraged,0.0,5437.175985255425,5437.175985255425,,5.594769496950113e-17,0,5437.175985255425,5437.175985255425,0.0,,growth,,0.0,0.0,,,,,,,
2026-03-02,2026-02-28,UECG,UEC,core_leveraged,0.0,28916.999999999993,28916.999999999993,,0.0,0,28916.999999999993,28916.999999999993,0.0,,growth,,0.0,0.0,,,,,,,
