etf,n_panel,n_big50,worst_abs_ret,worst_date,yahoo_ov,scale_bad_days,phantom_days,max_abs_ratio_m1,scale_mode,issue
FGRU,89,1,0.5073121283231077,2026-02-27,89,0,0,3.8532297130799975e-08,,jumps=1@2026-02-27
HODU,145,1,0.5016181908964656,2026-05-29,145,0,0,0.004177001990506746,,jumps=1@2026-05-29
HUTG,109,1,0.715492804527676,2026-05-06,109,0,0,1.5079557591612947e-05,,jumps=1@2026-05-06
IONL,316,1,0.734206763930531,2025-05-22,316,0,0,8.208062896031265e-09,,jumps=1@2025-05-22
KEEX,123,1,0.5197288342191546,2026-02-06,123,0,0,3.5505852611361632e-06,,jumps=1@2026-02-06
LCDL,298,1,0.730076626834099,2025-07-17,298,0,0,0.0007194347592851535,,jumps=1@2025-07-17
LMNX,173,1,0.6927437712175888,2025-11-05,173,0,0,3.241165393430556e-05,,jumps=1@2025-11-05
MRVU,94,1,0.6511072283476358,2026-06-02,94,0,0,0.0014021863570510273,,jumps=1@2026-06-02
NOWL,239,1,0.5220458550825458,2026-06-01,239,0,0,3.2249857007116134e-08,,jumps=1@2026-06-01
NUGT,3907,1,0.539940765530402,2020-03-16,3907,0,0,0.0014546132716446447,,jumps=1@2020-03-16
NVTX,206,1,0.5264438227057686,2025-10-14,206,0,0,6.736028734799504e-09,,jumps=1@2025-10-14
OKLL,259,1,0.5776782002671339,2025-09-19,259,0,0,0.09867453314551988,,jumps=1@2025-09-19
OKTG,150,1,0.6060566612367371,2026-05-29,150,0,0,9.604934135598597e-06,,jumps=1@2026-05-29
ONDG,114,1,0.5114822189512809,2026-05-14,114,0,0,0.0,,jumps=1@2026-05-14
ONDL,128,1,0.5045317538258258,2026-05-14,128,0,0,0.027160488400572724,,jumps=1@2026-05-14
ORCX,350,1,0.7131473898647909,2025-09-10,350,0,0,0.12980527903567696,,jumps=1@2025-09-10
OSCG,155,1,0.7205721075566822,2026-06-08,155,0,0,3.5923189569686542e-06,,jumps=1@2026-06-08
OSCX,182,1,0.7188494429391379,2026-06-08,182,0,0,8.162843587733448e-07,,jumps=1@2026-06-08
QUBX,259,1,0.5265912010662794,2025-09-19,259,0,0,7.563841109003988e-09,,jumps=1@2025-09-19
RCAX,102,1,0.652980030060319,2026-05-28,102,0,0,3.3056302140010985e-09,,jumps=1@2026-05-28
RGTZ,181,1,0.6089795949507733,2026-05-21,181,0,0,2.7472098818037693e-08,,jumps=1@2026-05-21
RKLX,329,1,0.6770361485712362,2026-05-08,329,0,0,2.0139185208378763e-08,,jumps=1@2026-05-08
SOUX,254,1,0.511965882260019,2025-08-08,254,0,0,0.18331961975038125,,jumps=1@2025-08-08
SOXL,4097,1,0.54787896700471,2025-04-09,4097,0,0,0.04616677725886187,,jumps=1@2025-04-09
TXXS,81,1,0.5495382081217608,2026-05-11,81,0,0,1.6163971161553548e-08,,jumps=1@2026-05-11
UNX,201,1,0.549497833667808,2026-02-11,201,0,0,7.29413989519756e-06,,jumps=1@2026-02-11
UVIX,1062,1,0.8442307985745943,2024-08-05,1062,0,0,9.054318117485138e-08,,jumps=1@2024-08-05
YINN,4160,1,0.6463022542163412,2022-03-16,4160,0,0,0.008155029615640075,,jumps=1@2022-03-16
