date,book_equity_start,book_equity,daily_price_pnl,daily_borrow_cost,daily_short_credit,daily_margin_cost,daily_txn_cost,daily_net_pnl,pnl_recon_residual,long_notional,short_notional,gross_notional,net_notional,pair_gross_notional,raw_plan_stock_gross_usd,blended_stock_structural_gross_usd,target_blend_alpha,pace_bootstrap_active,confirmed_desired_gross_usd,turnover_reference_gross_usd,deployed_desired_gross_ratio,underlying_internalized_usd,gross_leverage,net_exposure_pct,turnover_usd,n_positions,largest_pair_gross_share,top5_gross_share,gross_hhi,n_stale_etf,n_stale_underlying,is_rebalance,active_plan_date,drawdown,core_leveraged,core_leveraged__price_pnl,core_leveraged__borrow_cost,core_leveraged__short_credit,core_leveraged__margin_cost,core_leveraged__txn_cost,core_leveraged__net_cap,core_leveraged__gross_cap,yieldboost,yieldboost__price_pnl,yieldboost__borrow_cost,yieldboost__short_credit,yieldboost__margin_cost,yieldboost__txn_cost,yieldboost__net_cap,yieldboost__gross_cap,inverse_decay_bucket4,inverse_decay_bucket4__price_pnl,inverse_decay_bucket4__borrow_cost,inverse_decay_bucket4__short_credit,inverse_decay_bucket4__margin_cost,inverse_decay_bucket4__txn_cost,inverse_decay_bucket4__net_cap,inverse_decay_bucket4__gross_cap,volatility_etp_bucket5,volatility_etp_bucket5__price_pnl,volatility_etp_bucket5__borrow_cost,volatility_etp_bucket5__short_credit,volatility_etp_bucket5__margin_cost,volatility_etp_bucket5__txn_cost,volatility_etp_bucket5__net_cap,volatility_etp_bucket5__gross_cap,core_leveraged_cum_pnl,yieldboost_cum_pnl,inverse_decay_bucket4_cum_pnl,volatility_etp_bucket5_cum_pnl
2026-02-27,1200000.0,1200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,True,0.0,0.0,,0.0,0.0,0.0,0.0,0,,,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-02,1200000.0,1193976.2595150059,0.0,0.0,0.0,0.0,6023.740484994253,-6023.740484994138,1.1550582712516189e-10,1840772.1640527223,896227.835947278,2737000.0,944544.3281054443,2736999.9999999995,2737000.0,2737000.0000000005,1.0,True,2852000.0,2852000.0,0.9596774193548385,1.1641532182693481e-10,2.292340386325413,0.7910913810707753,2736999.9999999995,17,0.09000000000000004,0.4432463947479066,0.06894870941102674,0,0,1,2026-02-28,-0.00501978373749512,-6023.740484994253,0.0,0.0,0.0,0.0,6023.740484994253,944544.3281054441,2737000.0000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6023.740484994253,0.0,0.0,0.0
2026-03-03,1193976.2595150059,1193489.6466442305,-106.8702144746261,395.93380599306425,85.3714988725198,69.18034918022948,0.0,-486.612870775396,4.035882739117369e-12,1753220.0787885257,808782.6208975561,2562002.6996860816,944437.4578909696,2562002.6996860816,2695129.99651233,2737000.0000000005,0.05,False,2851376.091136739,2851376.091136739,0.8985144778515363,0.0,2.146648449686798,0.7913243827011586,0.0,17,0.09338157756169964,0.4439927052356366,0.06898990736405859,0,0,0,2026-03-02,-0.005425294463141328,-486.61287077540004,-106.8702144746261,395.93380599306425,85.3714988725198,69.18034918022948,0.0,944437.4578909695,2562002.6996860807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6510.353355769653,0.0,0.0,0.0
2026-03-04,1193489.6466442305,1199284.4285335527,6204.18996139994,424.365188951714,92.2958816866056,77.33876481259081,0.0,5794.781889322214,-2.7284841053187847e-11,1825023.6848833696,874382.0370310001,2699405.7219143696,950641.6478523695,2699405.7219143696,2735367.900746946,2737000.0,0.05,False,2851931.4244011324,2851931.4244011324,0.9465184537111403,0.0,2.2508469698177587,0.7926740523220035,0.0,17,0.09494518906420836,0.4426698271967465,0.06887204462063184,0,0,0,2026-03-03,-0.0005963095553728204,5794.781889322241,6204.18996139994,424.365188951714,92.2958816866056,77.33876481259081,0.0,950641.6478523697,2699405.72191437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-715.5714664474117,0.0,0.0,0.0
2026-03-05,1199284.4285335527,1197581.313411015,-1320.030561811207,398.9488997603128,86.71059366367274,70.84625462980756,0.0,-1703.1151225375943,6.048139766789973e-11,1770790.3993674587,821468.7820769,2592259.1814443585,949321.6172905586,2592259.1814443585,2649626.8656002725,2737000.0,0.05,False,2851768.209201889,2851768.209201889,0.9090006589875836,2.3283064365386963e-10,2.164578849398499,0.7926990899571154,0.0,17,0.0940174017754338,0.4398584855992497,0.0687670172964829,0,0,0,2026-03-04,-0.0020155721574873775,-1703.1151225376548,-1320.030561811207,398.9488997603128,86.71059366367274,70.84625462980755,0.0,949321.6172905585,2592259.1814443585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2418.6865889850665,0.0,0.0,0.0
2026-03-06,1197581.313411015,1192302.8296538827,-4724.734545030373,351.99775227996537,77.82161272974344,60.47943871657731,219.0936338352,-5278.4837571324315,-5.911715561524034e-11,1694411.8330057664,820643.9381213932,2515055.7711271597,873767.8948843732,2517096.155405215,2602752.6094662333,2760708.03176062,0.05,False,2874991.3827423602,2874991.3827423602,0.8755143304131365,1020.1921390295029,2.1094102174170493,0.7328405780417564,97984.50514875885,93,0.0876121018784734,0.4297466819714962,0.06608967683313398,0,0,1,2026-03-05,-0.0064143086217645084,-5241.237763324076,-4724.734545030373,351.99775227996537,77.82161272974344,60.479438716577306,181.8476400269037,890910.3975316327,2499953.652757955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.24599380829632,0.0,0.0,0.0,0.0,37.24599380829632,-17142.502647260946,17142.502647260946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7659.924352309143,0.0,-37.24599380829632,0.0
2026-03-09,1192302.8296538827,1200341.27350787,8451.73645447908,436.52419502379786,94.12622501257567,70.89463048051971,0.0,8038.443853987381,4.274625098332763e-11,1773941.763036937,891722.1316980856,2665663.8947350224,882219.6313388514,2667825.8405237743,2633949.9208209794,2760708.03176062,0.05,False,2875740.7371384576,2875740.7371384576,0.9277004029154687,1080.972894375096,2.220755008236035,0.7349740034854072,0.0,93,0.09623717256302365,0.4399095643394735,0.06686176262163793,0,0,0,2026-03-06,0.0,7385.887964972233,7800.086762376167,435.8037934851296,92.49962656171523,70.89463048051974,0.0,898710.4842940095,2651334.9875686145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,652.5558890151069,651.6496921029147,0.7204015386682813,1.6265984508604374,0.0,0.0,-16490.85295515803,16490.85295515803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-274.0363873369097,0.0,615.3098952068106,0.0
2026-03-10,1200341.27350787,1199576.1813544135,-346.7195679883223,441.24410828028874,95.93048696722266,73.05896415502444,0.0,-765.0921534565277,-1.149373929365538e-10,1790688.0514603395,908815.1396894776,2699503.191149817,881872.9117708618,2701682.5870045475,,,0.05,False,2875740.7371384576,2875740.7371384576,0.9394736292162732,1089.6979273644974,2.25038078707254,0.735153736359753,0.0,93,0.09200109237769849,0.4297693787790409,0.06640316254654632,0,0,0,2026-03-06,-0.0006373955227088057,-831.6272403492824,-412.3573741389576,440.5226399824607,94.31173792716037,73.05896415502448,0.0,898298.1269198698,2685257.37185554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.53508689286959,65.63780615063531,0.7214682978280229,1.618749040062291,0.0,0.0,-16425.215149007396,16425.215149007396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1105.663627686192,0.0,681.8449820996801,0.0
2026-03-11,1199576.1813544135,1201178.7984447663,2033.8280626005949,453.58542924183456,98.52703138303349,76.15257438897608,0.0,1602.617090352811,-6.821210263296962e-12,1817320.7213569393,933413.9815234764,2750734.7028804156,883906.7398334629,2752979.925796977,2675263.723256348,2760708.0317606204,0.05,False,2875820.9999449104,2875820.9999449104,0.9572848678167776,1122.6114582802402,2.290029349870266,0.7358660850307269,0.0,93,0.09209062021920236,0.433872066398324,0.06660530805482004,0,0,0,2026-03-10,0.0,1365.476662451258,1797.5927742857057,452.90022994158375,96.93669249611219,76.15257438897609,0.0,900095.7196941552,2736790.945936282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.14042790155975,236.23528831488926,0.6851993002508271,1.5903388869213133,0.0,0.0,-16188.979860692507,16188.979860692507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.81303476506605,0.0,918.9854100012399,0.0
2026-03-12,1201178.7984447663,1200578.4946247854,-192.05588600358539,431.2873138210181,94.34126456409606,71.30188472035078,0.0,-600.303819980938,-7.969447324285284e-11,1777474.0324494222,893759.348501963,2671233.380951385,883714.6839474592,2673407.3696631384,2531060.4203433217,2760708.03176062,0.05,False,2875763.470828829,2875763.470828829,0.9296339552197702,1086.9943558764644,2.224955213599941,0.7360740575514347,0.0,93,0.0939758599857837,0.4342510793800915,0.06664762715200873,0,0,0,2026-03-11,-0.0004997622508473576,-409.3545201812226,-0.2193958710762671,430.5601562766471,92.72691668685151,71.30188472035073,0.0,900095.5002982841,2657026.5533123137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-190.94929979963558,-191.83649013250914,0.7271575443709749,1.6143478772445536,0.0,0.0,-16380.816350825015,16380.816350825015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-149.54148541615655,0.0,728.0361102016043,0.0
