n_panel,n_big50,worst_abs_ret,worst_date,yahoo_ov,scale_bad_days,phantom_days,max_abs_ratio_m1,scale_mode,issue,underlying,src_etf,ret_disagree_days
243,0,0.12089806802712122,2025-08-12,243,0,0,0.07454134774081456,,,AAL,AALG,0
35,0,0.18493736748445078,2026-05-13,35,0,0,0.14923525016277517,,ret_disagree=2,AAOI,AAOG,2
972,0,0.15328867648100597,2025-04-09,972,0,0,0.0651644305779151,,,AAPL,AAPB,0
150,0,0.07658001947606574,2026-06-18,150,0,0,0.032878608244699015,,,ABNB,ABNG,0
268,0,0.17891103743283066,2025-10-06,268,0,0,0.0,,,ACHR,ARCX,0
0,0,,,0,0,0,,,no_metrics_und,ACLS,ACLZ,0
0,0,,,0,0,0,,,no_metrics_und,ACMR,ACMM,0
314,0,0.16723131679690628,2026-06-12,314,0,0,0.0,,,ADBE,ADBG,0
0,0,,,0,0,0,,,no_metrics_und,ADI,ADIU,0
0,0,,,0,0,0,,,no_metrics_und,AEHR,AEHG,0
196,0,0.1199151482880888,2026-02-12,196,0,0,0.05716104025062885,,,AFRM,AFRU,0
647,0,0.2557614126550216,2025-08-11,647,0,0,0.09953166103823863,,,AI,AIYY,0
225,0,0.21409818312265783,2026-02-11,225,0,0,0.0,,,ALAB,LABX,0
108,0,0.16312433616285182,2026-04-16,108,0,0,0.05497386889515754,,,ALB,ALBG,0
41,0,0.1341834613444337,2026-06-26,41,0,0,0.11830842709113021,,ret_disagree=1,AMAT,AMA,1
574,0,0.23820480081192907,2025-04-09,574,0,0,0.08384171792111061,,,AMD,AMDL,0
40,0,0.18919692649717956,2026-06-12,40,0,0,0.14845651272597227,,ret_disagree=3,AMKR,AMKL,3
39,0,0.27399728604667495,2026-05-07,39,0,0,0.1277954767807734,,ret_disagree=1,AMPX,AMPU,1
727,0,0.11977031526306248,2025-04-09,727,0,0,0.025997858691849007,,,AMZN,AMZY,0
205,0,0.13605923802151,2026-05-06,205,0,0,0.08058545204067025,,,ANET,ANEL,0
90,0,0.12317799781860184,2026-05-27,90,0,0,0.036487546614617505,,,APH,APHU,0
206,0,0.25516256508497714,2026-02-06,206,0,0,0.0,,,APLD,APLX,0
299,0,0.19679953235908143,2026-02-12,299,0,0,0.0,,,APP,APPX,0
1047,0,0.16637872025988543,2025-04-09,1047,0,0,0.0,,,ARKK,TARK,0
367,0,0.24201813932561733,2025-04-09,367,0,0,0.11280325587454398,,,ARM,ARMG,0
2806,0,0.20064911956136733,2015-07-09,2806,0,0,0.012813233958583803,,,ASHR,CHAU,0
363,0,0.15434105728860126,2025-04-09,363,0,0,0.08478686187740347,,,ASML,ASMG,0
29,0,0.21441568018431,2026-06-30,29,1,0,0.17655872176466658,,ret_disagree=3,ASTS,ASTY,3
168,0,0.1875540095267536,2026-07-01,168,1,0,0.15793303548484072,,ret_disagree=1,AVAV,AVXX,1
279,0,0.12586859324621802,2026-06-04,279,0,0,0.046077860376172786,,,AVGO,AVGG,0
82,0,0.07879047275853979,2026-02-27,82,0,0,0.05838456338064968,,,AXP,AXPG,0
38,0,0.21448394154325878,2026-07-06,38,3,0,0.2730484491490133,,scale_bad=3;ret_disagree=3,AXTI,AXTU,3
138,0,0.12026892468924733,2026-01-30,138,0,0,0.004215457117891397,,,B,BU,0
252,0,0.10146947059794464,2025-12-02,252,0,0,0.032358247255426575,,,BA,BOEG,0
887,0,0.14259161985965974,2023-03-28,887,0,0,0.09946782559532275,,,BABA,BABX,0
0,0,,,0,0,0,,,no_metrics_und,BB,BBUL,0
211,0,0.22022170022567877,2025-10-13,211,0,0,0.04373173586864265,,,BBAI,BAIG,0
131,0,0.27212089690432006,2026-04-29,131,1,0,0.22680734637844124,,ret_disagree=3,BE,BEG,3
124,0,0.15031378263571815,2026-01-02,124,0,0,0.07095738155480635,,,BIDU,BIDG,0
169,0,0.16757735323386957,2026-02-09,169,0,0,0.10169496880206452,,,BLSH,BLSG,0
169,0,0.1961538613945375,2025-11-24,169,0,0,0.07917258348323197,,ret_disagree=1,BMNR,BMNG,1
252,0,0.04907416215515803,2026-03-02,0,0,0,,,no_yahoo,BRK-B,BRKC,0
219,0,0.13058414598426515,2026-02-06,219,0,0,0.0,,,BULL,BULG,0
0,0,,,0,0,0,,,no_metrics_und,CAMT,CAMC,0
0,0,,,0,0,0,,,no_metrics_und,CART,CARX,0
36,0,0.06901122132095683,2026-07-01,36,0,0,0.0,,,CAT,CATG,0
32,0,0.1961009459883828,2026-06-25,32,3,0,0.24393727671378618,,scale_bad=3;ret_disagree=4,CBRS,CBRG,4
0,0,,,0,0,0,,,no_metrics_und,CDNS,CDNG,0
247,0,0.10895190967020629,2026-03-20,247,0,0,0.001553803366528106,,,CEG,CEGX,0
57,0,0.05383125922282117,2026-06-02,57,0,0,0.05025406186659542,,,CHNL,CHNU,0
32,0,0.13659588777882092,2026-06-04,32,0,0,0.09463620649289184,,,CIEN,CIEG,0
132,0,0.23532706179170093,2026-05-05,132,1,0,0.22255483436714663,,ret_disagree=2,CIFR,CIFG,2
159,0,0.15168182302594113,2025-11-24,159,0,0,0.0,,,CLS,CSEX,0
201,0,0.21960066606042283,2026-02-06,201,0,0,0.0,,,CLSK,CLSX,0
146,0,0.1049250089299395,2026-06-02,146,0,0,0.04149499312557414,,,CMG,CMGG,0
127,0,0.15974141776764827,2026-03-10,127,0,0,0.02740344398130312,,,CNC,CNCG,0
32,0,0.13823645861111022,2026-06-15,32,0,0,0.11610096433529238,,ret_disagree=1,COHR,COHH,1
322,0,0.23974516158248993,2025-05-13,322,0,0,0.08195178724932928,,,COIN,COIG,0
89,0,0.14154294058611205,2026-06-10,89,0,0,0.05158791699324761,,,COPX,COPZ,0
165,0,0.1346608128292277,2026-02-06,165,0,0,0.0,,,CORZ,COZX,0
189,0,0.06547425692947151,2026-05-27,189,0,0,0.007860014164943196,,,COST,COTG,0
49,0,0.14087302450810557,2026-06-11,49,0,0,0.0,,,CPNG,CPNX,0
224,1,0.354733596817012,2026-02-25,224,0,0,0.11893932705403021,,jumps=1@2026-02-25,CRCL,CRCG,0
56,0,0.15922800696446848,2026-06-08,56,0,0,0.1318830438716765,,ret_disagree=1,CRDD,CRDX,1
201,0,0.18725813893879195,2026-04-14,201,0,0,0.0,,,CRDO,CRDU,0
311,0,0.09680795085887572,2026-06-01,311,0,0,0.05165115190998382,,,CRM,CRMG,0
98,1,0.3549082847237226,2026-04-17,98,0,0,0.12628342143887328,,jumps=1@2026-04-17,CRML,CRMU,0
0,0,,,0,0,0,,,no_metrics_und,CRUS,CRUC,0
403,11,2.929969436905479,2026-03-19,403,182,11,3.0,,phantom=11;scale_bad=182;jumps=11@2026-03-19;ret_disagree=11,CRWD,CRWL,11
221,0,0.22635933253169083,2025-12-19,221,1,0,0.1616969568967912,,,CRWV,CRWG,0
250,0,0.1340924282361735,2026-05-14,250,0,0,0.04570630882154281,,,CSCO,CSCL,0
256,2,4.186566295883813,2026-04-20,256,13,2,4.000000375443869,,phantom=2;scale_bad=13;jumps=2@2026-04-20;ret_disagree=2,CVNA,CVNX,2
345,1,0.46967358270124415,2026-06-01,345,0,0,0.0836600696665264,,jumps=1@2026-06-01,DELL,DLLL,0
4119,0,0.12761147072469736,2020-03-16,4119,0,0,0.003283156913176599,,,DIA,SDOW,0
331,1,0.41929314973114495,2025-12-18,331,0,0,0.048517537710621284,,jumps=1@2025-12-18,DJT,DJTU,0
228,0,0.1618240564070248,2026-06-10,228,0,0,0.10116732701498765,,,DKNG,DKNX,0
88,0,0.10999997456868482,2026-06-16,88,0,0,0.03750003818422498,,,DNN,DNNG,0
0,0,,,0,0,0,,,no_metrics_und,DRNZ,DRNL,0
135,0,0.14005957748548403,2026-02-27,135,0,0,0.10180082713474192,,,DUOL,DUOG,0
794,1,3.7899035672932584,2026-06-23,794,0,0,0.12634664064231327,,jumps=1@2026-06-23,ENTG,ENTL,0
113,1,0.39442949669217253,2026-02-26,113,0,0,0.0741324572365829,,jumps=1@2026-02-26,EOSE,EOSU,0
484,0,0.20096322775496211,2024-08-05,484,0,0,0.08648259551332282,,,ETHA,ETHU,0
32,0,0.06998944441102473,2026-06-24,32,0,0,0.07525661293887187,,,ETN,ETNG,0
191,0,0.20429718854301626,2026-02-17,191,0,0,0.0,,,ETOR,ETRL,0
4687,0,0.15821976260095094,2008-10-13,4687,0,0,0.005434001125985466,,,EWJ,EWV,0
2300,0,0.15250274834583866,2020-03-16,2300,0,0,0.016840213210676858,,,EWW,MEXX,0
3321,0,0.15805342903772202,2020-03-16,3321,0,0,0.03694982057639151,,,EWY,KORU,0
85,0,0.12620808685451868,2026-04-23,85,0,0,0.09973179132154852,,,FCX,FCXG,0
176,0,0.1388989946610928,2026-02-25,176,0,0,0.10688831477141836,,ret_disagree=1,FIG,FIGG,1
89,0,0.2573443006250321,2026-02-27,89,0,0,0.10707625132010778,,,FIGR,FGRU,0
174,0,0.22820129513440768,2025-12-19,174,0,0,0.0,,,FLY,FLYT,0
576,1,10.523222484093841,2026-06-16,576,0,0,0.0952142845798909,,jumps=1@2026-06-16,FN,FNG,0
0,0,,,0,0,0,,,no_metrics_und,FORM,FOMG,0
0,0,,,0,0,0,,,no_metrics_und,FPS,FPSX,0
179,0,0.13755952744256883,2026-05-07,179,0,0,0.06184948377127275,,,FUTU,FUTG,0
4160,0,0.2124122995014326,2022-03-16,4160,0,0,0.011846347164502058,,,FXI,YINN,0
1400,0,0.12761628061022434,2026-01-30,1400,0,0,0.09589048121701826,,,GDX,GDXU,0
3200,0,0.26270168990568055,2020-03-12,3200,0,0,0.019195021379345256,,,GDXJ,JNUG,0
152,0,0.33692301236666156,2026-03-04,152,0,0,0.08484850353081064,,,GEMI,GEMG,0
131,0,0.1374559391493091,2026-04-22,131,0,0,0.08947997748673231,,,GEV,GEVG,0
0,0,,,0,0,0,,,no_metrics_und,GFS,GFSG,0
0,0,,,0,0,0,,,no_metrics_und,GLD,UGLD,0
75,0,0.19629423678822833,2026-06-22,75,1,0,0.15773007760867674,,ret_disagree=2,GLW,GLWG,2
222,0,0.2136038571840433,2026-06-08,222,0,0,0.07361517559945063,,,GLXY,GLXU,0
293,0,0.2245183894467967,2025-06-12,293,0,0,0.05955521608792813,,,GME,GMEU,0
168,0,0.15986402735631833,2026-01-27,168,0,0,0.005066008593829663,,,GOLD,GLDW,0
616,0,0.10224373040520485,2024-04-26,616,0,0,0.09059247163792472,,,GOOGL,GOOX,0
134,0,0.05540161082465289,2026-06-03,134,0,0,0.05080215420747913,,,GRAB,GRAG,0
104,0,0.15574959427195711,2026-02-05,104,0,0,0.0,,,GSOL,SOLX,0
142,1,0.4078780285673327,2026-03-09,142,0,0,0.11103746678814186,,jumps=1@2026-03-09,HIMS,HMYY,0
