date,book_equity_start,book_equity,daily_price_pnl,daily_borrow_cost,daily_short_credit,daily_margin_cost,daily_txn_cost,daily_net_pnl,pnl_recon_residual,long_notional,short_notional,gross_notional,net_notional,pair_gross_notional,raw_plan_stock_gross_usd,blended_stock_structural_gross_usd,target_blend_alpha,confirmed_desired_gross_usd,turnover_reference_gross_usd,deployed_desired_gross_ratio,underlying_internalized_usd,gross_leverage,net_exposure_pct,turnover_usd,n_positions,largest_pair_gross_share,top5_gross_share,gross_hhi,n_stale_etf,n_stale_underlying,is_rebalance,active_plan_date,drawdown,core_leveraged,core_leveraged__price_pnl,core_leveraged__borrow_cost,core_leveraged__short_credit,core_leveraged__margin_cost,core_leveraged__txn_cost,core_leveraged__net_cap,core_leveraged__gross_cap,yieldboost,yieldboost__price_pnl,yieldboost__borrow_cost,yieldboost__short_credit,yieldboost__margin_cost,yieldboost__txn_cost,yieldboost__net_cap,yieldboost__gross_cap,inverse_decay_bucket4,inverse_decay_bucket4__price_pnl,inverse_decay_bucket4__borrow_cost,inverse_decay_bucket4__short_credit,inverse_decay_bucket4__margin_cost,inverse_decay_bucket4__txn_cost,inverse_decay_bucket4__net_cap,inverse_decay_bucket4__gross_cap,volatility_etp_bucket5,volatility_etp_bucket5__price_pnl,volatility_etp_bucket5__borrow_cost,volatility_etp_bucket5__short_credit,volatility_etp_bucket5__margin_cost,volatility_etp_bucket5__txn_cost,volatility_etp_bucket5__net_cap,volatility_etp_bucket5__gross_cap,core_leveraged_cum_pnl,yieldboost_cum_pnl,inverse_decay_bucket4_cum_pnl,volatility_etp_bucket5_cum_pnl
2026-02-27,1050000.0,1050000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.15,0.0,0.0,,0.0,0.0,0.0,0.0,0,,,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-02,1050000.0,1049274.6944089741,0.0,0.0,0.0,0.0,725.305591025861,-725.3055910258554,5.5706550483591855e-12,215242.0851128085,106057.91488719157,321300.00000000006,109184.17022561694,321300.0,2141999.9999999995,321300.00000000006,0.15,436800.0,436800.0,0.7355769230769231,0.0,0.3062115208839369,0.10405680305395833,321300.0,23,0.09,0.44286362779484967,0.06005890981294548,0,0,1,2026-02-28,-0.0006907672295484169,-725.305591025861,0.0,0.0,0.0,0.0,725.305591025861,109184.17022561691,321300.00000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-725.305591025861,0.0,0.0,0.0
2026-03-03,1049274.6944089741,1049373.6898968767,139.39641328996493,49.292368456395636,10.06216338157949,0.0,1.170720312467808,98.9954879025463,-1.346762701359694e-10,204370.63428812294,95604.44905439537,299975.0833425183,108766.18523372756,299975.08334251825,2105847.569194668,321300.0,0.15,436731.2346678908,436731.2346678908,0.6868642760819069,1.4551915228366852e-11,0.28586106763549335,0.10364866803971058,557.3814051793388,23,0.09362493625632286,0.4468957083356798,0.06029202468956824,0,0,1,2026-03-02,-0.0005964858124983818,98.99548790268098,139.39641328996493,49.292368456395636,10.06216338157949,0.0,1.170720312467808,108766.18523372755,299975.08334251825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-626.3101031231799,0.0,0.0,0.0
2026-03-04,1049373.6898968767,1049991.8137044837,661.1263747298776,54.096403504748245,11.093836381861129,0.0,0.0,618.1238076069858,-4.774847184307873e-12,214526.81417345762,105099.50256500015,319626.31673845777,109427.31160845747,319626.31673845777,2141983.2999571464,321300.0,0.15,436799.0995074932,436799.0995074932,0.7317467391733362,1.4551915228366852e-11,0.30440838925284747,0.10421729977340127,0.0,23,0.09334221822354424,0.4402253747353279,0.06013171679839225,0,0,0,2026-03-03,-7.796471920284986e-06,618.1238076069906,661.1263747298776,54.096403504748245,11.093836381861129,0.0,0.0,109427.31160845744,319626.31673845765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.186295516189375,0.0,0.0,0.0
2026-03-05,1049991.8137044837,1049942.020568458,-9.013404699919818,51.10178305100707,10.322051725240687,0.0,0.0,-49.79313602577895,-9.275424872612348e-11,207206.1566534061,97787.85844964867,304994.01510305476,109418.29820375743,304994.01510305476,2086394.47107952,321299.99999999994,0.15,436793.6222625304,436793.6222625304,0.6982565668501021,0.0,0.2904865308066491,0.10421365757369759,0.0,23,0.10216001632017775,0.4398434699241545,0.0600510662306155,0,0,0,2026-03-04,-5.5218506230581e-05,-49.793136025686195,-9.013404699919818,51.10178305100707,10.322051725240687,0.0,0.0,109418.29820375744,304994.01510305476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57.97943154187557,0.0,0.0,0.0
2026-03-06,1049942.020568458,1049391.9840736692,-384.78362504288924,45.81137162855112,9.34907071140374,0.0,128.79056882852203,-550.0364947887138,-1.5518253349000588e-10,216788.71391700118,104764.80590747546,321553.5198244766,112023.90800952572,321553.5198244767,2079751.9068849282,589061.398574312,0.15,704508.6837849867,704508.6837849867,0.4564223652956612,2.9103830456733704e-11,0.30641888322438626,0.10675125187697397,56178.0541897065,23,0.15967457633906423,0.4554587902320459,0.06639501578118956,0,0,1,2026-03-05,-0.0005790627869817211,-550.0364947885586,-384.78362504288924,45.81137162855112,9.34907071140374,0.0,128.79056882852203,112023.90800952566,321553.5198244766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-608.0159263304341,0.0,0.0,0.0
2026-03-09,1049391.9840736692,1050231.8926556772,895.4761532532133,67.63258461314143,12.06501336797751,0.0,0.0,839.9085820079781,-7.128164725145325e-11,227219.51080677635,114300.12664399746,341519.6374507738,112919.3841627789,341519.63745077373,2081973.7231372632,589061.398574312,0.15,704586.9067664365,704586.9067664365,0.48470903187530284,0.0,0.32518498042102634,0.10751852514899772,0.0,23,0.15785750333363702,0.4600331534104215,0.06665504749307877,0,0,0,2026-03-06,0.0,839.9085820080494,895.4761532532133,67.63258461314143,12.06501336797751,0.0,0.0,112919.38416277894,341519.6374507738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.89265567761527,0.0,0.0,0.0
2026-03-10,1050231.8926556772,1049560.1202330436,-611.920467071081,72.59383068797501,12.741875125376126,0.0,0.0,-671.7724226335995,8.037659426918253e-11,233019.96488348168,120712.5011877738,353732.4660712555,112307.46369570788,353732.46607125545,,,0.15,704586.9067664365,704586.9067664365,0.5020423494592615,1.4551915228366852e-11,0.3370292556396989,0.10700431688541216,0.0,23,0.1507619231965575,0.4704833581568846,0.06679104904978579,0,0,0,2026-03-06,-0.0006396419946217424,-671.7724226336799,-611.920467071081,72.59383068797501,12.741875125376126,0.0,0.0,112307.46369570786,353732.4660712554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-439.8797669560646,0.0,0.0,0.0
2026-03-11,1049560.1202330436,1049802.257445383,302.8099709674013,73.58187995146245,12.909121323327298,0.0,0.0,242.137212339323,5.687184057023842e-11,234907.21251924968,122296.93885257439,357204.1513718241,112610.27366667529,357204.15137182403,2059176.0000793412,589061.398574312,0.15,704539.6468933041,704539.6468933041,0.5070036199480471,0.0,0.34025850948449504,0.10726808107719654,0.0,23,0.15504770447968924,0.46374046286014164,0.06685217623375188,0,0,0,2026-03-10,-0.0004090860440429944,242.13721233926614,302.8099709674013,73.58187995146245,12.909121323327298,0.0,0.0,112610.27366667522,357204.15137182403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-197.74255461679846,0.0,0.0,0.0
2026-03-12,1049802.257445383,1050142.2803585257,396.5557317148066,68.74496938133558,12.212150809447406,0.0,0.0,340.0229131428059,-1.1249312592553906e-10,228700.88969841806,115694.06030002808,344394.94999844616,113006.82939838998,344394.94999844616,2035437.6130280406,589061.398574312,0.15,704577.0494137498,704577.0494137498,0.4887967189464989,0.0,0.32795075147423586,0.10761096997238191,0.0,23,0.15023981046459692,0.45631774576285555,0.06530611703339667,0,0,0,2026-03-11,-8.532620060208718e-05,340.0229131429184,396.5557317148066,68.74496938133558,12.212150809447406,0.0,0.0,113006.8293983901,344394.9499984463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.28035852611995,0.0,0.0,0.0
