date,source,b2_budget_usd,b2_plan_gross_usd,b2_fill_ratio,n_b2_positive,n_b2_rows
2026-06-01,prod_replay,1900000.0,521872.3307827114,0.2746696477803744,6,30
2026-06-02,prod_replay,1900000.0,186537.2197936646,0.09817748410192874,5,33
2026-06-03,prod_replay,1900000.0,267140.80622851045,0.14060042433079498,10,42
2026-06-04,prod_replay,1900000.0,734910.5519438074,0.386795027338846,6,31
2026-06-05,prod_replay,1900000.0,534363.8321951706,0.2812441222079845,6,27
2026-06-06,prod_replay,1900000.0,719618.8671505628,0.37874677218450675,5,31
2026-06-09,prod_replay,1900000.0,309030.44801532885,0.16264760421859412,9,27
2026-06-10,prod_replay,1900000.0,317618.02610474033,0.16716738216038965,9,28
2026-06-11,prod_replay,1900000.0,396832.3961213075,0.20885915585331974,8,29
2026-06-12,prod_replay,1900000.0,469140.7890714662,0.2469162047744559,9,28
2026-06-13,prod_replay,1900000.0,438599.29547586467,0.2308417344609814,9,29
2026-06-14,archived_proposed_fallback_sanitized,1900000.0,508448.695181654,0.26760457641139684,11,30
2026-06-15,prod_replay,1900000.0,465517.8188293485,0.24500937833123604,9,28
2026-06-16,prod_replay,1900000.0,400951.109409973,0.21102689968945948,8,29
2026-06-17,prod_replay,1900000.0,375206.8858855469,0.19747730836081417,9,37
2026-06-18,prod_replay,1900000.0,209934.2950057989,0.11049173421357837,8,36
2026-06-19,prod_replay,1900000.0,605142.2712535362,0.31849593223870326,6,36
2026-06-20,prod_replay,1900000.0,609171.0520003702,0.32061634315808957,6,36
2026-06-22,prod_replay,1900000.0,476932.5717784507,0.25101714304128986,7,33
2026-06-23,prod_replay,1900000.0,432895.08654805267,0.2278395192358172,11,33
2026-06-24,prod_replay,1900000.0,224019.44781121917,0.11790497253222061,7,36
2026-06-25,prod_replay,1900000.0,408927.87321796536,0.21522519643050808,5,23
2026-06-26,archived_proposed_fallback_sanitized,1900000.0,307174.7218109531,0.1616709062162911,2,42
2026-06-27,archived_proposed_fallback_sanitized,1900000.0,233369.75117628594,0.12282618482962418,4,38
2026-06-29,archived_proposed_fallback_sanitized,1900000.0,649372.7561045301,0.34177513479185795,6,40
2026-06-30,prod_replay,1900000.0,204104.36493608312,0.10742334996635954,9,42
2026-07-01,prod_replay,1900000.0,259034.37063012595,0.13633387927901366,10,43
2026-07-02,prod_replay,1900000.0,518015.32168213394,0.2726396429905968,11,40
2026-07-03,prod_replay,1900000.0,522760.78817529907,0.2751372569343679,10,40
2026-07-04,prod_replay,1900000.0,522771.06207525026,0.27514266425013173,10,40
2026-07-05,prod_replay,1900000.0,523108.5912734228,0.2753203111965383,10,39
2026-07-06,prod_replay,1900000.0,395046.02029164764,0.2079189580482356,9,38
2026-07-07,prod_replay,1900000.0,638187.0901556001,0.33588794218715795,8,41
2026-07-08,prod_replay,1900000.0,355857.0668800419,0.1872931930947589,10,42
2026-07-09,prod_replay,1900000.0,375484.04109662294,0.1976231795245384,10,45
2026-07-10,prod_replay,1900000.0,536319.3892955229,0.28227336278711734,10,36
2026-07-11,prod_replay,1900000.0,537874.9414678388,0.28309207445675727,10,36
2026-07-13,prod_replay,1900000.0,413669.03867417655,0.21772054667061924,9,36
2026-07-14,prod_replay,1900000.0,537368.2151293276,0.28282537638385663,9,37
2026-07-15,prod_replay,1900000.0,428297.6667564467,0.22541982460865617,10,36
2026-07-16,prod_replay,1900000.0,459319.06671822246,0.2417468772201171,11,43
2026-07-17,prod_replay,1900000.0,321269.9428601957,0.16908944361062933,11,33
2026-07-18,prod_replay,1900000.0,319574.29564014357,0.16819699770533872,11,33
2026-07-19,prod_replay,1900000.0,318670.0864154757,0.16772109811340827,11,32
2026-07-20,prod_replay,1900000.0,397180.4670029578,0.20904235105418834,11,32
