date,source,b2_budget_usd,b2_plan_gross_usd,b2_fill_ratio,n_b2_positive,n_b2_rows
2026-02-27,prod_replay,1900000.0,0.0,0.0,0,0
2026-02-28,prod_replay,1900000.0,0.0,0.0,0,0
2026-03-02,prod_replay,1900000.0,0.0,0.0,0,0
2026-03-03,prod_replay,1900000.0,0.0,0.0,0,0
2026-03-04,prod_replay,1900000.0,0.0,0.0,0,0
2026-03-05,prod_replay,1900000.0,0.0,0.0,0,0
2026-03-06,prod_replay,1900000.0,0.0,0.0,0,0
2026-03-10,prod_replay,1900000.0,0.0,0.0,0,0
2026-03-11,prod_replay,1900000.0,0.0,0.0,0,0
2026-03-12,prod_replay,1900000.0,0.0,0.0,0,0
2026-03-18,prod_replay,1900000.0,0.0,0.0,0,0
2026-03-20,prod_replay,1900000.0,0.0,0.0,0,0
2026-03-21,prod_replay,1900000.0,0.0,0.0,0,0
2026-03-23,prod_replay,1900000.0,0.0,0.0,0,0
2026-03-24,prod_replay,1900000.0,0.0,0.0,0,0
2026-03-25,prod_replay,1900000.0,0.0,0.0,0,0
2026-03-26,prod_replay,1900000.0,0.0,0.0,0,0
2026-03-27,prod_replay,1900000.0,0.0,0.0,0,0
2026-03-28,prod_replay,1900000.0,0.0,0.0,0,0
2026-03-31,prod_replay,1900000.0,0.0,0.0,0,0
2026-04-01,prod_replay,1900000.0,0.0,0.0,0,0
2026-04-02,prod_replay,1900000.0,0.0,0.0,0,0
2026-04-03,prod_replay,1900000.0,0.0,0.0,0,0
2026-04-04,prod_replay,1900000.0,0.0,0.0,0,0
2026-04-07,prod_replay,1900000.0,0.0,0.0,0,0
2026-04-08,prod_replay,1900000.0,0.0,0.0,0,0
2026-04-09,prod_replay,1900000.0,0.0,0.0,0,0
2026-04-10,prod_replay,1900000.0,0.0,0.0,0,0
2026-04-11,prod_replay,1900000.0,0.0,0.0,0,0
2026-04-14,prod_replay,1900000.0,0.0,0.0,0,0
2026-04-15,prod_replay,1900000.0,0.0,0.0,0,0
2026-04-16,prod_replay,1900000.0,0.0,0.0,0,0
2026-04-17,archived_proposed_fallback_sanitized,1900000.0,374999.99999999994,0.19736842105263155,13,14
2026-04-18,archived_proposed_fallback_sanitized,1900000.0,375000.0,0.19736842105263158,13,14
2026-04-20,archived_proposed_fallback_sanitized,1900000.0,375000.0,0.19736842105263158,13,14
2026-04-21,archived_proposed_fallback_sanitized,1900000.0,375000.0000000002,0.19736842105263167,13,15
2026-04-22,prod_replay,1900000.0,0.0,0.0,0,2
2026-04-23,archived_proposed_fallback_sanitized,1900000.0,571428.5714285715,0.30075187969924816,15,17
2026-04-24,archived_proposed_fallback_sanitized,1900000.0,571428.5714285714,0.3007518796992481,11,12
2026-04-25,prod_replay,1900000.0,1325976.4553318548,0.6978823449115025,6,6
2026-04-26,prod_replay,1900000.0,1216160.9871646825,0.640084730086675,8,8
2026-04-27,prod_replay,1900000.0,634569.3928664982,0.33398389098236747,7,7
2026-04-28,archived_proposed_fallback_sanitized,1900000.0,571428.5714285715,0.30075187969924816,11,11
2026-04-29,archived_proposed_fallback_sanitized,1900000.0,571428.5714285715,0.30075187969924816,11,11
2026-04-30,archived_proposed_fallback_sanitized,1900000.0,571428.5714285714,0.3007518796992481,15,15
2026-05-01,archived_proposed_fallback_sanitized,1900000.0,571428.5714285716,0.3007518796992482,9,23
2026-05-02,archived_proposed_fallback_sanitized,1900000.0,571428.5714285716,0.3007518796992482,9,21
2026-05-03,archived_proposed_fallback_sanitized,1900000.0,571428.5714285715,0.30075187969924816,9,22
2026-05-04,archived_proposed_fallback_sanitized,1900000.0,571428.5714285715,0.30075187969924816,8,18
2026-05-05,archived_proposed_fallback_sanitized,1900000.0,571428.5714285714,0.3007518796992481,9,15
2026-05-06,archived_proposed_fallback_sanitized,1900000.0,24938.432444274964,0.013125490760144718,9,17
2026-05-07,archived_proposed_fallback_sanitized,1900000.0,128323.66433901581,0.06753877070474516,9,17
2026-05-08,archived_proposed_fallback_sanitized,1900000.0,151164.8812129497,0.07956046379628931,9,15
2026-05-09,archived_proposed_fallback_sanitized,1900000.0,139792.280154215,0.07357488429169211,9,15
2026-05-11,archived_proposed_fallback_sanitized,1900000.0,1256500.5736994306,0.661316091420753,11,19
2026-05-12,archived_proposed_fallback_sanitized,1900000.0,1235959.0669927076,0.650504772101425,11,23
2026-05-13,archived_proposed_fallback_sanitized,1900000.0,160000.0,0.08421052631578947,11,33
2026-05-14,archived_proposed_fallback_sanitized,1900000.0,922231.2804746188,0.4853848844603257,12,38
2026-05-15,archived_proposed_fallback_sanitized,1900000.0,354502.9889785935,0.1865805205150492,8,36
2026-05-16,archived_proposed_fallback_sanitized,1900000.0,382836.92530626495,0.20149311858224472,7,33
2026-05-18,prod_replay,1900000.0,227122.30643550452,0.11953805601868658,8,30
2026-05-19,prod_replay,1900000.0,446523.653643094,0.23501244928583895,8,28
2026-05-20,prod_replay,1900000.0,407830.9876154462,0.2146478882186559,8,27
2026-05-21,prod_replay,1900000.0,504730.7135139433,0.265647743954707,4,30
2026-05-22,prod_replay,1900000.0,540249.4372264789,0.28434180906656786,4,26
2026-05-23,prod_replay,1900000.0,546925.6204340357,0.28785558970212405,4,25
2026-05-24,prod_replay,1900000.0,546925.7351880358,0.2878556500989662,4,25
2026-05-25,archived_proposed_fallback_sanitized,1900000.0,511730.41466539097,0.26933179719231104,7,28
2026-05-26,prod_replay,1900000.0,899370.1507132797,0.47335271090172615,5,23
2026-05-27,prod_replay,1900000.0,532172.1090258237,0.28009058369780193,4,37
2026-05-28,prod_replay,1900000.0,277947.647860306,0.14628823571595054,9,35
2026-05-29,prod_replay,1900000.0,317272.55957591836,0.16698555767153597,8,36
2026-05-30,prod_replay,1900000.0,473590.08360717224,0.24925793874061697,4,32
