date,replay_end,ETF,Underlying,sleeve,reason,on_model_cadence,on_operator_day,prev_etf_usd,prev_underlying_usd,etf_usd,underlying_usd,turnover_usd,txn_cost
2026-03-06,2026-07-17,APLZ,APLD,inverse_decay_bucket4,enter_membership,False,True,0.0,0.0,-4527.79488440237,-4043.4564392281036,8571.251323630473,17.83793650433745
2026-03-06,2026-07-17,CLSZ,CLSK,inverse_decay_bucket4,enter_membership,False,True,0.0,0.0,-4433.162415286577,-4138.088908343895,8571.251323630473,19.408057303958866
2026-03-13,2026-07-17,CORD,CRWV,inverse_decay_bucket4,enter_membership,False,True,0.0,0.0,-3033.5159413580527,-2733.633021025394,5767.148962383447,12.326372330610031
2026-03-20,2026-07-17,CORD,CRWV,inverse_decay_bucket4,hard_exit,False,True,-2937.213847981607,-2745.766044680195,0.0,0.0,5682.979892661802,12.158034191166742
2026-04-06,2026-07-17,BEZ,BE,inverse_decay_bucket4,enter_membership,False,True,0.0,0.0,-1948.7928251492008,-1728.7948698334442,3677.587694982645,7.437868150155177
2026-04-06,2026-07-17,CORD,CRWV,inverse_decay_bucket4,enter_membership,False,True,0.0,0.0,-1932.832680718579,-1744.7550142640664,3677.587694982645,7.9244113006375265
2026-04-06,2026-07-17,SMZ,SMR,inverse_decay_bucket4,enter_membership,False,True,0.0,0.0,-1825.6421308446688,-1604.8591038541406,3430.5012346988096,7.5293223409622225
2026-04-13,2026-07-17,CORD,CRWV,inverse_decay_bucket4,hard_exit,False,True,-965.7109108167136,-2376.9968342309976,0.0,0.0,3342.7077450477113,7.254651400767659
2026-04-13,2026-07-17,BEZ,BE,inverse_decay_bucket4,hard_exit,False,True,-1076.6511911770579,-2262.4161962070866,0.0,0.0,3339.0673873841442,6.7608275349581755
2026-04-13,2026-07-17,MSTZ,MSTR,inverse_decay_bucket4,enter_membership,False,True,0.0,0.0,-2341.460675334772,-2088.595332140196,4430.056007474968,9.67134747736073
2026-04-20,2026-07-17,APLZ,APLD,inverse_decay_bucket4,hard_exit,False,True,-1851.247183075441,-5177.361192757388,0.0,0.0,7028.60837583283,14.752650608742162
2026-04-20,2026-07-17,SMZ,SMR,inverse_decay_bucket4,hard_exit,False,True,-946.6292038597642,-2018.303610923264,0.0,0.0,2964.9328147830283,6.59818550113066
2026-04-20,2026-07-17,CRCD,CRCL,inverse_decay_bucket4,enter_membership,False,True,0.0,0.0,-999.1864211422816,-2008.2567943625024,3007.443215504784,6.791775691075465
2026-04-20,2026-07-17,MSDD,MSTR,inverse_decay_bucket4,enter_membership,False,True,0.0,0.0,-891.4803944336147,-1783.9485491442613,2675.428943577876,5.481472762902685
2026-04-20,2026-07-17,ETHD,ETHA,inverse_decay_bucket4,enter_membership,False,True,0.0,0.0,-665.1921325283923,-1318.0815365656724,1983.2736690940646,4.275504044271834
