etf,n_panel,n_big50,worst_abs_ret,worst_date,yahoo_ov,scale_bad_days,phantom_days,max_abs_ratio_m1,scale_mode,issue
CRCA,227,1,0.7023256121027328,2026-02-25,227,0,0,0.009128189866013381,,jumps=1@2026-02-25
CRCD,188,0,0.40044754422984874,2026-03-24,188,135,0,1.7375565138328084,1/3,scale_bad=135;mode=1/3
CRCG,224,1,0.7194244801754439,2026-02-25,224,1,0,0.2655936071197451,,scale_bad=1;jumps=1@2026-02-25
CRDU,201,0,0.37658442588105445,2026-04-14,201,0,0,0.0,,
CRMG,311,0,0.1929824628114547,2026-06-01,311,0,0,3.7562663091073034e-08,,
CRMU,98,1,0.6971350218096082,2026-04-17,98,0,0,0.0006091574682545176,,jumps=1@2026-04-17
CRMX,119,2,0.7074051516095221,2026-04-17,119,0,0,3.368869620923309e-05,,jumps=2@2026-04-17
CRWG,221,0,0.4522058416196644,2025-12-19,221,0,0,0.16334856314742452,,
CRWL,403,0,0.34322909740735685,2026-06-01,403,0,0,0.029269196731706137,,
CRWU,231,0,0.4493040729796436,2025-12-19,231,0,0,2.131115839354436e-08,,
CSCL,250,0,0.25406729156438035,2026-02-12,250,0,0,0.002737728559598418,,
CSEX,159,0,0.3054566685702442,2025-11-24,159,0,0,1.3025001188715635e-08,,
CVNX,258,0,0.3529126370455429,2025-07-31,3,0,0,2.8594397681880324e-05,,
CWEB,2417,1,0.8033570300599366,2022-03-16,2417,0,0,0.004722676879089116,,jumps=1@2022-03-16
CWVX,247,0,0.44930330007119346,2025-12-19,247,0,0,4.8969155397315944e-09,,
DAMD,155,0,0.3712255968214019,2026-05-06,155,0,0,2.8049243816496983e-08,,
DJTU,331,1,0.8362989154754363,2025-12-18,331,0,0,4.445092338656309e-08,,jumps=1@2025-12-18
DKNX,228,0,0.34258424154994005,2026-06-10,228,0,0,1.8289644742819355e-05,,
DLLL,345,6,7.136530760741948,2026-06-15,345,243,5,8.050812619317922,med=8.000,phantom=5;scale_bad=243;mode=med=8.000;jumps=6@2026-06-15
DNNG,88,0,0.22779364919855483,2026-06-16,88,0,0,0.00012897676433987204,,
DRAY,242,0,0.12513327878061675,2026-06-10,242,0,0,0.06470145853323306,,
DUOG,135,0,0.28203015554709066,2026-02-27,135,0,0,0.1427482501622811,,
ELIL,311,0,0.28982018632446915,2025-04-17,311,0,0,0.004824639827625488,,
