ETF,Underlying,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,cagr_positive,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,include_for_algo,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_underlying_annual,vol_etf_annual,gross_decay_annual,net_decay_annual
AAPU,AAPL,1.7832559099588945,886,ols,0.05788,-0.02158,0.07946,45000,0.07946,False,False,False,,True,False,False,False,True,False,False,False,False,0.284802,0.562018,0.032621,-0.046839000000000006
AMUU,AMD,2.0072132783395493,221,ols,0.02013,0.01617,0.003959999999999998,10000,0.003959999999999998,False,False,False,,True,False,False,False,True,False,False,False,False,0.558565,1.318384,0.117827,0.113867
AMZU,AMZN,1.7316023123978737,866,ols,0.045587,-0.009287,0.054874000000000006,250000,0.054874000000000006,False,False,False,,True,False,False,False,True,False,False,False,False,0.315635,0.625091,0.083736,0.028862
ASMU,ASML,2.070650312213992,6,ols_short_history,,,,0,,False,True,False,,False,True,False,False,False,False,True,True,False,0.431249,,,
AVL,AVGO,1.9870879812259128,340,ols,,,,0,,False,True,False,,False,True,False,False,False,False,True,True,False,0.538193,1.091561,0.110924,
BOEU,BA,1.9884361602483775,208,ols,0.044729,-0.008428999999999999,0.053158,45000,0.053158,False,False,False,,True,False,False,False,True,False,False,False,False,0.348241,0.572089,0.103224,0.050066
BABU,BABA,2.1635525131619584,5,ols_short_history,0.257278,-0.220978,0.478256,100,0.478256,False,False,False,,False,True,False,False,False,False,True,True,False,0.43948,,,
BRKU,BRK-B,1.9512042419956568,297,ols,0.058941999999999994,-0.022642000000000002,0.08158399999999999,45000,0.08158399999999999,False,False,False,,False,True,False,False,False,True,True,False,False,0.167623,0.352525,0.106907,0.025323000000000012
CONX,COIN,1.991532446222373,62,ols,0.09581200000000001,-0.059512,0.15532400000000002,800,0.15532400000000002,False,False,False,,False,True,False,False,False,False,True,True,False,0.792455,1.450025,0.194087,0.03876299999999999
CSCL,CSCO,2.0274543347736222,165,ols,0.046836,-0.010536,0.057372000000000006,15000,0.057372000000000006,False,False,False,,True,False,False,False,True,False,False,False,False,0.233152,0.535084,0.11538,0.05800799999999999
FRDU,F,1.979458745033428,146,ols,0.0028910000000000003,0.03341,0.0,200,0.0,False,False,False,,True,False,False,False,True,False,False,True,False,0.343345,0.606809,0.113239,0.113239
GGLL,GOOGL,1.750861971299417,866,ols,0.038346,-0.002046,0.040392,600000,0.040392,False,False,False,,True,False,False,False,True,False,False,False,False,0.298414,0.590217,0.023929,-0.016463
HODU,HOOD,2.0069670140787634,62,ols,0.109778,-0.073478,0.183256,20000,0.183256,False,False,False,,False,True,False,False,False,False,True,False,False,0.702555,1.487002,0.165957,-0.01729900000000001
LINT,INTC,1.9901558023837016,62,ols,0.431723,-0.39542299999999997,0.8271459999999999,25000,0.8271459999999999,False,False,False,,False,True,False,False,False,False,True,False,False,0.616746,1.494795,0.124007,-0.703139
ELIL,LLY,1.993236187114396,226,ols,0.107917,-0.071617,0.179534,8000,0.179534,False,False,False,,False,True,False,False,False,False,True,False,False,0.371349,0.864038,0.109419,-0.070115
LMTL,LMT,1.974150419548422,136,ols,0.09058999999999999,-0.054290000000000005,0.14488,2000,0.14488,False,False,False,,False,True,False,False,False,False,True,False,False,0.23654,0.464838,0.083389,-0.061491000000000004
METU,META,1.998589661086909,427,ols,0.065522,-0.029222,0.094744,700000,0.094744,False,False,False,,False,True,False,False,False,True,True,False,False,0.353425,0.711875,0.114845,0.020101000000000008
MRVU,MRVL,2.3024696221516017,5,ols_short_history,0.035311,0.000989,0.034322000000000005,900,0.034322000000000005,False,False,False,,True,False,False,False,True,False,False,True,False,0.627389,,,
MSFU,MSFT,1.7237540272541014,866,ols,0.04143500000000001,-0.005135,0.04657000000000001,1100000,0.04657000000000001,False,False,False,,True,False,False,False,True,False,False,False,False,0.239695,0.474071,0.108008,0.061438
MUU,MU,1.9951978838083824,340,ols,0.021295,0.015005,0.006290000000000002,350000,0.006290000000000002,False,False,False,,True,False,False,False,True,False,False,False,False,0.601193,1.254296,0.110299,0.10400899999999999
NFXL,NFLX,1.9948234218602023,345,ols,0.041619,-0.005319000000000001,0.04693800000000001,4000,0.04693800000000001,False,False,False,,True,False,False,False,True,False,False,False,False,0.312857,0.663374,0.111093,0.06415499999999999
NVDU,NVDA,1.9025320110298425,611,ols,0.054928,-0.018628,0.073556,90000,0.073556,False,False,False,,True,False,False,False,True,False,False,False,False,0.496438,0.978635,0.096686,0.023129999999999998
ORCU,ORCL,2.009316119085496,62,ols,0.127171,-0.090871,0.218042,100000,0.218042,False,False,False,,False,True,False,False,False,False,True,False,False,0.512062,1.132799,0.114993,-0.10304900000000002
PALU,PANW,2.0058643055235126,226,ols,0.079325,-0.043025,0.12235000000000001,30000,0.12235000000000001,False,False,False,,False,True,False,False,False,False,True,False,False,0.341472,0.724879,0.109206,-0.013144000000000017
PLTU,PLTR,1.991730415049792,297,ols,0.048432,-0.012132,0.06056400000000001,150000,0.06056400000000001,False,False,False,,True,False,False,False,True,False,False,False,False,0.628007,1.308965,0.116825,0.05626099999999999
QCMU,QCOM,2.0022929511908107,165,ols,0.025461,0.010839000000000001,0.014622,6000,0.014622,False,False,False,,True,False,False,False,True,False,False,False,False,0.387275,0.67325,0.113386,0.098764
