etf,und,pnl,pair_borrow_paid,net_pnl_after_borrow,avg_gross,ratio,ratio_net,decay_col,decay_value,gross_decay_for_weight,borrow_for_weight,borrow_avg_annual,borrow_obs,net_decay_annual,shares_available,shares_available_avg,shares_available_for_cap,shares_obs,aum_usd,aum_m,aum_source,etf_price,short_frac,pair_target_gross_usd,short_target_usd,max_short_capacity_usd_full,max_short_capacity_usd_used,short_capacity_utilization,pair_max_dd_to_gross,max_dd_penalty_weight,pnl_component,decay_component,combined_signal,weight_raw,weight_cap,weight,cap_binding,underlying_total_weight
HMYY,HIMS,12286.552700042725,-173.13716031505282,12459.689860357777,23333.86019893025,0.5265546547075827,0.5339746511779048,decay_score_hist_borrow,0.733095,0.704845,-0.02825,0.04976733333333331,28,1.7532880000000002,11455,11455.0,11455.0,29,922406.0,0.922406,cache,7.427000045776367,0.7911392405063292,19989.715834333605,15814.648603112031,85076.28552436829,21269.07138109207,0.7435514376603696,0.03848338492387802,0.42,0.4250336748777203,0.7106835829547485,0.055914484822319685,0.0600479279541317,0.00042531310285816185,0.00042531310285816185,1,0.00042531310285816185
MTYY,MSTR,54550.37234687805,2168.366289815447,52382.00605706261,132854.1556977908,0.4106034324659455,0.39428202890557873,decay_score_hist_borrow,0.598735,0.641862,0.043127000000000006,0.10698555555555554,22,1.009084,89189,89189.0,89189.0,29,2550098.0,2.550098,cache,4.747000217437744,0.7183908045977011,109552.1254418704,78701.23954157357,423380.20239305496,105845.05059826374,0.7435514376603696,0.04360701070081082,0.42,0.28034626331366835,0.5687980657726822,0.03721008798046763,0.03867989661360927,0.0023308962859972427,0.0023308962859972427,1,0.04212242278064147
MAAY,MARA,22751.80774497986,67.88043101228988,22683.927313967568,72405.63792422158,0.31422701874115777,0.3132895167322212,decay_score_hist_borrow,0.427069,0.430069,0.003,0.10346407692307692,30,0.791489,33477,33477.0,33477.0,29,3712655.0,3.712655,cache,7.488999843597412,0.7621951219512195,61144.19268799938,46603.80540243855,250709.24776411057,62677.31194102764,0.7435514376603696,0.04817307779832465,0.42,0.20278572992335733,0.3922363626602645,0.026852287733003088,0.027193903214304406,0.0013009402699574336,0.0013009402699574336,1,0.015796608262054708
COYY,COIN,599172.1347751617,126276.27774524158,472895.85702992015,1946093.7420312057,0.30788451852775855,0.2429974706852211,decay_score_hist_borrow,0.317545,0.457614,0.140069,0.3494291923076923,30,0.334406,1764629,1764629.0,1764629.0,29,43082444.0,43.082444,cache,4.0329999923706055,0.6779661016949152,1513304.0133694252,1025968.822623339,7116748.743536949,1779187.1858842373,0.5766502989472934,0.043449363033154366,0.42,0.1436171952028722,0.28312994637708805,0.019034961711952757,0.01875374127231276,0.04151708202443446,0.03219795773126437,0,0.046537167257444716
MSTU,MSTR,630430.3600130081,155145.0448999686,475285.3151130395,2267465.33834219,0.27803307479616607,0.20961084038468014,decay_score_hist_borrow,0.9184749999999999,1.081092,0.162617,0.48349179999999997,34,0.866486,1800000,1749483.8709677418,1749483.8709677418,31,305530272.0,305.530272,cache,4.425000190734863,0.33715441672285906,1710113.226956118,576572.2275644363,7741466.462719824,1935366.615679956,0.29791369908582827,0.014933554187161722,0.42,0.1260916093194284,0.9106973517988861,0.018894076333009477,0.02119271522533508,0.055,0.036385387807576976,0,0.04212242278064147
FBYY,META,4039.804436683655,-172.57605599614055,4212.380492679796,20969.193727999147,0.19265425695836363,0.2008842374828751,decay_score_hist_borrow,0.318164,0.289498,-0.028666,0.037236687500000004,20,0.584099,4314,4314.0,4314.0,29,490065.0,0.490065,cache,13.854999542236328,0.6385696040868455,17399.20642375738,11110.604357444048,59770.46802520752,14942.61700630188,0.7435514376603695,0.02036310654254604,0.42,0.11729141550140725,0.2837371105881826,0.015718784007731645,0.015251206942072396,0.00037019588135654,0.00037019588135654,1,0.010433697131908701
BMNU,BMNR,119222.61635863781,19142.111122755876,100080.50523588194,762470.1380674494,0.1563636533501738,0.1312582621131172,decay_score_hist_borrow,1.2071230000000002,1.349031,0.141908,0.3350857677291279,29,1.4004582110911483,350000,568225.8064516129,568225.8064516129,31,220338432.0,220.338432,cache,1.9950000047683716,0.33909799932180396,621426.3345180318,210724.42676094666,1133610.4865804794,283402.62164511986,0.7435514376603697,0.023300977303800527,0.42,0.0645384227000394,1.23006108004157,0.012188165910571924,0.013199829135154923,0.013221836904638974,0.013221836904638974,1,0.018075145803187392
QBY,QBTS,10211.641793251038,832.7407252992381,9378.9010679518,54981.85156427428,0.18572749921514622,0.1705817610923448,decay_score_hist_borrow,0.33681,0.395094,0.058284,0.18185821428571422,18,0.750358,20686,20686.0,20686.0,29,1506819.0,1.506819,cache,9.520000457763672,0.7763975155279503,47149.8568992817,36607.0317541007,196930.72946929932,49232.68236732483,0.7435514376603696,0.057069074659178196,0.42,0.0824182256959346,0.3020810450769686,0.01138371554355658,0.010763623788152717,0.0010031884446655682,0.0010031884446655682,1,0.008951406417460775
ETHU,ETHA,152275.89354991913,-11947.49739115663,164223.39094107575,1318252.320475998,0.11551346520287932,0.12457659917623169,decay_score_hist_borrow,0.804643,0.782915,-0.021728,0.015950866666666643,34,0.7646120000000001,1100000,860161.2903225806,860161.2903225806,31,706588160.0,706.58816,cache,25.65999984741211,0.33322225924691773,895789.8564655334,298497.1197819172,22071738.57842722,5517934.644606805,0.054095805587995933,0.016918237915874317,0.42,0.06178877335405372,0.7873422577158575,0.010382652697381046,0.011101147591033152,0.055,0.019059358648202837,0,0.04158595451778409
ETHT,ETHA,171180.80009365082,10820.220924956253,160360.57916869456,1288683.577940548,0.13283384922714367,0.12443751275620943,decay_score_hist_borrow,0.745917,0.765985,0.020068000000000003,0.10543266666666667,28,0.668121,100000,123486.20689655172,123486.20689655172,29,179475888.0,179.475888,cache,17.15999984741211,0.3342245989304813,871924.641159294,291418.66348906886,2119023.2915023277,529755.8228755819,0.5500999722989571,0.017937593283816944,0.42,0.06140119841590816,0.7243684990272782,0.01012627735936905,0.01080539599762745,0.025075551180736348,0.018551588109772213,0,0.04158595451778409
