etf,und,pnl,pair_borrow_paid,net_pnl_after_borrow,avg_gross,ratio,ratio_net,decay_col,decay_value,gross_decay_for_weight,borrow_for_weight,borrow_avg_annual,borrow_obs,net_decay_annual,shares_available,shares_available_avg,shares_available_for_cap,shares_obs,aum_usd,aum_m,aum_source,etf_price,short_frac,pair_target_gross_usd,short_target_usd,max_short_capacity_usd_full,max_short_capacity_usd_used,short_capacity_utilization,pair_max_dd_to_gross,max_dd_penalty_weight,pnl_component,decay_component,combined_signal,weight_raw,weight_cap,weight,cap_binding,underlying_total_weight
HMYY,HIMS,170220.7716808319,0.0,170220.7716808319,286830.1358276036,0.5934549770709638,0.5934549770709638,net_decay_annual,1.7152407357475985,0.6757583835809104,-0.005,0.05121059999999998,29,1.7152407357475985,11455.0,11455.0,11455.0,32,922406.0,0.922406,cache,7.840000152587891,0.7942811755361399,18799.380860225385,14931.994329011426,89807.20174789429,22451.80043697357,0.6650689048714976,0.041436101620238495,0.5,0.5268032700269186,1.7621437604394004,0.037985523874936915,0.024867472048256123,0.0003759876172045077,0.0003759876172045077,1,0.0003759876172045077
MSTZ,MSTR,384472.38794851303,30242.655051324746,354229.7328971883,654879.5137631489,0.5870887390250012,0.5409082517510282,net_decay_annual,2.6224069795507043,2.408509979550705,0.09,0.5677148275862068,33,2.6224069795507043,3781168.0,3781168.0,3781168.0,32,97254712.0,97.254712,cache,6.628600120544434,0.335345405767941,2500000.0,838363.5144198524,25063850.660598755,6265962.665149689,0.13379644265719937,0.16019853864303774,0.5,0.41025045982505653,2.7519155148177035,0.033187356567545644,0.07249859817521885,0.05,0.05,1,0.07880848780988929
NVDL,NVDA,691503.4225208759,0.0,691503.4225208759,1366433.6796868544,0.5060643870248777,0.5060643870248777,net_decay_annual,0.3647390354264889,0.3636970354264889,-0.0,0.06924499999999999,34,0.3647390354264889,0.0,1320312.5,1320312.5,32,3934344192.0,3934.344192,cache,93.86000061035156,0.33467202141900937,2111442.868101943,706640.852778428,123924532.0558548,30981133.0139637,0.022808747906667374,0.022318415502376253,0.5,0.44534881249839625,0.346801811653413,0.029125053277712063,0.02907157612948425,0.05,0.04222885736203886,0,0.08683605639583566
CONL,COIN,743981.8759541512,44712.666900927026,699269.2090532242,1342458.6328277981,0.5541935205757542,0.5208869695897154,net_decay_annual,0.8054979167652278,0.7650159167652277,0.03,0.12452325925925924,31,0.8054979167652278,0.0,934437.5,934437.5,32,470322272.0,470.322272,cache,9.34280014038086,0.33467202141900937,2094634.3306277308,701015.5055648363,8730262.80617714,2182565.701544285,0.32118872988282987,0.09505500629330932,0.5,0.423126013962828,0.7968336073015418,0.02889319782149651,0.028840146388150013,0.05,0.04189268661255462,0,0.05948048655641117
MTYY,MSTR,152819.54985046387,6029.122425500812,146790.42742496307,320591.67341997946,0.476679722277965,0.4578734870405246,net_decay_annual,1.1153826567106566,0.6358693742427742,0.0475,0.10854099999999998,25,1.1153826567106566,89189.0,89189.0,89189.0,32,2550098.0,2.550098,cache,4.880000114440918,0.7189072609633357,100661.85015175598,72366.53497610062,435242.33020687103,108810.58255171776,0.6650689048714977,0.042934621755258626,0.5,0.38536699942454716,1.1214891638147026,0.027349226238369998,0.01790435012199048,0.0020132370030351197,0.0020132370030351197,1,0.07880848780988929
FBL,META,538717.2454938889,0.0,538717.2454938889,1357764.959044238,0.39676767462985957,0.39676767462985957,net_decay_annual,0.2118035237975943,0.2274265237975943,-0.01,0.026665999999999978,29,0.2118035237975943,0.0,178187.5,178187.5,32,216190672.0,216.190672,cache,31.36009979248047,0.33366700033366703,1585975.5117335923,529187.6916028003,5587977.7817726135,1396994.4454431534,0.3788044349989751,0.016444135549273552,0.5,0.33717728035337513,0.19598816210494602,0.021876803760222482,0.02183663528168681,0.05,0.031719510234671844,0,0.03627254516796582
MAAY,MARA,95399.53548192978,0.0,95399.53548192978,298725.8615237013,0.3193547923682552,0.3193547923682552,net_decay_annual,0.8992118280488599,0.426020494497552,-0.0,0.10044763333333331,34,0.8992118280488599,33477.0,33477.0,33477.0,32,3712655.0,3.712655,cache,7.664999961853027,0.7633587786259541,55890.325207210044,42664.37038718323,256601.2037229538,64150.30093073845,0.6650689048714976,0.049455212093294634,0.5,0.24528090563403895,0.894448029069613,0.017879540113204216,0.011704958064146705,0.0011178065041442008,0.0011178065041442008,1,0.005921976366402296
AMZU,AMZN,405795.5301837921,0.0,405795.5301837921,1323614.8750395393,0.3065812706068826,0.3065812706068826,net_decay_annual,0.2197306088044256,0.2101166088044256,-0.0025,0.05636829032258062,35,0.2197306088044256,0.0,175320.58823529413,175320.58823529413,34,384693056.0,384.693056,cache,37.19990158081055,0.33456005352960855,1171217.2635699906,391842.5103947777,6521908.627442753,1630477.1568606882,0.2403238271361183,0.021220825807435863,0.5,0.24656776225464133,0.20369721298479643,0.016155665737674674,0.016126001965968074,0.05,0.02342434527139981,0,0.02876906190062409
MSTU,MSTR,234624.4492239952,43669.51353481792,190954.9356891773,659275.8306781334,0.3558820728839091,0.28964346454618306,net_decay_annual,1.2231686568510147,1.0699346568510149,0.125,0.4513390882352941,38,1.2231686568510147,0.0,1751000.0,1751000.0,34,305530272.0,305.530272,cache,7.059999942779541,0.33715441672285906,1163486.1018167916,392274.47802319337,12362059.899806976,3090514.974951744,0.12692851553949142,0.08087590550867937,0.5,0.20232115243752427,1.2355509562000828,0.016049022786846008,0.016019554824597146,0.05,0.02326972203633583,0,0.07880848780988929
NVDU,NVDA,315843.3339805603,0.0,315843.3339805603,1064844.3607006895,0.2966098573999386,0.2966098573999386,net_decay_annual,0.3523705884166755,0.3449025884166755,-0.0,0.06432275757575756,37,0.3523705884166755,0.0,55794.117647058825,55794.117647058825,34,539927296.0,539.927296,cache,124.79000091552734,0.33478406427854035,1133118.7287738463,379350.09332904126,6962547.992257511,1740636.9980643778,0.21793751009020604,0.029958619940464983,0.5,0.23287974841467243,0.33446419628643076,0.01563013797061842,0.01560143913195516,0.05,0.022662374575476926,0,0.08683605639583566
