date,nav,cash,long_notional,short_notional,gross_notional,net_notional,leverage,net_leverage,n_positions,n_active_pairs,cum_costs,cum_borrow,cum_margin_debit,cum_margin_credit
2024-09-27,9875125.009107044,-10953535.481998289,40416944.29555266,19588283.80444733,60005228.099999994,20828660.491105333,6.076401872853451,2.1092047413978774,42,21,125746.34089295345,0.0,0.0,871.35
2024-09-30,9369157.185490243,-10955261.999069564,39598100.18610594,19273681.00154612,58871781.18765205,20324419.18455982,6.283572793380515,2.169290020668635,42,21,125746.34089295345,382.41430558623273,1344.1027656881672,871.35
2024-10-01,8744496.474621017,-10956992.182981424,39149346.01097563,19447857.35337318,58597203.364348814,19701488.657602448,6.70103802253387,2.253015792822571,42,21,125746.34089295345,768.284491169034,2688.416491966781,871.35
2024-10-02,9061297.799497636,-10958729.39180701,39811264.61274864,19791237.421444003,59602502.03419264,20020027.191304635,6.577700386085648,2.209399540142534,42,21,125746.34089295345,1160.967773340542,4032.9420353805917,871.35
2024-10-03,9314119.413362414,-10960460.529563561,39749197.2095713,19474617.26664532,59223814.47621662,20274579.942925982,6.358498516913122,2.1767575702153064,42,21,125746.34089295345,1547.3689095835048,5377.678655686727,871.35
2024-10-04,10028568.88379439,-10962201.807662595,40965760.62900562,19974989.93754863,60940750.56655425,20990770.69145699,6.0767145614396805,2.0930973237245154,42,21,125746.34089295345,1943.698075011057,6722.627589292846,871.35
2024-10-07,9864032.020623593,-10963942.76636924,40776168.720579326,19948193.933586497,60724362.65416582,20827974.78699283,6.156140057859108,2.1115072156544064,42,21,125746.34089295345,2339.495573693329,8067.788797255569,871.35
2024-10-08,10038946.001301099,-10965669.853801027,40243084.150677,19238468.29557487,59481552.44625187,21004615.855102133,5.925079429508114,2.0923128635595636,42,21,125746.34089295345,2721.2112144785447,9413.160588256236,871.35
2024-10-09,9987716.766890706,-10967392.384642394,39953339.90626906,18998230.75473596,58951570.66100502,20955109.151533097,5.902407130369331,2.098088045608112,42,21,125746.34089295345,3098.1602373899723,10758.742406711712,871.35
2024-10-10,9911455.9759664,-10969116.69075782,39957680.940866634,19077108.274142418,59034789.21500905,20880572.666724216,5.956217669549096,2.1067109330209473,42,21,125746.34089295345,3476.6742904483535,12104.534469080407,871.35
2024-10-11,10337466.184234308,-10970852.701071935,40964650.55480545,19656331.6694992,60620982.224304646,21308318.88530625,5.864201260146111,2.061270963846403,42,21,125746.34089295345,3866.680871192385,13450.538202450303,871.35
2024-10-14,11064235.697589688,-10972592.527132194,41874781.83274714,19837953.60802527,61712735.440772414,22036828.224721868,5.577677223038222,1.9917171711664212,42,21,125746.34089295345,4260.291061827807,14796.75407207371,871.35
2024-10-15,10378071.062891735,-10974323.23693159,40720252.7149276,19367858.41510427,60088111.13003187,21352394.29982333,5.7899113203112895,2.05745308260336,42,21,125746.34089295345,4644.5739668894,16143.180966408809,871.35
2024-10-16,11082612.263047492,-10976061.959736975,41819703.25233385,19761029.02954937,61580732.281883225,22058674.22278448,5.556517797452004,1.9903858133099384,42,21,125746.34089295345,5036.657876205856,17489.81986247802,871.35
2024-10-17,10671614.937900223,-10977793.953022946,41060626.60914664,19411217.718223467,60471844.32737011,21649408.890923172,5.666606664433183,2.0286909729131373,42,21,125746.34089295345,5421.801084900766,18836.669939753894,871.35
2024-10-18,11886130.976189356,-10979542.79212458,43115173.54145954,20249499.773145597,63364673.31460513,22865673.76831394,5.330975524461163,1.9237272257994738,42,21,125746.34089295345,5823.57687405048,20183.733252239592,871.35
2024-10-21,11889906.224826781,-11934592.140070444,44670205.64877984,20845707.283882618,65515912.93266246,23824498.36489722,5.510212754736586,2.0037583067854943,44,22,132083.08433300973,6218.3176201042015,21531.00896805354,871.35
2024-10-22,11543677.40505251,-11936470.561983883,44380060.483256064,20899912.516219668,65279972.99947573,23480147.967036396,5.65504134504864,2.0340266921145473,44,22,132083.08433300973,6632.998423997449,22994.75007759905,871.35
2024-10-23,10633484.313894236,-11938335.463265618,42778832.16968462,20207012.39252477,62985844.56220939,22571819.777159847,5.923349553439316,2.122711531879197,44,22,132083.08433300973,7033.931209563417,24458.718573766768,871.35
2024-10-24,11152644.228303647,-11940202.999700187,43421194.84401485,20328347.616011012,63749542.46002586,23092847.22800384,5.716092180026653,2.0706163269691547,44,22,132083.08433300973,7437.271440039825,25922.914777859765,871.35
