year,start_nav,end_gross,end_net,mgmt,incentive,hwm
2025,4943140.90746122,948489.4966715688,948414.2197273886,98862.8181492244,0,5000000
2026,899503.6909427909,1126748.067793284,1126658.643343459,17990.07381885582,0,5000000
