date,nav,equity_base,unrealized_pnl,long_notional,short_notional,gross_notional,net_notional,n_positions,n_longs,n_shorts,cum_costs,cum_borrow,daily_borrow,rebal_count,nav_net
2025-04-03,4943140.90746122,4943140.90746122,0.0,13648690.671269793,6351705.828730209,20000396.5,7296984.842539584,14,3,11,56859.09253877902,0.0,0.0,1,4942748.594690787
2025-04-04,4143533.660647371,4943140.90746122,-799607.2468138497,12763957.718169725,6266580.122443992,19030537.840613715,6497377.595725733,14,3,11,56859.09253877902,4332.039757167211,4332.039757167211,1,4143204.808769542
2025-04-07,3978805.673753006,4943132.10146122,-964326.4277082138,12735354.307493847,6403098.892662477,19138453.200156324,6332255.41483137,15,3,12,56867.89853877901,8726.829764232658,4394.790007065446,1,3978489.89552493
2025-04-08,4224829.864171,4943132.10146122,-718302.2372902192,12622912.449640779,6044632.844391417,18667545.294032194,6578279.605249362,15,3,12,56867.89853877901,12851.959039116076,4125.1292748834185,1,4224494.560213527
2025-04-09,4559921.4058743445,4943132.10146122,-383210.695586875,13970009.710605003,7056638.563652296,21026648.2742573,6913371.146952707,15,3,12,56867.89853877901,17713.844537888195,4861.88549877212,1,4559559.507350069
2025-04-10,4554776.824374418,4912950.212104198,-358173.3877297798,11649283.103439339,6577700.99758618,18226984.101025518,5071582.105853158,15,3,12,63005.29082147863,22168.766202019593,4454.921664131397,2,4554415.334150261
2025-04-11,4706501.071076444,4912950.212104198,-206449.1410277529,11871310.722604463,6648004.370049278,18519315.09265374,5223306.352555185,15,3,12,63005.29082147863,26767.397187368402,4598.630985348808,2,4706127.539245406
2025-04-14,5026244.534032629,4912941.406104197,113303.12792843246,11980800.087307628,6438144.465796259,18418944.553103887,5542655.621511369,15,3,12,63014.09682147862,31218.40260487362,4451.005417505217,2,5025845.625736277
2025-04-15,5190447.624348729,4912941.406104197,277506.21824453183,12012054.507471884,6305195.795644414,18317250.3031163,5706858.71182747,15,3,12,63014.09682147862,35576.18793435831,4357.785329484694,2,5190035.684061082
2025-04-16,4911072.00030523,4912941.406104197,-1869.4057989668372,11656135.032526173,6228651.944742203,17884786.977268375,5427483.08778397,15,3,12,63014.09682147862,39886.298929014985,4310.110994656673,2,4910682.232686158
2025-04-17,4750975.081193471,4799834.128742622,-48859.047549150564,12479513.571766695,6647118.010562579,19126631.582329273,5832395.561204116,13,2,11,97617.46374591286,44280.25899210167,4393.960063086685,3,4750598.019679091
2025-04-21,4751593.469455556,4799825.322742621,-48231.85328706522,12308553.886420326,6475934.130954124,18784488.01737445,5832619.755466202,13,2,11,97626.26974591288,48282.27851051829,4002.0195184166196,3,4751216.358862742
2025-04-22,4565091.103107677,4799825.322742621,-234734.2196349445,12492035.991002267,6845918.601883945,19337954.592886213,5646117.389118322,13,2,11,97626.26974591288,52523.419263780386,4241.140753262094,3,4564728.79428997
