date,nav,cash,long_notional,short_notional,gross_notional,net_notional,n_positions,n_longs,n_shorts,n_active_pairs,cum_costs,cum_borrow,cum_margin_debit,cum_margin_credit,daily_borrow,cash_balance
2024-12-11,9914745.071981326,-4261696.433200327,27089963.452590823,12913521.947409173,40003485.4,14176441.50518165,30,15,15,15,86126.27801867832,0.0,0.0,871.35,0.0,-4261696.433200327
2024-12-12,9913469.413095942,-4267926.809684133,26842617.355665576,12661221.132885503,39503838.48855108,14181396.222780073,30,15,15,15,86126.27801867832,5701.657661060044,528.7188227467079,871.35,5701.657661060044,-4267926.809684133
2024-12-13,9585366.283983,-4274145.662354808,26591789.546783842,12732277.600446042,39324067.14722988,13859511.9463378,30,15,15,15,86126.27801867832,11391.033246920302,1058.1959075615766,871.35,5689.375585860258,-4274145.662354808
2024-12-16,8787097.37887805,-4280660.1234868895,26551338.390358463,13483580.887993524,40034919.278351985,13067757.50236494,30,15,15,15,86126.27801867832,17375.222988704212,1588.467297858911,871.35,5984.189741783908,-4280660.1234868895
2024-12-17,8778632.943142822,-4918639.778905289,26711104.53161255,13013831.809564438,39724936.34117699,13697272.722048111,30,15,15,15,87760.80486611325,23371.606507420685,2119.534577463206,871.35,5996.383518716472,-4918639.778905289
2024-12-18,7673168.669251976,-4535121.761023137,24567344.740139905,12359054.30986479,36926399.05000469,12208290.430275116,30,15,15,15,88568.98223453881,28875.490397625184,2728.3398741207675,871.35,5503.883890204498,-4535121.761023137
2024-12-19,8201287.003524199,-4158201.964075481,24413597.811367784,12054108.843768096,36467706.65513588,12359488.967599688,30,15,15,15,89423.10121831288,34307.065515897615,3290.368461500234,871.35,5431.575118272427,-4158201.964075481
2024-12-20,8674171.547756154,-4164245.8711853838,25131953.141808733,12293535.722867198,37425488.86467593,12838417.418941535,30,15,15,15,89423.10121831288,39834.895575904055,3806.4455113962003,871.35,5527.830060006441,-4164245.8711853838
2024-12-23,8324336.406940233,-4170429.971898071,25183114.747550245,12688348.368711937,37871463.11626218,12494766.378838308,30,15,15,15,89423.10121831288,45502.16521391833,4323.276586068831,871.35,5667.269638014274,-4170429.971898071
2024-12-24,8823064.040553257,-4176701.2966918014,25861729.599949636,12861964.262704581,38723693.86265422,12999765.337245055,30,15,15,15,89423.10121831288,51255.89427300385,4840.872320713329,871.35,5753.729059085521,-4176701.2966918014
2024-12-26,8685591.232174376,-4183030.7792627574,25989335.38027634,13120713.368839212,39110048.74911556,12868622.01143713,30,15,15,15,89423.10121831288,57067.009358190284,5359.2398064828,871.35,5811.115085186436,-4183030.7792627574
2024-12-27,7843787.698430458,-4189183.623300944,24749296.0100392,12716324.688307798,37465620.698346995,12032971.321731402,30,15,15,15,89423.10121831288,62700.73569694353,5878.357505915874,871.35,5633.726338753246,-4189183.623300944
2024-12-30,7329638.995932478,-2552172.7942347038,22249269.549575914,12367457.759408727,34616727.30898464,9881811.790167186,30,15,15,15,92829.18354637461,68203.96116955829,6398.209596641316,871.35,5503.225472614751,-2552172.7942347038
2024-12-31,7336363.560963117,-2557902.2596538495,22026168.67048798,12131902.849871015,34158071.520358995,9894265.820616966,30,15,15,15,92829.18354637461,73613.21033396722,6718.425851378041,871.35,5409.249164408929,-2557902.2596538495
2025-01-02,6813427.848720844,-2974642.5427873237,21653613.06372945,11865542.672221286,33519155.73595074,9788070.391508164,30,15,15,15,93862.33431586393,79066.35793929236,7039.346135763258,871.35,5453.14760532514,-2974642.5427873237
2025-01-03,7765297.592171171,-2980472.2698845537,22886360.470656734,12140590.608601013,35026951.07925775,10745769.86205572,30,15,15,15,93862.33431586393,84524.34499968818,7411.0861725974655,871.35,5457.987060395826,-2980472.2698845537
2025-01-06,7828997.012086099,-1472536.9483034664,21766123.21590663,12464589.255517067,34230712.4714237,9301533.960389564,30,15,15,15,97217.52581395934,90136.4156317845,7783.555901899357,871.35,5612.070632096318,-1472536.9483034664
2025-01-07,7249163.620936012,-1478216.1171531347,20868936.627415467,12141556.889326325,33010493.51674179,8727379.738089142,30,15,15,15,97217.52581395934,95627.01390007911,7972.126483272969,871.35,5490.598268294605,-1478216.1171531347
2025-01-08,7246240.974539744,-1483731.5077529517,20343880.364369784,11613907.88207709,31957788.246446874,8729972.482292693,30,15,15,15,97217.52581395934,100953.1614292863,8161.369553882844,871.35,5326.14752920719,-1483731.5077529517
2025-01-10,6858338.9356517,-1179284.489806643,19388401.24278216,11350777.817323819,30739179.06010598,8037623.425458342,30,15,15,15,97881.70576221416,106167.22349106352,8351.271527535251,871.35,5214.062061777224,-1179284.489806643
2025-01-13,6760636.357232251,-870433.0517094509,18756917.31851817,11125847.909576464,29882765.228094634,7631069.408941705,30,15,15,15,98555.48297095927,111316.06112754367,8504.03992496512,871.35,5148.837636480147,-870433.0517094509
2025-01-14,6953846.491673367,-875711.3126923605,19092297.958355017,11262740.153989293,30355038.11234431,7829557.804365724,30,15,15,15,98555.48297095927,116480.07848821758,8618.283547200825,871.35,5164.0173606739145,-875711.3126923605
2025-01-15,7238693.125353037,-881236.1143864853,19939968.33493443,11820039.09519491,31760007.430129338,8119929.239739519,30,15,15,15,98555.48297095927,121889.92456632308,8733.239163220129,871.35,5409.846078105509,-881236.1143864853
2025-01-16,7198810.73918112,-886698.2767224731,19786972.69470824,11701463.678804645,31488436.373512886,8085509.015903594,30,15,15,15,98555.48297095927,127236.42736498483,8848.898700546215,871.35,5346.502798661745,-886698.2767224731
2025-01-17,7899179.466237995,-892272.4302570177,20754344.978761792,11962893.082266778,32717238.06102857,8791451.896495014,30,15,15,15,98555.48297095927,132694.20300833564,8965.276591740032,871.35,5457.775643350806,-892272.4302570177
2025-01-21,8349521.91314242,-898004.6236307079,21627349.48153886,12379822.944765728,34007172.426304586,9247526.53677313,30,15,15,15,98555.48297095927,138309.27977000995,9082.393203755775,871.35,5615.076761674321,-898004.6236307079
2025-01-22,8634844.74688563,-903974.7045294612,22348667.620725922,12809848.169310836,35158515.79003676,9538819.451415086,30,15,15,15,98555.48297095927,144161.4746788182,9200.279193700868,871.35,5852.194908808239,-903974.7045294612
