ETF,Underlying,Beta,purgatory,borrow_current,borrow_annual,net_decay_annual,net_edge_p50_annual,blended_gross_decay,shares_available,borrow_price_ref,aum_usd,median_daily_volume_shares,is_yieldboost,inverse_shortable,beta_abs,long_usd,short_usd,underlying_target_usd,etf_target_usd,gross_target_usd,sleeve,pair_key,inception,etf,und,weight,pair_target_gross_usd,short_target_usd,borrow_avg_annual,aum_m,short_vs_aum_pct,short_vs_shares_pct
ASTX,ASTS,1.99,False,0.120317,0.120317,1.1322299999999998,0.9603117237194656,1.202514,95000,26.389999389648438,316531229.17,,False,False,1.99,1774272.4658723283,-891594.2039559438,1774272.4658723283,-891594.2039559438,2665866.669828272,core_leveraged,"('ASTX', 'ASTS')",2025-07-11,ASTX,ASTS,0.028435911144834902,2665866.669828272,891594.2039559438,0.120317,316.53122917,0.0028167653671767523,0.35563479969560163
CWVX,CRWV,1.99,False,0.084611,0.084611,0.802045,0.8776613615002691,0.90863,95000,37.90999984741211,122482309.56,,False,False,1.99,1606473.1641057518,-807272.9467868098,1606473.1641057518,-807272.9467868098,2413746.1108925617,core_leveraged,"('CWVX', 'CRWV')",2025-07-11,CWVX,CRWV,0.02574662518285399,2413746.1108925617,807272.9467868098,0.084611,122.48230956,0.006590935047573982,0.2241522025950899
IRE,IREN,1.993,False,0.233227,0.233227,1.295001,0.9271990875270528,1.352016,500000,36.939998626708984,483630000.0,,False,False,1.993,1600208.425310772,-802914.4131012403,1600208.425310772,-802914.4131012403,2403122.838412012,core_leveraged,"('IRE', 'IREN')",2025-10-21,IRE,IREN,0.025633310276394795,2403122.838412012,802914.4131012403,0.233227,483.63,0.0016601832249886076,0.04347127465893859
SNDU,SNDK,1.992,False,0.097275,0.097275,1.073662,0.8778373528243992,1.014899,100000,118.0,122157600.0,,False,False,1.992,1596135.107506431,-801272.6443305376,1596135.107506431,-801272.6443305376,2397407.7518369686,core_leveraged,"('SNDU', 'SNDK')",2026-03-12,SNDU,SNDK,0.025572349352927664,2397407.7518369686,801272.6443305376,0.097275,122.1576,0.006559335189382712,0.06790446138394386
NEBX,NBIS,1.999,False,0.088185,0.088185,0.941903,0.8758221881404599,0.986252,30000,85.37000274658203,208079559.67,,False,False,1.999,1597961.7082345088,-799380.544389449,1597961.7082345088,-799380.544389449,2397342.252623958,core_leveraged,"('NEBX', 'NBIS')",2025-09-09,NEBX,NBIS,0.025571650694655553,2397342.252623958,799380.544389449,0.088185,208.07955966999998,0.0038417062476353374,0.3121238993679404
SNXX,SNDK,1.99,False,0.104097,0.104097,1.101846,0.8759633912050697,1.011466,0,195.88999938964844,2437075166.34,,False,False,1.99,1586328.6160008835,-797150.0582919011,1586328.6160008835,-797150.0582919011,2383478.6742927846,core_leveraged,"('SNXX', 'SNDK')",2026-01-27,SNXX,SNDK,0.025423772525789704,2383478.6742927846,797150.0582919011,0.104097,2437.07516634,0.0003270929306169334,inf
NBIG,NBIS,2.009,False,0.092868,0.092868,0.996011,0.8722269864446397,1.015647,90000,19.299999237060547,42653000.0,,False,False,2.009,1584276.0508301335,-788589.373235507,1584276.0508301335,-788589.373235507,2372865.4240656407,core_leveraged,"('NBIG', 'NBIS')",2025-10-27,NBIG,NBIS,0.025310564523366833,2372865.4240656407,788589.373235507,0.092868,42.653,0.018488485528227957,0.4539950514731568
CRWG,CRWV,1.997,False,0.098539,0.098539,1.036535,0.8717143479234887,1.082563,150000,46.529998779296875,151630080.0,,False,False,1.997,1579968.295724409,-791170.9042185323,1579968.295724409,-791170.9042185323,2371139.1999429413,core_leveraged,"('CRWG', 'CRWV')",2025-08-11,CRWG,CRWV,0.02529215146605804,2371139.1999429413,791170.9042185323,0.098539,151.63008,0.005217770143091214,0.11335639013893649
LABX,ALAB,1.994,False,0.039348,0.039348,0.873131,0.7852093169595278,0.883243,100000,45.279998779296875,70515851.6,,False,False,1.994,1426690.012382609,-715491.4806332041,1426690.012382609,-715491.4806332041,2142181.493015813,core_leveraged,"('LABX', 'ALAB')",2025-08-12,LABX,ALAB,0.022849935925502007,2142181.493015813,715491.4806332041,0.039348,70.51585159999999,0.010146533926751928,0.15801490722661954
NBIL,NBIS,1.998,False,0.148189,0.148189,0.8971360000000002,0.8042929836434674,0.994581,150000,27.3799991607666,68522440.0,,False,False,1.998,1382417.913137691,-691900.8574262719,1382417.913137691,-691900.8574262719,2074318.7705639629,core_leveraged,"('NBIL', 'NBIS')",2025-10-07,NBIL,NBIS,0.022126066886015604,2074318.7705639629,691900.8574262719,0.148189,68.52244,0.010097434613044602,0.16846868240417667
CLSX,CLSK,1.999,False,0.175669,0.175669,1.085639,0.7869300720652888,1.114151,70000,21.75,25640399.57,,False,False,1.999,1320623.834488425,-660642.238363394,1320623.834488425,-660642.238363394,1981266.072851819,core_leveraged,"('CLSX', 'CLSK')",2025-09-16,CLSX,CLSK,0.02113350477708607,1981266.072851819,660642.238363394,0.175669,25.64039957,0.025765676410767185,0.4339193683831816
