date,nav,cash,long_notional,short_notional,gross_notional,net_notional,n_positions,n_longs,n_shorts,n_active_pairs,cum_costs,cum_borrow,cum_margin_debit,cum_margin_credit,daily_borrow,cash_balance
2024-12-11,9893213.502476647,-7827338.379000419,33862454.31573853,16141902.434261465,50004356.74999999,17720551.881477065,30,15,15,15,107657.8475233479,0.0,0.0,871.35,0.0,-7827338.379000419
2024-12-12,9891316.124528054,-7835429.153947028,33553271.69458197,15826526.416106882,49379798.11068885,17726745.27847509,30,15,15,15,107657.8475233479,7127.072076325053,963.7028702840807,871.35,7127.072076325053,-7835429.153947028
2024-12-13,9480884.371869713,-7843505.56105253,33239736.9334798,15915347.00055755,49155083.93403735,17324389.93292225,30,15,15,15,107657.8475233479,14238.791558650375,1928.3904934606046,871.35,7111.719482325322,-7843505.56105253
2024-12-16,8480215.709487006,-7838731.062617001,32665033.388076525,16346086.615972515,49011120.00404904,16318946.77210401,30,15,15,15,110187.50032791431,21719.02873588026,2894.107928300289,871.35,7480.237177229887,-7838731.062617001
2024-12-17,8573169.903932467,-7847033.977085164,32884105.77551932,16463901.89450168,49348007.670021,16420203.881017638,30,15,15,15,110187.50032791431,29056.825362596537,3859.2257697469536,871.35,7337.796626716276,-7847033.977085164
2024-12-18,7210148.709462192,-5216990.049521966,27562860.063807096,15135721.304822937,42698581.36863004,12427138.75898416,30,15,15,15,118118.4302489129,35992.66704127553,4825.307089312878,871.35,6935.841678678989,-5216990.049521966
2024-12-19,7721782.056866289,-5224365.432141284,27791191.447037563,14845043.958029987,42636235.40506755,12946147.489007575,30,15,15,15,118118.4302489129,42722.71268232218,5470.644067584146,871.35,6730.045641046648,-5224365.432141284
2024-12-20,8290995.328435992,-5231861.394412835,28664738.20671375,15141881.483864926,43806619.69057868,13522856.722848825,30,15,15,15,118118.4302489129,49572.42399610134,6116.895025355472,871.35,6849.711313779161,-5231861.394412835
2024-12-23,7917587.940477632,-5239516.637635183,28732747.961196963,15575643.383084146,44308391.34428111,13157104.578112816,30,15,15,15,118118.4302489129,56580.48286011797,6764.079383685622,871.35,7008.058864016629,-5239516.637635183
2024-12-24,8475854.192869082,-5247282.767775425,29522788.9675271,15799652.006882597,45322440.9744097,13723136.960644502,30,15,15,15,118118.4302489129,63698.4817210762,7412.210662969457,871.35,7117.99886095823,-5247282.767775425
2024-12-26,8392084.310820203,-5255103.393222393,29702135.661275074,16054947.957232485,45757083.61850756,13647187.70404259,30,15,15,15,118118.4302489129,70870.02232321697,8061.295507796611,871.35,7171.540602140769,-5255103.393222393
2024-12-27,7410261.271393123,-4772537.819183209,27731911.750997912,15549112.660421578,43281024.41141949,12182799.090576334,30,15,15,15,119155.38119974388,77819.733704062,8711.30698360795,871.35,6949.711380845041,-4772537.819183209
2024-12-30,6797871.028477294,-3103341.2915727,25035557.03441733,15134344.71436734,40169901.74878467,9901212.320049992,30,15,15,15,122788.4675374409,84612.0094522958,9302.453070184312,871.35,6792.275748233796,-3103341.2915727
