Lev,CAGR,Vol,Sharpe,Sortino,Max DD,Calmar,Monthly Win%,Final NAV,P&L,Txn,Borrow,Long P&L,Short P&L,name,target_lev_end,TotalReturn,PnL_USD,MaxDD_2024,score
,0.28364564779672885,,,,,,,,,,,,,cagr_tilt,4.78,0.37040033006524964,3686110.782264184,,0.3226852548175632
4.5x,0.28364564779672885,0.07620748519823269,3.7220182119762013,6.3256725378742855,-0.026586683717817357,10.66871110392157,0.8,13637804.89013617,3686110.782264184,380573.94197105337,975428.1015932896,8716115.174155831,-2792076.129070282,,,,,,
