etf,weight,weight_source
ERX,0.0037593984962406013,fallback_equal
YINN,0.009739192956500446,custom
SOXL,0.01075865641190582,custom
SOXS,0.002673202406985604,custom
NUGT,0.004195662182756848,custom
KORU,0.005545725913453518,custom
JNUG,0.004624652546412779,custom
CHAU,0.0017110731806798804,custom
LABU,0.0013745252268221643,custom
GUSH,0.003195267554760224,custom
CWEB,0.004817121336886729,custom
MEXX,0.001897453508599369,custom
HIBL,0.00975715423147656,custom
GDXU,0.01547651055493352,custom
TARK,0.0034172897336634898,custom
TSLQ,0.003243750076862695,custom
TSLL,0.01962724861434235,custom
AAPU,0.007611805695060562,custom
CONL,0.043282136987562975,custom
AAPB,0.006097833246742473,custom
GGLL,0.017945290658775554,custom
AMZU,0.025345173638496036,custom
MSFU,0.018917598773444674,custom
BABX,0.005626429670942673,custom
NVDL,0.04866949755273684,custom
FBL,0.03275984225667932,custom
TSLR,0.0066742004224392285,custom
NVDU,0.024535334248018716,custom
TSLT,0.013769125579179238,custom
NVDX,0.009345686552508654,custom
NVDQ,0.0020177283533576408,custom
BITX,0.020869219045504706,custom
GOOX,0.0064151508438176665,custom
MSFX,0.0028944849380058003,custom
AAPX,0.0006451555286241098,custom
AMDL,0.00697025990383222,custom
AMZZ,0.004083097737715788,custom
MSFL,0.003678006287397921,custom
BITU,0.005194748197585332,custom
METU,0.0037384306780358476,custom
URAA,0.010226435806898986,custom
BTCL,0.0011631193068441525,custom
ETHU,0.017447071528530107,custom
ETHT,0.012152636955581579,custom
PTIR,0.0020988794945011003,custom
UBRL,0.0034348006349024423,custom
MSTU,0.030905489525586503,custom
MSTZ,0.055,custom
NFLU,0.0031848271219753524,custom
NFXL,0.0026440793719199255,custom
TSMX,0.0003476158218379392,custom
MUU,0.004368145639932563,custom
AVL,0.004666460736185024,custom
ETU,0.0019617996177253624,custom
MULL,0.006532157355821219,custom
TSMU,0.007640609239208612,custom
CRWL,0.002741618839863577,custom
PLTU,0.0025807584726377677,custom
BRKU,0.0037593984962406013,fallback_equal
SMCL,0.0037288787696021556,custom
TSLG,0.008691211330614665,custom
NVDG,0.0047024086618131485,custom
ARMG,0.0015395262830884713,custom
TSMG,0.0042629954322227276,custom
ASMG,0.002454168727470385,custom
AMDG,0.0040337100468888385,custom
ROBN,0.005708542491284382,custom
INTW,0.005944063243017303,custom
DLLL,0.001086707866095084,custom
RBLU,0.0030063704862933003,custom
DJTU,0.0014087300234090162,custom
MVLL,0.008179271448388512,custom
MRAL,0.0027193990477557112,custom
COIG,0.000720414095959571,custom
HOOG,0.0027160257321275838,custom
ADBG,0.0015639101780724738,custom
PANG,0.0003854971224816588,custom
VRTL,0.001386590247946401,custom
RDTL,0.0025391109002605456,custom
IONL,0.0044160760184247016,custom
PALU,0.0019404595771228838,custom
ELIL,0.0007064206934931235,custom
AMUU,0.0037103638199260315,custom
QCML,0.00033943206958725656,custom
CRMG,0.000276407010756285,custom
PYPG,0.00236153899473028,custom
XYZG,0.0007090205559340104,custom
LCDL,0.0006492021913833057,custom
RVNL,0.0037593984962406013,fallback_equal
BOEU,0.0017048933245166413,custom
XOMX,0.0013755247267393878,custom
SNOU,0.0009736682911810641,custom
GMEU,0.0007121790033789597,custom
QBTX,0.006829393098767404,custom
APPX,0.004859866169733353,custom
PLTG,0.00181438208451952,custom
TEMT,0.0025467849592655757,custom
XBTY,0.007492247075253736,custom
AVGG,0.0032443578018586834,custom
RTXG,0.0037593984962406013,fallback_equal
UPSX,0.003485347169242217,custom
ARCX,0.0015758896699747764,custom
MSTP,0.002683168903953284,custom
BOEG,0.0005850299879696054,custom
QUBX,0.002515528086279861,custom
RGTU,0.004574597445007533,custom
OKLL,0.005039823985320126,custom
CSCL,0.0008992848982280633,custom
QCMU,0.0010689847803449684,custom
SMU,0.00176683922215963,custom
ASTX,0.010913245752984137,custom
CWVX,0.004878500304323901,custom
GEVX,0.00307494822984106,custom
CEGX,0.001805166988718931,custom
AALG,0.0007299314487369609,custom
AVGU,0.0008568877018250335,custom
NOWL,0.0010279074032340607,custom
PDDL,0.0037593984962406013,fallback_equal
