etf,weight,weight_source
DRAY,0.003655096470945135,custom
UNHG,0.0015941569538825931,custom
CRWU,0.004814925268648245,custom
COYY,0.020475902359484696,custom
SHPU,0.0017993413959268702,custom
LMTL,0.0037593984962406013,fallback_equal
CRCA,0.007657499102024421,custom
GLXU,0.0035213792039619505,custom
CRWG,0.006620263816221024,custom
CRCG,0.0071057876768742655,custom
BULG,0.0006452653225827433,custom
CCUP,0.004411629013997472,custom
LABX,0.006696884270014205,custom
DOGD,0.0007025842539477418,custom
LRCU,0.0019388040481343796,custom
MDBX,0.0005105287425549245,custom
BAIG,0.0012503687077862976,custom
GLGG,0.0006403616828280616,custom
ETRL,0.0004187986233390722,custom
NEBX,0.006260211027325269,custom
APLX,0.0027969389562676585,custom
JOBX,0.002320216389887697,custom
NVTX,0.0023741353326535352,custom
PONX,0.0013492577230600654,custom
VOYX,0.00034507914870880567,custom
GMEY,0.0048840533677717655,custom
RDYY,0.001069372138389584,custom
NVDB,0.0022840178937161837,custom
PLTA,0.00040559448810788875,custom
TSLI,0.0010299560171697004,custom
COIA,0.000830179306549214,custom
CLSX,0.00405293062267671,custom
CRDU,0.004939244524748215,custom
KTUP,0.0009152424793106347,custom
AFRU,0.002422905427764304,custom
ENPX,0.0007093483048586915,custom
UNX,0.0027188026411199316,custom
AZYY,0.0004633716734597295,custom
TTDU,0.0006593683116801414,custom
COTG,0.00011482995868409464,custom
MTYY,0.0011330645921345341,custom
PLYY,0.0007698366902951101,custom
BMNU,0.006384055202129027,custom
NBIL,0.005037370493265951,custom
ISUL,0.000277019791187543,custom
FIGG,0.001443550592308797,custom
FUTG,0.0005598788044213464,custom
SBTU,0.0005403019011398013,custom
FBYY,0.00017808528196688615,custom
WULX,0.0020213576261966814,custom
FLYT,0.0011207691970782977,custom
IREX,0.004962922386500126,custom
OPEX,0.004422933905978627,custom
SRPU,0.0005526208913205428,custom
BMNG,0.0024411591883997104,custom
NBIG,0.006901020257305586,custom
BLSG,0.00025173344399319824,custom
MPG,0.0004420089715586353,custom
IOYY,0.001789416470899561,custom
MAAY,0.000629249576129126,custom
COZX,0.0010441570791762046,custom
GEMG,0.00010651424189266854,custom
LULG,0.0037593984962406013,fallback_equal
OSCG,0.0015182508498914398,custom
BEX,0.004752820312608623,custom
CSEX,0.0032392412281349136,custom
NNEX,1.6536336061687503e-05,custom
SNPX,0.0003697563373563369,custom
TERG,0.0009740204460997319,custom
ABNG,6.08209069758348e-05,custom
CMGG,4.752610751182998e-05,custom
NEMG,9.176175600746252e-05,custom
NETG,0.0014671128236906162,custom
NUG,4.753118453906122e-05,custom
OKTG,1.1256263655527815e-05,custom
SBU,2.699419876445636e-05,custom
SPOG,0.0003288314264623368,custom
ORCU,0.0014213494653818658,custom
CONX,0.0008343560070805922,custom
HODU,0.0010268382604637608,custom
LINT,0.002989058369521785,custom
CIFU,0.0018206527918287392,custom
XXRP,0.005254112890755304,custom
XRPT,0.005446459825489556,custom
UXRP,0.006639323230152711,custom
QBY,0.0004873895838448832,custom
GOU,0.0005806083549138953,custom
HMYY,0.00021141785989701285,custom
SOLT,0.003395083040489662,custom
SOLX,5.2830783070670035e-05,custom
XRPK,3.710788073325808e-05,custom
CIFG,0.0003683876738541783,custom
DUOG,0.000842776073674254,custom
GRAG,0.0037593984962406013,fallback_equal
LACG,0.0005774735805746534,custom
OPEG,0.00025695250762573253,custom
UPSG,1.6237258302765875e-05,custom
SATG,0.0021901255980137763,custom
BEG,0.003272299150646111,custom
GEVG,0.0008208460294709057,custom
IREG,0.001008288207677058,custom
BIDG,0.00020566681151125616,custom
CNCG,5.110232718655219e-06,custom
KLAG,0.000480135238253861,custom
NIOG,0.0007964560725932456,custom
PBRG,0.0037593984962406013,fallback_equal
SNAG,0.0004024265849451994,custom
VALG,5.089917246365624e-05,custom
BTFL,0.0005111684934402334,custom
UUUG,0.0015858739175912584,custom
USGG,0.006435935754743958,custom
ONDG,0.001138787834223969,custom
PLUL,4.032372541602566e-05,custom
HUTG,0.0003764222056711233,custom
LUNL,0.0011376039156237845,custom
RKTL,0.0002475130266428753,custom
XPEG,0.00024816273375257987,custom
ORLG,1.765714614900027e-05,custom
LNOK,7.929673575597572e-05,custom
APLZ,9.201631988455744e-05,custom
IREZ,0.0024415973360872086,custom
NBIZ,0.0023950200195105263,custom
LITX,0.0034970712133740966,custom
WDCX,0.0018549667460749206,custom
RDWU,0.000655269300460994,custom
RCAX,0.0011631916577969552,custom
MRNX,2.963025710072121e-05,custom
ZETX,0.0006085681986555982,custom
CRMU,0.0002702218013160909,custom
UECG,2.8318389742337987e-05,custom
DNNG,1.5131595488734491e-05,custom
ASMU,0.0008675261956424185,custom
SOFA,0.0003388347589932116,custom
BEZ,0.0005442009305394924,custom
SMZ,0.0001481596431972288,custom
BABU,0.0007525178220072079,custom
MRVU,0.0007768601005101544,custom
FGRU,0.0008248579634387464,custom
APHU,7.364303001087426e-05,custom
COPZ,0.0005861025679200543,custom
LEUX,0.0002464282100302439,custom
COHX,0.0027680183717296194,custom
AXPG,0.0037593984962406013,fallback_equal
FCXG,0.0007939894920714587,custom
CLSZ,0.00018430106284213893,custom
GLWG,0.0037593984962406013,fallback_equal
SNDU,0.002171628869670167,custom
PAAU,3.833442787625441e-05,custom
