ETF,aum_usd
RBLU,11531488.0
RDTL,47330192.0
RDWU,4790128.0
REW,5464184.0
RGTU,10186903.0
RGYY,2228660.0
RKTL,1785109.0
ROBN,92701056.0
RTXG,2709875.0
RTYY,6195532.0
RVNL,7393967.0
RYLD,1313344640.0
SATG,5655946.0
SBTU,1555716.0
SBU,1056125.0
SCO,128206064.0
SDOW,193415632.0
SDS,383062912.0
SEMY,58549992.0
SHPU,8551811.0
SKF,12736321.0
SMCL,50536624.0
SMCY,144423808.0
SMU,67795672.0
SMUP,14142948.0
SMYY,9406255.0
SMZ,1915475.0
SNAG,2774800.0
SNOU,11378818.0
SNOY,33057552.0
SNPX,1620937.0
SNXX,669915712.0
SOFA,2576713.0
SOLT,138822784.0
SOLX,443545.0
SOXL,11939088384.0
SOXS,1055871808.0
SPOG,4284193.0
SPXS,377063488.0
SPXU,489363680.0
SPYI,8058512896.0
SQQQ,2292852480.0
SRPU,2548297.0
TARK,22296972.0
TBT,223775168.0
TBX,12343909.0
TECS,108878344.0
TEMT,37901712.0
TERG,8481239.0
TMV,151838400.0
TQQY,9325641.0
TSLG,40806840.0
TSLL,5009521152.0
TSLO,1085154.0
TSLQ,178714448.0
TSLR,167952272.0
TSLT,266884672.0
TSLY,949812032.0
TSMG,18760716.0
TSMU,40090976.0
TSMX,366389184.0
TSMY,74796168.0
TSXD,1507806.0
TSYW,3910844.0
TSYY,203835920.0
TTDU,6694911.0
TTXD,3484252.0
TWM,55387512.0
TZA,241516064.0
UBEW,11834609.0
UBRL,20725900.0
UECG,294963.0
UNHG,157952720.0
UNHW,12078131.0
UNX,4625657.0
UPSG,807189.0
UPSX,20771360.0
URAA,62770076.0
USGG,6677344.0
UUUG,14925299.0
UXRP,35216380.0
VALG,1155034.0
VOYX,1061376.0
VRTL,35467452.0
WDCX,41118948.0
WEBS,14525574.0
WULX,13449015.0
XBTY,17655160.0
XOMO,39663536.0
XOMX,10298233.0
XPEG,679998.0
XRPK,335571.0
XRPT,70629968.0
XXRP,102721880.0
XYLD,3167990784.0
XYLG,64829480.0
XYZG,3345313.0
XYZY,32545500.0
YINN,775174976.0
YSPY,22960316.0
ZSL,171839184.0
