date,close_nvda,close_nvdl,long_notional_usd,short_notional_usd,pair_gross_usd,pair_net_usd,implied_long_sh_nvda,implied_short_sh_nvdl,ret_nvda,ret_nvdl,daily_long_pnl_usd,daily_short_pnl_usd,daily_pair_gross_trading_pnl_usd,pair_gross_share_of_portfolio,daily_pair_alloc_txn_cost_usd,daily_pair_alloc_borrow_cost_usd,daily_pair_alloc_margin_debit_cost_usd,daily_pair_alloc_short_credit_income_usd,daily_pair_alloc_net_financing_cost_usd,daily_pair_alloc_total_cost_usd,daily_pair_net_pnl_usd,daily_pair_pnl_usd,cum_long_pnl_usd,cum_short_pnl_usd,cum_pair_gross_trading_pnl_usd,cum_pair_alloc_margin_debit_cost_usd,cum_pair_alloc_short_credit_income_usd,cum_pair_alloc_net_financing_cost_usd,cum_pair_alloc_total_cost_usd,cum_pair_net_pnl_usd,cum_pair_pnl_usd
2023-01-03,14.299910545349121,2.885448932647705,5138787.253755569,2584900.57182312,7723687.82557869,2553886.6819324493,359358.0,-895840.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-04,14.733453750610352,2.842646837234497,5294584.472911835,2546556.742668152,7841141.215579987,2748027.730243683,359358.0,-895840.0,0.030317896317346937,-0.0148337733268884,155797.21915626538,38343.82915496837,194141.04831123375,0.17163715523489922,0.0,37.52040925060033,667.2899239936258,420.8485556770393,246.44136831658653,283.96177756718686,193857.08653366656,194141.04831123375,155797.21915626538,38343.82915496837,194141.04831123375,667.2899239936258,420.8485556770393,246.44136831658653,283.96177756718686,193857.08653366656,194141.04831123375
2023-01-05,14.249964714050293,2.711843490600586,5120838.819711685,2429377.872619629,7550216.692331314,2691460.9470920563,359358.0,-895840.0,-0.03281572974972213,-0.046014631476755885,-173745.65320014977,117178.87004852288,-56566.78315162689,0.16843888764054538,0.0,36.719870177992426,654.0930791486884,382.39186460294695,271.70121454574144,308.4210847237339,-56875.204236350626,-56566.78315162689,-17948.434043884394,155522.69920349124,137574.26515960688,1321.3830031423142,803.2404202799862,518.142582862328,592.3828622909207,136981.88229731593,137574.26515960688
2023-01-06,14.843337059020996,2.874823570251465,5334071.918855667,2683136.0842342377,8017208.003089905,2650935.8346214294,359358.0,-933322.0,0.04164026766926976,0.06009936790813253,213233.099143982,-146004.0745544434,67229.0245895386,0.16639778818716253,250.0790873174362,36.556372649197804,663.3503148202295,396.1896665682619,267.16064825196764,553.7961082186016,66675.22848132,67229.0245895386,195284.6651000976,9518.624649047852,204803.28974914548,1984.7333179625439,1199.430086848248,785.3032311142956,1146.1789705095223,203657.11077863592,204803.28974914548
2023-01-09,15.611525535583496,3.111436367034912,5610126.593416214,2903972.0129537582,8514098.606369972,2706154.5804624557,359358.0,-933322.0,0.05175308446530469,0.0823051540386357,276054.6745605472,-220835.92871952074,55218.74584102648,0.17230440652520615,0.0,41.89687462014847,689.1324550416707,435.63385399727986,253.49860104439085,295.39547566453933,54923.35036536194,55218.74584102648,471339.3396606448,-211317.3040704729,260022.03559017196,2673.8657730042146,1635.063940845528,1038.8018321586865,1441.5744461740617,258580.46114399785,260022.03559017196
2023-01-10,15.892231941223145,3.185817241668701,5711000.685934067,2973393.3196287155,8684394.005562782,2737607.3663053513,359358.0,-933322.0,0.017980715914010625,0.02390563902313425,100874.09251785313,-69421.30667495709,31452.785842896046,0.17765750993156726,0.0,44.914180482248504,719.5755758216465,464.6463011893792,254.92927463226727,299.8434551145158,31152.94238778153,31452.785842896046,572213.432178498,-280738.61074543,291474.821433068,3393.441348825861,2099.710242034907,1293.7311067909536,1741.4179012885775,289733.40353177936,291474.821433068
2023-01-11,15.984131813049316,3.2311642169952393,5744025.640073776,3015716.6493344307,8759742.289408207,2728308.9907393456,359358.0,-933322.0,0.005782691327817391,0.014234016544773853,33024.9541397101,-42323.32970571519,-9298.375566005088,0.17761477690113517,0.0,45.45047512561738,730.8483540287601,473.8921422400346,256.9562117887255,302.4066869143429,-9600.78225291943,-9298.375566005088,605238.3863182081,-323061.9404511452,282176.44586706295,4124.289702854621,2573.6023842749414,1550.6873185796792,2043.8245882029205,280132.6212788599,282176.44586706295
2023-01-12,16.49359703063965,3.365260601043701,5927106.041736603,3140871.7546873093,9067977.796423912,2786234.2870492935,359358.0,-933322.0,0.03187318670472972,0.041500949825806766,183080.40166282607,-125155.10535287831,57925.296309947764,0.1760875499226491,0.0,48.859642227252515,736.4615831300707,482.19217990215355,254.26940322791717,303.12904545516966,57622.16726449259,57925.296309947764,788318.7879810341,-448217.0458040235,340101.74217701075,4860.751285984692,3055.794564177095,1804.9567218075963,2346.95363365809,337754.7885433525,340101.74217701075
2023-01-13,16.881189346313477,3.4785525798797607,5598646.4467048645,2844189.817202568,8442836.263907433,2754456.6295022964,331650.0,-817636.0,0.02349956258503294,0.033665142842406626,139284.39937591617,-105737.89627122862,33546.50310468755,0.17874320896507945,1518.3617439430864,49.769347152579016,757.2409474979165,499.43201816576135,257.8089293321552,1825.9400204278206,31720.56308425973,33546.50310468755,927603.1873569502,-553954.9420752521,373648.2452816983,5617.992233482609,3555.226582342856,2062.7656511397513,4172.89365408591,369475.35162761225,373648.2452816983
2023-01-17,17.683340072631836,3.711573839187622,5864679.735088348,3034716.3875780106,8899396.122666359,2829963.347510338,331650.0,-817636.0,0.04751742959944538,0.06698799398798094,266033.2883834834,-190526.57037544224,75506.71800804118,0.17366722567608828,0.0,45.78501565944604,714.1233806646741,448.39045244989785,265.7329282147762,311.5179438742223,75195.20006416696,75506.71800804118,1193636.4757404337,-744481.5124506943,449154.96328973945,6332.115614147283,4003.617034792754,2328.4985793545275,4484.411597960133,444670.5516917792,449154.96328973945
2023-01-18,17.358684539794922,3.623124361038208,5757007.727622986,2962396.9100618362,8719404.637684822,2794610.8175611496,331650.0,-817636.0,-0.018359401080533244,-0.023830720330967115,-107672.00746536245,72319.47751617437,-35352.52994918807,0.18095391227706903,0.0,44.56643829033723,728.2307688302435,458.3144613049462,269.9163075252973,314.48274581563453,-35667.01269500371,-35352.52994918807,1085964.4682750711,-672162.03493452,413802.4333405514,7060.346382977526,4461.9314960977,2598.4148868798247,4798.894343775767,409003.5389967755,413802.4333405514
2023-01-19,16.747325897216797,3.4321584701538086,5554250.633811951,2806256.3229026794,8360506.95671463,2747994.3109092712,331650.0,-817636.0,-0.03521918041523142,-0.052707517560804384,-202757.09381103542,156140.5871591569,-46616.50665187853,0.18093025690433906,0.0,45.13253122077484,723.5088683176198,457.9376220497596,265.57124626786015,310.70377748863496,-46927.210429367165,-46616.50665187853,883207.3744640357,-516021.4477753631,367185.92668867286,7783.855251295146,4919.86911814746,2863.986133147685,5109.598121264402,362076.3285674084,367185.92668867286
2023-01-20,17.82019805908203,3.7525806427001953,5910068.686294556,2972873.1893405914,8882941.875635147,2937195.4969539642,331650.0,-792221.0,0.06406229677799091,0.09335879311307771,355818.05248260533,-261988.70347213745,93829.34901046788,0.17431232081435205,138.22476704223433,45.64742087639126,728.162521703098,466.6272009784797,261.5353207246183,445.4075086432439,93383.94150182464,93829.34901046788,1239025.426946641,-778010.1512475006,461015.27569914074,8512.017772998244,5386.496319125939,3125.5214538723035,5555.005629907646,455460.270069233,461015.27569914074
2023-01-23,19.172765731811523,4.1366095542907715,6358647.754955292,3277108.9577097893,9635756.712665081,3081538.7972455025,331650.0,-792221.0,0.07590082154222522,0.10233728416672894,448579.0686607365,-304235.76836919785,144343.30029153865,0.17777137925835118,0.0,44.98268856136786,770.3425502271815,488.03571855433137,282.30683167285014,327.289520234218,144016.01077130443,144343.30029153865,1687604.4956073775,-1082245.9196166983,605358.5759906794,9282.360323225426,5874.532037680271,3407.8282855451534,5882.295150141864,599476.2808405375,605358.5759906794
2023-01-24,19.244688034057617,4.206799507141113,6382500.786495209,3332714.91234684,9715215.698842049,3049785.874148369,331650.0,-792221.0,0.0037512742424405943,0.016967990797569055,23853.031539916497,-55605.95463705082,-31752.92309713432,0.1854407790909204,0.0,45.831351447006305,800.3114572121633,508.98022949645724,291.33122771570606,337.16257916271235,-32090.085676297032,-31752.92309713432,1711457.527147294,-1137851.8742537491,573605.6528935451,10082.67178043759,6383.5122671767285,3699.1595132608595,6219.457729304576,567386.1951642404,573605.6528935451
2023-01-25,19.302631378173828,4.230895519256592,6401717.69657135,3351804.2791609764,9753521.975732327,3049913.4174103737,331650.0,-792221.0,0.003010874689871157,0.005727872715249438,19216.910076141176,-19089.366814136385,127.54326200479045,0.18739585482614057,0.0,45.457048483125874,806.5433964636625,520.2095517976421,286.33384466602035,331.7908931491462,-204.24763114435575,127.54326200479045,1730674.4372234351,-1156941.2410678854,573733.1961555498,10889.215176901253,6903.721818974371,3985.49335792688,6551.248622453722,567181.9475330961,573733.1961555498
2023-01-26,19.781124114990234,4.3670854568481445,6560409.812736511,3459696.807709694,10020106.620446205,3100713.0050268173,331650.0,-792221.0,0.024788990031558766,0.0321893880318469,158692.11616516055,-107892.52854871756,50799.587616442994,0.18774970922164788,0.0,51.1366381527181,830.9023420817138,546.4657851091453,284.4365569725685,335.5731951252866,50464.014421317705,50799.587616442994,1889366.5533885956,-1264833.769616603,624532.7837719929,11720.117518982966,7450.187604083516,4269.929914899449,6886.821817579009,617645.9619544138,624532.7837719929
2023-01-27,20.343530654907227,4.571970462799072,6129404.068670273,3138621.1469478607,9268025.215618134,2990782.921722412,301295.0,-686492.0,0.028431475210794366,0.04691573086339362,186522.12896347023,-162314.20429945007,24207.92466402016,0.18640715548584294,1720.5052399749707,55.87911818930292,850.4405803156928,562.0609245424114,288.37965577328146,2064.7640139375553,22143.160650082606,24207.92466402016,2075888.6823520658,-1427147.973916053,648740.7084360131,12570.55809929866,8012.248528625927,4558.30957067273,8951.585831516564,639789.1226044964,648740.7084360131
2023-01-30,19.141803741455078,4.194976806640625,5767329.758281708,2879818.017944336,8647147.776226044,2887511.740337372,301295.0,-686492.0,-0.0590716987054688,-0.08245758786631407,-362074.31038856495,258803.1290035247,-103271.18138504025,0.17259431528312386,0.0,45.0528589513369,744.4968571204421,455.1935205013519,289.3033366190902,334.3561955704271,-103605.53758061067,-103271.18138504025,1713814.371963501,-1168344.8449125283,545469.5270509728,13315.054956419102,8467.44204912728,4847.61290729182,9285.94202708699,536183.5850238857,545469.5270509728
2023-01-31,19.516408920288086,4.271303653717041,5880196.425638199,2932215.787847519,8812412.213485718,2947980.63779068,301295.0,-686492.0,0.019570004159102927,0.01819481980343518,112866.6673564911,-52397.769903183056,60468.89745330805,0.16895778054729524,0.0,45.726966977621586,740.331551771504,460.10428272104406,280.22726905045994,325.95423602808154,60142.943217279964,60468.89745330805,1826681.039319992,-1220742.6148157113,605938.4245042808,14055.386508190606,8927.546331848323,5127.84017634228,9611.896263115072,596326.5282411657,605938.4245042808
2023-02-01,20.92092514038086,4.740787506103516,6303370.140171051,3254512.6966400146,9557882.836811066,3048857.4435310364,301295.0,-686492.0,0.07196591472485103,0.10991582206474892,423173.71453285246,-322296.9087924955,100876.80574035697,0.16876858670741232,0.0,44.21545652573622,770.479005528952,488.52140468439336,281.95760084455867,326.1730573702949,100550.63268298667,100876.80574035697,2249854.7538528447,-1543039.5236082068,706815.2302446377,14825.865513719558,9416.067736532717,5409.797777186838,9938.069320485367,696877.1609241524,706815.2302446377
2023-02-02,21.686113357543945,4.99341344833374,6533917.524061203,3427938.384973526,9961855.909034729,3105979.139087677,301295.0,-686492.0,0.036575257166144404,0.05328775902842775,230547.3838901519,-173425.68833351167,57121.69555664022,0.17459235478300159,0.0,48.85747207017669,869.6892436521217,573.2666823173881,296.4225613347336,345.2800334049103,56776.41552323531,57121.69555664022,2480402.1377429967,-1716465.2119417184,763936.9258012779,15695.55475737168,9989.334418850105,5706.220338521572,10283.349353890277,753653.5764473877,763936.9258012779
2023-02-03,21.077756881713867,4.797358989715576,6350622.75967598,3194479.796148777,9545102.555824757,3156142.9635272026,301295.0,-665883.0,-0.02805281268247406,-0.03926261276914411,-183294.76438522362,134589.8174057008,-48704.94697952282,0.17381001389546882,514.4353482644754,48.806358223319684,843.7096913190869,538.2046495672084,305.5050417518785,868.7467482396735,-49573.6937277625,-48704.94697952282,2297107.373357773,-1581875.3945360174,715231.978821755,16539.264448690767,10527.539068417314,6011.72538027345,11152.09610212995,704079.8827196253,715231.978821755
2023-02-06,21.0667724609375,4.788978576660156,6347313.208618164,3188899.421562195,9536212.630180359,3158413.7870559692,301295.0,-665883.0,-0.0005211380337106775,-0.0017468805385183472,-3309.5510578158164,5580.374586582356,2270.8235287665393,0.17320313969085788,0.0,49.200417272720735,840.3964704079314,523.8812222799693,316.5152481279621,365.71566540068284,1905.1078633658565,2270.8235287665393,2293797.822299957,-1576295.019949435,717502.8023505216,17379.660919098696,11051.420290697284,6328.240628401412,11517.811767530633,705984.9905829912,717502.8023505216
2023-02-07,22.149627685546875,5.158339500427246,6673572.073516846,3434850.581562996,10108422.655079842,3238721.49195385,301295.0,-665883.0,0.05140109746840582,0.07712728671772062,326258.86489868193,-245951.16000080085,80307.70489788108,0.17395240726909003,0.0,49.65835259200079,862.8127874733536,549.9996932648959,312.81309420845776,362.4714468004585,79945.23345108062,80307.70489788108,2620056.687198639,-1822246.1799502359,797810.5072484026,18242.47370657205,11601.41998396218,6641.05372260987,11880.283214331092,785930.2240340718,797810.5072484026
2023-02-08,22.181591033935547,5.1653733253479,6683202.470569611,3439534.286002636,10122736.756572247,3243668.1845669746,301295.0,-665883.0,0.0014430648154655223,0.0013635831685898658,9630.397052765451,-4683.7044396404135,4946.6926131250375,0.1791259879748793,0.0,52.333192314515614,876.247360403288,556.5584611635113,319.6888992397767,372.0220915542923,4574.670521570745,4946.6926131250375,2629687.0842514043,-1826929.8843898764,802757.1998615277,19118.72106697534,12157.978445125691,6960.742621849648,12252.305305885384,790504.8945556425,802757.1998615277
2023-02-09,22.31345558166504,5.222094535827637,6722932.599477768,3477303.975800514,10200236.575278282,3245628.6236772537,301295.0,-665883.0,0.005944774093425087,0.010981047623680906,39730.12890815676,-37769.68979787825,1960.4391102785085,0.18198354910769055,0.0,49.204924661519165,879.9792537437164,560.4768142907336,319.5024394529828,368.70736411450196,1591.7317461640064,1960.4391102785085,2669417.213159561,-1864699.5741877547,804717.6389718062,19998.700320719057,12718.455259416425,7280.24506130263,12621.012669999885,792096.6263018065,804717.6389718062
2023-02-10,21.242586135864258,4.816066265106201,6400284.989805222,3206936.6528077126,9607221.642612934,3193348.336997509,301295.0,-665883.0,-0.04799209346492772,-0.07775199547533374,-322647.6096725465,270367.3229928016,-52280.286679744895,0.18534920765520063,208.9497572094652,54.63026673616115,872.5843030202187,551.2062607590289,321.3780422611899,584.9580662068163,-52865.24474595171,-52280.286679744895,2346769.603487015,-1594332.251194953,752437.3522920613,20871.284623739277,13269.661520175454,7601.62310356382,13205.970736206702,739231.3815558548,752437.3522920613
2023-02-13,21.765031814575195,5.015114784240723,6557695.2605724335,3339479.677874565,9897174.938446999,3218215.5826978683,301295.0,-665883.0,0.02459425963342965,0.04133010390174352,157410.27076721226,-132543.02506685234,24867.245700359927,0.1784220174495146,0.0,47.180104674029494,858.4839882447325,540.696845095407,317.7871431493255,364.967247823355,24502.27845253657,24867.245700359927,2504179.874254227,-1726875.2762618053,777304.5979924212,21729.76861198401,13810.35836527086,7919.410246713146,13570.937984030057,763733.6600083914,777304.5979924212
