run_id,book_sigma_target,book_max_pair,book_max_underlying,weight_ridge_lambda,w_min_floor_frac,lev,qcqp_status,qcqp_fallback,sigma_p_book_annual,CAGR,Vol,Sharpe,Max_DD,Sortino,Calmar,weights_dir
8,0.12,0.25,0.2,0.5,0.2,4,optimal_inaccurate,False,0.12000000000297754,0.38254048849318534,0.1357951329319206,2.8170412314038367,-0.06358604270786358,5.238314207239769,6.016107815526586,C:\Users\werdn\Documents\Investing\ls-algo\notebooks\data\backtest\joint_qcqp_grid_weights\run_008
6,0.12,0.25,0.2,0.0,0.2,4,optimal_inaccurate,False,0.120000000002472,0.38431403388661467,0.1372959622763973,2.7991648662830526,-0.06494414986110375,5.225844663359353,5.917608201948108,C:\Users\werdn\Documents\Investing\ls-algo\notebooks\data\backtest\joint_qcqp_grid_weights\run_006
4,0.12,0.1,0.2,0.5,0.2,4,optimal_inaccurate,False,0.12000000000009159,0.2927408991774567,0.1050322035162944,2.7871537431092905,-0.068489879497394,4.920193170661774,4.274221261969008,C:\Users\werdn\Documents\Investing\ls-algo\notebooks\data\backtest\joint_qcqp_grid_weights\run_004
2,0.12,0.1,0.2,0.0,0.2,4,optimal_inaccurate,False,0.12000000483885927,0.2941391951856698,0.10576132336266271,2.7811603129912306,-0.06928877306803707,4.905883254949326,4.245120560828003,C:\Users\werdn\Documents\Investing\ls-algo\notebooks\data\backtest\joint_qcqp_grid_weights\run_002
7,0.12,0.25,0.2,0.5,0.1,4,optimal_inaccurate,False,0.11999999999996212,0.3563867257787252,0.12842297875083325,2.7751009145348364,-0.06181127117836425,5.19547573091262,5.765723936502231,C:\Users\werdn\Documents\Investing\ls-algo\notebooks\data\backtest\joint_qcqp_grid_weights\run_007
5,0.12,0.25,0.2,0.0,0.1,4,optimal,False,0.1200000000841344,0.36020691063639076,0.13065930733548492,2.756840809751978,-0.05953773509402181,5.17645660747041,6.050060689536696,C:\Users\werdn\Documents\Investing\ls-algo\notebooks\data\backtest\joint_qcqp_grid_weights\run_005
9,0.16,0.1,0.2,0.0,0.1,4,optimal_inaccurate,False,0.16000000004684037,0.43373558499196063,0.15817159524688193,2.742183792955777,-0.11560190287286726,4.983038471599085,3.751976171784643,C:\Users\werdn\Documents\Investing\ls-algo\notebooks\data\backtest\joint_qcqp_grid_weights\run_009
11,0.16,0.1,0.2,0.5,0.1,4,optimal_inaccurate,False,0.15999999992281844,0.43112168683119423,0.15733671682797448,2.740121285882462,-0.11655137171881388,4.968429241784913,3.6989842373652815,C:\Users\werdn\Documents\Investing\ls-algo\notebooks\data\backtest\joint_qcqp_grid_weights\run_011
12,0.16,0.1,0.2,0.5,0.2,4,optimal,False,0.15999999999977507,0.37828713567932515,0.1399344865630462,2.703315994294883,-0.10616559737859865,4.756609091012112,3.563180022717811,C:\Users\werdn\Documents\Investing\ls-algo\notebooks\data\backtest\joint_qcqp_grid_weights\run_012
10,0.16,0.1,0.2,0.0,0.2,4,optimal,False,0.16000000065353476,0.38154745151132174,0.14119456577125428,2.702281418744239,-0.10593130249872815,4.766147957978951,3.6018385737860887,C:\Users\werdn\Documents\Investing\ls-algo\notebooks\data\backtest\joint_qcqp_grid_weights\run_010
