etf,und,beta_abs,net_decay_annual,borrow_avg_annual,aum_usd,aum_m,shares_available,etf_price,weight_raw,weight_cap,weight,pair_target_gross_usd,short_target_usd,short_vs_aum_pct,short_vs_shares_pct,adv_period,adv_shares_daily_avg,adv_usd_daily_avg
LITX,LITE,1.98,1.213104,0.123098,595758969.42,595.75896942,1600000.0,43.91999816894531,0.02241742687541767,0.075,0.026448673846783188,2479563.1731359237,832068.1789046724,0.0013966523738865918,0.011840679269042613,3mo,3810500.1694915253,167357160.4668336
QBTX,QBTS,1.993,1.274929,0.153796,102291995.34,102.29199534,300000.0,16.399999618530273,0.022351253616910247,0.039268159086608884,0.026370600884111414,2472243.832885445,826008.6311010509,0.008075007515060668,0.16788793705575214,3mo,1826500.4761904762,29954607.11276917
LABX,ALAB,1.994,0.940893,0.044896,53289043.41,53.28904341,100000.0,44.33000183105469,0.01969059131933728,0.03403677780683519,0.023231481050420458,2177951.348476918,727438.6601459312,0.01365081100347587,0.16409623958922,3mo,419785.50793650793,18609092.33547562
SNXX,SNDK,1.995,1.04856,0.123722,1170097522.5,1170.0975225,950000.0,72.61000061035156,0.018657845641176483,0.075,0.02201302035195812,2063720.6579960738,689055.3115178877,0.0005888870784425473,0.009989276607191495,3mo,9657245.508474575,701212602.2646538
IRE,IREN,1.99,1.231147,0.228419,346156265.34000003,346.15626534000006,150000.0,24.420000076293945,0.01855372745491048,0.02920632009124756,0.021890178958725436,2052204.2773805095,686355.9456122105,0.001982792207843071,0.18737535994208837,3mo,5921041.412698412,144591831.74983484
APLX,APLD,1.994,1.20286,0.214864,95084925.92,95.08492592,150000.0,19.614999771118164,0.01846803138856129,0.02349092372589111,0.02178907247039303,2042725.5440993465,682273.060821425,0.007175407186996787,0.2318882041915795,3mo,1795088.0158730159,35210651.02048617
NVTX,NVTS,2.0,1.37613,0.338427,31220022.74,31.220022739999997,45000.0,64.92500305175781,0.0178319419421551,0.0199808145536,0.0199808145536,1873201.3643999998,624400.4548,0.02,0.2137168272623831,3mo,218129.2857142857,14162044.540677752
HIMZ,HIMS,1.998,1.14589,0.246063,210878077.05,210.87807705,500000.0,46.40999984741211,0.016445291960321264,0.075,0.019402590930300914,1818992.8997157107,606735.4568764878,0.002877186027889606,0.026146755391998577,3mo,2334253.253968254,108332693.16048789
CRWG,CRWV,1.997,0.904185,0.105039,207033600.0,207.0336,0.0,5.324999809265137,0.016164681587617094,0.075,0.019071519381950494,1787954.942057859,596581.5622482012,0.002881568799693389,,3mo,26399186.555555556,140575663.3730881
ETHU,ETHA,2.001,0.749609,0.017064,1065034560.7,1065.0345607000002,100000.0,26.940000534057617,0.015998209020514374,0.02155918442738851,0.018875110639046788,1769541.6224106364,589650.6572511285,0.0005536446224464089,0.218875518025952,3mo,7517842.714285715,202530686.73781833
NEBX,NBIS,1.999,0.879555,0.096287,144819014.32,144.81901431999998,70000.0,73.94999694824219,0.01593428546302844,0.0413981942915853,0.01879969193321282,1762471.1187387018,587686.2683356791,0.0040580739421212705,0.11352966146783179,3mo,937614.5555555555,69336593.52196078
CRCG,CRCL,1.99,0.929278,0.143252,117653384.0,117.653384,2000000.0,3.029900074005127,0.015386153658671292,0.048316806513468424,0.018152991515762662,1701842.9546027496,569178.2456865383,0.004837754991276225,0.09392690052219445,3mo,24392426.746031746,73906615.60296622
BEX,BE,1.977,1.088592,0.195703,55728051.26,55.72805126,50000.0,45.459999084472656,0.016892136886649155,0.01804458896993001,0.01804458896993001,1691680.2159309385,568249.9885559081,0.010196839396101075,0.24999999999999994,3mo,907896.7777777778,41272986.68657345
CWVX,CRWV,1.99,0.815418,0.079005,133134750.64,133.13475064,70000.0,43.16999816894531,0.01510289924851917,0.024094614978027343,0.017818800462016365,1670512.5433140344,558699.8472622188,0.004196498995014146,0.18488363974964847,3mo,1708636.603174603,73761839.03044055
XXRP,XRPZ,2.02,0.827536,0.037261,109788672.0,109.788672,500000.0,4.315000057220459,0.01711683696970731,0.01737506689707438,0.01737506689707438,1628912.5216007233,539375.0071525574,0.0049128475399771426,0.25,3mo,2548573.380952381,10997094.284640063
CRDU,CRDO,1.988,0.883586,0.14328,79703793.57,79.70379356999999,250000.0,51.209999084472656,0.014445531104339304,0.0508063861732608,0.017043220118237303,1597801.8860847473,534739.5870430882,0.006709085767334929,0.04176837309924703,3mo,505776.126984127,25900794.999805268
CRCA,CRCL,1.978,0.986624,0.234526,176588789.2226,176.5887892226,350000.0,45.744998931884766,0.013916739407370407,0.075,0.016419337671614766,1539312.9067138843,516894.8645782016,0.002927110304418175,0.032284238817504,3mo,1564179.1904761905,71553375.39760971
SNDU,SNDK,2.0,0.749274,0.069281,38961000.0,38.961,65000.0,43.439998626708984,0.013915546446440214,0.022588799285888674,0.016417930184719418,1539180.9548174455,513060.3182724818,0.013168561337555037,0.18170432585781324,3mo,353779.71428571426,15368190.302728925
ONDL,ONDS,1.951,1.094689,0.316736,40908116.0,40.908116,0.0,21.885000228881836,0.013843389310129304,0.02575356806741333,0.016332797284560482,1531199.7454275452,518874.87137497304,0.012683910238618005,,3mo,1532333.7777777778,33535125.077390034
NBIL,NBIS,1.998,0.851463,0.157091,76845996.99,76.84599698999999,150000.0,23.760000228881836,0.013403674853480416,0.028492992274475097,0.01581401052485547,1482563.4867052005,494517.5072398934,0.006435175892171003,0.13875350798994662,3mo,1994810.0,47396686.056575775
SOLT,SOEZ,2.014,0.675693,0.054597,135075088.0,135.075088,55000.0,48.59000015258789,0.012691755700505123,0.021479371534118646,0.014974069456374979,1403819.0115351542,465766.0953998522,0.0034482013100731955,0.1742843061375143,3mo,776888.0793650794,37748991.89489292
GDXU,GDX,3.043,0.615212,0.040063,1721727872.0,1721.727872,9000.0,237.52740478515625,0.011727342724510597,0.023047759141113282,0.013836229489395736,1297146.5146308502,320837.6241975885,0.00018634630327782047,0.15008215554364085,3mo,1132911.8095238095,269097601.9666457
RKLX,RKLB,1.996,0.752188,0.172024,320651700.0,320.6517,450000.0,49.88999938964844,0.011140331068367858,0.075,0.013143657593260576,1232217.899368179,411287.68336721597,0.0012826617896216236,0.01831975628154773,3mo,2454285.9682539683,122444325.4582132
ETHT,ETHA,1.991,0.664123,0.104009,261133363.9586,261.1333639586,100000.0,17.979999542236328,0.011017366643340184,0.014340847634887697,0.012998580908483676,1218616.9601703447,407427.93720172,0.0015602293442147572,0.22660063825065296,3mo,2292491.9206349207,41219003.68359636
APPX,APP,1.984,0.608545,0.067512,179333600.37,179.33360037,350000.0,39.81999969482422,0.010776499423272398,0.075,0.012714399384022452,1191974.9422521049,399455.40960191184,0.002227443205164887,0.028661506254092774,3mo,1002053.5238095238,39901771.01229277
IONX,IONQ,1.988,0.838097,0.27555,360549664.64,360.54966464,70000.0,52.880001068115234,0.010584551002011524,0.029494349395751955,0.012487933553775855,1170743.7706664864,391815.1842926661,0.0010867162633028211,0.1058502205474524,3mo,1951837.2698412698,103213156.91399348
SOXL,SOXX,2.96,0.527566,0.00821,13754605428.43204,13754.60542843204,1600000.0,99.41000366210938,0.010580077639728035,0.075,0.012482655762498025,1170248.97773419,295517.41861974495,2.148497971514931e-05,0.0018579456778326155,3mo,85823848.03174603,8531749047.132192
CONL,COIN,1.987,0.662291,0.127558,687740926.76,687.74092676,950000.0,9.749699592590332,0.010418403989490307,0.07377662679710388,0.012291908908788174,1152366.4601988913,385793.9270836596,0.0005609582214354528,0.041652449571165186,3mo,17901214.031746034,174531459.15218663
ROBN,HOOD,2.012,0.645084,0.137216,78767104.0,78.767104,100000.0,27.920000076293945,0.00987424375854326,0.022425344061279294,0.011649894258815529,1092177.586763956,362608.7605458021,0.00460355582637394,0.12987419754833118,3mo,1409889.6984126985,39364120.48724859
UXRP,XRPZ,2.0,0.821881,0.021934,44221076.1251,44.221076125100005,350000.0,4.15500020980835,0.017702906210805544,0.011634000587463379,0.011634000587463379,1090687.5550746918,363562.5183582306,0.008221476052046402,0.25,3mo,538389.4444444445,2237008.254625268
VRTL,VRT,1.982,0.502851,0.036456,45307092.53,45.30709253,0.0,164.2299041748047,0.009203085076039919,0.0288225599838848,0.010858043472745469,1017941.5755698878,341362.03070754115,0.007534406020017924,,3mo,89879.69841269842,14760934.257577807
PTIR,PLTR,1.997,0.464986,0.015807,452846608.12,452.84660812,200000.0,16.545000076293945,0.008838702026224164,0.02644552812194824,0.010428134701617003,977637.628276594,326205.41484037176,0.0007203441717154928,0.09858126725178029,3mo,5279075.888888889,87342310.9844282
CCUP,CRCL,1.986,0.766582,0.328858,33721200.0,33.7212,300000.0,5.164999961853027,0.008705695006829599,0.012338151908874514,0.010271209498075591,962925.8904445866,322480.2044355615,0.009563129557535363,0.20811888145678806,3mo,2952132.9682539683,15247766.668416811
IONL,IONQ,1.987,0.789991,0.365406,108444597.56,108.44459756,80000.0,27.520000457763672,0.008566455379962166,0.017536478158365888,0.01010693089919666,947524.7717996868,317216.19410769566,0.002925145200821894,0.1440843880955522,3mo,739544.6984126985,20352270.438854158
ASTX,ASTS,1.99,1.082711,0.1279,268337377.43,268.33737743,35000.0,35.650001525878906,0.019244590262745158,0.009948727092488606,0.009948727092488606,932693.1649208069,311937.51335144043,0.0011624825297877638,0.25,3mo,2310255.9206349207,82360627.0958057
RDTL,RDDT,1.982,0.572417,0.151995,72489876.98,72.48987698,75000.0,21.1200008392334,0.008245057273772213,0.012595968500518799,0.009727736902810155,911975.334638452,305826.7386446855,0.004218888917814873,0.19307242834105,3mo,577620.3492063492,12199342.259996384
MSTU,MSTR,1.967,0.846129,0.465941,548295919.17,548.2959191699999,250000.0,7.619999885559082,0.008159969343126528,0.015072359773635866,0.009627347909084332,902563.866476656,304200.83130322077,0.0005548114087073898,0.15968547814795744,3mo,35485357.07936508,270398416.88378507
AMUU,AMD,2.008,0.444114,0.026716,33051942.0,33.051942,20000.0,80.30000305175781,0.00809272415519334,0.012882261822916668,0.009548010255691075,895125.9614710383,297581.76910606324,0.009003457924077902,0.18529374707137636,3mo,163947.79365079364,13165008.330487689
TEMT,TEM,1.985,0.522827,0.111275,56020607.07,56.02060707,200000.0,27.46500015258789,0.008036345128536586,0.035673922582176,0.009481492787110472,888889.9487916067,297785.5774846254,0.005315643529398572,0.054211828842201285,3mo,267540.3015873016,7347994.423918649
MUU,MU,1.994,0.446705,0.035745,1109400206.4,1109.4002064000001,150000.0,207.08999633789062,0.007952361883168033,0.075,0.009382407130326955,879600.668468152,293787.79841955646,0.00026481678723758027,0.009457652988710236,3mo,2593301.476190476,537046793.207332
BMNG,BMNR,1.993,1.151348,0.239953,43741000.0,43.741,750000.0,1.5399999618530273,0.016719579232992807,0.009218439771652221,0.009218439771652221,864228.7285923958,288749.9928474426,0.006601357830123743,0.25,3mo,41695455.26984127,64210999.52500016
INTW,INTC,1.988,0.464815,0.045237,159190455.71,159.19045571,10000.0,114.63999938964844,0.00814783563913574,0.009134515151367187,0.009134515151367187,856360.7954406738,286599.9984741211,0.001800359181056842,0.25,3mo,891308.3015873015,102179583.14995684
UPSX,UPST,1.989,0.561915,0.172553,38136471.6,38.1364716,45000.0,26.096599578857422,0.007729012393487011,0.009360328336944581,0.00911889348804999,854896.2645046866,286014.1400149503,0.007499753595845251,0.2435516458343223,3mo,89417.93650793651,2333504.0842153155
MULL,MU,1.997,0.512618,0.125425,219856898.84,219.85689884,45000.0,182.2899932861328,0.00759883505174741,0.0655587731854248,0.00896530681313649,840497.5137315459,280446.28419471,0.00127558555439647,0.03418805133745883,3mo,472077.84126984124,86055066.51561143
NVOX,NVO,1.994,0.457342,0.067841,42657776.0,42.657776,0.0,11.494999885559082,0.00753454251006861,0.02724637468672,0.008889452769980986,833386.1971857174,278352.1032684427,0.006525237116638305,,3mo,1118483.1746031747,12856963.964063251
WDCX,WDC,2.055,0.554111,0.184695,42493492.91,42.49349290999999,45000.0,51.47999954223633,0.0074170485103668546,0.018872567832183836,0.00875083023786186,820390.3347995493,268540.20779035985,0.006319560699778678,0.11591997331357927,3mo,537338.1694915254,27662168.719449833
PLTU,PLTR,1.992,0.440569,0.07295,540942177.7398679,540.9421777398679,250000.0,44.83000183105469,0.007100306250030929,0.075,0.008377129331701918,785355.8748470548,262485.25228845415,0.000485237171531261,0.023420498912995812,3mo,2565326.1428571427,115003575.68153816
QPUX,IONQ,1.779,0.879767,0.313671,33055842.82,33.05584282,35000.0,32.0,0.010583786338808044,0.008299946666666665,0.008299946666666665,778119.9999999999,280000.0,0.008470514623532446,0.25,3mo,125592.20634920635,4018950.603174603
TSLL,TSLA,1.993,0.425338,0.074373,5014160067.316148,5014.160067316147,150000.0,13.204999923706055,0.006771095539946481,0.015809025908660887,0.007988717818360951,748942.2954713391,250231.30486847283,4.990492954135193e-05,0.1263315947566443,3mo,79687467.15873016,1052272997.7513605
CLSX,CLSK,1.999,1.08677,0.212618,25869261.95,25.86926195,60000.0,15.989899635314941,0.016334535514825672,0.007672593441009523,0.007672593441009523,719305.6350946428,239848.49452972412,0.009271563100381536,0.25,3mo,547181.2063492064,8749372.571854364
YINN,FXI,2.974,0.352345,0.007377,825974067.5598625,825.9740675598625,1000000.0,36.959999084472656,0.006403442359870927,0.075,0.0075549508609580925,708276.6432148211,178227.6404667391,0.00021577873624200925,0.004822176539003614,3mo,2354769.634920635,87032283.55081068
SMU,SMR,1.986,1.088554,0.221617,76692363.69,76.69236369,55000.0,17.229999542236328,0.016102637812661903,0.007545820866190593,0.007545820866190593,707420.7062053682,236912.4937057495,0.0030891275520386757,0.25,3mo,930086.3333333334,16025387.097573599
TSLG,TSLA,1.991,0.466461,0.151636,41624980.0,41.62498,0.0,6.510000228881836,0.00638842154015969,0.0265600672384,0.007537228900107647,706615.2093850919,236247.1445620501,0.005675609803585493,,3mo,46320810.50793651,301548487.0086588
HOOG,HOOD,2.007,0.509322,0.215384,44126300.0,44.1263,85000.0,27.88949966430664,0.006302030987188574,0.01900911111119588,0.00743530303806851,697059.6598189229,231812.32451577083,0.005253382325637337,0.09778604315813204,3mo,580330.5238095238,16185127.94897261
BITX,IBIT,2.005,0.388236,0.059397,961273536.0,961.273536,650000.0,18.43280029296875,0.006271392428652316,0.075,0.007399154855390609,693670.7676928695,230838.85780128773,0.0002401385757084732,0.019266562793779165,3mo,13119693.841269841,241832696.48101905
NBIG,NBIS,2.009,1.052483,0.1048,29110000.0,29.11,55000.0,16.69499969482422,0.01955470349695568,0.007367837265319824,0.007367837265319824,690734.7436237335,229556.245803833,0.007885820879554552,0.25,3mo,1207470.238095238,20158715.256509326
URAA,URA,1.933,0.360468,0.026314,56763044.52,56.76304452,45000.0,43.8036003112793,0.00624158976008635,0.015417115165557861,0.00736399287783424,690374.3322969599,235381.63392327307,0.0041467408225494004,0.11941262679099564,3mo,121091.8253968254,5304257.920645759
TSLR,TSLA,1.999,0.397032,0.072704,128323742.97,128.32374297,100000.0,22.489999771118164,0.006238132445084822,0.017986002483622237,0.007359913846044857,689991.9230667053,230073.99902190905,0.0017929183929407094,0.10230057864089973,3mo,1908312.4285714286,42917946.081793375
SOFX,SOFI,1.995,0.458849,0.101373,42484068.0,42.484068,65000.0,13.824999809265137,0.00698200150630068,0.007177018234316508,0.007177018234316508,672845.4594671726,224656.24690055847,0.005288011658877829,0.25,3mo,681449.0,9421032.295023918
AMDL,AMD,1.997,0.355908,0.036118,640333845.32,640.33384532,250000.0,22.93000030517578,0.005980033516923895,0.045814140609741205,0.0070554018960753305,661443.9277570623,220702.01126361772,0.00034466710275688183,0.03850013228544104,3mo,11762000.07936508,269702665.40931886
COHX,COHR,2.051,0.574964,0.377458,80524811.9,80.5248119,200000.0,53.465999603271484,0.00566105483339745,0.05241198956947201,0.00667906239861416,626162.0998700776,205231.76003607915,0.0025486772982586644,0.01919273571605696,3mo,469850.25581395347,25121013.59094584
ORCX,ORCL,1.982,0.370181,0.078868,207589248.0,207.589248,1000000.0,39.84590148925781,0.005629851401538131,0.075,0.006642247763431723,622710.727821724,208823.1816974259,0.0010059441117943927,0.0052407694114719235,3mo,2824381.1587301586,112540013.41887774
RGTX,RGTI,1.992,1.107783,0.273217,43834500.0,43.8345,30000.0,26.92009925842285,0.015058794034667707,0.006443594958496094,0.006443594958496094,604087.0273590088,201900.7444381714,0.004605978040999017,0.25,3mo,1139510.0317460317,30675723.16057175
BITU,IBIT,1.992,0.328891,0.044892,511448658.5546,511.4486585546,80000.0,14.510000228881836,0.005292404635320753,0.009261636412760416,0.006244119132972264,585386.1687161498,195650.4574586062,0.000382541735492145,0.16854794484183422,3mo,5550595.936507937,80539148.30916075
MVLL,MRVL,1.992,0.407284,0.164921,225043425.01,225.04342501,300000.0,60.0,0.005248186635663707,0.075,0.006191949566073003,580495.271819344,194015.79940486097,0.0008621260514331388,0.010778655522492277,3mo,517902.0,31074120.0
RIOX,RIOT,2.0,0.767626,0.245207,21340475.84,21.34047584,25000.0,30.3700008392334,0.009981415224535706,0.00607400016784668,0.00607400016784668,569437.5157356262,189812.50524520874,0.00889448326589932,0.25,3mo,229725.20634920636,6976754.709618463
AVL,AVGO,1.987,0.315851,0.068746,200133054.09,200.13305409,100000.0,53.709999084472656,0.004732926257815236,0.04278180460408529,0.005584031728061519,523502.9745057674,175260.4534669459,0.000875719676911197,0.03263087999523221,3mo,549757.126984127,29527454.786999777
LRCU,LRCX,2.045,0.349623,0.132724,25618918.47,25.61891847,15000.0,46.214599609375,0.004636062868270886,0.005628938232421875,0.005469749736109902,512789.0377603033,168403.62488023096,0.006573408829784647,0.2429299057060588,3mo,112233.07936507936,5186806.82578435
AVGG,AVGO,1.999,0.287381,0.042537,33522016.0,33.522016,300000.0,32.98500061035156,0.004499074495688886,0.021446938876586674,0.0053081272266507105,497636.9274985041,165934.28726192197,0.004950009189838761,0.016768660925823704,3mo,197849.11111111112,6526053.050757514
KORU,EWY,2.931,0.344164,0.138208,1591631814.5503354,1591.6318145503353,150000.0,511.3800048828125,0.004492889136624327,0.075,0.005300829576236463,496952.7727721684,126418.91955537227,7.94272383849577e-05,0.0016480753822765302,3mo,948284.3650793651,484933663.24458045
BTCL,IBIT,2.007,0.379174,0.045311,34777600.0,34.7776,35000.0,18.8799991607666,0.006315465902231884,0.005298734697799683,0.005298734697799683,496756.37791872025,165199.99265670776,0.004750183815349759,0.25,3mo,149661.68253968254,2825612.440748124
NVDL,NVDA,1.988,0.30328,0.076219,3941850747.41,3941.8507474099997,100000.0,96.26139831542969,0.004416558410462416,0.075,0.005210772564253597,488509.9278987747,163490.60505313743,4.147559497542093e-05,0.016984025571435274,3mo,9629886.57142857,926986346.9846932
IREX,IREN,1.982,0.990656,0.425978,58246407.02,58.24640702000001,20000.0,32.689998626708984,0.01046098018491655,0.0051990173815917974,0.0051990173815917974,487407.879524231,163449.99313354495,0.002806181556871333,0.25000000000000006,3mo,1040690.4285714285,34020168.68082918
BABX,BABA,2.006,0.258621,0.007564,135983325.46,135.98332546,250000.0,29.3700008392334,0.004348052688733085,0.05885748168182373,0.005129947699708396,480932.5968476622,159990.883848191,0.001176547810600888,0.02178970095696695,3mo,776157.8412698413,22795756.449472822
SMCX,SMCI,1.842,0.489127,0.431826,92146560.0,92.14656,250000.0,13.880000114440918,0.004296490289548432,0.026297973550160725,0.005069113015764898,475229.3452279592,167216.5183771848,0.0018146799878062166,0.04818919798227112,3mo,2958806.5714285714,41068235.55003711
