pair,etf,underlying,gross_usd,n_obs_days,pnl_20d,borrow_20d,span_20d,ret_20d_annual,pnl_60d,borrow_60d,span_60d,ret_60d_annual,expected_edge_annual,vol_underlying_annual,borrow_current,edge_capture_ratio,gross_capture_main,borrow_annual_on_gross,borrow_exceeds_decay,flag_half,flag_freeze,flag_exit,flag_vol_floor
BEZ|BE,BEZ,BE,33918.22165725,50,-5718.440238729315,-158.37,20,-2.124296130147738,-5718.440238729315,-158.37,49,-0.8670596449582605,2.3308269625843403,1.039419,1.2233030374156597,-0.371996574124445,-5560.070238729315,0.024012882926018397,False,True,True,True,False
NBIZ|NBIS,NBIZ,NBIS,33240.093388789996,70,-5090.402148875299,-44.34,20,-1.9295694005919746,-5090.402148875299,-44.34,60,-0.6431898001973249,3.56344872387273,0.980837,0.1908572761272701,-0.18049643759102865,-5046.062148875299,0.005602511335386446,False,True,True,True,False
RKLZ|RKLB,RKLZ,RKLB,10742.772742263936,68,-1555.538045027296,-25.72,20,-1.8244618812641347,-1555.538045027296,-25.72,60,-0.6081539604213783,2.1212850000000003,0.868185,0.682612,-0.28669130287602945,-1529.818045027296,0.010055504532364796,False,True,True,True,False
IREZ|IREN,IREZ,IREN,31814.55043091,70,-1223.220316749856,-287.35,20,-0.48445053544034433,-1223.220316749856,-287.35,60,-0.1614835118134481,2.6439060000000003,1.063209,0.8644289999999999,-0.061077629769533445,-935.870316749856,0.037934529441831864,False,True,True,False,False
CORD|CRWV,CORD,CRWV,32156.608174080007,72,-1080.9378485565858,-110.84,20,-0.4235464392911719,-1080.9378485565858,-110.84,60,-0.14118214643039065,2.299679,0.947885,0.304421,-0.061392110129453135,-970.0978485565857,0.014476899972778883,False,True,False,False,False
CRCD|CRCL,CRCD,CRCL,9755.2613132975,72,-865.1859228340729,-123.75,20,-1.117483404862726,-865.1859228340729,-123.75,60,-0.3724944682875753,1.562439,0.899666,0.977448,-0.23840576706519445,-741.4359228340729,0.053278941825117825,True,True,True,True,False
MSDD|MSTR,MSDD,MSTR,8582.997624018437,68,-546.01843257289,-10.85,20,-0.8015652050474849,-546.01843257289,-10.85,60,-0.26718840168249497,1.145425,0.647882,0.15693,-0.2332657325294061,-535.16843257289,0.005309333871010066,False,True,True,False,False
ZSL|SLV,ZSL,SLV,,2,-492.61058890852314,-7.060000000000002,1,,-492.61058890852314,-7.060000000000002,1,,0.234741,0.498355,0.250507,,-485.55058890852314,,False,False,False,False,False
MSTZ|MSTR,MSTZ,MSTR,8845.784493941243,72,-471.1114989229114,-11.53,20,-0.6710546577858008,-471.1114989229114,-11.53,60,-0.22368488592860028,1.941048,0.647882,0.155255,-0.11523923464468692,-459.5814989229114,0.005474472053119596,False,True,True,False,False
UVIX|SVIX,UVIX,SVIX,11833.817987198472,67,-32.87418751183458,0.0,20,-0.035002630858206776,-32.87418751183458,0.0,60,-0.011667543619402261,1.965851,0.558302,0.010745,-0.005935110860081594,-32.87418751183458,0.0,False,True,False,False,False
SMST|MSTR,SMST,MSTR,,40,-29.915704078732418,0.0,20,,-29.915704078732418,0.0,39,,0.614811,0.647882,1.201543,,-29.915704078732418,,False,False,False,False,False
CONI|COIN,CONI,COIN,1700.0246240784177,68,122.65496926541884,0.0,20,0.909076604453342,122.65496926541884,0.0,60,0.3030255348177807,0.5524360000000001,0.682267,0.6494679999999999,0.548526046126213,122.65496926541884,0.0,False,False,False,False,False
TTXD|XLK,TTXD,XLK,,32,0.0,0.0,20,,243.65798158,-2.172,31,,,,,,245.82998158,,False,False,False,False,False
CLSZ|CLSK,CLSZ,CLSK,23552.021385400003,72,760.8638278231894,-86.62639809367242,20,0.40705144045577063,760.8638278231894,-86.62639809367242,60,0.13568381348525688,1.696714,0.943786,0.424849,0.07996858249843926,847.4902259168617,0.0154479679701278,False,False,False,False,False
ASTN|ASTS,ASTN,ASTS,36487.45786728,40,4796.360891631251,-199.67,20,1.6562991988747968,4796.360891631251,-199.67,39,0.8493842045511779,3.790747,1.042652,,0.22406776409799384,4996.0308916312515,0.0353594210182657,False,False,False,False,False
QBTZ|QBTS,QBTZ,QBTS,33740.33329259999,68,5789.482014386208,-112.87,20,2.1620258682289077,5789.482014386208,-112.87,60,0.720675289409636,3.629417,1.012809,0.43838,0.19856502832538558,5902.352014386208,0.01405006867860344,False,False,False,False,False
