etf,underlying,pair_frac_merged
NVTX,NVTS,0.06305331423859342
ASTX,ASTS,0.048019584628310186
QBTX,QBTS,0.042244367590075174
IOYY,IONQ,0.03933883812854717
MAAY,MARA,0.03840494580841816
IRE,IREN,0.03754615414999204
SMU,SMR,0.035238550032793706
NBIG,NBIS,0.03437612525692631
XBTY,IBIT,0.03319855393705305
MTYY,MSTR,0.030147545906565987
SMYY,SMCI,0.029109334343584994
NEBX,NBIS,0.027654404541728895
QBTZ,QBTS,0.025000000154022685
ETHD,ETHA,0.025000000107004518
CORD,CRWV,0.02500000009412448
CWVX,CRWV,0.022635581340929765
NBIL,NBIS,0.021656973589249343
CRWG,CRWV,0.02107928105283942
MSDD,MSTR,0.019954854976759882
OKLL,OKLO,0.018927999834030197
PLTZ,PLTR,0.01728322848293919
FBYY,META,0.01694811182408882
RGTX,RGTI,0.01552621582867602
CLSX,CLSK,0.015476943140597013
LABX,ALAB,0.014180120872647368
COYY,COIN,0.0128526700517418
WULX,WULF,0.012850900587857424
CRDU,CRDO,0.01188181426914566
IREX,IREN,0.010913890185316714
RKLX,RKLB,0.010878173689327761
CRWU,CRWV,0.010638231528917285
ETHU,ETHA,0.009279382914521447
GLXU,GLXY,0.008689951392463553
CONI,COIN,0.007716771102624579
ETU,ETHA,0.007379784368108301
IONX,IONQ,0.0072979802077343635
ETHT,ETHA,0.005504446186162876
MSTZ,MSTR,0.005045145082524664
APPX,APP,0.0049525017671150535
BAIG,BBAI,0.004883209690072345
CONL,COIN,0.004638711757205758
INTW,INTC,0.004180586116929927
QUBX,QUBT,0.0040047888833398635
IONL,IONQ,0.0039551701747429025
COIA,COIN,0.003933250203571536
RGTU,RGTI,0.0037676737393239276
RIOX,RIOT,0.003711094926484059
MUU,MU,0.0036214826652011447
AVXX,AVAV,0.003496026305779525
COZX,CORZ,0.0032475297356335748
AMDL,AMD,0.003004805143028246
ROBN,HOOD,0.0029428630524910827
UNX,U,0.0028668736330417183
SBTU,SBET,0.002816679811361701
TEMT,TEM,0.002795314863899331
HOOX,HOOD,0.0027493681410844513
OSCX,OSCR,0.00273838604136244
SOUX,SOUN,0.002712402836327389
UPSX,UPST,0.0026730274300729973
COIG,COIN,0.0025720384022240588
PTIR,PLTR,0.0024987921796357656
RDTL,RDDT,0.0024186271157589424
KTUP,KTOS,0.0022815262548534156
AMUU,AMD,0.002280286495325665
LMNX,LMND,0.0022653769936771357
AMDG,AMD,0.0022282818097766406
MULL,MU,0.0021734304099981193
ARCX,ACHR,0.0020690515391696023
MPL,MP,0.0019605208951168573
HOOG,HOOD,0.0019493878663310689
NUGT,GDX,0.0018709209508481447
PLTU,PLTR,0.0018072982827216626
JNUG,GDXJ,0.0018053449586101086
RBLU,RBLX,0.0017019754029211106
QSU,QS,0.0016768335813385066
BABX,BABA,0.0016159409339848423
MPG,MP,0.0015575601572301544
SOFX,SOFI,0.0014533978764992858
SNOU,SNOW,0.0014151239338359221
ANEL,ANET,0.001409612070533763
PLTA,PLTR,0.0014003430662037632
VRTL,VRT,0.0013115547745385077
BITX,IBIT,0.001298404682991133
ORCX,ORCL,0.0012835001633369843
TSLI,TSLA,0.0012445846191380177
BULX,BULL,0.0012346083829536413
PONX,PONY,0.0012188749486576748
GDXU,GDX,0.0012103579803138035
URAA,URA,0.0012008580116865558
LRCU,LRCX,0.0011737419980542127
GEVX,GEV,0.0011716887354821573
NVOX,NVO,0.0011324313845874024
TSLL,TSLA,0.0011066490269264653
AVGG,AVGO,0.0011036785039939758
GLGG,GLXY,0.0010704951345127391
BTCL,IBIT,0.0010663098548015881
BITU,IBIT,0.0010572195460631499
CVNX,CVNA,0.0010217189153747279
TSLR,TSLA,0.0010063181338174367
OPEX,OPEN,0.0009889361744570154
DKNX,DKNG,0.0008988833794419455
AVL,AVGO,0.0008965770603175053
UBRL,UBER,0.0008710424142459595
VSTL,VST,0.000822595166227094
XYZG,XYZ,0.000771864949969453
FBL,META,0.000763083481533962
HIMZ,HIMS,0.0007098128325086573
MVLL,MRVL,0.0007064174888050546
TSLT,TSLA,0.0006835387644945001
SRPU,SRPT,0.0006771998944480088
SOXL,SOXX,0.0006552106668075271
SHPU,SHOP,0.0006129812425260154
MSTX,MSTR,0.0006050681605533233
CWEB,KWEB,0.0005909218835294909
AFRU,AFRM,0.0005892552730326192
LLYX,LLY,0.0005780969709892065
AVGX,AVGO,0.0005593795742309272
NVDG,NVDA,0.0005538681411928484
PALU,PANW,0.0005465976714598062
QCMU,QCOM,0.0005448012045906848
AMZZ,AMZN,0.0004811707443788684
TSMU,TSM,0.00046362328782889
TSMG,TSM,0.0004578501296643644
CEGX,CEG,0.00045272166950061457
NVDU,NVDA,0.00044642600062802295
PLTG,PLTR,0.0004371579697475588
GOOX,GOOGL,0.00042006807592379747
ETRL,ETOR,0.0004176683603250457
METU,META,0.0004038896027956632
NVDL,NVDA,0.00039810005645899565
TSLG,TSLA,0.000389501750424294
CRMG,CRM,0.00038223012955465493
NFLU,NFLX,0.00037755726157634873
ARMG,ARM,0.0003601710257060909
JOBX,JOBY,0.0003425679629671922
PANG,PANW,0.000335304801198451
YINN,FXI,0.000322130002606658
AMZU,AMZN,0.0003128320623019082
DLLL,DELL,0.00028880525155782844
NVDB,NVDA,0.00028504267864789363
