bucket,etf,underlying,w_book,frac_sleeve,n_obs_decay,n_obs_beta,mu_used,sigma_eff,w_pre,q_prior,prev_w_book,delta_w_book,haircut_factor,ema_applied
core_leveraged,NVTX,NVTS,0.06305331423859344,0.09341231739050879,479.0,164.0,1.0777538499189023,0.16893664830927235,2.232871619312882,0.012214745223572007,0.09999999995725818,-0.036946685718664746,1.0,True
core_leveraged,ASTX,ASTS,0.0480195846283102,0.07114012537527437,479.0,205.0,0.8982400211246813,0.11458330383878995,2.7437156798686217,0.015009276711496745,0.0999999999510849,-0.0519804153227747,1.0,True
core_leveraged,QBTX,QBTS,0.04224436759007518,0.06258424828159286,479.0,257.0,0.9197609794585558,0.14558671258854763,2.2111656832329465,0.012096004640028229,0.09999999995246858,-0.0577556323623934,1.0,True
whitelist_stock,IOYY,IONQ,0.039338838128547174,0.19669419064273583,479.0,124.0,0.5926066944842076,0.26535583080425484,0.7816385358514114,0.03152105760888129,0.03999999999539602,-0.0006611618668488431,1.0,True
whitelist_stock,MAAY,MARA,0.03840494580841817,0.1920247290420908,479.0,124.0,0.5729627896025853,0.24869713312505784,0.806350173164499,0.032517601289403834,0.039999999994092796,-0.001595054185674627,1.0,True
core_leveraged,IRE,IREN,0.037546154149992045,0.055623932074062285,479.0,134.0,0.8646755371163328,0.1330190442283526,2.275136163744969,0.01244595002628572,0.09999999994914842,-0.062453845799156374,1.0,True
core_leveraged,SMU,SMR,0.03523855003279371,0.05220525930784253,479.0,205.0,0.8457980837398777,0.13221933420810325,2.2389261833903156,0.012247866231070145,0.09999999994760526,-0.06476144991481156,1.0,True
core_leveraged,NBIG,NBIS,0.034376125256926314,0.05092759297322417,363.0,130.0,0.8178051694708182,0.12090045561780463,2.3674998398652343,0.012951218113337111,0.09999999971789653,-0.0656238744609702,1.0,True
whitelist_stock,XBTY,IBIT,0.03319855393705306,0.16599276968526527,479.0,245.0,0.5034327013497057,0.2095203813519202,0.8409752041088587,0.0339139213850061,0.03999999998469733,-0.006801446047644273,1.0,True
whitelist_stock,MTYY,MSTR,0.030147545906565994,0.15073772953282993,479.0,154.0,0.5268152234296178,0.26215984416513377,0.7033316974518128,0.028363185713946564,0.03999999998922723,-0.009852454082661236,1.0,True
whitelist_stock,SMYY,SMCI,0.029109334343585,0.14554667171792499,479.0,149.0,0.5259728418098171,0.27152227942055723,0.6779940674713497,0.02734139769089735,0.0399999999891001,-0.0108906656455151,1.0,True
core_leveraged,NEBX,NBIS,0.027654404541728902,0.04096948820996874,363.0,164.0,0.8165033867782027,0.11839452418101055,2.4137618470889293,0.013204290715846327,0.03500000017276521,-0.0073455956310363064,1.0,True
inverse_decay_bucket4,QBTZ,QBTS,0.025000000154022692,0.20000000123218153,479.0,144.0,2.364061938785431,0.5057721038759462,1.635957523623817,0.03218181241134217,0.025000000004556076,1.4946661616721535e-10,1.0,True
inverse_decay_bucket4,ETHD,ETHA,0.025000000107004525,0.2000000008560362,426.0,447.0,1.091930516281309,0.2776095867659333,1.3766660047683794,0.027081147571845723,0.025000000002285177,1.0471934777656067e-10,1.0,True
inverse_decay_bucket4,CORD,CRWV,0.025000000094124487,0.2000000007529959,255.0,151.0,1.2572696955167006,0.7261363010631656,0.6060079805768673,0.011921113396331404,0.02500000000303241,9.109207832480593e-11,1.0,True
core_leveraged,CWVX,CRWV,0.02263558134092977,0.03353419457915521,255.0,205.0,0.7994357410764996,0.14004863486325025,1.9978953000861919,0.010929326103143589,0.039999998915346696,-0.017364417574416927,1.0,True
core_leveraged,NBIL,NBIS,0.021656973589249347,0.03208440531740644,363.0,144.0,0.7687012735225689,0.10980448227482945,2.450222797458356,0.013403747422411886,2.6587636160360834e-11,0.021656973562661712,1.0,True
core_leveraged,CRWG,CRWV,0.021079281052839422,0.03122856452272507,255.0,184.0,0.7981029782828086,0.12822536988459404,2.1784771816247614,0.011917184812040458,1.2103235129646376e-09,0.02107927984251591,1.0,True
inverse_decay_bucket4,MSDD,MSTR,0.019954854976759886,0.1596388398140791,479.0,225.0,0.8889242577703105,0.3479374193417685,0.8941938202800815,0.017590174175116373,0.02500000000013689,-0.005045145023377003,1.0,True
core_leveraged,OKLL,OKLO,0.0189279998340302,0.028041481235600293,479.0,217.0,0.7446619215231942,0.11448122566228418,2.2766324436634946,0.01245413530564968,2.350887156270781e-11,0.018927999810521328,1.0,True
inverse_decay_bucket4,PLTZ,PLTR,0.017283228482939193,0.13826582786351355,479.0,228.0,0.5773543754002757,0.24312271177557493,0.8311606509910509,0.016350214334803055,0.024999999948478964,-0.007716771465539771,1.0,True
whitelist_stock,FBYY,META,0.016948111824088823,0.0847405591204441,479.0,133.0,0.40896458880004594,0.22835535683184677,0.6268195678256754,0.025277688856890194,3.167572596435579e-11,0.0169481117924131,1.0,True
core_leveraged,RGTX,RGTI,0.015526215828676023,0.02300180122766818,479.0,274.0,0.7036731946148591,0.11822216653383422,2.0832439916816763,0.011396219279619571,1.9559140677602324e-11,0.015526215809116882,1.0,True
core_leveraged,CLSX,CLSK,0.015476943140597017,0.02292880465273632,479.0,159.0,0.7397864739821122,0.138969577728203,1.863179482347898,0.01019237401999391,4.3799218098024917e-11,0.015476943096797799,1.0,True
