ETF,Underlying,inverse_etf_short_usd,inverse_short_solved_usd,underlying_short_usd,hedge_ratio,ratchet_binding,ratchet_source,ratchet_explain
CBRZ,CBRS,18674.649650837306,18674.649650837306,28011.97447625596,0.75,False,solve,ratchet disabled
LITZ,LITE,27037.30975433888,27037.30975433888,19205.435088196748,0.355150683818198,False,solve,ratchet disabled
MSTZ,MSTR,20868.34758109838,20868.34758109838,15333.318565176196,0.36979473306982,False,solve,ratchet disabled
QBTZ,QBTS,14937.397970360507,14937.397970360507,15265.923508415039,0.5117797688888285,False,solve,ratchet disabled
SNDQ,SNDK,15898.660103956323,15898.660103956323,12820.686767753645,0.3976412042828401,False,solve,ratchet disabled
NBIZ,NBIS,13567.531073874985,13567.531073874985,11372.297311655564,0.4114579309675644,False,solve,ratchet disabled
CONI,COIN,13072.859657310943,13072.859657310943,9824.643903689353,0.39066304190896456,False,solve,ratchet disabled
SSPC,SPCX,3646.7520188104777,3646.7520188104777,5470.128028215717,0.75,False,solve,ratchet disabled
SPCG,SPCX,3196.833816021578,3196.833816021578,4795.250724032367,0.75,False,solve,ratchet disabled
