symbol,overlay_type,net_notional_usd,gross_notional_usd,n_legs
AMZO,flow_program,17745.77580633,17745.77580633,1
DUST,flow_program,14823.914816,14823.914816,1
ZSL,flow_program,13688.9844858,13688.9844858,1
SDS,flow_program,10692.2586973,10692.2586973,1
FAZ,flow_program,8644.124332800002,8644.124332800002,1
TSLQ,flow_program,8172.8675850399995,8172.8675850399995,1
SQQQ,flow_program,8006.620154399999,8006.620154399999,1
NVDQ,flow_program,6847.12608216,6847.12608216,1
LABD,flow_program,5003.49322656,5003.49322656,1
EWV,flow_program,3205.4479466939997,3205.4479466939997,1
SOXS,flow_program,1661.9461171499997,1661.9461171499997,1
TSYY,flow_program,-66.25974264,66.25974264,1
NVYY,flow_program,-93.750230145,93.750230145,1
TQQY,flow_program,-453.4691987364,453.4691987364,1
