symbol,target_net_usd,actual_net_usd,discrepancy_usd,abs_discrepancy_usd,target_gross_usd,actual_gross_usd,gross_gap_usd,under_exposed,discrepancy_blocker,purgatory,purgatory_no_locate,purgatory_borrow_band,purgatory_net_edge,purgatory_vol_ratio
CWY,-189159.76661285252,-26254.499999999996,162905.26661285252,162905.26661285252,189159.76661285252,26254.499999999996,-162905.26661285252,True,no_locate,True,True,False,False,False
COYY,-73553.26916656319,-202518.0762,-128964.80703343682,128964.80703343682,73553.26916656319,202518.0762,128964.80703343682,False,none,False,False,False,False,False
HMYY,-160451.11537171167,-37264.89,123186.22537171167,123186.22537171167,160451.11537171167,37264.89,-123186.22537171167,True,none,False,False,False,False,False
AMYY,0.0,-104821.0896,-104821.0896,104821.0896,0.0,104821.0896,104821.0896,False,borrow_band,True,False,True,False,False
XBTY,-58767.7274916963,-140750.61,-81982.88250830368,81982.88250830368,58767.7274916963,140750.61,81982.88250830368,False,none,False,False,False,False,False
HOYY,0.0,-79248.1923,-79248.1923,79248.1923,0.0,79248.1923,79248.1923,False,borrow_band,True,False,True,False,False
QBY,0.0,-68491.035,-68491.035,68491.035,0.0,68491.035,68491.035,False,borrow_band,True,False,True,False,False
CRY,-80875.06612543778,-19180.0,61695.06612543778,61695.06612543778,80875.06612543778,19180.0,-61695.06612543778,True,no_locate,True,True,False,False,False
RTYY,-55171.78576288006,-114352.3372,-59180.55143711993,59180.55143711993,55171.78576288006,114352.3372,59180.55143711993,False,none,False,False,False,False,False
POEL,-46562.51936405023,0.0,46562.51936405023,46562.51936405023,46562.51936405023,0.0,-46562.51936405023,True,none,False,False,False,False,False
AXTU,-45577.89697417507,0.0,45577.89697417507,45577.89697417507,45577.89697417507,0.0,-45577.89697417507,True,none,False,False,False,False,False
SMYY,-149227.08172648042,-112662.459,36564.62272648042,36564.62272648042,149227.08172648042,112662.459,-36564.62272648042,True,none,False,False,False,False,False
ASTX,-12078.210817055124,-47448.56,-35370.349182944876,35370.349182944876,12078.210817055124,47448.56,35370.349182944876,False,none,False,False,False,False,False
MUYY,-193183.1230789137,-159748.9614,33434.16167891369,33434.16167891369,193183.1230789137,159748.9614,-33434.16167891369,True,none,False,False,False,False,False
MTYY,-117082.81526389607,-147856.65,-30773.83473610392,30773.83473610392,117082.81526389607,147856.65,30773.83473610392,False,none,False,False,False,False,False
CORD,-17420.152151606366,-47881.350000000006,-30461.19784839364,30461.19784839364,17420.152151606366,47881.350000000006,30461.19784839364,False,none,False,False,False,False,False
TMYY,-83468.08015782494,-59683.314999999995,23784.765157824942,23784.765157824942,83468.08015782494,59683.314999999995,-23784.765157824942,True,no_locate,True,True,False,False,False
MAAY,-130350.29320669873,-106567.1475,23783.14570669872,23783.14570669872,130350.29320669873,106567.1475,-23783.14570669872,True,none,False,False,False,False,False
LITX,-8542.010563362557,-31990.2,-23448.189436637444,23448.189436637444,8542.010563362557,31990.2,23448.189436637444,False,none,False,False,False,False,False
LITZ,-20941.32388687094,-38632.5,-17691.17611312906,17691.17611312906,20941.32388687094,38632.5,17691.17611312906,False,none,False,False,False,False,False
IREZ,0.0,-17636.4,-17636.4,17636.4,0.0,17636.4,17636.4,False,borrow_band,True,False,True,False,False
IOYY,-139445.434862038,-122073.045,17372.389862038006,17372.389862038006,139445.434862038,122073.045,-17372.389862038006,True,none,False,False,False,False,False
NBIG,-4347.430915710616,-19173.66,-14826.229084289384,14826.229084289384,4347.430915710616,19173.66,14826.229084289384,False,none,False,False,False,False,False
CRMU,-30851.189525053844,-43876.0102,-13024.820674946153,13024.820674946153,30851.189525053844,43876.0102,13024.820674946153,False,none,False,False,False,False,False
CRMX,0.0,-12676.230000000001,-12676.230000000001,12676.230000000001,0.0,12676.230000000001,12676.230000000001,False,borrow_band,True,False,True,False,False
RKLX,-4520.146371531574,-16564.0,-12043.853628468427,12043.853628468427,4520.146371531574,16564.0,12043.853628468427,False,none,False,False,False,False,False
RCAX,-17024.05605213219,-28480.719999999998,-11456.663947867808,11456.663947867808,17024.05605213219,28480.719999999998,11456.663947867808,False,none,False,False,False,False,False
ASTN,0.0,-10419.99,-10419.99,10419.99,0.0,10419.99,10419.99,False,borrow_band,True,False,True,False,False
AXTX,-48990.886475236446,-38718.86,10272.026475236446,10272.026475236446,48990.886475236446,38718.86,-10272.026475236446,True,none,False,False,False,False,False
FLYT,-11641.379109947502,-21522.0,-9880.620890052498,9880.620890052498,11641.379109947502,21522.0,9880.620890052498,False,none,False,False,False,False,False
AMZO,0.0,-8867.429999999998,-8867.429999999998,8867.429999999998,0.0,8867.429999999998,8867.429999999998,False,borrow_band,True,False,True,False,False
QBTZ,-23100.0,-14666.400000000001,8433.599999999999,8433.599999999999,23100.0,14666.400000000001,-8433.599999999999,True,none,False,False,False,False,False
DUST,0.0,-7456.0,-7456.0,7456.0,0.0,7456.0,7456.0,False,none,False,False,False,False,False
RGTZ,0.0,-7033.259999999999,-7033.259999999999,7033.259999999999,0.0,7033.259999999999,7033.259999999999,False,none,False,False,False,False,False
SNXX,-6836.41081737284,-13694.699999999999,-6858.289182627159,6858.289182627159,6836.41081737284,13694.699999999999,6858.289182627159,False,none,False,False,False,False,False
ZSL,0.0,-6809.400000000001,-6809.400000000001,6809.400000000001,0.0,6809.400000000001,6809.400000000001,False,none,False,False,False,False,False
MSTU,-803.6283052549835,-7456.2,-6652.571694745016,6652.571694745016,803.6283052549835,7456.2,6652.571694745016,False,none,False,False,False,False,False
EOSU,-14692.36179961237,-8605.29,6087.071799612369,6087.071799612369,14692.36179961237,8605.29,-6087.071799612369,True,none,False,False,False,False,False
AAOX,-44688.38022294897,-38681.24,6007.140222948969,6007.140222948969,44688.38022294897,38681.24,-6007.140222948969,True,none,False,False,False,False,False
NBIZ,-15869.317374859962,-21810.613,-5941.295625140039,5941.295625140039,15869.317374859962,21810.613,5941.295625140039,False,none,False,False,False,False,False
SDS,0.0,-5373.9800000000005,-5373.9800000000005,5373.9800000000005,0.0,5373.9800000000005,5373.9800000000005,False,none,False,False,False,False,False
IREG,-8140.183287955172,-13450.769999999999,-5310.5867120448265,5310.5867120448265,8140.183287955172,13450.769999999999,5310.5867120448265,False,none,False,False,False,False,False
AVXX,-3967.791092499848,-9256.96,-5289.16890750015,5289.16890750015,3967.791092499848,9256.96,5289.16890750015,False,none,False,False,False,False,False
CONI,-1158.5793504267317,-6380.01,-5221.430649573269,5221.430649573269,1158.5793504267317,6380.01,5221.430649573269,False,none,False,False,False,False,False
RGTX,-7332.014055439903,-12545.1,-5213.085944560097,5213.085944560097,7332.014055439903,12545.1,5213.085944560097,False,none,False,False,False,False,False
MSTZ,-5104.321543148363,-10032.33,-4928.008456851637,4928.008456851637,5104.321543148363,10032.33,4928.008456851637,False,none,False,False,False,False,False
BEG,0.0,-4842.09,-4842.09,4842.09,0.0,4842.09,4842.09,False,borrow_band,True,False,True,False,False
BBYY,-41131.688398955885,-45590.86,-4459.171601044116,4459.171601044116,41131.688398955885,45590.86,4459.171601044116,False,none,False,False,False,False,False
NVTX,-13901.469677672918,-9541.84,4359.629677672918,4359.629677672918,13901.469677672918,9541.84,-4359.629677672918,True,none,False,False,False,False,False
USGG,0.0,-4273.0160000000005,-4273.0160000000005,4273.0160000000005,0.0,4273.0160000000005,4273.0160000000005,False,borrow_band,True,False,True,False,False
QBTX,-7913.653300038641,-12163.5,-4249.846699961359,4249.846699961359,7913.653300038641,12163.5,4249.846699961359,False,none,False,False,False,False,False
BEX,-11870.408486334816,-7735.88,4134.528486334816,4134.528486334816,11870.408486334816,7735.88,-4134.528486334816,True,none,False,False,False,False,False
TSLQ,0.0,-4072.24,-4072.24,4072.24,0.0,4072.24,4072.24,False,none,False,False,False,False,False
FBYY,-61507.50696956187,-57608.4,3899.1069695618717,3899.1069695618717,61507.50696956187,57608.4,-3899.1069695618717,True,none,False,False,False,False,False
PLUL,0.0,-3794.9272,-3794.9272,3794.9272,0.0,3794.9272,3794.9272,False,borrow_band,True,False,True,False,False
SNDQ,-23100.0,-26831.14,-3731.1399999999994,3731.1399999999994,23100.0,26831.14,3731.1399999999994,False,none,False,False,False,False,False
NVDQ,0.0,-3434.34,-3434.34,3434.34,0.0,3434.34,3434.34,False,borrow_band,True,False,True,True,False
BMNU,-4160.724392580763,-7527.3715999999995,-3366.647207419236,3366.647207419236,4160.724392580763,7527.3715999999995,3366.647207419236,False,none,False,False,False,False,False
GEMG,0.0,-3360.5994,-3360.5994,3360.5994,0.0,3360.5994,3360.5994,False,borrow_band,True,False,True,False,False
SBTU,-2485.396050608605,-5669.0688,-3183.672749391395,3183.672749391395,2485.396050608605,5669.0688,3183.672749391395,False,none,False,False,False,False,False
IREX,-7478.415802075684,-4443.88,3034.535802075684,3034.535802075684,7478.415802075684,4443.88,-3034.535802075684,True,none,False,False,False,False,False
