etf,underlying,n_obs_decay,n_obs_beta,mu_used,sigma_eff,w_pre,q_prior,haircut_factor,ema_applied,prev_w_book
AMUU,AMD,479.0,272.0,0.2748153392142456,0.09156558660561169,1.050453257502433,0.005768592883924923,1.0,True,0.005557169657870911
AMZU,AMZN,479.0,500.0,0.05729474531846235,0.07301989067273439,0.27462600500646417,0.0019722493951761524,1.0,True,0.002831260198848475
AVL,AVGO,479.0,391.0,0.1413311508968339,0.08068106665188655,0.6131042246543627,0.0037496950640851638,1.0,True,0.0045185443422463036
BOEU,BA,479.0,259.0,0.055137942129139,0.07801059026916192,0.24738025540651984,0.0018140971080893053,1.0,True,0.003192956007763932
METU,META,479.0,478.0,0.07101414248016169,0.07301989067273439,0.3403860186459773,0.0023417788248982973,1.0,True,0.0032653790033013853
MSFU,MSFT,479.0,500.0,0.04801401738809715,0.07301989067273439,0.2301414851626031,0.0017122391908813873,1.0,True,0.003649848958476123
MUU,MU,479.0,391.0,0.33713884514002523,0.08481648312617515,1.3912224540537848,0.007222470338258389,1.0,True,0.00783643284280468
NFXL,NFLX,479.0,396.0,0.06752613286114806,0.11258380496719447,0.20992492222383596,0.0015908151009450177,1.0,True,0.0030163709688440987
NVDU,NVDA,479.0,500.0,0.07708896070734375,0.07301989067273439,0.3695039255604509,0.0025007124107244492,1.0,True,0.0035516983081176077
PALU,PANW,479.0,277.0,0.09065630942691791,0.07301989067273439,0.43453513839988717,0.0028470062795819297,1.0,True,0.004889309722496904
PLTU,PLTR,479.0,348.0,0.2297592814627173,0.08454104399148438,0.9512036368991509,0.005328283275795584,1.0,True,0.005958216993013631
QCMU,QCOM,479.0,216.0,0.10915044821007686,0.09323693253980302,0.40973738445565133,0.0027162702484606798,1.0,True,0.003928121417877409
SHPU,SHOP,479.0,187.0,0.1382252343269848,0.11447289986960685,0.4226225776542026,0.002784393811074986,1.0,True,0.002549205100710736
TSLL,TSLA,479.0,500.0,0.15637708752792445,0.07559891474630548,0.7239783906745607,0.0042830090000124145,1.0,True,0.005421548297594393
YINN,FXI,479.0,500.0,0.088083256101669,0.1195643050176153,0.25784568087475707,0.0018752379911448243,1.0,True,0.002752638224635497
SOXL,SOXX,479.0,500.0,0.16677228042095493,0.14074566502559435,0.41472181851369766,0.0027426728758087626,1.0,True,0.002114733885629416
CWEB,KWEB,479.0,500.0,0.09636249958192031,0.07301989067273439,0.4618861318874271,0.002989485438549672,1.0,True,0.006005855990907421
NUGT,GDX,479.0,500.0,0.21488861006114596,0.07301989067273439,1.0300072052762586,0.005678592628794389,1.0,True,0.008563415221959003
JNUG,GDXJ,479.0,500.0,0.2173321980968905,0.07712594712016706,0.9862604243341823,0.005484812546801529,1.0,True,0.007503440784365138
URAA,URA,479.0,465.0,0.19805976663712183,0.09998019130362101,0.6933465261381432,0.004137412091310433,1.0,True,0.004671237486529833
MSTU,MSTR,479.0,407.0,0.04306919697835314,0.14482314838569088,0.10408708214434173,0.0009075822038334307,1.0,True,0.0008834694814484017
NVDX,NVDA,479.0,500.0,-0.0330393082768397,0.08331329695659806,0.0,0.0,1.0,True,0.0
TSLT,TSLA,479.0,500.0,0.11750324387020766,0.0819861584618686,0.5016229096000425,0.0031935255454143803,1.0,True,0.003828331741551943
BTCL,IBIT,479.0,456.0,0.15507177613779183,0.07751286519746291,0.700207914001915,0.004170135014546914,1.0,True,0.006319809241899369
ETU,ETHA,426.0,381.0,0.47820192005135387,0.0887923888524796,1.8849664276523166,0.009208977244115466,1.0,True,0.011208931942225747
CRWU,CRWV,255.0,194.0,0.6570749393405568,0.1428727891938139,1.6096573047035634,0.008116246787264286,1.0,True,0.00579130654647219
GOOX,GOOGL,479.0,500.0,0.07731011660228165,0.07788420000324313,0.34742015466130294,0.0023804140863142834,1.0,True,0.004061138270208203
NFLU,NFLX,479.0,400.0,0.06983147649988605,0.0765437539567327,0.31930778818054445,0.0022250312418380927,1.0,True,0.004088151627717838
ROBN,HOOD,479.0,315.0,0.32938351385918574,0.09987623045520935,1.154270934388293,0.006220348427898674,1.0,True,0.005924213299241403
DJTU,DJT,479.0,294.0,-0.12371309531123936,0.14106303981573687,0.0,0.0,1.0,True,0.0
RBLU,RBLX,479.0,294.0,0.24114376900405485,0.09751890798681107,0.8654764588097511,0.004940520568545604,1.0,True,0.005585175775831973
SNOU,SNOW,479.0,258.0,0.24240343285032315,0.11848801320067584,0.7160319361075181,0.0042453589720856805,1.0,True,0.005969005140417872
SMUP,SMR,479.0,193.0,-2.265814984293445,2.8176129797752756,0.0,0.0,1.0,True,0.0
GLXU,GLXY,221.0,185.0,0.5892370081488366,0.12895979033299576,1.5992035371611943,0.008074051170766374,0.876984126984127,True,0.006577842317262573
AFRU,AFRM,479.0,159.0,0.1606828463092288,0.14809269009185583,0.3797553827494614,0.002556063594760301,1.0,True,0.0021357476620093726
KTUP,KTOS,479.0,159.0,0.33215528410801953,0.13135922380276116,0.885010934689789,0.0050295301214567855,1.0,True,0.004004157583567473
TTDU,TTD,479.0,158.0,0.017359017775205002,0.1390579609331623,0.043691538266133444,0.0004531963176504178,1.0,True,0.0006451615564697409
SBTU,SBET,479.0,134.0,0.45819501457025413,0.21376511933651943,0.7502077775707151,0.004406702723499368,1.0,True,0.003235743003133671
GMEU,GME,479.0,258.0,-0.1727628534034103,0.12628152664442782,0.0,0.0,1.0,True,0.0
APPX,APP,479.0,257.0,0.4391660157611988,0.1091290048905649,1.4084991031537288,0.007294134445675574,1.0,True,0.007738876523203288
ARCX,ACHR,479.0,226.0,0.30662236708174584,0.12396434268712173,0.8657153029034692,0.00494161128021973,1.0,True,0.0041417421166720265
ASTX,ASTS,479.0,205.0,0.8982400211246813,0.11458330383878995,2.7437156798686217,0.01243482816789276,1.0,True,0.01145853439405963
CEGX,CEG,479.0,205.0,0.10580986311975854,0.10772031980463316,0.3437926303884092,0.0023605095097406774,1.0,True,0.0026368968683813383
CLSX,CLSK,479.0,159.0,0.7397864739821122,0.138969577728203,1.863179482347898,0.009123726510971175,1.0,True,0.006839389098182205
COZX,CORZ,479.0,123.0,0.4105642881481457,0.14375567255136731,0.9995953432759633,0.005544059512512643,1.0,True,0.004204075308517872
CRDU,CRDO,479.0,159.0,0.681822739020806,0.14224219167543176,1.6776875823300461,0.008389525070288681,1.0,True,0.007201885330802889
CWVX,CRWV,255.0,205.0,0.7994357410764996,0.14004863486325025,1.9978953000861919,0.009647764287924937,1.0,True,0.008829417310626008
GEVX,GEV,479.0,205.0,0.1998093436417371,0.10390480058293844,0.6730513882155632,0.004040239252154706,1.0,True,0.004715575450326519
IREX,IREN,479.0,132.0,0.704883335239822,0.17222718776241164,1.4324635415534646,0.007393249558026298,1.0,True,0.003467900376997744
JOBX,JOBY,479.0,164.0,0.11233525650458889,0.15419561131897688,0.25498352022012005,0.0018585668822081942,1.0,True,0.0010689969932419394
LABX,ALAB,479.0,183.0,0.7312180061168471,0.1468854643608584,1.742352813837003,0.008647237455816983,1.0,True,0.0076351531627846456
LRCU,LRCX,479.0,178.0,0.20744252911473804,0.11017989776695261,0.658966714089069,0.003972457746690078,1.0,True,0.0035303080068394203
NEBX,NBIS,363.0,164.0,0.8165033867782027,0.11839452418101055,2.4137618470889293,0.011223389597545552,1.0,True,0.00948777184239203
NVTX,NVTS,479.0,164.0,1.0777538499189023,0.16893664830927235,2.232871619312882,0.010545313785514451,1.0,True,0.008018187608963721
OPEX,OPEN,479.0,132.0,0.2547997840423162,0.1852817030371645,0.4813207292083374,0.0030896988907105306,1.0,True,0.0015446782485151332
PONX,PONY,336.0,164.0,0.25843231683278156,0.15400084477392045,0.5873429527237969,0.00362311328872003,1.0,True,0.0021031389688844107
QBTX,QBTS,479.0,257.0,0.9197609794585558,0.14558671258854763,2.2111656832329465,0.010463224233554069,1.0,True,0.010641619864632107
QUBX,QUBT,479.0,217.0,0.46893733927606784,0.15817907261181255,1.0376092490402355,0.0057120969709090275,1.0,True,0.004156122554098495
